
Durata casatoriei, Ani, UM: Numar, Valoare
4 ani, Anul 2005, Numar, 1972
4 ani, Anul 2006, Numar, 1832
4 ani, Anul 2007, Numar, 2060
4 ani, Anul 2008, Numar, 2140
4 ani, Anul 2009, Numar, 1876
4 ani, Anul 2010, Numar, 2027
4 ani, Anul 2011, Numar, 2505
4 ani, Anul 2012, Numar, 2106
4 ani, Anul 2013, Numar, 1744
4 ani, Anul 2014, Numar, 1512
4 ani, Anul 2015, Numar, 1554
4 ani, Anul 2016, Numar, 1439
5-9 ani, Anul 1990, Numar, 8154
5-9 ani, Anul 1991, Numar, 9019
5-9 ani, Anul 1992, Numar, 7295
5-9 ani, Anul 1993, Numar, 7754
5-9 ani, Anul 1994, Numar, 10729
5-9 ani, Anul 1995, Numar, 9630
5-9 ani, Anul 1996, Numar, 10043
5-9 ani, Anul 1997, Numar, 9751
5-9 ani, Anul 1998, Numar, 11405
5-9 ani, Anul 1999, Numar, 9230
5-9 ani, Anul 2000, Numar, 7734
5-9 ani, Anul 2001, Numar, 7498
5-9 ani, Anul 2002, Numar, 7499
5-9 ani, Anul 2003, Numar, 7891
5-9 ani, Anul 2004, Numar, 8498
5-9 ani, Anul 2005, Numar, 7958
5-9 ani, Anul 2006, Numar, 7802
5-9 ani, Anul 2007, Numar, 8374
5-9 ani, Anul 2008, Numar, 7938
5-9 ani, Anul 2009, Numar, 7340
5-9 ani, Anul 2010, Numar, 7574
5-9 ani, Anul 2011, Numar, 8301
5-9 ani, Anul 2012, Numar, 7755
5-9 ani, Anul 2013, Numar, 7474
5-9 ani, Anul 2014, Numar, 7162
5-9 ani, Anul 2015, Numar, 8457
5-9 ani, Anul 2016, Numar, 7733
10-14 ani, Anul 1990, Numar, 6054
10-14 ani, Anul 1991, Numar, 6574
10-14 ani, Anul 1992, Numar, 4930
10-14 ani, Anul 1993, Numar, 4744
10-14 ani, Anul 1994, Numar, 6089
10-14 ani, Anul 1995, Numar, 5154
10-14 ani, Anul 1996, Numar, 5383
10-14 ani, Anul 1997, Numar, 5437
10-14 ani, Anul 1998, Numar, 6510
10-14 ani, Anul 1999, Numar, 5570
10-14 ani, Anul 2000, Numar, 5141
10-14 ani, Anul 2001, Numar, 5594
10-14 ani, Anul 2002, Numar, 5771
10-14 ani, Anul 2003, Numar, 6109
10-14 ani, Anul 2004, Numar, 6732
10-14 ani, Anul 2005, Numar, 5836
10-14 ani, Anul 2006, Numar, 5677
10-14 ani, Anul 2007, Numar, 6220
10-14 ani, Anul 2008, Numar, 6007
10-14 ani, Anul 2009, Numar, 5354
10-14 ani, Anul 2010, Numar, 5462
10-14 ani, Anul 2011, Numar, 5789
10-14 ani, Anul 2012, Numar, 5057
10-14 ani, Anul 2013, Numar, 4690
10-14 ani, Anul 2014, Numar, 4627
10-14 ani, Anul 2015, Numar, 5446
10-14 ani, Anul 2016, Numar, 5315
15-19 ani, Anul 1990, Numar, 3426
15-19 ani, Anul 1991, Numar, 3937
15-19 ani, Anul 1992, Numar, 3166
15-19 ani, Anul 1993, Numar, 3070
