
Judete, Localitati , Ani, UM: Numar, Valoare
Bihor, TOTAL, Anul 1990, Numar, 828
Bihor, TOTAL, Anul 1991, Numar, 686
Bihor, TOTAL, Anul 1992, Numar, 455
Bihor, TOTAL, Anul 1993, Numar, 558
Bihor, TOTAL, Anul 1994, Numar, 553
Bihor, TOTAL, Anul 1995, Numar, 608
Bihor, TOTAL, Anul 1996, Numar, 396
Bihor, TOTAL, Anul 1997, Numar, 547
Bihor, TOTAL, Anul 1998, Numar, 663
Bihor, TOTAL, Anul 1999, Numar, 473
Bihor, TOTAL, Anul 2000, Numar, 672
Bihor, TOTAL, Anul 2001, Numar, 530
Bihor, TOTAL, Anul 2002, Numar, 624
Bihor, TOTAL, Anul 2003, Numar, 734
Bihor, TOTAL, Anul 2004, Numar, 662
Bihor, TOTAL, Anul 2005, Numar, 622
Bihor, TOTAL, Anul 2006, Numar, 425
Bihor, TOTAL, Anul 2007, Numar, 512
Bihor, TOTAL, Anul 2008, Numar, 528
Bihor, TOTAL, Anul 2009, Numar, 637
Bihor, TOTAL, Anul 2010, Numar, 1016
Bihor, TOTAL, Anul 2011, Numar, 1158
Bihor, TOTAL, Anul 2012, Numar, 873
Bihor, TOTAL, Anul 2013, Numar, 797
Bihor, TOTAL, Anul 2014, Numar, 743
Bihor, TOTAL, Anul 2015, Numar, 1005
Bihor, TOTAL, Anul 2016, Numar, 1028
Brasov, TOTAL, Anul 1990, Numar, 1101
Brasov, TOTAL, Anul 1991, Numar, 792
Brasov, TOTAL, Anul 1992, Numar, 852
Brasov, TOTAL, Anul 1993, Numar, 997
Brasov, TOTAL, Anul 1994, Numar, 893
Brasov, TOTAL, Anul 1995, Numar, 1325
Brasov, TOTAL, Anul 1996, Numar, 1246
Brasov, TOTAL, Anul 1997, Numar, 1411
Brasov, TOTAL, Anul 1998, Numar, 1288
Brasov, TOTAL, Anul 1999, Numar, 1277
Brasov, TOTAL, Anul 2000, Numar, 1097
Brasov, TOTAL, Anul 2001, Numar, 1047
Brasov, TOTAL, Anul 2002, Numar, 977
Brasov, TOTAL, Anul 2003, Numar, 1013
Brasov, TOTAL, Anul 2004, Numar, 858
Brasov, TOTAL, Anul 2005, Numar, 1075
Brasov, TOTAL, Anul 2006, Numar, 959
Brasov, TOTAL, Anul 2007, Numar, 1630
Brasov, TOTAL, Anul 2008, Numar, 890
