
Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
0- 4 ani, Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2001, Numar persoane, 5977
0- 4 ani, Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2002, Numar persoane, 6046
0- 4 ani, Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2003, Numar persoane, 5980
0- 4 ani, Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2004, Numar persoane, 6046
0- 4 ani, Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2005, Numar persoane, 6166
0- 4 ani, Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2006, Numar persoane, 6506
0- 4 ani, Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2007, Numar persoane, 6763
0- 4 ani, Masculin, Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2008, Numar persoane, 7149
0- 4 ani, Masculin, Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2001, Numar persoane, 762
0- 4 ani, Masculin, Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2002, Numar persoane, 740
0- 4 ani, Masculin, Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2003, Numar persoane, 711
0- 4 ani, Masculin, Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2004, Numar persoane, 683
0- 4 ani, Masculin, Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2005, Numar persoane, 673
0- 4 ani, Masculin, Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2006, Numar persoane, 676
0- 4 ani, Masculin, Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2007, Numar persoane, 678
0- 4 ani, Masculin, Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2008, Numar persoane, 710
0- 4 ani, Masculin, Cluj, 55008 MUNICIPIUL DEJ, Anul 2001, Numar persoane, 1028
0- 4 ani, Masculin, Cluj, 55008 MUNICIPIUL DEJ, Anul 2002, Numar persoane, 1045
0- 4 ani, Masculin, Cluj, 55008 MUNICIPIUL DEJ, Anul 2003, Numar persoane, 1053
0- 4 ani, Masculin, Cluj, 55008 MUNICIPIUL DEJ, Anul 2004, Numar persoane, 1032
0- 4 ani, Masculin, Cluj, 55008 MUNICIPIUL DEJ, Anul 2005, Numar persoane, 1014
0- 4 ani, Masculin, Cluj, 55008 MUNICIPIUL DEJ, Anul 2006, Numar persoane, 1009
0- 4 ani, Masculin, Cluj, 55008 MUNICIPIUL DEJ, Anul 2007, Numar persoane, 1001
0- 4 ani, Masculin, Cluj, 55008 MUNICIPIUL DEJ, Anul 2008, Numar persoane, 978
0- 4 ani, Masculin, Cluj, 55384 MUNICIPIUL GHERLA, Anul 2001, Numar persoane, 490
0- 4 ani, Masculin, Cluj, 55384 MUNICIPIUL GHERLA, Anul 2002, Numar persoane, 530
0- 4 ani, Masculin, Cluj, 55384 MUNICIPIUL GHERLA, Anul 2003, Numar persoane, 523
0- 4 ani, Masculin, Cluj, 55384 MUNICIPIUL GHERLA, Anul 2004, Numar persoane, 539
0- 4 ani, Masculin, Cluj, 55384 MUNICIPIUL GHERLA, Anul 2005, Numar persoane, 558
0- 4 ani, Masculin, Cluj, 55384 MUNICIPIUL GHERLA, Anul 2006, Numar persoane, 576
0- 4 ani, Masculin, Cluj, 55384 MUNICIPIUL GHERLA, Anul 2007, Numar persoane, 593
0- 4 ani, Masculin, Cluj, 55384 MUNICIPIUL GHERLA, Anul 2008, Numar persoane, 610
0- 4 ani, Masculin, Cluj, 55259 MUNICIPIUL TURDA, Anul 2001, Numar persoane, 1371
0- 4 ani, Masculin, Cluj, 55259 MUNICIPIUL TURDA, Anul 2002, Numar persoane, 1349
0- 4 ani, Masculin, Cluj, 55259 MUNICIPIUL TURDA, Anul 2003, Numar persoane, 1341
0- 4 ani, Masculin, Cluj, 55259 MUNICIPIUL TURDA, Anul 2004, Numar persoane, 1344
0- 4 ani, Masculin, Cluj, 55259 MUNICIPIUL TURDA, Anul 2005, Numar persoane, 1387
0- 4 ani, Masculin, Cluj, 55259 MUNICIPIUL TURDA, Anul 2006, Numar persoane, 1409
0- 4 ani, Masculin, Cluj, 55259 MUNICIPIUL TURDA, Anul 2007, Numar persoane, 1454
0- 4 ani, Masculin, Cluj, 55259 MUNICIPIUL TURDA, Anul 2008, Numar persoane, 1502
0- 4 ani, Masculin, Cluj, 55446 ORAS HUEDIN, Anul 2001, Numar persoane, 262
0- 4 ani, Masculin, Cluj, 55446 ORAS HUEDIN, Anul 2002, Numar persoane, 264
0- 4 ani, Masculin, Cluj, 55446 ORAS HUEDIN, Anul 2003, Numar persoane, 273
0- 4 ani, Masculin, Cluj, 55446 ORAS HUEDIN, Anul 2004, Numar persoane, 266
0- 4 ani, Masculin, Cluj, 55446 ORAS HUEDIN, Anul 2005, Numar persoane, 287
0- 4 ani, Masculin, Cluj, 55446 ORAS HUEDIN, Anul 2006, Numar persoane, 288
0- 4 ani, Masculin, Cluj, 55446 ORAS HUEDIN, Anul 2007, Numar persoane, 285
0- 4 ani, Masculin, Cluj, 55446 ORAS HUEDIN, Anul 2008, Numar persoane, 297
0- 4 ani, Masculin, Cluj, 55473 AGHIRESU, Anul 2001, Numar persoane, 174
0- 4 ani, Masculin, Cluj, 55473 AGHIRESU, Anul 2002, Numar persoane, 167
0- 4 ani, Masculin, Cluj, 55473 AGHIRESU, Anul 2003, Numar persoane, 166
0- 4 ani, Masculin, Cluj, 55473 AGHIRESU, Anul 2004, Numar persoane, 169
0- 4 ani, Masculin, Cluj, 55473 AGHIRESU, Anul 2005, Numar persoane, 171
0- 4 ani, Masculin, Cluj, 55473 AGHIRESU, Anul 2006, Numar persoane, 164
0- 4 ani, Masculin, Cluj, 55473 AGHIRESU, Anul 2007, Numar persoane, 171
0- 4 ani, Masculin, Cluj, 55473 AGHIRESU, Anul 2008, Numar persoane, 167
0- 4 ani, Masculin, Cluj, 55598 AITON, Anul 2001, Numar persoane, 22
0- 4 ani, Masculin, Cluj, 55598 AITON, Anul 2002, Numar persoane, 19
0- 4 ani, Masculin, Cluj, 55598 AITON, Anul 2003, Numar persoane, 16
0- 4 ani, Masculin, Cluj, 55598 AITON, Anul 2004, Numar persoane, 15
0- 4 ani, Masculin, Cluj, 55598 AITON, Anul 2005, Numar persoane, 19
0- 4 ani, Masculin, Cluj, 55598 AITON, Anul 2006, Numar persoane, 20
0- 4 ani, Masculin, Cluj, 55598 AITON, Anul 2007, Numar persoane, 17
0- 4 ani, Masculin, Cluj, 55598 AITON, Anul 2008, Numar persoane, 15
0- 4 ani, Masculin, Cluj, 55623 ALUNIS, Anul 2001, Numar persoane, 36
0- 4 ani, Masculin, Cluj, 55623 ALUNIS, Anul 2002, Numar persoane, 40
0- 4 ani, Masculin, Cluj, 55623 ALUNIS, Anul 2003, Numar persoane, 39
0- 4 ani, Masculin, Cluj, 55623 ALUNIS, Anul 2004, Numar persoane, 40
0- 4 ani, Masculin, Cluj, 55623 ALUNIS, Anul 2005, Numar persoane, 42
0- 4 ani, Masculin, Cluj, 55623 ALUNIS, Anul 2006, Numar persoane, 43
0- 4 ani, Masculin, Cluj, 55623 ALUNIS, Anul 2007, Numar persoane, 41
0- 4 ani, Masculin, Cluj, 55623 ALUNIS, Anul 2008, Numar persoane, 35
0- 4 ani, Masculin, Cluj, 55687 APAHIDA, Anul 2001, Numar persoane, 216
0- 4 ani, Masculin, Cluj, 55687 APAHIDA, Anul 2002, Numar persoane, 216
0- 4 ani, Masculin, Cluj, 55687 APAHIDA, Anul 2003, Numar persoane, 211
0- 4 ani, Masculin, Cluj, 55687 APAHIDA, Anul 2004, Numar persoane, 223
0- 4 ani, Masculin, Cluj, 55687 APAHIDA, Anul 2005, Numar persoane, 230
0- 4 ani, Masculin, Cluj, 55687 APAHIDA, Anul 2006, Numar persoane, 232
0- 4 ani, Masculin, Cluj, 55687 APAHIDA, Anul 2007, Numar persoane, 234
0- 4 ani, Masculin, Cluj, 55687 APAHIDA, Anul 2008, Numar persoane, 251
0- 4 ani, Masculin, Cluj, 55776 ASCHILEU, Anul 2001, Numar persoane, 48
0- 4 ani, Masculin, Cluj, 55776 ASCHILEU, Anul 2002, Numar persoane, 48
0- 4 ani, Masculin, Cluj, 55776 ASCHILEU, Anul 2003, Numar persoane, 51
0- 4 ani, Masculin, Cluj, 55776 ASCHILEU, Anul 2004, Numar persoane, 50
0- 4 ani, Masculin, Cluj, 55776 ASCHILEU, Anul 2005, Numar persoane, 46
0- 4 ani, Masculin, Cluj, 55776 ASCHILEU, Anul 2006, Numar persoane, 49
0- 4 ani, Masculin, Cluj, 55776 ASCHILEU, Anul 2007, Numar persoane, 44
0- 4 ani, Masculin, Cluj, 55776 ASCHILEU, Anul 2008, Numar persoane, 46
0- 4 ani, Masculin, Cluj, 55838 BACIU, Anul 2001, Numar persoane, 219
0- 4 ani, Masculin, Cluj, 55838 BACIU, Anul 2002, Numar persoane, 228
0- 4 ani, Masculin, Cluj, 55838 BACIU, Anul 2003, Numar persoane, 215
0- 4 ani, Masculin, Cluj, 55838 BACIU, Anul 2004, Numar persoane, 217
0- 4 ani, Masculin, Cluj, 55838 BACIU, Anul 2005, Numar persoane, 212
0- 4 ani, Masculin, Cluj, 55838 BACIU, Anul 2006, Numar persoane, 213
0- 4 ani, Masculin, Cluj, 55838 BACIU, Anul 2007, Numar persoane, 201
0- 4 ani, Masculin, Cluj, 55838 BACIU, Anul 2008, Numar persoane, 209
0- 4 ani, Masculin, Cluj, 55918 BAISOARA, Anul 2001, Numar persoane, 52
0- 4 ani, Masculin, Cluj, 55918 BAISOARA, Anul 2002, Numar persoane, 42
0- 4 ani, Masculin, Cluj, 55918 BAISOARA, Anul 2003, Numar persoane, 49
0- 4 ani, Masculin, Cluj, 55918 BAISOARA, Anul 2004, Numar persoane, 52
0- 4 ani, Masculin, Cluj, 55918 BAISOARA, Anul 2005, Numar persoane, 51
0- 4 ani, Masculin, Cluj, 55918 BAISOARA, Anul 2006, Numar persoane, 46
0- 4 ani, Masculin, Cluj, 55918 BAISOARA, Anul 2007, Numar persoane, 50
0- 4 ani, Masculin, Cluj, 55918 BAISOARA, Anul 2008, Numar persoane, 38
0- 4 ani, Masculin, Cluj, 56014 BELIS, Anul 2001, Numar persoane, 25
0- 4 ani, Masculin, Cluj, 56014 BELIS, Anul 2002, Numar persoane, 22
0- 4 ani, Masculin, Cluj, 56014 BELIS, Anul 2003, Numar persoane, 22
0- 4 ani, Masculin, Cluj, 56014 BELIS, Anul 2004, Numar persoane, 23
0- 4 ani, Masculin, Cluj, 56014 BELIS, Anul 2005, Numar persoane, 25
0- 4 ani, Masculin, Cluj, 56014 BELIS, Anul 2006, Numar persoane, 23
0- 4 ani, Masculin, Cluj, 56014 BELIS, Anul 2007, Numar persoane, 26
0- 4 ani, Masculin, Cluj, 56014 BELIS, Anul 2008, Numar persoane, 21
0- 4 ani, Masculin, Cluj, 56096 BOBILNA, Anul 2001, Numar persoane, 42
0- 4 ani, Masculin, Cluj, 56096 BOBILNA, Anul 2002, Numar persoane, 48
0- 4 ani, Masculin, Cluj, 56096 BOBILNA, Anul 2003, Numar persoane, 49
0- 4 ani, Masculin, Cluj, 56096 BOBILNA, Anul 2004, Numar persoane, 48
0- 4 ani, Masculin, Cluj, 56096 BOBILNA, Anul 2005, Numar persoane, 48
0- 4 ani, Masculin, Cluj, 56096 BOBILNA, Anul 2006, Numar persoane, 45
0- 4 ani, Masculin, Cluj, 56096 BOBILNA, Anul 2007, Numar persoane, 37
0- 4 ani, Masculin, Cluj, 56096 BOBILNA, Anul 2008, Numar persoane, 32
0- 4 ani, Masculin, Cluj, 56210 BONTIDA, Anul 2001, Numar persoane, 140
0- 4 ani, Masculin, Cluj, 56210 BONTIDA, Anul 2002, Numar persoane, 134
0- 4 ani, Masculin, Cluj, 56210 BONTIDA, Anul 2003, Numar persoane, 134
0- 4 ani, Masculin, Cluj, 56210 BONTIDA, Anul 2004, Numar persoane, 139
0- 4 ani, Masculin, Cluj, 56210 BONTIDA, Anul 2005, Numar persoane, 139
0- 4 ani, Masculin, Cluj, 56210 BONTIDA, Anul 2006, Numar persoane, 138
0- 4 ani, Masculin, Cluj, 56210 BONTIDA, Anul 2007, Numar persoane, 152
0- 4 ani, Masculin, Cluj, 56210 BONTIDA, Anul 2008, Numar persoane, 157
0- 4 ani, Masculin, Cluj, 56265 BORSA, Anul 2001, Numar persoane, 51
0- 4 ani, Masculin, Cluj, 56265 BORSA, Anul 2002, Numar persoane, 46
