
Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
0- 4 ani, Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1999, Numar persoane, 6724
0- 4 ani, Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2000, Numar persoane, 6605
0- 4 ani, Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2001, Numar persoane, 6547
0- 4 ani, Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2002, Numar persoane, 6539
0- 4 ani, Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2003, Numar persoane, 6443
0- 4 ani, Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2004, Numar persoane, 6521
0- 4 ani, Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2005, Numar persoane, 6684
0- 4 ani, Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2006, Numar persoane, 6865
0- 4 ani, Masculin, Timis, 155350 MUNICIPIUL LUGOJ, Anul 1999, Numar persoane, 1111
0- 4 ani, Masculin, Timis, 155350 MUNICIPIUL LUGOJ, Anul 2000, Numar persoane, 1109
0- 4 ani, Masculin, Timis, 155350 MUNICIPIUL LUGOJ, Anul 2001, Numar persoane, 1128
0- 4 ani, Masculin, Timis, 155350 MUNICIPIUL LUGOJ, Anul 2002, Numar persoane, 1105
0- 4 ani, Masculin, Timis, 155350 MUNICIPIUL LUGOJ, Anul 2003, Numar persoane, 1050
0- 4 ani, Masculin, Timis, 155350 MUNICIPIUL LUGOJ, Anul 2004, Numar persoane, 1029
0- 4 ani, Masculin, Timis, 155350 MUNICIPIUL LUGOJ, Anul 2005, Numar persoane, 982
0- 4 ani, Masculin, Timis, 155350 MUNICIPIUL LUGOJ, Anul 2006, Numar persoane, 1002
0- 4 ani, Masculin, Timis, 155403 ORAS BUZIAS, Anul 1999, Numar persoane, 220
0- 4 ani, Masculin, Timis, 155403 ORAS BUZIAS, Anul 2000, Numar persoane, 219
0- 4 ani, Masculin, Timis, 155403 ORAS BUZIAS, Anul 2001, Numar persoane, 222
