
Judete, Localitati , Ani, UM: Numar, Valoare
Bihor, TOTAL, Anul 1990, Numar, 5010
Bihor, TOTAL, Anul 1991, Numar, 4691
Bihor, TOTAL, Anul 1992, Numar, 4474
Bihor, TOTAL, Anul 1993, Numar, 4148
Bihor, TOTAL, Anul 1994, Numar, 4073
Bihor, TOTAL, Anul 1995, Numar, 4230
Bihor, TOTAL, Anul 1996, Numar, 3918
Bihor, TOTAL, Anul 1997, Numar, 3817
Bihor, TOTAL, Anul 1998, Numar, 3871
Bihor, TOTAL, Anul 1999, Numar, 3724
Bihor, TOTAL, Anul 2000, Numar, 3737
Bihor, TOTAL, Anul 2001, Numar, 3496
Bihor, TOTAL, Anul 2002, Numar, 3534
Bihor, TOTAL, Anul 2003, Numar, 3535
Bihor, TOTAL, Anul 2004, Numar, 3782
Bihor, TOTAL, Anul 2005, Numar, 3808
Bihor, TOTAL, Anul 2006, Numar, 3898
Bihor, TOTAL, Anul 2007, Numar, 6072
Bihor, TOTAL, Anul 2008, Numar, 4133
Bihor, TOTAL, Anul 2009, Numar, 3760
Bihor, TOTAL, Anul 2010, Numar, 3395
Bihor, TOTAL, Anul 2011, Numar, 3101
Bihor, TOTAL, Anul 2012, Numar, 3127
Bihor, TOTAL, Anul 2013, Numar, 3032
Bihor, TOTAL, Anul 2014, Numar, 3195
Bihor, TOTAL, Anul 2015, Numar, 3559
Bihor, TOTAL, Anul 2016, Numar, 3632
Brasov, TOTAL, Anul 1990, Numar, 5338
Brasov, TOTAL, Anul 1991, Numar, 4797
Brasov, TOTAL, Anul 1992, Numar, 4588
Brasov, TOTAL, Anul 1993, Numar, 4386
Brasov, TOTAL, Anul 1994, Numar, 4036
Brasov, TOTAL, Anul 1995, Numar, 4025
Brasov, TOTAL, Anul 1996, Numar, 4270
Brasov, TOTAL, Anul 1997, Numar, 3982
Brasov, TOTAL, Anul 1998, Numar, 4063
Brasov, TOTAL, Anul 1999, Numar, 3894
Brasov, TOTAL, Anul 2000, Numar, 3948
Brasov, TOTAL, Anul 2001, Numar, 3767
Brasov, TOTAL, Anul 2002, Numar, 3577
Brasov, TOTAL, Anul 2003, Numar, 3801
Brasov, TOTAL, Anul 2004, Numar, 3916
Brasov, TOTAL, Anul 2005, Numar, 3881
Brasov, TOTAL, Anul 2006, Numar, 4085
Brasov, TOTAL, Anul 2007, Numar, 5861
Brasov, TOTAL, Anul 2008, Numar, 4194
Brasov, TOTAL, Anul 2009, Numar, 3997
Brasov, TOTAL, Anul 2010, Numar, 3618
Brasov, TOTAL, Anul 2011, Numar, 3330
Brasov, TOTAL, Anul 2012, Numar, 3280
Brasov, TOTAL, Anul 2013, Numar, 3342
Brasov, TOTAL, Anul 2014, Numar, 3420
Brasov, TOTAL, Anul 2015, Numar, 3580
Brasov, TOTAL, Anul 2016, Numar, 3864
Cluj, TOTAL, Anul 1990, Numar, 5614
Cluj, TOTAL, Anul 1991, Numar, 5433
Cluj, TOTAL, Anul 1992, Numar, 5123
Cluj, TOTAL, Anul 1993, Numar, 4919
Cluj, TOTAL, Anul 1994, Numar, 4741
Cluj, TOTAL, Anul 1995, Numar, 4826
Cluj, TOTAL, Anul 1996, Numar, 4633
Cluj, TOTAL, Anul 1997, Numar, 4495
Cluj, TOTAL, Anul 1998, Numar, 4587
Cluj, TOTAL, Anul 1999, Numar, 4618
Cluj, TOTAL, Anul 2000, Numar, 4283
Cluj, TOTAL, Anul 2001, Numar, 4138
Cluj, TOTAL, Anul 2002, Numar, 3933
Cluj, TOTAL, Anul 2003, Numar, 4078
Cluj, TOTAL, Anul 2004, Numar, 4669
Cluj, TOTAL, Anul 2005, Numar, 4503
Cluj, TOTAL, Anul 2006, Numar, 4748
Cluj, TOTAL, Anul 2007, Numar, 5249
Cluj, TOTAL, Anul 2008, Numar, 4577
Cluj, TOTAL, Anul 2009, Numar, 4451
Cluj, TOTAL, Anul 2010, Numar, 4093
Cluj, TOTAL, Anul 2011, Numar, 3780
Cluj, TOTAL, Anul 2012, Numar, 3967
Cluj, TOTAL, Anul 2013, Numar, 4088
Cluj, TOTAL, Anul 2014, Numar, 5083
Cluj, TOTAL, Anul 2015, Numar, 5019
Cluj, TOTAL, Anul 2016, Numar, 5091
Covasna, TOTAL, Anul 1990, Numar, 1589
Covasna, TOTAL, Anul 1991, Numar, 1496
Covasna, TOTAL, Anul 1992, Numar, 1502
Covasna, TOTAL, Anul 1993, Numar, 1289
Covasna, TOTAL, Anul 1994, Numar, 1271
Covasna, TOTAL, Anul 1995, Numar, 1465
Covasna, TOTAL, Anul 1996, Numar, 1461
Covasna, TOTAL, Anul 1997, Numar, 1343
Covasna, TOTAL, Anul 1998, Numar, 1294
Covasna, TOTAL, Anul 1999, Numar, 1275
Covasna, TOTAL, Anul 2000, Numar, 1195
Covasna, TOTAL, Anul 2001, Numar, 1198
Covasna, TOTAL, Anul 2002, Numar, 1127
Covasna, TOTAL, Anul 2003, Numar, 1221
Covasna, TOTAL, Anul 2004, Numar, 1299
Covasna, TOTAL, Anul 2005, Numar, 1276
Covasna, TOTAL, Anul 2006, Numar, 1348
Covasna, TOTAL, Anul 2007, Numar, 2366
Covasna, TOTAL, Anul 2008, Numar, 1312
Covasna, TOTAL, Anul 2009, Numar, 1287
Covasna, TOTAL, Anul 2010, Numar, 1063
Covasna, TOTAL, Anul 2011, Numar, 860
Covasna, TOTAL, Anul 2012, Numar, 872
Covasna, TOTAL, Anul 2013, Numar, 982
Covasna, TOTAL, Anul 2014, Numar, 1016
Covasna, TOTAL, Anul 2015, Numar, 1042
Covasna, TOTAL, Anul 2016, Numar, 1084
Harghita, TOTAL, Anul 1990, Numar, 2388
Harghita, TOTAL, Anul 1991, Numar, 2090
Harghita, TOTAL, Anul 1992, Numar, 2043
Harghita, TOTAL, Anul 1993, Numar, 1832
Harghita, TOTAL, Anul 1994, Numar, 1812
Harghita, TOTAL, Anul 1995, Numar, 1848
Harghita, TOTAL, Anul 1996, Numar, 1873
Harghita, TOTAL, Anul 1997, Numar, 1872
Harghita, TOTAL, Anul 1998, Numar, 1838
Harghita, TOTAL, Anul 1999, Numar, 1811
Harghita, TOTAL, Anul 2000, Numar, 1585
Harghita, TOTAL, Anul 2001, Numar, 1560
Harghita, TOTAL, Anul 2002, Numar, 1487
Harghita, TOTAL, Anul 2003, Numar, 1583
Harghita, TOTAL, Anul 2004, Numar, 1720
Harghita, TOTAL, Anul 2005, Numar, 1679
Harghita, TOTAL, Anul 2006, Numar, 1698
Harghita, TOTAL, Anul 2007, Numar, 2403
Harghita, TOTAL, Anul 2008, Numar, 1745
Harghita, TOTAL, Anul 2009, Numar, 1660
Harghita, TOTAL, Anul 2010, Numar, 1503
Harghita, TOTAL, Anul 2011, Numar, 1345
Harghita, TOTAL, Anul 2012, Numar, 1302
Harghita, TOTAL, Anul 2013, Numar, 1364
Harghita, TOTAL, Anul 2014, Numar, 1433
Harghita, TOTAL, Anul 2015, Numar, 1498
Harghita, TOTAL, Anul 2016, Numar, 1499
Mures, TOTAL, Anul 1990, Numar, 4750
Mures, TOTAL, Anul 1991, Numar, 4578
Mures, TOTAL, Anul 1992, Numar, 4360
Mures, TOTAL, Anul 1993, Numar, 3900
Mures, TOTAL, Anul 1994, Numar, 3614
Mures, TOTAL, Anul 1995, Numar, 3855
Mures, TOTAL, Anul 1996, Numar, 3835
Mures, TOTAL, Anul 1997, Numar, 3752
Mures, TOTAL, Anul 1998, Numar, 3692
Mures, TOTAL, Anul 1999, Numar, 3483
Mures, TOTAL, Anul 2000, Numar, 3390
Mures, TOTAL, Anul 2001, Numar, 3133
Mures, TOTAL, Anul 2002, Numar, 2994
Mures, TOTAL, Anul 2003, Numar, 3103
Mures, TOTAL, Anul 2004, Numar, 3445
Mures, TOTAL, Anul 2005, Numar, 3470
Mures, TOTAL, Anul 2006, Numar, 3109
Mures, TOTAL, Anul 2007, Numar, 5807
Mures, TOTAL, Anul 2008, Numar, 3574
Mures, TOTAL, Anul 2009, Numar, 3193
Mures, TOTAL, Anul 2010, Numar, 2906
Mures, TOTAL, Anul 2011, Numar, 2536
Mures, TOTAL, Anul 2012, Numar, 2506
Mures, TOTAL, Anul 2013, Numar, 2516
Mures, TOTAL, Anul 2014, Numar, 2671
Mures, TOTAL, Anul 2015, Numar, 2887
Mures, TOTAL, Anul 2016, Numar, 3086
Satu Mare, TOTAL, Anul 1990, Numar, 3232
Satu Mare, TOTAL, Anul 1991, Numar, 3161
Satu Mare, TOTAL, Anul 1992, Numar, 3160
Satu Mare, TOTAL, Anul 1993, Numar, 2747
Satu Mare, TOTAL, Anul 1994, Numar, 2683
Satu Mare, TOTAL, Anul 1995, Numar, 2646
Satu Mare, TOTAL, Anul 1996, Numar, 2735
Satu Mare, TOTAL, Anul 1997, Numar, 2761
Satu Mare, TOTAL, Anul 1998, Numar, 2594
Satu Mare, TOTAL, Anul 1999, Numar, 2591
Satu Mare, TOTAL, Anul 2000, Numar, 2581
Satu Mare, TOTAL, Anul 2001, Numar, 2464
Satu Mare, TOTAL, Anul 2002, Numar, 2675
Satu Mare, TOTAL, Anul 2003, Numar, 2551
Satu Mare, TOTAL, Anul 2004, Numar, 2696
Satu Mare, TOTAL, Anul 2005, Numar, 2491
Satu Mare, TOTAL, Anul 2006, Numar, 2466
Satu Mare, TOTAL, Anul 2007, Numar, 3452
Satu Mare, TOTAL, Anul 2008, Numar, 2561
Satu Mare, TOTAL, Anul 2009, Numar, 2449
Satu Mare, TOTAL, Anul 2010, Numar, 2296
Satu Mare, TOTAL, Anul 2011, Numar, 2085
Satu Mare, TOTAL, Anul 2012, Numar, 2108
Satu Mare, TOTAL, Anul 2013, Numar, 2123
Satu Mare, TOTAL, Anul 2014, Numar, 2112
Satu Mare, TOTAL, Anul 2015, Numar, 2186
Satu Mare, TOTAL, Anul 2016, Numar, 2230
Timis, TOTAL, Anul 1990, Numar, 6404
Timis, TOTAL, Anul 1991, Numar, 5965
Timis, TOTAL, Anul 1992, Numar, 5243
Timis, TOTAL, Anul 1993, Numar, 4822
Timis, TOTAL, Anul 1994, Numar, 4311
Timis, TOTAL, Anul 1995, Numar, 4310
Timis, TOTAL, Anul 1996, Numar, 4387
Timis, TOTAL, Anul 1997, Numar, 4349
Timis, TOTAL, Anul 1998, Numar, 4207
Timis, TOTAL, Anul 1999, Numar, 3773
Timis, TOTAL, Anul 2000, Numar, 4116
Timis, TOTAL, Anul 2001, Numar, 4116
Timis, TOTAL, Anul 2002, Numar, 4389
Timis, TOTAL, Anul 2003, Numar, 4460
Timis, TOTAL, Anul 2004, Numar, 4999
Timis, TOTAL, Anul 2005, Numar, 5104
Timis, TOTAL, Anul 2006, Numar, 5341
Timis, TOTAL, Anul 2007, Numar, 5269
Timis, TOTAL, Anul 2008, Numar, 5153
Timis, TOTAL, Anul 2009, Numar, 4730
Timis, TOTAL, Anul 2010, Numar, 4377
Timis, TOTAL, Anul 2011, Numar, 4086
Timis, TOTAL, Anul 2012, Numar, 4420
Timis, TOTAL, Anul 2013, Numar, 4470
Timis, TOTAL, Anul 2014, Numar, 4717
Timis, TOTAL, Anul 2015, Numar, 5172
Timis, TOTAL, Anul 2016, Numar, 5530
