
Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
0- 4 ani, Masculin, Bihor, 32027 ORAS VALEA LUI MIHAI, Anul 2012, Numar persoane, 290
0- 4 ani, Masculin, Bihor, 27007 ORAS VASCAU, Anul 2007, Numar persoane, 50
0- 4 ani, Masculin, Bihor, 27007 ORAS VASCAU, Anul 2008, Numar persoane, 50
0- 4 ani, Masculin, Bihor, 27007 ORAS VASCAU, Anul 2009, Numar persoane, 56
0- 4 ani, Masculin, Bihor, 27007 ORAS VASCAU, Anul 2010, Numar persoane, 56
0- 4 ani, Masculin, Bihor, 27007 ORAS VASCAU, Anul 2011, Numar persoane, 58
0- 4 ani, Masculin, Bihor, 27007 ORAS VASCAU, Anul 2012, Numar persoane, 46
0- 4 ani, Masculin, Bihor, 27070 ABRAM, Anul 2007, Numar persoane, 91
0- 4 ani, Masculin, Bihor, 27070 ABRAM, Anul 2008, Numar persoane, 92
0- 4 ani, Masculin, Bihor, 27070 ABRAM, Anul 2009, Numar persoane, 99
0- 4 ani, Masculin, Bihor, 27070 ABRAM, Anul 2010, Numar persoane, 101
0- 4 ani, Masculin, Bihor, 27070 ABRAM, Anul 2011, Numar persoane, 93
0- 4 ani, Masculin, Bihor, 27070 ABRAM, Anul 2012, Numar persoane, 78
0- 4 ani, Masculin, Bihor, 27169 ABRAMUT, Anul 2007, Numar persoane, 111
0- 4 ani, Masculin, Bihor, 27169 ABRAMUT, Anul 2008, Numar persoane, 97
0- 4 ani, Masculin, Bihor, 27169 ABRAMUT, Anul 2009, Numar persoane, 83
0- 4 ani, Masculin, Bihor, 27169 ABRAMUT, Anul 2010, Numar persoane, 82
0- 4 ani, Masculin, Bihor, 27169 ABRAMUT, Anul 2011, Numar persoane, 82
0- 4 ani, Masculin, Bihor, 27169 ABRAMUT, Anul 2012, Numar persoane, 83
0- 4 ani, Masculin, Bihor, 26742 ASTILEU, Anul 2007, Numar persoane, 90
0- 4 ani, Masculin, Bihor, 26742 ASTILEU, Anul 2008, Numar persoane, 97
0- 4 ani, Masculin, Bihor, 26742 ASTILEU, Anul 2009, Numar persoane, 107
0- 4 ani, Masculin, Bihor, 26742 ASTILEU, Anul 2010, Numar persoane, 106
0- 4 ani, Masculin, Bihor, 26742 ASTILEU, Anul 2011, Numar persoane, 98
0- 4 ani, Masculin, Bihor, 26742 ASTILEU, Anul 2012, Numar persoane, 100
0- 4 ani, Masculin, Bihor, 27212 AUSEU, Anul 2007, Numar persoane, 89
0- 4 ani, Masculin, Bihor, 27212 AUSEU, Anul 2008, Numar persoane, 90
0- 4 ani, Masculin, Bihor, 27212 AUSEU, Anul 2009, Numar persoane, 91
0- 4 ani, Masculin, Bihor, 27212 AUSEU, Anul 2010, Numar persoane, 88
0- 4 ani, Masculin, Bihor, 27212 AUSEU, Anul 2011, Numar persoane, 82
0- 4 ani, Masculin, Bihor, 27212 AUSEU, Anul 2012, Numar persoane, 75
0- 4 ani, Masculin, Bihor, 27285 AVRAM IANCU, Anul 2007, Numar persoane, 106
0- 4 ani, Masculin, Bihor, 27285 AVRAM IANCU, Anul 2008, Numar persoane, 111
0- 4 ani, Masculin, Bihor, 27285 AVRAM IANCU, Anul 2009, Numar persoane, 117
0- 4 ani, Masculin, Bihor, 27285 AVRAM IANCU, Anul 2010, Numar persoane, 123
0- 4 ani, Masculin, Bihor, 27285 AVRAM IANCU, Anul 2011, Numar persoane, 121
0- 4 ani, Masculin, Bihor, 27285 AVRAM IANCU, Anul 2012, Numar persoane, 114
0- 4 ani, Masculin, Bihor, 27329 BALC, Anul 2007, Numar persoane, 107
0- 4 ani, Masculin, Bihor, 27329 BALC, Anul 2008, Numar persoane, 119
0- 4 ani, Masculin, Bihor, 27329 BALC, Anul 2009, Numar persoane, 119
0- 4 ani, Masculin, Bihor, 27329 BALC, Anul 2010, Numar persoane, 115
0- 4 ani, Masculin, Bihor, 27329 BALC, Anul 2011, Numar persoane, 110
0- 4 ani, Masculin, Bihor, 27329 BALC, Anul 2012, Numar persoane, 105
0- 4 ani, Masculin, Bihor, 27383 BATAR, Anul 2007, Numar persoane, 214
0- 4 ani, Masculin, Bihor, 27383 BATAR, Anul 2008, Numar persoane, 238
0- 4 ani, Masculin, Bihor, 27383 BATAR, Anul 2009, Numar persoane, 233
0- 4 ani, Masculin, Bihor, 27383 BATAR, Anul 2010, Numar persoane, 244
0- 4 ani, Masculin, Bihor, 27383 BATAR, Anul 2011, Numar persoane, 235
0- 4 ani, Masculin, Bihor, 27383 BATAR, Anul 2012, Numar persoane, 213
0- 4 ani, Masculin, Bihor, 27436 BIHARIA, Anul 2007, Numar persoane, 85
0- 4 ani, Masculin, Bihor, 27436 BIHARIA, Anul 2008, Numar persoane, 86
0- 4 ani, Masculin, Bihor, 27436 BIHARIA, Anul 2009, Numar persoane, 79
0- 4 ani, Masculin, Bihor, 27436 BIHARIA, Anul 2010, Numar persoane, 83
0- 4 ani, Masculin, Bihor, 27436 BIHARIA, Anul 2011, Numar persoane, 108
0- 4 ani, Masculin, Bihor, 27436 BIHARIA, Anul 2012, Numar persoane, 112
0- 4 ani, Masculin, Bihor, 27506 BOIANU MARE, Anul 2007, Numar persoane, 52
0- 4 ani, Masculin, Bihor, 27506 BOIANU MARE, Anul 2008, Numar persoane, 46
0- 4 ani, Masculin, Bihor, 27506 BOIANU MARE, Anul 2009, Numar persoane, 52
0- 4 ani, Masculin, Bihor, 27506 BOIANU MARE, Anul 2010, Numar persoane, 43
0- 4 ani, Masculin, Bihor, 27506 BOIANU MARE, Anul 2011, Numar persoane, 39
0- 4 ani, Masculin, Bihor, 27506 BOIANU MARE, Anul 2012, Numar persoane, 33
0- 4 ani, Masculin, Bihor, 27560 BOROD, Anul 2007, Numar persoane, 135
