
Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
0- 4 ani, Feminin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1992, Numar persoane, 5110
0- 4 ani, Feminin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1993, Numar persoane, 4892
0- 4 ani, Feminin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1994, Numar persoane, 4456
0- 4 ani, Feminin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1995, Numar persoane, 4080
0- 4 ani, Feminin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1996, Numar persoane, 3688
0- 4 ani, Feminin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1997, Numar persoane, 3565
0- 4 ani, Feminin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1998, Numar persoane, 3369
0- 4 ani, Feminin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1999, Numar persoane, 3316
0- 4 ani, Feminin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2000, Numar persoane, 3215
0- 4 ani, Feminin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2001, Numar persoane, 3313
0- 4 ani, Feminin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2002, Numar persoane, 3292
0- 4 ani, Feminin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2003, Numar persoane, 3312
0- 4 ani, Feminin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2004, Numar persoane, 3264
0- 4 ani, Feminin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2005, Numar persoane, 3306
0- 4 ani, Feminin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2006, Numar persoane, 3351
0- 4 ani, Feminin, Mures, 114809 MUNICIPIUL REGHIN, Anul 1992, Numar persoane, 1565
0- 4 ani, Feminin, Mures, 114809 MUNICIPIUL REGHIN, Anul 1993, Numar persoane, 1386
0- 4 ani, Feminin, Mures, 114809 MUNICIPIUL REGHIN, Anul 1994, Numar persoane, 1260
0- 4 ani, Feminin, Mures, 114809 MUNICIPIUL REGHIN, Anul 1995, Numar persoane, 1108
0- 4 ani, Feminin, Mures, 114809 MUNICIPIUL REGHIN, Anul 1996, Numar persoane, 940
0- 4 ani, Feminin, Mures, 114809 MUNICIPIUL REGHIN, Anul 1997, Numar persoane, 885
0- 4 ani, Feminin, Mures, 114809 MUNICIPIUL REGHIN, Anul 1998, Numar persoane, 884
0- 4 ani, Feminin, Mures, 114809 MUNICIPIUL REGHIN, Anul 1999, Numar persoane, 872
0- 4 ani, Feminin, Mures, 114809 MUNICIPIUL REGHIN, Anul 2000, Numar persoane, 858
0- 4 ani, Feminin, Mures, 114809 MUNICIPIUL REGHIN, Anul 2001, Numar persoane, 882
0- 4 ani, Feminin, Mures, 114809 MUNICIPIUL REGHIN, Anul 2002, Numar persoane, 887
0- 4 ani, Feminin, Mures, 114809 MUNICIPIUL REGHIN, Anul 2003, Numar persoane, 900
0- 4 ani, Feminin, Mures, 114809 MUNICIPIUL REGHIN, Anul 2004, Numar persoane, 904
0- 4 ani, Feminin, Mures, 114809 MUNICIPIUL REGHIN, Anul 2005, Numar persoane, 937
0- 4 ani, Feminin, Mures, 114809 MUNICIPIUL REGHIN, Anul 2006, Numar persoane, 982
0- 4 ani, Feminin, Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 1992, Numar persoane, 1430
0- 4 ani, Feminin, Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 1993, Numar persoane, 1320
0- 4 ani, Feminin, Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 1994, Numar persoane, 1199
0- 4 ani, Feminin, Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 1995, Numar persoane, 1081
0- 4 ani, Feminin, Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 1996, Numar persoane, 982
0- 4 ani, Feminin, Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 1997, Numar persoane, 918
0- 4 ani, Feminin, Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 1998, Numar persoane, 887
0- 4 ani, Feminin, Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 1999, Numar persoane, 867
0- 4 ani, Feminin, Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2000, Numar persoane, 863
