
Grupe de varsta a sotului , Grupa de varsta a sotiei, Ani, UM: Numar, Valoare
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2004, Numar, 6
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2005, Numar, 6
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2006, Numar, 4
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2007, Numar, 9
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2008, Numar, 2
Varsta sotului sub 20 ani, Varsta sotiei 25-29 ani, Anul 2011, Numar, 1
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 1990, Numar, 2
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 1991, Numar, 1
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 1993, Numar, 2
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 1998, Numar, 1
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2000, Numar, 2
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2001, Numar, 2
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2003, Numar, 1
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2004, Numar, 3
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2005, Numar, 4
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2006, Numar, 6
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2007, Numar, 3
Varsta sotului sub 20 ani, Varsta sotiei 30-34 ani, Anul 2008, Numar, 2
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 2003, Numar, 1
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 2005, Numar, 1
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 2006, Numar, 1
Varsta sotului sub 20 ani, Varsta sotiei 35-39 ani, Anul 2011, Numar, 1
Varsta sotului sub 20 ani, Varsta sotiei 40-44 ani, Anul 2003, Numar, 1
Varsta sotului sub 20 ani, Varsta sotiei 40-44 ani, Anul 2005, Numar, 1
Varsta sotului sub 20 ani, Varsta sotiei 60 ani si peste, Anul 1990, Numar, 1
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 1990, Numar, 399
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 1991, Numar, 511
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 1992, Numar, 416
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 1993, Numar, 848
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 1994, Numar, 652
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 1995, Numar, 533
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 1996, Numar, 495
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 1997, Numar, 442
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 1998, Numar, 457
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 1999, Numar, 390
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2000, Numar, 321
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2001, Numar, 253
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2002, Numar, 208
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2003, Numar, 190
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2004, Numar, 183
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2005, Numar, 186
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2006, Numar, 183
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2007, Numar, 188
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2008, Numar, 180
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2009, Numar, 119
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2010, Numar, 78
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2011, Numar, 73
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2012, Numar, 46
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2013, Numar, 41
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2014, Numar, 28
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2015, Numar, 23
Varsta sotului 20-24 ani, Varsta sotiei sub 20 ani, Anul 2016, Numar, 20
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 1990, Numar, 2073
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 1991, Numar, 2934
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 1992, Numar, 2544
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 1993, Numar, 3078
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 1994, Numar, 2294
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 1995, Numar, 1913
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 1996, Numar, 1732
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 1997, Numar, 1538
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 1998, Numar, 1668
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 1999, Numar, 1533
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2000, Numar, 1238
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2001, Numar, 1066
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2002, Numar, 885
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2003, Numar, 781
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2004, Numar, 665
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2005, Numar, 612
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2006, Numar, 560
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2007, Numar, 481
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2008, Numar, 556
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2009, Numar, 566
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2010, Numar, 589
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2011, Numar, 628
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2012, Numar, 427
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2013, Numar, 289
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2014, Numar, 249
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2015, Numar, 213
Varsta sotului 20-24 ani, Varsta sotiei 20-24 ani, Anul 2016, Numar, 198
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 1990, Numar, 184
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 1991, Numar, 261
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 1992, Numar, 301
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 1993, Numar, 426
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 1994, Numar, 512
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 1995, Numar, 404
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 1996, Numar, 369
Varsta sotului 20-24 ani, Varsta sotiei 25-29 ani, Anul 1997, Numar, 285
