
Judete, Localitati , Ani, UM: Numar persoane, Valoare
Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2002, Numar persoane, 402
Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2003, Numar persoane, 382
Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2004, Numar persoane, 352
Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2005, Numar persoane, 354
Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2006, Numar persoane, 370
Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2007, Numar persoane, 382
Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2008, Numar persoane, 353
Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2009, Numar persoane, 340
Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2010, Numar persoane, 413
Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2011, Numar persoane, 380
Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2012, Numar persoane, 339
Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2013, Numar persoane, 390
Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2014, Numar persoane, 374
Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2015, Numar persoane, 356
Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2016, Numar persoane, 385
Brasov, 40438 MUNICIPIUL SACELE, Anul 1990, Numar persoane, 258
Brasov, 40438 MUNICIPIUL SACELE, Anul 1991, Numar persoane, 286
Brasov, 40438 MUNICIPIUL SACELE, Anul 1992, Numar persoane, 287
Brasov, 40438 MUNICIPIUL SACELE, Anul 1993, Numar persoane, 309
Brasov, 40438 MUNICIPIUL SACELE, Anul 1994, Numar persoane, 306
Brasov, 40438 MUNICIPIUL SACELE, Anul 1995, Numar persoane, 251
Brasov, 40438 MUNICIPIUL SACELE, Anul 1996, Numar persoane, 273
Brasov, 40438 MUNICIPIUL SACELE, Anul 1997, Numar persoane, 271
