
Judete, Localitati , Ani, UM: Numar persoane, Valoare
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1990, Numar persoane, 1105
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1991, Numar persoane, 1188
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1992, Numar persoane, 1283
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1993, Numar persoane, 1300
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1994, Numar persoane, 1308
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1995, Numar persoane, 1323
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1996, Numar persoane, 1299
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1997, Numar persoane, 1386
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1998, Numar persoane, 1309
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 1999, Numar persoane, 1290
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2000, Numar persoane, 1348
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2001, Numar persoane, 1310
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2002, Numar persoane, 1381
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2003, Numar persoane, 1295
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2004, Numar persoane, 1302
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2005, Numar persoane, 1234
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2006, Numar persoane, 1208
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2007, Numar persoane, 1179
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2008, Numar persoane, 1240
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2009, Numar persoane, 1250
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2010, Numar persoane, 1227
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2011, Numar persoane, 1222
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2012, Numar persoane, 1146
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2013, Numar persoane, 1224
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2014, Numar persoane, 1221
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2015, Numar persoane, 1221
Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2016, Numar persoane, 1221
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1990, Numar persoane, 309
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1991, Numar persoane, 304
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1992, Numar persoane, 349
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1993, Numar persoane, 316
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1994, Numar persoane, 323
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1995, Numar persoane, 370
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1996, Numar persoane, 357
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1997, Numar persoane, 329
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1998, Numar persoane, 287
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 1999, Numar persoane, 302
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2000, Numar persoane, 312
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2001, Numar persoane, 323
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2002, Numar persoane, 306
Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2003, Numar persoane, 360
