
Judete, Localitati , Ani, UM: Numar, Valoare
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1990, Numar, 1015
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1991, Numar, 1251
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1992, Numar, 1291
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1993, Numar, 826
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1994, Numar, 1488
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1995, Numar, 921
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1996, Numar, 921
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1997, Numar, 815
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1998, Numar, 957
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1999, Numar, 527
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2000, Numar, 342
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2001, Numar, 371
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2002, Numar, 589
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2003, Numar, 521
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2004, Numar, 665
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2005, Numar, 634
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2006, Numar, 350
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2007, Numar, 840
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2008, Numar, 248
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2009, Numar, 247
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2010, Numar, 163
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2011, Numar, 353
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2012, Numar, 412
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2013, Numar, 321
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2014, Numar, 504
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2015, Numar, 658
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2016, Numar, 706
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1990, Numar, 99
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1991, Numar, 121
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1992, Numar, 95
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1993, Numar, 119
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1994, Numar, 168
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1995, Numar, 125
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1996, Numar, 132
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1997, Numar, 153
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1998, Numar, 143
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1999, Numar, 121
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2000, Numar, 98
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2001, Numar, 107
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2002, Numar, 133
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2003, Numar, 139
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2004, Numar, 152
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2005, Numar, 114
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2006, Numar, 128
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2007, Numar, 114
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2008, Numar, 137
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2009, Numar, 96
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2010, Numar, 146
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2011, Numar, 134
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2012, Numar, 108
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2013, Numar, 93
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2014, Numar, 68
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2015, Numar, 104
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2016, Numar, 125
Timis, 155403 ORAS BUZIAS, Anul 1990, Numar, 9
Timis, 155403 ORAS BUZIAS, Anul 1991, Numar, 8
Timis, 155403 ORAS BUZIAS, Anul 1992, Numar, 12
Timis, 155403 ORAS BUZIAS, Anul 1993, Numar, 18
Timis, 155403 ORAS BUZIAS, Anul 1994, Numar, 18
Timis, 155403 ORAS BUZIAS, Anul 1995, Numar, 16
Timis, 155403 ORAS BUZIAS, Anul 1996, Numar, 15
Timis, 155403 ORAS BUZIAS, Anul 1997, Numar, 17
Timis, 155403 ORAS BUZIAS, Anul 1998, Numar, 19
Timis, 155403 ORAS BUZIAS, Anul 1999, Numar, 8
Timis, 155403 ORAS BUZIAS, Anul 2000, Numar, 13
Timis, 155403 ORAS BUZIAS, Anul 2001, Numar, 10
Timis, 155403 ORAS BUZIAS, Anul 2002, Numar, 16
Timis, 155403 ORAS BUZIAS, Anul 2003, Numar, 18
Timis, 155403 ORAS BUZIAS, Anul 2004, Numar, 25
Timis, 155403 ORAS BUZIAS, Anul 2005, Numar, 22
Timis, 155403 ORAS BUZIAS, Anul 2006, Numar, 25
Timis, 155403 ORAS BUZIAS, Anul 2007, Numar, 38
Timis, 155403 ORAS BUZIAS, Anul 2008, Numar, 21
Timis, 155403 ORAS BUZIAS, Anul 2009, Numar, 10
Timis, 155403 ORAS BUZIAS, Anul 2010, Numar, 16
Timis, 155403 ORAS BUZIAS, Anul 2011, Numar, 19
Timis, 155403 ORAS BUZIAS, Anul 2012, Numar, 15
Timis, 155403 ORAS BUZIAS, Anul 2013, Numar, 14
Timis, 155403 ORAS BUZIAS, Anul 2014, Numar, 10
Timis, 155403 ORAS BUZIAS, Anul 2015, Numar, 13
Timis, 155403 ORAS BUZIAS, Anul 2016, Numar, 11
Timis, 156357 ORAS CIACOVA, Anul 1990, Numar, 9
Timis, 156357 ORAS CIACOVA, Anul 1991, Numar, 6
Timis, 156357 ORAS CIACOVA, Anul 1992, Numar, 9
Timis, 156357 ORAS CIACOVA, Anul 1993, Numar, 12
Timis, 156357 ORAS CIACOVA, Anul 1994, Numar, 9
Timis, 156357 ORAS CIACOVA, Anul 1995, Numar, 7
Timis, 156357 ORAS CIACOVA, Anul 1996, Numar, 9
Timis, 156357 ORAS CIACOVA, Anul 1997, Numar, 9
Timis, 156357 ORAS CIACOVA, Anul 1998, Numar, 8
Timis, 156357 ORAS CIACOVA, Anul 1999, Numar, 1
Timis, 156357 ORAS CIACOVA, Anul 2000, Numar, 5
Timis, 156357 ORAS CIACOVA, Anul 2001, Numar, 2
Timis, 156357 ORAS CIACOVA, Anul 2002, Numar, 4
Timis, 156357 ORAS CIACOVA, Anul 2003, Numar, 9
