
Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
0- 4 ani, Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2004, Numar persoane, 2913
0- 4 ani, Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2005, Numar persoane, 2959
0- 4 ani, Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2006, Numar persoane, 2971
0- 4 ani, Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2007, Numar persoane, 3043
0- 4 ani, Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2008, Numar persoane, 3037
0- 4 ani, Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2009, Numar persoane, 3073
0- 4 ani, Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2010, Numar persoane, 3094
0- 4 ani, Masculin, Satu Mare, 136483 MUNICIPIUL SATU MARE, Anul 2011, Numar persoane, 3022
0- 4 ani, Masculin, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2004, Numar persoane, 507
0- 4 ani, Masculin, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2005, Numar persoane, 500
0- 4 ani, Masculin, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2006, Numar persoane, 513
0- 4 ani, Masculin, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2007, Numar persoane, 535
0- 4 ani, Masculin, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2008, Numar persoane, 530
0- 4 ani, Masculin, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2009, Numar persoane, 550
0- 4 ani, Masculin, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2010, Numar persoane, 554
0- 4 ani, Masculin, Satu Mare, 136526 MUNICIPIUL CAREI, Anul 2011, Numar persoane, 538
0- 4 ani, Masculin, Satu Mare, 136848 ORAS ARDUD, Anul 2004, Numar persoane, 206
0- 4 ani, Masculin, Satu Mare, 136848 ORAS ARDUD, Anul 2005, Numar persoane, 233
0- 4 ani, Masculin, Satu Mare, 136848 ORAS ARDUD, Anul 2006, Numar persoane, 256
0- 4 ani, Masculin, Satu Mare, 136848 ORAS ARDUD, Anul 2007, Numar persoane, 238
0- 4 ani, Masculin, Satu Mare, 136848 ORAS ARDUD, Anul 2008, Numar persoane, 238
0- 4 ani, Masculin, Satu Mare, 136848 ORAS ARDUD, Anul 2009, Numar persoane, 255
