
Judete, Localitati , Ani, UM: Numar persoane, Valoare
Bihor, 26564 MUNICIPIUL ORADEA, Anul 1994, Numar persoane, 359
Bihor, 26564 MUNICIPIUL ORADEA, Anul 1995, Numar persoane, 642
Bihor, 26564 MUNICIPIUL ORADEA, Anul 1996, Numar persoane, 453
Bihor, 26564 MUNICIPIUL ORADEA, Anul 1997, Numar persoane, 453
Bihor, 26564 MUNICIPIUL ORADEA, Anul 1998, Numar persoane, 341
Bihor, 26564 MUNICIPIUL ORADEA, Anul 1999, Numar persoane, 193
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2000, Numar persoane, 337
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2001, Numar persoane, 195
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2002, Numar persoane, 153
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2003, Numar persoane, 224
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2004, Numar persoane, 312
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2005, Numar persoane, 193
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2006, Numar persoane, 189
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2007, Numar persoane, 116
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2008, Numar persoane, 132
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2009, Numar persoane, 154
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2010, Numar persoane, 81
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2011, Numar persoane, 172
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2012, Numar persoane, 151
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2013, Numar persoane, 146
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2014, Numar persoane, 102
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2015, Numar persoane, 133
Bihor, 26564 MUNICIPIUL ORADEA, Anul 2016, Numar persoane, 233
Bihor, 26804 MUNICIPIUL BEIUS, Anul 1994, Numar persoane, 1
Bihor, 26804 MUNICIPIUL BEIUS, Anul 1995, Numar persoane, 9
Bihor, 26804 MUNICIPIUL BEIUS, Anul 1996, Numar persoane, 8
Bihor, 26804 MUNICIPIUL BEIUS, Anul 1997, Numar persoane, 7
Bihor, 26804 MUNICIPIUL BEIUS, Anul 1998, Numar persoane, 6
Bihor, 26804 MUNICIPIUL BEIUS, Anul 1999, Numar persoane, 7
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2000, Numar persoane, 14
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2001, Numar persoane, 9
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2002, Numar persoane, 3
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2003, Numar persoane, 3
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2004, Numar persoane, 6
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2005, Numar persoane, 4
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2006, Numar persoane, 9
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2007, Numar persoane, 4
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2008, Numar persoane, 1
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2009, Numar persoane, 7
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2010, Numar persoane, 9
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2011, Numar persoane, 10
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2012, Numar persoane, 6
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2013, Numar persoane, 5
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2014, Numar persoane, 4
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2015, Numar persoane, 9
Bihor, 26804 MUNICIPIUL BEIUS, Anul 2016, Numar persoane, 10
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 1994, Numar persoane, 23
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 1995, Numar persoane, 33
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 1996, Numar persoane, 28
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 1997, Numar persoane, 21
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 1998, Numar persoane, 15
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 1999, Numar persoane, 14
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2000, Numar persoane, 16
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2001, Numar persoane, 20
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2002, Numar persoane, 10
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2003, Numar persoane, 25
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2004, Numar persoane, 38
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2005, Numar persoane, 13
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2006, Numar persoane, 19
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2007, Numar persoane, 8
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2008, Numar persoane, 8
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2009, Numar persoane, 8
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2010, Numar persoane, 17
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2011, Numar persoane, 19
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2012, Numar persoane, 22
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2013, Numar persoane, 10
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2014, Numar persoane, 7
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2015, Numar persoane, 11
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2016, Numar persoane, 7
Bihor, 26975 MUNICIPIUL SALONTA, Anul 1994, Numar persoane, 34
Bihor, 26975 MUNICIPIUL SALONTA, Anul 1995, Numar persoane, 39
Bihor, 26975 MUNICIPIUL SALONTA, Anul 1996, Numar persoane, 26
Bihor, 26975 MUNICIPIUL SALONTA, Anul 1997, Numar persoane, 21
Bihor, 26975 MUNICIPIUL SALONTA, Anul 1998, Numar persoane, 12
Bihor, 26975 MUNICIPIUL SALONTA, Anul 1999, Numar persoane, 10
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2000, Numar persoane, 13
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2001, Numar persoane, 18
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2002, Numar persoane, 8
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2003, Numar persoane, 8
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2004, Numar persoane, 31
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2005, Numar persoane, 10
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2006, Numar persoane, 11
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2007, Numar persoane, 10
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2008, Numar persoane, 5
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2009, Numar persoane, 5
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2010, Numar persoane, 3
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2011, Numar persoane, 9
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2012, Numar persoane, 9
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2013, Numar persoane, 6
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2014, Numar persoane, 10
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2015, Numar persoane, 5
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2016, Numar persoane, 13
Bihor, 26699 ORAS ALESD, Anul 1994, Numar persoane, 20
Bihor, 26699 ORAS ALESD, Anul 1995, Numar persoane, 21
Bihor, 26699 ORAS ALESD, Anul 1996, Numar persoane, 4
Bihor, 26699 ORAS ALESD, Anul 1997, Numar persoane, 14
Bihor, 26699 ORAS ALESD, Anul 1998, Numar persoane, 5
Bihor, 26699 ORAS ALESD, Anul 1999, Numar persoane, 6
Bihor, 26699 ORAS ALESD, Anul 2000, Numar persoane, 9
Bihor, 26699 ORAS ALESD, Anul 2001, Numar persoane, 5
Bihor, 26699 ORAS ALESD, Anul 2002, Numar persoane, 11
Bihor, 26699 ORAS ALESD, Anul 2003, Numar persoane, 14
Bihor, 26699 ORAS ALESD, Anul 2004, Numar persoane, 17
Bihor, 26699 ORAS ALESD, Anul 2005, Numar persoane, 5
Bihor, 26699 ORAS ALESD, Anul 2006, Numar persoane, 10
Bihor, 26699 ORAS ALESD, Anul 2007, Numar persoane, 9
Bihor, 26699 ORAS ALESD, Anul 2008, Numar persoane, 2
Bihor, 26699 ORAS ALESD, Anul 2009, Numar persoane, 4
Bihor, 26699 ORAS ALESD, Anul 2010, Numar persoane, 3
Bihor, 26699 ORAS ALESD, Anul 2011, Numar persoane, 2
Bihor, 26699 ORAS ALESD, Anul 2012, Numar persoane, 5
Bihor, 26699 ORAS ALESD, Anul 2013, Numar persoane, 6
Bihor, 26699 ORAS ALESD, Anul 2014, Numar persoane, 1
Bihor, 26699 ORAS ALESD, Anul 2015, Numar persoane, 1
Bihor, 26699 ORAS ALESD, Anul 2016, Numar persoane, 10
Bihor, 26920 ORAS NUCET, Anul 1995, Numar persoane, 4
Bihor, 26920 ORAS NUCET, Anul 1998, Numar persoane, 1
Bihor, 26920 ORAS NUCET, Anul 2003, Numar persoane, 1
Bihor, 26920 ORAS NUCET, Anul 2005, Numar persoane, 2
Bihor, 26920 ORAS NUCET, Anul 2007, Numar persoane, 2
Bihor, 26920 ORAS NUCET, Anul 2015, Numar persoane, 1
Bihor, 26920 ORAS NUCET, Anul 2016, Numar persoane, 1
Bihor, 30915 ORAS SACUENI, Anul 1994, Numar persoane, 10
Bihor, 30915 ORAS SACUENI, Anul 1995, Numar persoane, 21
Bihor, 30915 ORAS SACUENI, Anul 1996, Numar persoane, 13
Bihor, 30915 ORAS SACUENI, Anul 1997, Numar persoane, 8
Bihor, 30915 ORAS SACUENI, Anul 1998, Numar persoane, 3
Bihor, 30915 ORAS SACUENI, Anul 1999, Numar persoane, 1
Bihor, 30915 ORAS SACUENI, Anul 2000, Numar persoane, 2
Bihor, 30915 ORAS SACUENI, Anul 2001, Numar persoane, 1
Bihor, 30915 ORAS SACUENI, Anul 2002, Numar persoane, 8
Bihor, 30915 ORAS SACUENI, Anul 2003, Numar persoane, 5
Bihor, 30915 ORAS SACUENI, Anul 2004, Numar persoane, 4
Bihor, 30915 ORAS SACUENI, Anul 2005, Numar persoane, 3
Bihor, 30915 ORAS SACUENI, Anul 2006, Numar persoane, 6
Bihor, 30915 ORAS SACUENI, Anul 2007, Numar persoane, 3
Bihor, 30915 ORAS SACUENI, Anul 2008, Numar persoane, 4
Bihor, 30915 ORAS SACUENI, Anul 2009, Numar persoane, 3
