
Judete, Localitati , Ani, UM: Numar persoane, Valoare
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2003, Numar persoane, 459
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2004, Numar persoane, 743
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2005, Numar persoane, 402
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2006, Numar persoane, 527
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2007, Numar persoane, 544
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2008, Numar persoane, 582
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2009, Numar persoane, 469
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2010, Numar persoane, 600
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2011, Numar persoane, 489
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2012, Numar persoane, 548
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2013, Numar persoane, 524
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2014, Numar persoane, 568
Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2015, Numar persoane, 496
Mures, 114925 MUNICIPIUL TARNAVENI, Anul 1990, Numar persoane, 888
Mures, 114925 MUNICIPIUL TARNAVENI, Anul 1991, Numar persoane, 334
Mures, 114925 MUNICIPIUL TARNAVENI, Anul 1992, Numar persoane, 302
Mures, 114925 MUNICIPIUL TARNAVENI, Anul 1993, Numar persoane, 277
Mures, 114925 MUNICIPIUL TARNAVENI, Anul 1994, Numar persoane, 318
Mures, 114925 MUNICIPIUL TARNAVENI, Anul 1995, Numar persoane, 375
Mures, 114925 MUNICIPIUL TARNAVENI, Anul 1996, Numar persoane, 390
Mures, 114925 MUNICIPIUL TARNAVENI, Anul 1997, Numar persoane, 446
Mures, 114925 MUNICIPIUL TARNAVENI, Anul 1998, Numar persoane, 368
Mures, 114925 MUNICIPIUL TARNAVENI, Anul 1999, Numar persoane, 336
Mures, 114925 MUNICIPIUL TARNAVENI, Anul 2000, Numar persoane, 326
Mures, 114925 MUNICIPIUL TARNAVENI, Anul 2001, Numar persoane, 349
Mures, 114925 MUNICIPIUL TARNAVENI, Anul 2002, Numar persoane, 466
Mures, 114925 MUNICIPIUL TARNAVENI, Anul 2003, Numar persoane, 463
Mures, 114925 MUNICIPIUL TARNAVENI, Anul 2004, Numar persoane, 662
Mures, 114925 MUNICIPIUL TARNAVENI, Anul 2005, Numar persoane, 385
Mures, 114925 MUNICIPIUL TARNAVENI, Anul 2006, Numar persoane, 459
Mures, 114925 MUNICIPIUL TARNAVENI, Anul 2007, Numar persoane, 522
Mures, 114925 MUNICIPIUL TARNAVENI, Anul 2008, Numar persoane, 475
Mures, 114925 MUNICIPIUL TARNAVENI, Anul 2009, Numar persoane, 500
Mures, 114925 MUNICIPIUL TARNAVENI, Anul 2010, Numar persoane, 632
Mures, 114925 MUNICIPIUL TARNAVENI, Anul 2011, Numar persoane, 384
