
Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
0- 4 ani, Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Anul 1992, Numar persoane, 2852
0- 4 ani, Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Anul 1993, Numar persoane, 2570
0- 4 ani, Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Anul 1994, Numar persoane, 2188
0- 4 ani, Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Anul 1995, Numar persoane, 1819
0- 4 ani, Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Anul 1996, Numar persoane, 1629
0- 4 ani, Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Anul 1997, Numar persoane, 1570
0- 4 ani, Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Anul 1998, Numar persoane, 1563
0- 4 ani, Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Anul 1999, Numar persoane, 1554
0- 4 ani, Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Anul 2000, Numar persoane, 1554
0- 4 ani, Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Anul 2001, Numar persoane, 1543
0- 4 ani, Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Anul 2002, Numar persoane, 1531
0- 4 ani, Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Anul 2003, Numar persoane, 1492
0- 4 ani, Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Anul 2004, Numar persoane, 1506
0- 4 ani, Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Anul 2005, Numar persoane, 1564
0- 4 ani, Masculin, Covasna, 63394 MUNICIPIUL SFINTU GHEORGHE, Anul 2006, Numar persoane, 1633
