
Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
0- 4 ani, Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2007, Numar persoane, 7043
0- 4 ani, Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2008, Numar persoane, 7307
0- 4 ani, Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2009, Numar persoane, 7485
0- 4 ani, Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2010, Numar persoane, 7589
0- 4 ani, Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2011, Numar persoane, 7753
0- 4 ani, Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2012, Numar persoane, 7715
0- 4 ani, Masculin, Timis, 155350 MUNICIPIUL LUGOJ, Anul 2007, Numar persoane, 1065
0- 4 ani, Masculin, Timis, 155350 MUNICIPIUL LUGOJ, Anul 2008, Numar persoane, 1099
0- 4 ani, Masculin, Timis, 155350 MUNICIPIUL LUGOJ, Anul 2009, Numar persoane, 1110
0- 4 ani, Masculin, Timis, 155350 MUNICIPIUL LUGOJ, Anul 2010, Numar persoane, 1131
0- 4 ani, Masculin, Timis, 155350 MUNICIPIUL LUGOJ, Anul 2011, Numar persoane, 1086
0- 4 ani, Masculin, Timis, 155350 MUNICIPIUL LUGOJ, Anul 2012, Numar persoane, 1074
0- 4 ani, Masculin, Timis, 155403 ORAS BUZIAS, Anul 2007, Numar persoane, 215
0- 4 ani, Masculin, Timis, 155403 ORAS BUZIAS, Anul 2008, Numar persoane, 213
0- 4 ani, Masculin, Timis, 155403 ORAS BUZIAS, Anul 2009, Numar persoane, 212
0- 4 ani, Masculin, Timis, 155403 ORAS BUZIAS, Anul 2010, Numar persoane, 206
0- 4 ani, Masculin, Timis, 155403 ORAS BUZIAS, Anul 2011, Numar persoane, 196
0- 4 ani, Masculin, Timis, 155403 ORAS BUZIAS, Anul 2012, Numar persoane, 198
0- 4 ani, Masculin, Timis, 156357 ORAS CIACOVA, Anul 2007, Numar persoane, 123
0- 4 ani, Masculin, Timis, 156357 ORAS CIACOVA, Anul 2008, Numar persoane, 134
0- 4 ani, Masculin, Timis, 156357 ORAS CIACOVA, Anul 2009, Numar persoane, 156
0- 4 ani, Masculin, Timis, 156357 ORAS CIACOVA, Anul 2010, Numar persoane, 150
0- 4 ani, Masculin, Timis, 156357 ORAS CIACOVA, Anul 2011, Numar persoane, 159
0- 4 ani, Masculin, Timis, 156357 ORAS CIACOVA, Anul 2012, Numar persoane, 165
0- 4 ani, Masculin, Timis, 155458 ORAS DETA, Anul 2007, Numar persoane, 186
0- 4 ani, Masculin, Timis, 155458 ORAS DETA, Anul 2008, Numar persoane, 182
0- 4 ani, Masculin, Timis, 155458 ORAS DETA, Anul 2009, Numar persoane, 181
0- 4 ani, Masculin, Timis, 155458 ORAS DETA, Anul 2010, Numar persoane, 191
0- 4 ani, Masculin, Timis, 155458 ORAS DETA, Anul 2011, Numar persoane, 181
0- 4 ani, Masculin, Timis, 155458 ORAS DETA, Anul 2012, Numar persoane, 183
0- 4 ani, Masculin, Timis, 156801 ORAS FAGET, Anul 2007, Numar persoane, 199
0- 4 ani, Masculin, Timis, 156801 ORAS FAGET, Anul 2008, Numar persoane, 214
0- 4 ani, Masculin, Timis, 156801 ORAS FAGET, Anul 2009, Numar persoane, 209
0- 4 ani, Masculin, Timis, 156801 ORAS FAGET, Anul 2010, Numar persoane, 216
0- 4 ani, Masculin, Timis, 156801 ORAS FAGET, Anul 2011, Numar persoane, 226
0- 4 ani, Masculin, Timis, 156801 ORAS FAGET, Anul 2012, Numar persoane, 212
0- 4 ani, Masculin, Timis, 157086 ORAS GATAIA, Anul 2007, Numar persoane, 184
0- 4 ani, Masculin, Timis, 157086 ORAS GATAIA, Anul 2008, Numar persoane, 186
0- 4 ani, Masculin, Timis, 157086 ORAS GATAIA, Anul 2009, Numar persoane, 176
0- 4 ani, Masculin, Timis, 157086 ORAS GATAIA, Anul 2010, Numar persoane, 174
0- 4 ani, Masculin, Timis, 157086 ORAS GATAIA, Anul 2011, Numar persoane, 161
0- 4 ani, Masculin, Timis, 157086 ORAS GATAIA, Anul 2012, Numar persoane, 158
0- 4 ani, Masculin, Timis, 155494 ORAS JIMBOLIA, Anul 2007, Numar persoane, 395
0- 4 ani, Masculin, Timis, 155494 ORAS JIMBOLIA, Anul 2008, Numar persoane, 391
0- 4 ani, Masculin, Timis, 155494 ORAS JIMBOLIA, Anul 2009, Numar persoane, 389
0- 4 ani, Masculin, Timis, 155494 ORAS JIMBOLIA, Anul 2010, Numar persoane, 395
0- 4 ani, Masculin, Timis, 155494 ORAS JIMBOLIA, Anul 2011, Numar persoane, 385
0- 4 ani, Masculin, Timis, 155494 ORAS JIMBOLIA, Anul 2012, Numar persoane, 364
0- 4 ani, Masculin, Timis, 158314 ORAS RECAS, Anul 2007, Numar persoane, 251
0- 4 ani, Masculin, Timis, 158314 ORAS RECAS, Anul 2008, Numar persoane, 248
0- 4 ani, Masculin, Timis, 158314 ORAS RECAS, Anul 2009, Numar persoane, 249
0- 4 ani, Masculin, Timis, 158314 ORAS RECAS, Anul 2010, Numar persoane, 248
0- 4 ani, Masculin, Timis, 158314 ORAS RECAS, Anul 2011, Numar persoane, 259
0- 4 ani, Masculin, Timis, 158314 ORAS RECAS, Anul 2012, Numar persoane, 251
0- 4 ani, Masculin, Timis, 155528 ORAS SANNICOLAU MARE, Anul 2007, Numar persoane, 422
0- 4 ani, Masculin, Timis, 155528 ORAS SANNICOLAU MARE, Anul 2008, Numar persoane, 437
0- 4 ani, Masculin, Timis, 155528 ORAS SANNICOLAU MARE, Anul 2009, Numar persoane, 431
0- 4 ani, Masculin, Timis, 155528 ORAS SANNICOLAU MARE, Anul 2010, Numar persoane, 429
0- 4 ani, Masculin, Timis, 155528 ORAS SANNICOLAU MARE, Anul 2011, Numar persoane, 419
0- 4 ani, Masculin, Timis, 155528 ORAS SANNICOLAU MARE, Anul 2012, Numar persoane, 364
0- 4 ani, Masculin, Timis, 155546 BALINT, Anul 2007, Numar persoane, 46
0- 4 ani, Masculin, Timis, 155546 BALINT, Anul 2008, Numar persoane, 39
0- 4 ani, Masculin, Timis, 155546 BALINT, Anul 2009, Numar persoane, 35
0- 4 ani, Masculin, Timis, 155546 BALINT, Anul 2010, Numar persoane, 30
0- 4 ani, Masculin, Timis, 155546 BALINT, Anul 2011, Numar persoane, 36
0- 4 ani, Masculin, Timis, 155546 BALINT, Anul 2012, Numar persoane, 34
0- 4 ani, Masculin, Timis, 155591 BANLOC, Anul 2007, Numar persoane, 94
0- 4 ani, Masculin, Timis, 155591 BANLOC, Anul 2008, Numar persoane, 86
0- 4 ani, Masculin, Timis, 155591 BANLOC, Anul 2009, Numar persoane, 85
0- 4 ani, Masculin, Timis, 155591 BANLOC, Anul 2010, Numar persoane, 71
0- 4 ani, Masculin, Timis, 155591 BANLOC, Anul 2011, Numar persoane, 73
0- 4 ani, Masculin, Timis, 155591 BANLOC, Anul 2012, Numar persoane, 69
0- 4 ani, Masculin, Timis, 155662 BARA, Anul 2007, Numar persoane, 5
0- 4 ani, Masculin, Timis, 155662 BARA, Anul 2008, Numar persoane, 7
0- 4 ani, Masculin, Timis, 155662 BARA, Anul 2009, Numar persoane, 6
0- 4 ani, Masculin, Timis, 155662 BARA, Anul 2010, Numar persoane, 5
