
Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
0- 4 ani, Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2013, Numar persoane, 7622
0- 4 ani, Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2014, Numar persoane, 7583
0- 4 ani, Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2015, Numar persoane, 7629
0- 4 ani, Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2016, Numar persoane, 7680
0- 4 ani, Masculin, Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2017, Numar persoane, 7829
0- 4 ani, Masculin, Timis, 155350 MUNICIPIUL LUGOJ, Anul 2013, Numar persoane, 1028
0- 4 ani, Masculin, Timis, 155350 MUNICIPIUL LUGOJ, Anul 2014, Numar persoane, 1007
0- 4 ani, Masculin, Timis, 155350 MUNICIPIUL LUGOJ, Anul 2015, Numar persoane, 987
0- 4 ani, Masculin, Timis, 155350 MUNICIPIUL LUGOJ, Anul 2016, Numar persoane, 986
0- 4 ani, Masculin, Timis, 155350 MUNICIPIUL LUGOJ, Anul 2017, Numar persoane, 986
0- 4 ani, Masculin, Timis, 155403 ORAS BUZIAS, Anul 2013, Numar persoane, 189
0- 4 ani, Masculin, Timis, 155403 ORAS BUZIAS, Anul 2014, Numar persoane, 173
0- 4 ani, Masculin, Timis, 155403 ORAS BUZIAS, Anul 2015, Numar persoane, 173
0- 4 ani, Masculin, Timis, 155403 ORAS BUZIAS, Anul 2016, Numar persoane, 174
0- 4 ani, Masculin, Timis, 155403 ORAS BUZIAS, Anul 2017, Numar persoane, 176
0- 4 ani, Masculin, Timis, 156357 ORAS CIACOVA, Anul 2013, Numar persoane, 159
0- 4 ani, Masculin, Timis, 156357 ORAS CIACOVA, Anul 2014, Numar persoane, 136
0- 4 ani, Masculin, Timis, 156357 ORAS CIACOVA, Anul 2015, Numar persoane, 138
