
Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
0- 4 ani, Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Anul 2013, Numar persoane, 5317
0- 4 ani, Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Anul 2014, Numar persoane, 5167
0- 4 ani, Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Anul 2015, Numar persoane, 5000
0- 4 ani, Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Anul 2016, Numar persoane, 4909
0- 4 ani, Masculin, Bihor, 26564 MUNICIPIUL ORADEA, Anul 2017, Numar persoane, 4990
0- 4 ani, Masculin, Bihor, 26804 MUNICIPIUL BEIUS, Anul 2013, Numar persoane, 280
0- 4 ani, Masculin, Bihor, 26804 MUNICIPIUL BEIUS, Anul 2014, Numar persoane, 266
0- 4 ani, Masculin, Bihor, 26804 MUNICIPIUL BEIUS, Anul 2015, Numar persoane, 253
0- 4 ani, Masculin, Bihor, 26804 MUNICIPIUL BEIUS, Anul 2016, Numar persoane, 256
0- 4 ani, Masculin, Bihor, 26804 MUNICIPIUL BEIUS, Anul 2017, Numar persoane, 252
0- 4 ani, Masculin, Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2013, Numar persoane, 445
0- 4 ani, Masculin, Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2014, Numar persoane, 409
0- 4 ani, Masculin, Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2015, Numar persoane, 387
0- 4 ani, Masculin, Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2016, Numar persoane, 369
0- 4 ani, Masculin, Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2017, Numar persoane, 366
0- 4 ani, Masculin, Bihor, 26975 MUNICIPIUL SALONTA, Anul 2013, Numar persoane, 425
0- 4 ani, Masculin, Bihor, 26975 MUNICIPIUL SALONTA, Anul 2014, Numar persoane, 415
0- 4 ani, Masculin, Bihor, 26975 MUNICIPIUL SALONTA, Anul 2015, Numar persoane, 401
0- 4 ani, Masculin, Bihor, 26975 MUNICIPIUL SALONTA, Anul 2016, Numar persoane, 381
0- 4 ani, Masculin, Bihor, 26975 MUNICIPIUL SALONTA, Anul 2017, Numar persoane, 343
0- 4 ani, Masculin, Bihor, 26699 ORAS ALESD, Anul 2013, Numar persoane, 330
0- 4 ani, Masculin, Bihor, 26699 ORAS ALESD, Anul 2014, Numar persoane, 323
0- 4 ani, Masculin, Bihor, 26699 ORAS ALESD, Anul 2015, Numar persoane, 329
0- 4 ani, Masculin, Bihor, 26699 ORAS ALESD, Anul 2016, Numar persoane, 313
0- 4 ani, Masculin, Bihor, 26699 ORAS ALESD, Anul 2017, Numar persoane, 313
0- 4 ani, Masculin, Bihor, 26920 ORAS NUCET, Anul 2013, Numar persoane, 50
0- 4 ani, Masculin, Bihor, 26920 ORAS NUCET, Anul 2014, Numar persoane, 45
0- 4 ani, Masculin, Bihor, 26920 ORAS NUCET, Anul 2015, Numar persoane, 38
0- 4 ani, Masculin, Bihor, 26920 ORAS NUCET, Anul 2016, Numar persoane, 36
0- 4 ani, Masculin, Bihor, 26920 ORAS NUCET, Anul 2017, Numar persoane, 30
0- 4 ani, Masculin, Bihor, 30915 ORAS SACUENI, Anul 2013, Numar persoane, 463
0- 4 ani, Masculin, Bihor, 30915 ORAS SACUENI, Anul 2014, Numar persoane, 440
0- 4 ani, Masculin, Bihor, 30915 ORAS SACUENI, Anul 2015, Numar persoane, 416
0- 4 ani, Masculin, Bihor, 30915 ORAS SACUENI, Anul 2016, Numar persoane, 420
0- 4 ani, Masculin, Bihor, 30915 ORAS SACUENI, Anul 2017, Numar persoane, 420
