
Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
0- 4 ani, Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2005, Numar persoane, 5299
0- 4 ani, Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2006, Numar persoane, 5489
0- 4 ani, Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2007, Numar persoane, 5691
0- 4 ani, Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2008, Numar persoane, 5919
0- 4 ani, Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2009, Numar persoane, 6172
0- 4 ani, Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2010, Numar persoane, 6419
0- 4 ani, Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2011, Numar persoane, 6584
0- 4 ani, Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2012, Numar persoane, 6602
0- 4 ani, Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2013, Numar persoane, 6566
0- 4 ani, Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2014, Numar persoane, 6552
0- 4 ani, Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2015, Numar persoane, 6399
0- 4 ani, Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2016, Numar persoane, 6363
0- 4 ani, Masculin, Brasov, 40198 MUNICIPIUL BRASOV, Anul 2017, Numar persoane, 6351
0- 4 ani, Masculin, Brasov, 40241 MUNICIPIUL CODLEA, Anul 2005, Numar persoane, 772
0- 4 ani, Masculin, Brasov, 40241 MUNICIPIUL CODLEA, Anul 2006, Numar persoane, 807
0- 4 ani, Masculin, Brasov, 40241 MUNICIPIUL CODLEA, Anul 2007, Numar persoane, 844
0- 4 ani, Masculin, Brasov, 40241 MUNICIPIUL CODLEA, Anul 2008, Numar persoane, 867
0- 4 ani, Masculin, Brasov, 40241 MUNICIPIUL CODLEA, Anul 2009, Numar persoane, 873
0- 4 ani, Masculin, Brasov, 40241 MUNICIPIUL CODLEA, Anul 2010, Numar persoane, 849
0- 4 ani, Masculin, Brasov, 40241 MUNICIPIUL CODLEA, Anul 2011, Numar persoane, 814
0- 4 ani, Masculin, Brasov, 40241 MUNICIPIUL CODLEA, Anul 2012, Numar persoane, 744
0- 4 ani, Masculin, Brasov, 40241 MUNICIPIUL CODLEA, Anul 2013, Numar persoane, 692
0- 4 ani, Masculin, Brasov, 40241 MUNICIPIUL CODLEA, Anul 2014, Numar persoane, 662
0- 4 ani, Masculin, Brasov, 40241 MUNICIPIUL CODLEA, Anul 2015, Numar persoane, 631
0- 4 ani, Masculin, Brasov, 40241 MUNICIPIUL CODLEA, Anul 2016, Numar persoane, 598
0- 4 ani, Masculin, Brasov, 40241 MUNICIPIUL CODLEA, Anul 2017, Numar persoane, 611
0- 4 ani, Masculin, Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2005, Numar persoane, 971
0- 4 ani, Masculin, Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2006, Numar persoane, 1028
0- 4 ani, Masculin, Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2007, Numar persoane, 1054
0- 4 ani, Masculin, Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2008, Numar persoane, 1109
0- 4 ani, Masculin, Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2009, Numar persoane, 1130
0- 4 ani, Masculin, Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2010, Numar persoane, 1165
0- 4 ani, Masculin, Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2011, Numar persoane, 1126
0- 4 ani, Masculin, Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2012, Numar persoane, 1102
0- 4 ani, Masculin, Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2013, Numar persoane, 1071
0- 4 ani, Masculin, Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2014, Numar persoane, 1029
0- 4 ani, Masculin, Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2015, Numar persoane, 983
0- 4 ani, Masculin, Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2016, Numar persoane, 938
0- 4 ani, Masculin, Brasov, 40278 MUNICIPIUL FAGARAS, Anul 2017, Numar persoane, 894
0- 4 ani, Masculin, Brasov, 40438 MUNICIPIUL SACELE, Anul 2005, Numar persoane, 1073
0- 4 ani, Masculin, Brasov, 40438 MUNICIPIUL SACELE, Anul 2006, Numar persoane, 1111
0- 4 ani, Masculin, Brasov, 40438 MUNICIPIUL SACELE, Anul 2007, Numar persoane, 1143
0- 4 ani, Masculin, Brasov, 40438 MUNICIPIUL SACELE, Anul 2008, Numar persoane, 1225
0- 4 ani, Masculin, Brasov, 40438 MUNICIPIUL SACELE, Anul 2009, Numar persoane, 1262
0- 4 ani, Masculin, Brasov, 40438 MUNICIPIUL SACELE, Anul 2010, Numar persoane, 1356
0- 4 ani, Masculin, Brasov, 40438 MUNICIPIUL SACELE, Anul 2011, Numar persoane, 1399
0- 4 ani, Masculin, Brasov, 40438 MUNICIPIUL SACELE, Anul 2012, Numar persoane, 1427
0- 4 ani, Masculin, Brasov, 40438 MUNICIPIUL SACELE, Anul 2013, Numar persoane, 1439
0- 4 ani, Masculin, Brasov, 40438 MUNICIPIUL SACELE, Anul 2014, Numar persoane, 1444
0- 4 ani, Masculin, Brasov, 40438 MUNICIPIUL SACELE, Anul 2015, Numar persoane, 1401
0- 4 ani, Masculin, Brasov, 40438 MUNICIPIUL SACELE, Anul 2016, Numar persoane, 1376
0- 4 ani, Masculin, Brasov, 40438 MUNICIPIUL SACELE, Anul 2017, Numar persoane, 1342
0- 4 ani, Masculin, Brasov, 40214 ORAS GHIMBAV, Anul 2005, Numar persoane, 132
0- 4 ani, Masculin, Brasov, 40214 ORAS GHIMBAV, Anul 2006, Numar persoane, 135
0- 4 ani, Masculin, Brasov, 40214 ORAS GHIMBAV, Anul 2007, Numar persoane, 146
0- 4 ani, Masculin, Brasov, 40214 ORAS GHIMBAV, Anul 2008, Numar persoane, 143
0- 4 ani, Masculin, Brasov, 40214 ORAS GHIMBAV, Anul 2009, Numar persoane, 149
0- 4 ani, Masculin, Brasov, 40214 ORAS GHIMBAV, Anul 2010, Numar persoane, 142
0- 4 ani, Masculin, Brasov, 40214 ORAS GHIMBAV, Anul 2011, Numar persoane, 137
0- 4 ani, Masculin, Brasov, 40214 ORAS GHIMBAV, Anul 2012, Numar persoane, 133
0- 4 ani, Masculin, Brasov, 40214 ORAS GHIMBAV, Anul 2013, Numar persoane, 140
