
Judete, Localitati , Ani, UM: Numar persoane, Valoare
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1990, Numar persoane, 39849
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1991, Numar persoane, 16770
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1992, Numar persoane, 11349
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1993, Numar persoane, 9056
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1994, Numar persoane, 11260
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1995, Numar persoane, 16275
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1996, Numar persoane, 16834
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1997, Numar persoane, 19122
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1998, Numar persoane, 10142
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1999, Numar persoane, 14701
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2000, Numar persoane, 17494
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2001, Numar persoane, 16880
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2002, Numar persoane, 5590
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2003, Numar persoane, 6616
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2004, Numar persoane, 4354
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2005, Numar persoane, 3924
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2006, Numar persoane, 3881
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2007, Numar persoane, 8144
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2008, Numar persoane, 12013
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2009, Numar persoane, 11855
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2010, Numar persoane, 11875
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2011, Numar persoane, 6996
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2012, Numar persoane, 6726
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2013, Numar persoane, 5420
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2014, Numar persoane, 5003
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2015, Numar persoane, 5938
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2016, Numar persoane, 6399
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1990, Numar persoane, 2803
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1991, Numar persoane, 2873
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1992, Numar persoane, 2389
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1993, Numar persoane, 1925
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1994, Numar persoane, 1775
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1995, Numar persoane, 1319
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1996, Numar persoane, 1430
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1997, Numar persoane, 1421
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1998, Numar persoane, 1062
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1999, Numar persoane, 1517
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2000, Numar persoane, 1509
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2001, Numar persoane, 1334
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2002, Numar persoane, 1317
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2003, Numar persoane, 1020
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2004, Numar persoane, 760
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2005, Numar persoane, 625
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2006, Numar persoane, 549
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2007, Numar persoane, 718
