
Tari de provenienta, Ani, UM: Numar persoane, Valoare
Italia, Anul 2010, Numar persoane, 1274
Italia, Anul 2011, Numar persoane, 692
Italia, Anul 2012, Numar persoane, 473
Italia, Anul 2013, Numar persoane, 553
Italia, Anul 2014, Numar persoane, 879
Italia, Anul 2015, Numar persoane, 1315
Italia, Anul 2016, Numar persoane, 1282
Republica Moldova, Anul 1994, Numar persoane, 62
Republica Moldova, Anul 1995, Numar persoane, 1019
Republica Moldova, Anul 1996, Numar persoane, 372
Republica Moldova, Anul 1997, Numar persoane, 3044
Republica Moldova, Anul 1998, Numar persoane, 8908
Republica Moldova, Anul 1999, Numar persoane, 7789
Republica Moldova, Anul 2000, Numar persoane, 9146
Republica Moldova, Anul 2001, Numar persoane, 8682
Republica Moldova, Anul 2002, Numar persoane, 5214
Republica Moldova, Anul 2003, Numar persoane, 1881
Republica Moldova, Anul 2004, Numar persoane, 1254
Republica Moldova, Anul 2005, Numar persoane, 1917
Republica Moldova, Anul 2006, Numar persoane, 4349
Republica Moldova, Anul 2007, Numar persoane, 4019
Republica Moldova, Anul 2008, Numar persoane, 3476
Republica Moldova, Anul 2009, Numar persoane, 2847
Republica Moldova, Anul 2010, Numar persoane, 1973
Republica Moldova, Anul 2011, Numar persoane, 8919
Republica Moldova, Anul 2012, Numar persoane, 16931
Republica Moldova, Anul 2013, Numar persoane, 20066
Republica Moldova, Anul 2014, Numar persoane, 20125
Republica Moldova, Anul 2015, Numar persoane, 14340
Republica Moldova, Anul 2016, Numar persoane, 17727
SUA, Anul 1994, Numar persoane, 80
SUA, Anul 1995, Numar persoane, 325
SUA, Anul 1996, Numar persoane, 104
SUA, Anul 1997, Numar persoane, 324
SUA, Anul 1998, Numar persoane, 252
SUA, Anul 1999, Numar persoane, 248
SUA, Anul 2000, Numar persoane, 161
SUA, Anul 2001, Numar persoane, 191
SUA, Anul 2002, Numar persoane, 227
SUA, Anul 2003, Numar persoane, 235
SUA, Anul 2004, Numar persoane, 259
SUA, Anul 2005, Numar persoane, 311
SUA, Anul 2006, Numar persoane, 292
SUA, Anul 2007, Numar persoane, 466
SUA, Anul 2008, Numar persoane, 581
SUA, Anul 2009, Numar persoane, 539
SUA, Anul 2010, Numar persoane, 434
SUA, Anul 2011, Numar persoane, 479
SUA, Anul 2012, Numar persoane, 298
SUA, Anul 2013, Numar persoane, 325
SUA, Anul 2014, Numar persoane, 369
SUA, Anul 2015, Numar persoane, 477
SUA, Anul 2016, Numar persoane, 582
Ucraina, Anul 1994, Numar persoane, 1
Ucraina, Anul 1995, Numar persoane, 24
Ucraina, Anul 1996, Numar persoane, 10
Ucraina, Anul 1997, Numar persoane, 95
Ucraina, Anul 1998, Numar persoane, 418
Ucraina, Anul 1999, Numar persoane, 446
Ucraina, Anul 2000, Numar persoane, 649
Ucraina, Anul 2001, Numar persoane, 396
Ucraina, Anul 2002, Numar persoane, 66
Ucraina, Anul 2003, Numar persoane, 39
Ucraina, Anul 2004, Numar persoane, 19
Ucraina, Anul 2005, Numar persoane, 27
Ucraina, Anul 2006, Numar persoane, 38
Ucraina, Anul 2007, Numar persoane, 75
Ucraina, Anul 2008, Numar persoane, 63
Ucraina, Anul 2009, Numar persoane, 63
Ucraina, Anul 2010, Numar persoane, 39
Ucraina, Anul 2011, Numar persoane, 1013
Ucraina, Anul 2012, Numar persoane, 492
Ucraina, Anul 2013, Numar persoane, 684
Ucraina, Anul 2014, Numar persoane, 1090
Ucraina, Anul 2015, Numar persoane, 1221
Ucraina, Anul 2016, Numar persoane, 1157
Ungaria, Anul 1994, Numar persoane, 60
Ungaria, Anul 1995, Numar persoane, 280
Ungaria, Anul 1996, Numar persoane, 102
Ungaria, Anul 1997, Numar persoane, 340
Ungaria, Anul 1998, Numar persoane, 434
Ungaria, Anul 1999, Numar persoane, 272
Ungaria, Anul 2000, Numar persoane, 173
Ungaria, Anul 2001, Numar persoane, 111
Ungaria, Anul 2002, Numar persoane, 62
Ungaria, Anul 2003, Numar persoane, 56
Ungaria, Anul 2004, Numar persoane, 68
Ungaria, Anul 2005, Numar persoane, 74
Ungaria, Anul 2006, Numar persoane, 103
