
Judete, Localitati , Ani, UM: Numar persoane, Valoare
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2004, Numar persoane, 342
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2005, Numar persoane, 228
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2006, Numar persoane, 240
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2007, Numar persoane, 336
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2008, Numar persoane, 279
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2009, Numar persoane, 267
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2010, Numar persoane, 409
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2011, Numar persoane, 280
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2012, Numar persoane, 316
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2013, Numar persoane, 295
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2014, Numar persoane, 260
Bihor, 26877 MUNICIPIUL MARGHITA, Anul 2015, Numar persoane, 258
Bihor, 26975 MUNICIPIUL SALONTA, Anul 1990, Numar persoane, 527
Bihor, 26975 MUNICIPIUL SALONTA, Anul 1991, Numar persoane, 236
Bihor, 26975 MUNICIPIUL SALONTA, Anul 1992, Numar persoane, 144
Bihor, 26975 MUNICIPIUL SALONTA, Anul 1993, Numar persoane, 110
Bihor, 26975 MUNICIPIUL SALONTA, Anul 1994, Numar persoane, 134
Bihor, 26975 MUNICIPIUL SALONTA, Anul 1995, Numar persoane, 173
Bihor, 26975 MUNICIPIUL SALONTA, Anul 1996, Numar persoane, 149
Bihor, 26975 MUNICIPIUL SALONTA, Anul 1997, Numar persoane, 183
Bihor, 26975 MUNICIPIUL SALONTA, Anul 1998, Numar persoane, 170
Bihor, 26975 MUNICIPIUL SALONTA, Anul 1999, Numar persoane, 140
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2000, Numar persoane, 142
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2001, Numar persoane, 129
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2002, Numar persoane, 188
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2003, Numar persoane, 151
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2004, Numar persoane, 248
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2005, Numar persoane, 137
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2006, Numar persoane, 206
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2007, Numar persoane, 241
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2008, Numar persoane, 193
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2009, Numar persoane, 172
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2010, Numar persoane, 205
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2011, Numar persoane, 205
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2012, Numar persoane, 228
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2013, Numar persoane, 205
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2014, Numar persoane, 187
Bihor, 26975 MUNICIPIUL SALONTA, Anul 2015, Numar persoane, 210
Bihor, 26699 ORAS ALESD, Anul 1990, Numar persoane, 391
Bihor, 26699 ORAS ALESD, Anul 1991, Numar persoane, 121
Bihor, 26699 ORAS ALESD, Anul 1992, Numar persoane, 136
Bihor, 26699 ORAS ALESD, Anul 1993, Numar persoane, 128
Bihor, 26699 ORAS ALESD, Anul 1994, Numar persoane, 141
Bihor, 26699 ORAS ALESD, Anul 1995, Numar persoane, 130
Bihor, 26699 ORAS ALESD, Anul 1996, Numar persoane, 77
Bihor, 26699 ORAS ALESD, Anul 1997, Numar persoane, 113
Bihor, 26699 ORAS ALESD, Anul 1998, Numar persoane, 91
Bihor, 26699 ORAS ALESD, Anul 1999, Numar persoane, 136
Bihor, 26699 ORAS ALESD, Anul 2000, Numar persoane, 93
Bihor, 26699 ORAS ALESD, Anul 2001, Numar persoane, 126
Bihor, 26699 ORAS ALESD, Anul 2002, Numar persoane, 144
Bihor, 26699 ORAS ALESD, Anul 2003, Numar persoane, 172
Bihor, 26699 ORAS ALESD, Anul 2004, Numar persoane, 208
Bihor, 26699 ORAS ALESD, Anul 2005, Numar persoane, 138
Bihor, 26699 ORAS ALESD, Anul 2006, Numar persoane, 161
Bihor, 26699 ORAS ALESD, Anul 2007, Numar persoane, 194
Bihor, 26699 ORAS ALESD, Anul 2008, Numar persoane, 204
Bihor, 26699 ORAS ALESD, Anul 2009, Numar persoane, 153
Bihor, 26699 ORAS ALESD, Anul 2010, Numar persoane, 258
Bihor, 26699 ORAS ALESD, Anul 2011, Numar persoane, 156
Bihor, 26699 ORAS ALESD, Anul 2012, Numar persoane, 209
Bihor, 26699 ORAS ALESD, Anul 2013, Numar persoane, 176
Bihor, 26699 ORAS ALESD, Anul 2014, Numar persoane, 186
Bihor, 26699 ORAS ALESD, Anul 2015, Numar persoane, 199
Bihor, 26920 ORAS NUCET, Anul 1990, Numar persoane, 64
Bihor, 26920 ORAS NUCET, Anul 1991, Numar persoane, 30
Bihor, 26920 ORAS NUCET, Anul 1992, Numar persoane, 44
Bihor, 26920 ORAS NUCET, Anul 1993, Numar persoane, 17
Bihor, 26920 ORAS NUCET, Anul 1994, Numar persoane, 22
Bihor, 26920 ORAS NUCET, Anul 1995, Numar persoane, 51
Bihor, 26920 ORAS NUCET, Anul 1996, Numar persoane, 39
Bihor, 26920 ORAS NUCET, Anul 1997, Numar persoane, 36
Bihor, 26920 ORAS NUCET, Anul 1998, Numar persoane, 36
Bihor, 26920 ORAS NUCET, Anul 1999, Numar persoane, 31
Bihor, 26920 ORAS NUCET, Anul 2000, Numar persoane, 25
Bihor, 26920 ORAS NUCET, Anul 2001, Numar persoane, 33
Bihor, 26920 ORAS NUCET, Anul 2002, Numar persoane, 23
Bihor, 26920 ORAS NUCET, Anul 2003, Numar persoane, 24
Bihor, 26920 ORAS NUCET, Anul 2004, Numar persoane, 38
Bihor, 26920 ORAS NUCET, Anul 2005, Numar persoane, 26
Bihor, 26920 ORAS NUCET, Anul 2006, Numar persoane, 35
Bihor, 26920 ORAS NUCET, Anul 2007, Numar persoane, 43
Bihor, 26920 ORAS NUCET, Anul 2008, Numar persoane, 51
Bihor, 26920 ORAS NUCET, Anul 2009, Numar persoane, 32
Bihor, 26920 ORAS NUCET, Anul 2010, Numar persoane, 27
Bihor, 26920 ORAS NUCET, Anul 2011, Numar persoane, 25
Bihor, 26920 ORAS NUCET, Anul 2012, Numar persoane, 37
Bihor, 26920 ORAS NUCET, Anul 2013, Numar persoane, 27
Bihor, 26920 ORAS NUCET, Anul 2014, Numar persoane, 38
Bihor, 26920 ORAS NUCET, Anul 2015, Numar persoane, 46
Bihor, 30915 ORAS SACUENI, Anul 1990, Numar persoane, 188
Bihor, 30915 ORAS SACUENI, Anul 1991, Numar persoane, 128
Bihor, 30915 ORAS SACUENI, Anul 1992, Numar persoane, 124
Bihor, 30915 ORAS SACUENI, Anul 1993, Numar persoane, 98
Bihor, 30915 ORAS SACUENI, Anul 1994, Numar persoane, 68
Bihor, 30915 ORAS SACUENI, Anul 1995, Numar persoane, 134
Bihor, 30915 ORAS SACUENI, Anul 1996, Numar persoane, 105
Bihor, 30915 ORAS SACUENI, Anul 1997, Numar persoane, 108
Bihor, 30915 ORAS SACUENI, Anul 1998, Numar persoane, 101
Bihor, 30915 ORAS SACUENI, Anul 1999, Numar persoane, 110
Bihor, 30915 ORAS SACUENI, Anul 2000, Numar persoane, 72
Bihor, 30915 ORAS SACUENI, Anul 2001, Numar persoane, 66
Bihor, 30915 ORAS SACUENI, Anul 2002, Numar persoane, 91
Bihor, 30915 ORAS SACUENI, Anul 2003, Numar persoane, 95
Bihor, 30915 ORAS SACUENI, Anul 2004, Numar persoane, 113
Bihor, 30915 ORAS SACUENI, Anul 2005, Numar persoane, 54
Bihor, 30915 ORAS SACUENI, Anul 2006, Numar persoane, 135
Bihor, 30915 ORAS SACUENI, Anul 2007, Numar persoane, 134
Bihor, 30915 ORAS SACUENI, Anul 2008, Numar persoane, 157
Bihor, 30915 ORAS SACUENI, Anul 2009, Numar persoane, 105
Bihor, 30915 ORAS SACUENI, Anul 2010, Numar persoane, 154
Bihor, 30915 ORAS SACUENI, Anul 2011, Numar persoane, 92
Bihor, 30915 ORAS SACUENI, Anul 2012, Numar persoane, 120
Bihor, 30915 ORAS SACUENI, Anul 2013, Numar persoane, 127
Bihor, 30915 ORAS SACUENI, Anul 2014, Numar persoane, 116
Bihor, 30915 ORAS SACUENI, Anul 2015, Numar persoane, 117
Bihor, 26840 ORAS STEI, Anul 1990, Numar persoane, 316
Bihor, 26840 ORAS STEI, Anul 1991, Numar persoane, 127
Bihor, 26840 ORAS STEI, Anul 1992, Numar persoane, 189
Bihor, 26840 ORAS STEI, Anul 1993, Numar persoane, 159
Bihor, 26840 ORAS STEI, Anul 1994, Numar persoane, 157
Bihor, 26840 ORAS STEI, Anul 1995, Numar persoane, 201
Bihor, 26840 ORAS STEI, Anul 1996, Numar persoane, 182
