
Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
0- 4 ani, Masculin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 1992, Numar persoane, 1688
0- 4 ani, Masculin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 1993, Numar persoane, 1561
0- 4 ani, Masculin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 1994, Numar persoane, 1399
0- 4 ani, Masculin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 1995, Numar persoane, 1233
0- 4 ani, Masculin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 1996, Numar persoane, 1149
0- 4 ani, Masculin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 1997, Numar persoane, 1130
0- 4 ani, Masculin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 1998, Numar persoane, 1099
0- 4 ani, Masculin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 1999, Numar persoane, 1084
0- 4 ani, Masculin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2000, Numar persoane, 1126
0- 4 ani, Masculin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2001, Numar persoane, 1126
0- 4 ani, Masculin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2002, Numar persoane, 1137
0- 4 ani, Masculin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2003, Numar persoane, 1117
0- 4 ani, Masculin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2004, Numar persoane, 1131
0- 4 ani, Masculin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2005, Numar persoane, 1107
0- 4 ani, Masculin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2006, Numar persoane, 1128
0- 4 ani, Masculin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2007, Numar persoane, 1152
0- 4 ani, Masculin, Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2008, Numar persoane, 1154
0- 4 ani, Masculin, Harghita, 83561 MUNICIPIUL  GHEORGHENI, Anul 1992, Numar persoane, 869
0- 4 ani, Masculin, Harghita, 83561 MUNICIPIUL  GHEORGHENI, Anul 1993, Numar persoane, 815
0- 4 ani, Masculin, Harghita, 83561 MUNICIPIUL  GHEORGHENI, Anul 1994, Numar persoane, 726
0- 4 ani, Masculin, Harghita, 83561 MUNICIPIUL  GHEORGHENI, Anul 1995, Numar persoane, 681
0- 4 ani, Masculin, Harghita, 83561 MUNICIPIUL  GHEORGHENI, Anul 1996, Numar persoane, 603
