
Judete, Localitati , Ani, UM: Numar, Valoare
Satu Mare, 136848 ORAS ARDUD, Anul 2007, Numar, 83
Satu Mare, 136848 ORAS ARDUD, Anul 2008, Numar, 46
Satu Mare, 136848 ORAS ARDUD, Anul 2009, Numar, 44
Satu Mare, 136848 ORAS ARDUD, Anul 2010, Numar, 35
Satu Mare, 136848 ORAS ARDUD, Anul 2011, Numar, 36
Satu Mare, 136848 ORAS ARDUD, Anul 2012, Numar, 36
Satu Mare, 136848 ORAS ARDUD, Anul 2013, Numar, 28
Satu Mare, 136848 ORAS ARDUD, Anul 2014, Numar, 43
Satu Mare, 136848 ORAS ARDUD, Anul 2015, Numar, 51
Satu Mare, 136848 ORAS ARDUD, Anul 2016, Numar, 45
Satu Mare, 138039 ORAS LIVADA, Anul 1990, Numar, 53
Satu Mare, 138039 ORAS LIVADA, Anul 1991, Numar, 65
Satu Mare, 138039 ORAS LIVADA, Anul 1992, Numar, 61
Satu Mare, 138039 ORAS LIVADA, Anul 1993, Numar, 45
Satu Mare, 138039 ORAS LIVADA, Anul 1994, Numar, 51
Satu Mare, 138039 ORAS LIVADA, Anul 1995, Numar, 41
Satu Mare, 138039 ORAS LIVADA, Anul 1996, Numar, 51
Satu Mare, 138039 ORAS LIVADA, Anul 1997, Numar, 56
Satu Mare, 138039 ORAS LIVADA, Anul 1998, Numar, 54
Satu Mare, 138039 ORAS LIVADA, Anul 1999, Numar, 43
Satu Mare, 138039 ORAS LIVADA, Anul 2000, Numar, 54
Satu Mare, 138039 ORAS LIVADA, Anul 2001, Numar, 61
Satu Mare, 138039 ORAS LIVADA, Anul 2002, Numar, 54
Satu Mare, 138039 ORAS LIVADA, Anul 2003, Numar, 49
Satu Mare, 138039 ORAS LIVADA, Anul 2004, Numar, 52
Satu Mare, 138039 ORAS LIVADA, Anul 2005, Numar, 57
Satu Mare, 138039 ORAS LIVADA, Anul 2006, Numar, 61
Satu Mare, 138039 ORAS LIVADA, Anul 2007, Numar, 72
Satu Mare, 138039 ORAS LIVADA, Anul 2008, Numar, 40
Satu Mare, 138039 ORAS LIVADA, Anul 2009, Numar, 53
Satu Mare, 138039 ORAS LIVADA, Anul 2010, Numar, 37
Satu Mare, 138039 ORAS LIVADA, Anul 2011, Numar, 42
Satu Mare, 138039 ORAS LIVADA, Anul 2012, Numar, 37
Satu Mare, 138039 ORAS LIVADA, Anul 2013, Numar, 37
Satu Mare, 138039 ORAS LIVADA, Anul 2014, Numar, 50
Satu Mare, 138039 ORAS LIVADA, Anul 2015, Numar, 38
Satu Mare, 138039 ORAS LIVADA, Anul 2016, Numar, 44
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 1990, Numar, 179
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 1991, Numar, 152
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 1992, Numar, 147
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 1993, Numar, 118
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 1994, Numar, 121
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 1995, Numar, 132
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 1996, Numar, 140
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 1997, Numar, 152
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 1998, Numar, 123
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 1999, Numar, 138
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2000, Numar, 140
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2001, Numar, 153
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2002, Numar, 205
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2003, Numar, 177
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2004, Numar, 182
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2005, Numar, 142
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2006, Numar, 141
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2007, Numar, 150
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2008, Numar, 139
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2009, Numar, 115
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2010, Numar, 127
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2011, Numar, 125
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2012, Numar, 119
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2013, Numar, 109
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2014, Numar, 122
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2015, Numar, 105
Satu Mare, 136599 ORAS NEGRESTI-OAS, Anul 2016, Numar, 112
Satu Mare, 136642 ORAS TASNAD, Anul 1990, Numar, 78
Satu Mare, 136642 ORAS TASNAD, Anul 1991, Numar, 76
Satu Mare, 136642 ORAS TASNAD, Anul 1992, Numar, 80
Satu Mare, 136642 ORAS TASNAD, Anul 1993, Numar, 93
Satu Mare, 136642 ORAS TASNAD, Anul 1994, Numar, 77
Satu Mare, 136642 ORAS TASNAD, Anul 1995, Numar, 76
Satu Mare, 136642 ORAS TASNAD, Anul 1996, Numar, 70
Satu Mare, 136642 ORAS TASNAD, Anul 1997, Numar, 76
Satu Mare, 136642 ORAS TASNAD, Anul 1998, Numar, 52
Satu Mare, 136642 ORAS TASNAD, Anul 1999, Numar, 75
Satu Mare, 136642 ORAS TASNAD, Anul 2000, Numar, 55
Satu Mare, 136642 ORAS TASNAD, Anul 2001, Numar, 57
Satu Mare, 136642 ORAS TASNAD, Anul 2002, Numar, 62
