
Judete, Localitati , Ani, UM: Numar, Valoare
Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 1990, Numar, 75
Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 1991, Numar, 87
Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 1992, Numar, 94
Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 1993, Numar, 66
Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 1994, Numar, 100
Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 1995, Numar, 83
Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 1996, Numar, 119
Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 1997, Numar, 78
Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 1998, Numar, 104
Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 1999, Numar, 84
Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2000, Numar, 63
Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2001, Numar, 63
Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2002, Numar, 70
Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2003, Numar, 80
Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2004, Numar, 58
Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2005, Numar, 67
Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2006, Numar, 83
Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2007, Numar, 71
Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2008, Numar, 79
Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2009, Numar, 77
Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2010, Numar, 68
Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2011, Numar, 66
Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2012, Numar, 69
Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2013, Numar, 58
Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2014, Numar, 51
Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2015, Numar, 55
Harghita, 83320 MUNICIPIUL MIERCUREA CIUC, Anul 2016, Numar, 65
