
Varste si grupe de varsta, Sexe, Judete, Localitati , Ani, UM: Numar persoane, Valoare
0- 4 ani, Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2006, Numar persoane, 3521
0- 4 ani, Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2007, Numar persoane, 3657
0- 4 ani, Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2008, Numar persoane, 3768
0- 4 ani, Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2009, Numar persoane, 3805
0- 4 ani, Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2010, Numar persoane, 3962
0- 4 ani, Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2011, Numar persoane, 3932
0- 4 ani, Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2012, Numar persoane, 3772
0- 4 ani, Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2013, Numar persoane, 3698
0- 4 ani, Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2014, Numar persoane, 3618
0- 4 ani, Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2015, Numar persoane, 3432
0- 4 ani, Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2016, Numar persoane, 3332
0- 4 ani, Masculin, Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2017, Numar persoane, 3257
0- 4 ani, Masculin, Mures, 114809 MUNICIPIUL REGHIN, Anul 2006, Numar persoane, 1042
0- 4 ani, Masculin, Mures, 114809 MUNICIPIUL REGHIN, Anul 2007, Numar persoane, 1077
0- 4 ani, Masculin, Mures, 114809 MUNICIPIUL REGHIN, Anul 2008, Numar persoane, 1065
0- 4 ani, Masculin, Mures, 114809 MUNICIPIUL REGHIN, Anul 2009, Numar persoane, 1061
0- 4 ani, Masculin, Mures, 114809 MUNICIPIUL REGHIN, Anul 2010, Numar persoane, 1077
0- 4 ani, Masculin, Mures, 114809 MUNICIPIUL REGHIN, Anul 2011, Numar persoane, 1033
0- 4 ani, Masculin, Mures, 114809 MUNICIPIUL REGHIN, Anul 2012, Numar persoane, 984
0- 4 ani, Masculin, Mures, 114809 MUNICIPIUL REGHIN, Anul 2013, Numar persoane, 956
0- 4 ani, Masculin, Mures, 114809 MUNICIPIUL REGHIN, Anul 2014, Numar persoane, 907
0- 4 ani, Masculin, Mures, 114809 MUNICIPIUL REGHIN, Anul 2015, Numar persoane, 874
0- 4 ani, Masculin, Mures, 114809 MUNICIPIUL REGHIN, Anul 2016, Numar persoane, 854
0- 4 ani, Masculin, Mures, 114809 MUNICIPIUL REGHIN, Anul 2017, Numar persoane, 893
0- 4 ani, Masculin, Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2006, Numar persoane, 873
0- 4 ani, Masculin, Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2007, Numar persoane, 873
0- 4 ani, Masculin, Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2008, Numar persoane, 898
0- 4 ani, Masculin, Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2009, Numar persoane, 907
0- 4 ani, Masculin, Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2010, Numar persoane, 876
0- 4 ani, Masculin, Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2011, Numar persoane, 808
0- 4 ani, Masculin, Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2012, Numar persoane, 770
0- 4 ani, Masculin, Mures, 114514 MUNICIPIUL SIGHISOARA, Anul 2013, Numar persoane, 708
