
Starea civila anterioara a sotului, Starea civila anterioara a sotiei, Ani, UM: Numar, Valoare
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:vaduva, Anul 1997, Numar, 806
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:vaduva, Anul 1998, Numar, 798
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:vaduva, Anul 1999, Numar, 690
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:vaduva, Anul 2000, Numar, 740
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:vaduva, Anul 2001, Numar, 755
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:vaduva, Anul 2002, Numar, 714
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:vaduva, Anul 2003, Numar, 683
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:vaduva, Anul 2004, Numar, 767
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:vaduva, Anul 2005, Numar, 711
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:vaduva, Anul 2006, Numar, 756
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:vaduva, Anul 2007, Numar, 837
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:vaduva, Anul 2008, Numar, 769
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:vaduva, Anul 2009, Numar, 617
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:vaduva, Anul 2010, Numar, 498
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:vaduva, Anul 2011, Numar, 465
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:vaduva, Anul 2012, Numar, 502
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:vaduva, Anul 2013, Numar, 458
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:vaduva, Anul 2014, Numar, 556
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:vaduva, Anul 2015, Numar, 562
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:vaduva, Anul 2016, Numar, 597
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:divortata, Anul 1990, Numar, 6289
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:divortata, Anul 1991, Numar, 5802
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:divortata, Anul 1992, Numar, 5782
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:divortata, Anul 1993, Numar, 5959
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:divortata, Anul 1994, Numar, 6732
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:divortata, Anul 1995, Numar, 6794
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:divortata, Anul 1996, Numar, 6865
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:divortata, Anul 1997, Numar, 7158
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:divortata, Anul 1998, Numar, 7409
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:divortata, Anul 1999, Numar, 6980
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:divortata, Anul 2000, Numar, 7155
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:divortata, Anul 2001, Numar, 7146
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:divortata, Anul 2002, Numar, 6884
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:divortata, Anul 2003, Numar, 7124
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:divortata, Anul 2004, Numar, 7498
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:divortata, Anul 2005, Numar, 7615
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:divortata, Anul 2006, Numar, 8306
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:divortata, Anul 2007, Numar, 8212
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:divortata, Anul 2008, Numar, 7917
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:divortata, Anul 2009, Numar, 7247
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:divortata, Anul 2010, Numar, 6546
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:divortata, Anul 2011, Numar, 6352
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:divortata, Anul 2012, Numar, 6576
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:divortata, Anul 2013, Numar, 6763
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:divortata, Anul 2014, Numar, 7152
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:divortata, Anul 2015, Numar, 8033
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:divortata, Anul 2016, Numar, 8866
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:nedeclarata, Anul 1990, Numar, 1
Starea civila anterioara a sotului:necasatorit, Starea civila anterioara a sotiei:nedeclarata, Anul 1992, Numar, 1
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:necasatorita, Anul 1990, Numar, 799
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:necasatorita, Anul 1991, Numar, 743
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:necasatorita, Anul 1992, Numar, 733
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:necasatorita, Anul 1993, Numar, 665
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:necasatorita, Anul 1994, Numar, 606
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:necasatorita, Anul 1995, Numar, 624
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:necasatorita, Anul 1996, Numar, 568
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:necasatorita, Anul 1997, Numar, 521
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:necasatorita, Anul 1998, Numar, 511
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:necasatorita, Anul 1999, Numar, 426
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:necasatorita, Anul 2000, Numar, 473
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:necasatorita, Anul 2001, Numar, 492
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:necasatorita, Anul 2002, Numar, 389
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:necasatorita, Anul 2003, Numar, 402
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:necasatorita, Anul 2004, Numar, 459
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:necasatorita, Anul 2005, Numar, 408
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:necasatorita, Anul 2006, Numar, 406
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:necasatorita, Anul 2007, Numar, 447
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:necasatorita, Anul 2008, Numar, 362
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:necasatorita, Anul 2009, Numar, 321
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:necasatorita, Anul 2010, Numar, 268
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:necasatorita, Anul 2011, Numar, 264
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:necasatorita, Anul 2012, Numar, 270
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:necasatorita, Anul 2013, Numar, 279
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:necasatorita, Anul 2014, Numar, 247
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:necasatorita, Anul 2015, Numar, 258
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:necasatorita, Anul 2016, Numar, 292
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:vaduva, Anul 1990, Numar, 1937
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:vaduva, Anul 1991, Numar, 1666
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:vaduva, Anul 1992, Numar, 1596
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:vaduva, Anul 1993, Numar, 1323
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:vaduva, Anul 1994, Numar, 1230
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:vaduva, Anul 1995, Numar, 1115
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:vaduva, Anul 1996, Numar, 1024
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:vaduva, Anul 1997, Numar, 986
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:vaduva, Anul 1998, Numar, 906
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:vaduva, Anul 1999, Numar, 855
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:vaduva, Anul 2000, Numar, 823
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:vaduva, Anul 2001, Numar, 770
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:vaduva, Anul 2002, Numar, 764
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:vaduva, Anul 2003, Numar, 736
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:vaduva, Anul 2004, Numar, 674
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:vaduva, Anul 2005, Numar, 668
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:vaduva, Anul 2006, Numar, 723
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:vaduva, Anul 2007, Numar, 700
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:vaduva, Anul 2008, Numar, 634
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:vaduva, Anul 2009, Numar, 415
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:vaduva, Anul 2010, Numar, 352
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:vaduva, Anul 2011, Numar, 376
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:vaduva, Anul 2012, Numar, 350
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:vaduva, Anul 2013, Numar, 347
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:vaduva, Anul 2014, Numar, 331
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:vaduva, Anul 2015, Numar, 327
Starea civila anterioara a sotului:vaduv, Starea civila anterioara a sotiei:vaduva, Anul 2016, Numar, 328
