
Judete, Localitati , Ani, UM: Numar persoane, Valoare
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1994, Numar persoane, 16
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1995, Numar persoane, 35
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1996, Numar persoane, 14
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1997, Numar persoane, 86
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1998, Numar persoane, 215
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1999, Numar persoane, 127
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2000, Numar persoane, 215
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2001, Numar persoane, 89
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2002, Numar persoane, 34
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2003, Numar persoane, 16
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2004, Numar persoane, 18
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2005, Numar persoane, 26
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2006, Numar persoane, 54
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2007, Numar persoane, 68
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2008, Numar persoane, 102
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2009, Numar persoane, 120
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2010, Numar persoane, 78
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2011, Numar persoane, 54
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2012, Numar persoane, 45
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2013, Numar persoane, 54
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2014, Numar persoane, 43
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2015, Numar persoane, 45
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2016, Numar persoane, 73
Mures, 114809 MUNICIPIUL REGHIN, Anul 1994, Numar persoane, 3
Mures, 114809 MUNICIPIUL REGHIN, Anul 1995, Numar persoane, 7
Mures, 114809 MUNICIPIUL REGHIN, Anul 1996, Numar persoane, 2
Mures, 114809 MUNICIPIUL REGHIN, Anul 1997, Numar persoane, 4
Mures, 114809 MUNICIPIUL REGHIN, Anul 1998, Numar persoane, 13
Mures, 114809 MUNICIPIUL REGHIN, Anul 1999, Numar persoane, 7
Mures, 114809 MUNICIPIUL REGHIN, Anul 2000, Numar persoane, 16
Mures, 114809 MUNICIPIUL REGHIN, Anul 2001, Numar persoane, 4
Mures, 114809 MUNICIPIUL REGHIN, Anul 2002, Numar persoane, 1
Mures, 114809 MUNICIPIUL REGHIN, Anul 2004, Numar persoane, 7
Mures, 114809 MUNICIPIUL REGHIN, Anul 2005, Numar persoane, 4
Mures, 114809 MUNICIPIUL REGHIN, Anul 2006, Numar persoane, 9
Mures, 114809 MUNICIPIUL REGHIN, Anul 2007, Numar persoane, 10
Mures, 114809 MUNICIPIUL REGHIN, Anul 2008, Numar persoane, 17
Mures, 114809 MUNICIPIUL REGHIN, Anul 2009, Numar persoane, 18
Mures, 114809 MUNICIPIUL REGHIN, Anul 2010, Numar persoane, 13
Mures, 114809 MUNICIPIUL REGHIN, Anul 2011, Numar persoane, 13
Mures, 114809 MUNICIPIUL REGHIN, Anul 2012, Numar persoane, 17
Mures, 114809 MUNICIPIUL REGHIN, Anul 2013, Numar persoane, 12
Mures, 114809 MUNICIPIUL REGHIN, Anul 2014, Numar persoane, 8
Mures, 114809 MUNICIPIUL REGHIN, Anul 2015, Numar persoane, 7
Mures, 114809 MUNICIPIUL REGHIN, Anul 2016, Numar persoane, 11
