
Judete, Localitati , Ani, UM: Numar persoane, Valoare
Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 1994, Numar persoane, 415
Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 1995, Numar persoane, 775
Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 1996, Numar persoane, 637
Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 1997, Numar persoane, 541
Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 1998, Numar persoane, 504
Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 1999, Numar persoane, 509
Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2000, Numar persoane, 508
Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2001, Numar persoane, 418
Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2002, Numar persoane, 405
Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2003, Numar persoane, 489
Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2004, Numar persoane, 507
Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2005, Numar persoane, 355
Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2006, Numar persoane, 393
Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2007, Numar persoane, 232
Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2008, Numar persoane, 288
Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2009, Numar persoane, 336
Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2010, Numar persoane, 256
Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2011, Numar persoane, 336
Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2012, Numar persoane, 289
Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2013, Numar persoane, 291
Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2014, Numar persoane, 205
Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2015, Numar persoane, 324
Cluj, 54975 MUNICIPIUL CLUJ-NAPOCA, Anul 2016, Numar persoane, 402
Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 1994, Numar persoane, 13
Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 1995, Numar persoane, 21
Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 1996, Numar persoane, 21
Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 1997, Numar persoane, 9
Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 1999, Numar persoane, 6
Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2000, Numar persoane, 18
Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2001, Numar persoane, 14
Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2002, Numar persoane, 10
Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2003, Numar persoane, 37
Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2004, Numar persoane, 17
Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2005, Numar persoane, 23
Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2006, Numar persoane, 26
Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2007, Numar persoane, 12
Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2008, Numar persoane, 12
Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2009, Numar persoane, 10
Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2010, Numar persoane, 23
Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2011, Numar persoane, 31
Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2012, Numar persoane, 39
Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2013, Numar persoane, 37
Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2014, Numar persoane, 17
Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2015, Numar persoane, 35
Cluj, 55357 MUNICIPIUL CAMPIA TURZII, Anul 2016, Numar persoane, 65
Cluj, 55008 MUNICIPIUL DEJ, Anul 1994, Numar persoane, 18
Cluj, 55008 MUNICIPIUL DEJ, Anul 1995, Numar persoane, 21
Cluj, 55008 MUNICIPIUL DEJ, Anul 1996, Numar persoane, 21
Cluj, 55008 MUNICIPIUL DEJ, Anul 1997, Numar persoane, 39
Cluj, 55008 MUNICIPIUL DEJ, Anul 1998, Numar persoane, 18
Cluj, 55008 MUNICIPIUL DEJ, Anul 1999, Numar persoane, 18
Cluj, 55008 MUNICIPIUL DEJ, Anul 2000, Numar persoane, 19
Cluj, 55008 MUNICIPIUL DEJ, Anul 2001, Numar persoane, 27
Cluj, 55008 MUNICIPIUL DEJ, Anul 2002, Numar persoane, 30
Cluj, 55008 MUNICIPIUL DEJ, Anul 2003, Numar persoane, 17
Cluj, 55008 MUNICIPIUL DEJ, Anul 2004, Numar persoane, 31
Cluj, 55008 MUNICIPIUL DEJ, Anul 2005, Numar persoane, 19
Cluj, 55008 MUNICIPIUL DEJ, Anul 2006, Numar persoane, 25
Cluj, 55008 MUNICIPIUL DEJ, Anul 2007, Numar persoane, 19
Cluj, 55008 MUNICIPIUL DEJ, Anul 2008, Numar persoane, 22
Cluj, 55008 MUNICIPIUL DEJ, Anul 2009, Numar persoane, 17
Cluj, 55008 MUNICIPIUL DEJ, Anul 2010, Numar persoane, 12
Cluj, 55008 MUNICIPIUL DEJ, Anul 2011, Numar persoane, 18
Cluj, 55008 MUNICIPIUL DEJ, Anul 2012, Numar persoane, 28
Cluj, 55008 MUNICIPIUL DEJ, Anul 2013, Numar persoane, 21
Cluj, 55008 MUNICIPIUL DEJ, Anul 2014, Numar persoane, 26
Cluj, 55008 MUNICIPIUL DEJ, Anul 2015, Numar persoane, 19
Cluj, 55008 MUNICIPIUL DEJ, Anul 2016, Numar persoane, 46
