
Judete, Localitati , Ani, UM: Numar persoane, Valoare
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1990, Numar persoane, 8315
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1991, Numar persoane, 3746
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1992, Numar persoane, 3791
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1993, Numar persoane, 3071
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1994, Numar persoane, 3816
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1995, Numar persoane, 4418
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1996, Numar persoane, 4130
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1997, Numar persoane, 3937
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1998, Numar persoane, 4030
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 1999, Numar persoane, 3544
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2000, Numar persoane, 3519
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2001, Numar persoane, 3238
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2002, Numar persoane, 3357
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2003, Numar persoane, 3998
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2004, Numar persoane, 4843
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2005, Numar persoane, 4228
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2006, Numar persoane, 5034
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2007, Numar persoane, 5843
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2008, Numar persoane, 6692
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2009, Numar persoane, 5755
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2010, Numar persoane, 7930
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2011, Numar persoane, 5976
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2012, Numar persoane, 6911
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2013, Numar persoane, 5983
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2014, Numar persoane, 6400
Timis, 155243 MUNICIPIUL TIMISOARA, Anul 2015, Numar persoane, 6966
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1990, Numar persoane, 2233
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1991, Numar persoane, 782
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1992, Numar persoane, 711
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1993, Numar persoane, 575
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1994, Numar persoane, 688
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1995, Numar persoane, 613
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1996, Numar persoane, 659
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1997, Numar persoane, 571
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1998, Numar persoane, 547
Timis, 155350 MUNICIPIUL LUGOJ, Anul 1999, Numar persoane, 563
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2000, Numar persoane, 533
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2001, Numar persoane, 477
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2002, Numar persoane, 528
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2003, Numar persoane, 552
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2004, Numar persoane, 691
Timis, 155350 MUNICIPIUL LUGOJ, Anul 2005, Numar persoane, 522
