
Judete, Localitati , Ani, UM: Numar persoane, Valoare
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1990, Numar persoane, 1823
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1991, Numar persoane, 1610
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1992, Numar persoane, 1619
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1993, Numar persoane, 1471
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1994, Numar persoane, 1445
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1995, Numar persoane, 1273
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1996, Numar persoane, 1354
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1997, Numar persoane, 1350
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1998, Numar persoane, 1389
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 1999, Numar persoane, 1362
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2000, Numar persoane, 1354
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2001, Numar persoane, 1307
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2002, Numar persoane, 1255
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2003, Numar persoane, 1285
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2004, Numar persoane, 1396
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2005, Numar persoane, 1443
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2006, Numar persoane, 1530
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2007, Numar persoane, 1448
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2008, Numar persoane, 1541
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2009, Numar persoane, 1583
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2010, Numar persoane, 1468
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2011, Numar persoane, 1388
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2012, Numar persoane, 1328
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2013, Numar persoane, 1382
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2014, Numar persoane, 1247
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2015, Numar persoane, 1278
Mures, 114319 MUNICIPIUL TIRGU MURES, Anul 2016, Numar persoane, 1210
