falu|megye|hun
Armasenii Noi |Ciucsangeorgiu, HR|Ménaságújfalu
Armeni |Loamnes, SB|Örményszékes
Armenis |Armenis, CS|Örményes
Armenis, Sangeorgiu de Padure |Sangeorgiu de Padure, MS|Örményestanya
Aronesti |Bistra, AB|
Arpasu de Jos |Arpasu de Jos, SB|Alsóárpás
Arpasu de Sus |Arpasu de Jos, SB|Felsőárpás
Arpasel |Batar, BH|Árpád
Arsuri |Cornereva, CS|
Arsuri, Banita |Banita, HD|
Arsita |Magura Ilvei, BN|Arsicatelep
Arsita |Hodac, MS|Arsica
Arti |sugag, AB|Arctelep
Aruncuta |Suatu, CJ|Aranykút
Arvateni |Feliceni, HR|Árvátfalva
Asinip |Lopadea Noua, AB|Asszonynépe
Aspra |Vima Mica, MM|
Asuaju de Jos |Asuaju de Sus, MM|Alsószivágy
Asuaju de Sus |Asuaju de Sus, MM|Felsőszivágy
Aschileu Mare |Aschileu, CJ|Nagyesküllő
Aschileu Mic |Aschileu, CJ|Kisesküllő
Astileu |Astileu, BH|Esküllő
Atea |Dorolt, SM|Atya
Ateas |Cefa, BH|Atyás
Ateiu, Pir |Pir, SM|Ete
Atia |Corund, HR|Atyha
Atid |Atid, HR|Etéd
Ata, Ivanes |Bicaz-Chei, NT|
Atel |Atel, SB|Ecel
Atintis |Atintis, MS|Cintos
Augustin |Ormenis, BV|Ágostonfalva
Aurel Vlaicu |Oras Geoagiu, HD|Bencenc
Aurel Vlaicu |Municipiul Sighisoara, MS|Haufan
Auseu |Auseu, BH|Kisősi
Avram Iancu |Avram Iancu, AB|Felsővidra
Avram Iancu |Cermei, AR|Püspökpuszta
Avram Iancu |Varfurile, AR|Ácsva
Avram Iancu |Avram Iancu, BH|Keményfok
Avramesti |Arieseni, AB|
Avramesti |Avram Iancu, AB|
Avramesti |Avramesti, HR|Szentábrahám
Avramesti |Oras Ludus, MS|Eckentelep
Avrig |Oras Avrig, SB|Felek
Axente Sever |Axente Sever, SB|Asszonyfalva
Baba |Horea, AB|
Baba |Coroieni, MM|Bába
Baba Novac |Ardud, SM|
Babarunca, Sacele |Municipiul Sacele, BV|Babaronka
Babsa |Belint, TM|Babsa
Babta |Bogdand, SM|Bábca
Bacau de Mijloc |Bata, AR|Bakamező
Bacea |Ilia, HD|Bácsfalva
Bacea, Slimnic |Slimnic, SB|
Baciu, Sacele |Municipiul Sacele, BV|Bácsfalu
Baciu |Baciu, CJ|Kisbács
Bacova |Oras Buzias, TM|Bakóvár
Badon |Hereclean, SJ|Bádon
Bahnea |Bahnea, MS|Bonyha
Baia |Varadia de Mures, AR|Kisbaja
Baia Craiului, Cincis-Cerna |Teliucu Inferior, HD|Királybánya
Baia de Aries |Oras Baia de Aries, AB|Aranyosbánya
Baia de Cris |Baia de Cris, HD|Körösbánya
Baia Mare |Municipiul Baia Mare, MM|Nagybánya
Baia Noua |Dubova, MH|Tiszafai Újbánya
Baia Sprie |Oras Baia Sprie, MM|Felsőbánya
Baica |Hida, SJ|Bányika
Balc |Balc, BH|Bályok
Balda |Sarmasu, MS|Báld
Baldovin |Baia de Cris, HD|Báldovin
Balint |Balint, TM|Bálinc
Balomir |Santamaria-Orlea, HD|Balomir
Balomiru de Camp |sibot, AB|Balomir
Balosesti |Tomesti, TM|Bégabalázsd
Balsa |Balsa, HD|Balsa
Ban |Banisor, SJ|Felsőbán
Bancu |Ciucsangeorgiu, HR|Csíkbánkfalva
Band |Band, MS|Mezőbánd
Bandul-Romanesc, Band |Band, MS|
Banloc |Banloc, TM|Bánlak
Banpotoc |Harau, HD|Bánpatak
Bara |Bara, TM|Barafalva
Baraolt |Oras Baraolt, CV|Barót
Baratca |Paulis, AR|Pálosbaracka
Baratcos |Lunca de Jos, HR|Barackospatak
Barbura |Baita, HD|Bárbura
Barcani |Barcani, CV|Zágonbárkány
Barcas, Stanciova |Recas, TM|Barkás
Barcia, Criseni |Atid, HR|Barcsa
Bartostana, siclod |Atid, HR|Bartostanya
Baru |Baru, HD|Nagybár
Baru Mic, Baru |Baru, HD|Kisbár
Barza |Criscior, HD|Gurabárza bányatelep
Basarabasa |Vata de Jos, HD|Baszarabásza
Bastea |Lapugiu de Jos, HD|Bástya
Bastelec,, Bacel |Chichis, CV|Bácstelek
Bata |Bata, AR|Batta
Batar |Batar, BH|Feketebátor
Batin |Unguras, CJ|Bátony
Batiz |Oras Calan, HD|Batiz
Batos |Batos, MS|Bátos
Bata |Petru Rares, BN|Baca
Bazias |Socol, CS|Báziás
Bazna |Bazna, SB|Bázna
Bazos |Recas, TM|Bázos
