ID,year,XTEMP,XSPD,XVSB,LOC,LAT,LON,ELEVATION
153140,1990,0.2982570214423933,-1.4083815541523066,-0.06264459489022546,RESITA,45.3,21.916999999999998,286.0
153140,1991,-0.7853969917909356,-1.0353715517485123,-0.187860901194227,RESITA,45.3,21.916999999999998,286.0
153140,1992,0.15699037744310676,0.4208221634141506,0.2707630642765827,RESITA,45.3,21.916999999999998,286.0
153140,1993,-0.42414875209556124,-0.15426020214244418,-0.0009911855791779364,RESITA,45.3,21.916999999999998,286.0
153140,1994,1.0509484673012088,-0.6674538910286519,0.21726798079083814,RESITA,45.3,21.916999999999998,286.0
153140,1995,-0.4073296466902264,-0.47908148822562296,0.0639252972721726,RESITA,45.3,21.916999999999998,286.0
153140,1996,-0.7155253518636799,-0.7171928660529501,-0.3133266669612161,RESITA,45.3,21.916999999999998,286.0
153140,1997,-0.8979361937005242,-0.2555026491674176,-0.2736732451132576,RESITA,45.3,21.916999999999998,286.0
153140,1998,-0.329342114214993,0.017324259613310022,0.17494946847895723,RESITA,45.3,21.916999999999998,286.0
153140,1999,-0.11518670730063413,-0.7647090785546105,-0.11180613783328312,RESITA,45.3,21.916999999999998,286.0
153140,2000,1.0089498789860973,1.7319649936473926,0.554311761702298,RESITA,45.3,21.916999999999998,286.0
153140,2001,0.02553085443033885,-0.615206178433207,-0.09358883178389477,RESITA,45.3,21.916999999999998,286.0
153140,2002,0.7240087568311413,-0.015227888557992408,0.2697868438781857,RESITA,45.3,21.916999999999998,286.0
153140,2014,0.6936747178091426,1.8096793967563254,0.5809177779582431,RESITA,45.3,21.916999999999998,286.0
153140,2015,0.9101285390154555,2.1897234270263524,0.12085398735248754,RESITA,45.3,21.916999999999998,286.0
153140,2016,0.565513847481083,1.8980037735585593,0.4359462480928094,RESITA,45.3,21.916999999999998,286.0
153140,2017,0.7522760280254773,1.6812998949087996,0.48556472423236535,RESITA,45.3,21.916999999999998,286.0
153140,2018,1.5134070052292639,1.5002831005039623,0.45861310091796,RESITA,45.3,21.916999999999998,286.0
153140,2019,1.168983141406926,1.7120810225864722,0.325104155065241,RESITA,45.3,21.916999999999998,286.0
153150,1974,-1.2985518035472783,7.768005573528329,-1.4413459483780338,SEMENIC,45.183,22.05,1433.0
153150,1979,-2.671233491918156,9.13999410210218,-1.4061077744448263,SEMENIC,45.183,22.05,1433.0
153150,1982,0.22968252763363525,2.340408901054472,-1.0304153304965507,SEMENIC,45.183,22.05,1433.0
153150,1983,-0.3020396819392809,-0.7577210877810487,-0.6161187795618391,SEMENIC,45.183,22.05,1433.0
153150,1984,-0.9699787159880212,1.5483367731513815,-1.0142341696421195,SEMENIC,45.183,22.05,1433.0
153150,1985,-1.183504360560826,-1.5561220703862058,-1.284526799430501,SEMENIC,45.183,22.05,1433.0
153150,1986,-0.37943408041157894,0.7085824458103737,-0.6485666647898929,SEMENIC,45.183,22.05,1433.0
153150,1987,-1.0401574198376713,0.6808644922076665,-0.8193263839114308,SEMENIC,45.183,22.05,1433.0
153150,1988,-0.5061071896469248,0.5696780679519358,-1.0669336157414095,SEMENIC,45.183,22.05,1433.0
153150,1989,0.19381203768716956,0.5076210460121849,-0.6884462441921476,SEMENIC,45.183,22.05,1433.0
153150,1990,0.696832598857574,-0.9984158564169914,0.06372785756633076,SEMENIC,45.183,22.05,1433.0
153150,1991,-0.9023637105422746,-1.837679946386341,-0.5396678919783546,SEMENIC,45.183,22.05,1433.0
153150,1992,-0.14472064407176882,-1.3541622253733416,0.8095233198762708,SEMENIC,45.183,22.05,1433.0
153150,1993,-0.5644223976780124,0.5576250198019782,0.325769434406056,SEMENIC,45.183,22.05,1433.0
153150,1994,0.9292717818541808,-0.15337106737646206,0.2510602168133504,SEMENIC,45.183,22.05,1433.0
153150,1995,-0.5565284115137801,0.21892823079999196,0.13170954375443056,SEMENIC,45.183,22.05,1433.0
153150,1996,-0.9996765484028524,-0.06170122115091744,-0.33902639699770754,SEMENIC,45.183,22.05,1433.0
153150,1997,-0.8503129626782775,-2.604653786296202,0.1750722323038404,SEMENIC,45.183,22.05,1433.0
153150,1998,-0.24636033210362632,-1.3980220398088656,0.3290743754891583,SEMENIC,45.183,22.05,1433.0
153150,1999,0.4575391856847911,0.571773342009396,0.3055735981935932,SEMENIC,45.183,22.05,1433.0
153150,2000,0.4283682216213543,-2.9072847754628524,0.9708068117120073,SEMENIC,45.183,22.05,1433.0
153150,2001,0.13520814226484004,-2.210108106345984,0.7963357699820777,SEMENIC,45.183,22.05,1433.0
153150,2002,0.9426295753090136,-1.3390178574578022,1.2229045818191313,SEMENIC,45.183,22.05,1433.0
153150,2014,0.8851295479659637,3.9213748211847843,0.21110196698231937,SEMENIC,45.183,22.05,1433.0
153150,2015,1.2811814803054378,2.400212243503543,0.3826534102659889,SEMENIC,45.183,22.05,1433.0
153150,2016,0.8952249995197028,1.351543768094717,0.47850584264819646,SEMENIC,45.183,22.05,1433.0
153150,2017,0.9879009806955908,1.61324228672983,0.8453781452957418,SEMENIC,45.183,22.05,1433.0
153150,2018,1.6619206390198766,1.88136860196172,0.8441910194937791,SEMENIC,45.183,22.05,1433.0
153150,2019,1.2637761974998891,0.9906532287749691,0.8538582458754507,SEMENIC,45.183,22.05,1433.0
153160,1974,0.22754033283364938,0.3874992696416563,-0.7106799746111474,CUNTU,45.3,22.517,1450.0
153160,1979,-0.5366578974419837,20.03193341906914,-2.213627184958166,CUNTU,45.3,22.517,1450.0
153160,1982,0.5170284925497177,-1.69143133905417,0.3036932064383884,CUNTU,45.3,22.517,1450.0
153160,1983,0.3362578267646233,-3.122219159396101,0.07872510014991702,CUNTU,45.3,22.517,1450.0
153160,1984,0.6942574339954349,-5.626990822804773,0.3391029430246278,CUNTU,45.3,22.517,1450.0
153160,1985,-0.8750453459089836,-1.3080654524819813,-0.39956341175879034,CUNTU,45.3,22.517,1450.0
153160,1986,0.20744425215671577,-5.852185542168381,0.3101564549702418,CUNTU,45.3,22.517,1450.0
153160,1987,-0.620226960265367,-4.2333154630627226,-0.03880682783990323,CUNTU,45.3,22.517,1450.0
153160,1988,-0.1843214331202011,-3.880114850768289,-0.15113806607903477,CUNTU,45.3,22.517,1450.0
153160,1989,0.42247301144212407,-3.9065878090465924,0.20853977672302165,CUNTU,45.3,22.517,1450.0
153160,1990,0.8145949275680169,-4.923065240386977,0.6882172067284121,CUNTU,45.3,22.517,1450.0
153160,1991,-0.4055690043176152,-3.1079353843304216,0.3851066587996297,CUNTU,45.3,22.517,1450.0
153160,1992,0.05353993641771981,0.4145341334502047,0.8213030161508232,CUNTU,45.3,22.517,1450.0
153160,1993,-0.16866548373653115,1.9124975530630666,0.42339749425537737,CUNTU,45.3,22.517,1450.0
153160,1994,1.0931124620098676,-1.0425261153053096,0.5831481834360595,CUNTU,45.3,22.517,1450.0
153160,1995,-0.533014171905833,-0.04538882166358486,0.026132653479557143,CUNTU,45.3,22.517,1450.0
153160,1996,-0.5825327596372651,-2.526874091759021,0.12482283661410253,CUNTU,45.3,22.517,1450.0
153160,1997,-0.7950830900167463,0.21806029838636462,-0.276113221884741,CUNTU,45.3,22.517,1450.0
153160,1998,-0.7142652514975708,3.7924668209285706,-0.055870160425171754,CUNTU,45.3,22.517,1450.0
153160,1999,-1.0236153600708686,7.919395894029201,-0.28192102356937276,CUNTU,45.3,22.517,1450.0
153160,2000,-1.3679543184985856,7.333419018979311,0.29720559259569496,CUNTU,45.3,22.517,1450.0
153160,2001,-1.5178402522840158,5.446034906296816,-0.3533080479798537,CUNTU,45.3,22.517,1450.0
153160,2002,-0.28254962950095963,3.3608570295914126,0.679351027458349,CUNTU,45.3,22.517,1450.0
