day
"0,118,1,27,0,56,13,216,2,51,13,270,7,19,12,37,4,26,13,188,4,19,12,37,7,23,0,353"
"0,97,1,42,0,66,13,210,2,56,13,260,2,27,12,84,13,156,2,35,12,27,4,32,0,348"
"0,198,6,19,1,37,2,26,4,56,0,39,10,24,4,117,13,39,4,24,2,34,4,81,5,41,4,24,12,28,13,24,12,47,7,19,4,37,11,26,13,32,4,66,13,19,4,26,1,43,4,188,0,126"
"0,198,1,19,4,37,2,26,0,32,4,126,10,19,13,37,4,78,2,45,4,21,5,35,4,65,13,19,12,37,4,64,12,19,4,37,8,26,11,29,4,34,2,27,4,128,1,19,4,116,0,147"
"0,200,4,40,2,40,13,28,5,35,15,27,5,32,6,78,4,78,15,19,2,26,8,67,4,32,15,29,13,97,16,19,15,37,4,26,11,27,8,37,16,19,4,96,0,351"
"0,185,2,65,4,68,15,19,13,37,8,26,5,32,16,29,4,97,2,19,8,24,15,40,12,30,4,64,13,93,4,19,12,37,6,26,11,68,8,19,4,92,0,351"
"0,198,2,19,3,37,1,26,10,32,3,96,10,19,3,101,2,19,3,274,14,30,2,30,9,30,3,47,5,50,7,19,1,37,7,26,0,350"
"0,198,1,19,3,71,8,13,4,47,9,19,3,60,10,37,2,26,3,338,9,19,3,37,2,26,5,56,3,39,7,24,1,34,7,27,0,350"
"0,95,1,65,0,32,2,29,1,24,16,64,1,23,13,270,2,38,13,31,10,30,5,30,9,30,16,30,5,30,16,97,1,19,11,37,15,17,12,33,14,42,12,22,0,54,7,44,0,254"
"0,163,1,27,2,32,16,29,1,30,16,30,2,30,1,30,13,221,2,70,13,45,5,16,9,43,5,22,16,130,15,14,1,45,11,21,12,35,4,27,12,32,7,53,0,295"
"0,228,4,19,8,37,3,26,2,32,4,102,3,65,4,37,3,63,4,26,2,65,12,32,3,29,4,63,11,21,3,33,4,35,11,52,4,37,7,53,2,40,7,35,8,65,0,245"
"0,198,4,13,1,47,8,19,3,37,4,62,3,47,4,43,3,36,4,52,3,40,4,58,12,37,2,41,3,24,4,74,11,19,4,32,3,34,4,52,11,34,7,58,2,37,8,50,7,27,0,269"
