
Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
17 ani, Masculin, Total, Regiunea NORD-EST, Anul 2000, Numar persoane, 30477
17 ani, Masculin, Total, Regiunea NORD-EST, Anul 2001, Numar persoane, 28676
17 ani, Masculin, Total, Regiunea NORD-EST, Anul 2002, Numar persoane, 30746
17 ani, Masculin, Total, Regiunea NORD-EST, Anul 2003, Numar persoane, 31562
17 ani, Masculin, Total, Regiunea NORD-EST, Anul 2004, Numar persoane, 34157
17 ani, Masculin, Total, Regiunea NORD-EST, Anul 2005, Numar persoane, 34426
17 ani, Masculin, Total, Regiunea NORD-EST, Anul 2006, Numar persoane, 33900
17 ani, Masculin, Total, Regiunea NORD-EST, Anul 2007, Numar persoane, 32721
17 ani, Masculin, Total, Regiunea NORD-EST, Anul 2008, Numar persoane, 29042
17 ani, Masculin, Total, Regiunea NORD-EST, Anul 2009, Numar persoane, 26194
17 ani, Masculin, Total, Regiunea NORD-EST, Anul 2010, Numar persoane, 25150
17 ani, Masculin, Total, Regiunea NORD-EST, Anul 2011, Numar persoane, 24333
17 ani, Masculin, Total, Regiunea NORD-EST, Anul 2012, Numar persoane, 24582
17 ani, Masculin, Total, Regiunea NORD-EST, Anul 2013, Numar persoane, 23301
17 ani, Masculin, Total, Regiunea NORD-EST, Anul 2014, Numar persoane, 22786
17 ani, Masculin, Total, Regiunea SUD-EST, Anul 1992, Numar persoane, 27378
17 ani, Masculin, Total, Regiunea SUD-EST, Anul 1993, Numar persoane, 26763
17 ani, Masculin, Total, Regiunea SUD-EST, Anul 1994, Numar persoane, 26637
17 ani, Masculin, Total, Regiunea SUD-EST, Anul 1995, Numar persoane, 27189
17 ani, Masculin, Total, Regiunea SUD-EST, Anul 1996, Numar persoane, 26341
17 ani, Masculin, Total, Regiunea SUD-EST, Anul 1997, Numar persoane, 26440
17 ani, Masculin, Total, Regiunea SUD-EST, Anul 1998, Numar persoane, 25600
17 ani, Masculin, Total, Regiunea SUD-EST, Anul 1999, Numar persoane, 24557
17 ani, Masculin, Total, Regiunea SUD-EST, Anul 2000, Numar persoane, 21504
17 ani, Masculin, Total, Regiunea SUD-EST, Anul 2001, Numar persoane, 20546
17 ani, Masculin, Total, Regiunea SUD-EST, Anul 2002, Numar persoane, 22873
17 ani, Masculin, Total, Regiunea SUD-EST, Anul 2003, Numar persoane, 23409
17 ani, Masculin, Total, Regiunea SUD-EST, Anul 2004, Numar persoane, 24695
17 ani, Masculin, Total, Regiunea SUD-EST, Anul 2005, Numar persoane, 25489
17 ani, Masculin, Total, Regiunea SUD-EST, Anul 2006, Numar persoane, 24707
17 ani, Masculin, Total, Regiunea SUD-EST, Anul 2007, Numar persoane, 23999
17 ani, Masculin, Total, Regiunea SUD-EST, Anul 2008, Numar persoane, 20165
17 ani, Masculin, Total, Regiunea SUD-EST, Anul 2009, Numar persoane, 17322
17 ani, Masculin, Total, Regiunea SUD-EST, Anul 2010, Numar persoane, 16770
17 ani, Masculin, Total, Regiunea SUD-EST, Anul 2011, Numar persoane, 16058
17 ani, Masculin, Total, Regiunea SUD-EST, Anul 2012, Numar persoane, 15833
17 ani, Masculin, Total, Regiunea SUD-EST, Anul 2013, Numar persoane, 15327
17 ani, Masculin, Total, Regiunea SUD-EST, Anul 2014, Numar persoane, 14743
17 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1992, Numar persoane, 31170
17 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1993, Numar persoane, 30092
17 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1994, Numar persoane, 30362
17 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1995, Numar persoane, 29820
17 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1996, Numar persoane, 28798
17 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1997, Numar persoane, 28630
17 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1998, Numar persoane, 27600
17 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1999, Numar persoane, 26096
17 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2000, Numar persoane, 23453
17 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2001, Numar persoane, 22060
17 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2002, Numar persoane, 24733
17 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2003, Numar persoane, 25805
17 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2004, Numar persoane, 27633
17 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2005, Numar persoane, 28228
17 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2006, Numar persoane, 27923
17 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2007, Numar persoane, 26891
17 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2008, Numar persoane, 22258
17 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2009, Numar persoane, 20280
17 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2010, Numar persoane, 19998
17 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2011, Numar persoane, 19594
17 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2012, Numar persoane, 18942
17 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2013, Numar persoane, 18178
17 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2014, Numar persoane, 17716
17 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1992, Numar persoane, 20631
17 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1993, Numar persoane, 20412
17 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1994, Numar persoane, 20139
17 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1995, Numar persoane, 20208
17 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1996, Numar persoane, 19483
17 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1997, Numar persoane, 19482
17 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1998, Numar persoane, 18974
17 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1999, Numar persoane, 17944
17 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2000, Numar persoane, 16892
17 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2001, Numar persoane, 16096
17 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2002, Numar persoane, 17689
17 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2003, Numar persoane, 17761
17 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2004, Numar persoane, 18902
17 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2005, Numar persoane, 19006
17 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2006, Numar persoane, 18679
17 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2007, Numar persoane, 18170
17 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Numar persoane, 16165
17 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Numar persoane, 15093
17 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Numar persoane, 14425
17 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Numar persoane, 13713
17 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Numar persoane, 13321
17 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Numar persoane, 12536
17 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2014, Numar persoane, 12299
17 ani, Feminin, Total, Regiunea NORD-EST, Anul 1992, Numar persoane, 34974
17 ani, Feminin, Total, Regiunea NORD-EST, Anul 1993, Numar persoane, 34366
17 ani, Feminin, Total, Regiunea NORD-EST, Anul 1994, Numar persoane, 33307
17 ani, Feminin, Total, Regiunea NORD-EST, Anul 1995, Numar persoane, 33934
17 ani, Feminin, Total, Regiunea NORD-EST, Anul 1996, Numar persoane, 34412
17 ani, Feminin, Total, Regiunea NORD-EST, Anul 1997, Numar persoane, 33683
17 ani, Feminin, Total, Regiunea NORD-EST, Anul 1998, Numar persoane, 33134
17 ani, Feminin, Total, Regiunea NORD-EST, Anul 1999, Numar persoane, 31984
17 ani, Feminin, Total, Regiunea NORD-EST, Anul 2000, Numar persoane, 29059
17 ani, Feminin, Total, Regiunea NORD-EST, Anul 2001, Numar persoane, 27415
17 ani, Feminin, Total, Regiunea NORD-EST, Anul 2002, Numar persoane, 29887
17 ani, Feminin, Total, Regiunea NORD-EST, Anul 2003, Numar persoane, 30223
17 ani, Feminin, Total, Regiunea NORD-EST, Anul 2004, Numar persoane, 32612
17 ani, Feminin, Total, Regiunea NORD-EST, Anul 2005, Numar persoane, 33253
17 ani, Feminin, Total, Regiunea NORD-EST, Anul 2006, Numar persoane, 32885
17 ani, Feminin, Total, Regiunea NORD-EST, Anul 2007, Numar persoane, 31708
17 ani, Feminin, Total, Regiunea NORD-EST, Anul 2008, Numar persoane, 27857
17 ani, Feminin, Total, Regiunea NORD-EST, Anul 2009, Numar persoane, 25051
17 ani, Feminin, Total, Regiunea NORD-EST, Anul 2010, Numar persoane, 24343
17 ani, Feminin, Total, Regiunea NORD-EST, Anul 2011, Numar persoane, 23308
17 ani, Feminin, Total, Regiunea NORD-EST, Anul 2012, Numar persoane, 23267
17 ani, Feminin, Total, Regiunea NORD-EST, Anul 2013, Numar persoane, 22254
17 ani, Feminin, Total, Regiunea NORD-EST, Anul 2014, Numar persoane, 21812
17 ani, Feminin, Total, Regiunea SUD-EST, Anul 1992, Numar persoane, 25798
17 ani, Feminin, Total, Regiunea SUD-EST, Anul 1993, Numar persoane, 25260
17 ani, Feminin, Total, Regiunea SUD-EST, Anul 1994, Numar persoane, 25491
17 ani, Feminin, Total, Regiunea SUD-EST, Anul 1995, Numar persoane, 25916
17 ani, Feminin, Total, Regiunea SUD-EST, Anul 1996, Numar persoane, 25102
17 ani, Feminin, Total, Regiunea SUD-EST, Anul 1997, Numar persoane, 24828
17 ani, Feminin, Total, Regiunea SUD-EST, Anul 1998, Numar persoane, 24368
17 ani, Feminin, Total, Regiunea SUD-EST, Anul 1999, Numar persoane, 23267
17 ani, Feminin, Total, Regiunea SUD-EST, Anul 2000, Numar persoane, 20694
17 ani, Feminin, Total, Regiunea SUD-EST, Anul 2001, Numar persoane, 19579
17 ani, Feminin, Total, Regiunea SUD-EST, Anul 2002, Numar persoane, 22177
17 ani, Feminin, Total, Regiunea SUD-EST, Anul 2003, Numar persoane, 22548
17 ani, Feminin, Total, Regiunea SUD-EST, Anul 2004, Numar persoane, 23999
17 ani, Feminin, Total, Regiunea SUD-EST, Anul 2005, Numar persoane, 24687
17 ani, Feminin, Total, Regiunea SUD-EST, Anul 2006, Numar persoane, 23945
17 ani, Feminin, Total, Regiunea SUD-EST, Anul 2007, Numar persoane, 23019
17 ani, Feminin, Total, Regiunea SUD-EST, Anul 2008, Numar persoane, 19446
17 ani, Feminin, Total, Regiunea SUD-EST, Anul 2009, Numar persoane, 16358
17 ani, Feminin, Total, Regiunea SUD-EST, Anul 2010, Numar persoane, 16166
17 ani, Feminin, Total, Regiunea SUD-EST, Anul 2011, Numar persoane, 15299
17 ani, Feminin, Total, Regiunea SUD-EST, Anul 2012, Numar persoane, 15172
17 ani, Feminin, Total, Regiunea SUD-EST, Anul 2013, Numar persoane, 14809
17 ani, Feminin, Total, Regiunea SUD-EST, Anul 2014, Numar persoane, 14348
17 ani, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 1992, Numar persoane, 29534
17 ani, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 1993, Numar persoane, 28869
17 ani, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 1994, Numar persoane, 28504
17 ani, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 1995, Numar persoane, 28375
17 ani, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 1996, Numar persoane, 27428
17 ani, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 1997, Numar persoane, 27300
17 ani, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 1998, Numar persoane, 25957
17 ani, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 1999, Numar persoane, 24858
17 ani, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2000, Numar persoane, 22574
17 ani, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2001, Numar persoane, 21287
17 ani, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2002, Numar persoane, 23893
17 ani, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2003, Numar persoane, 24497
17 ani, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2004, Numar persoane, 26800
17 ani, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2005, Numar persoane, 27281
17 ani, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2006, Numar persoane, 26745
17 ani, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2007, Numar persoane, 26002
17 ani, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2008, Numar persoane, 21633
17 ani, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2009, Numar persoane, 19199
17 ani, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2010, Numar persoane, 19071
17 ani, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2011, Numar persoane, 18878
17 ani, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2012, Numar persoane, 18121
17 ani, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2013, Numar persoane, 17277
17 ani, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 2014, Numar persoane, 16513
17 ani, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 1992, Numar persoane, 19709
17 ani, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 1993, Numar persoane, 19178
17 ani, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 1994, Numar persoane, 18819
17 ani, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 1995, Numar persoane, 19088
17 ani, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 1996, Numar persoane, 18617
17 ani, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 1997, Numar persoane, 18200
17 ani, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 1998, Numar persoane, 17986
17 ani, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 1999, Numar persoane, 17031
17 ani, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2000, Numar persoane, 15861
17 ani, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2001, Numar persoane, 15261
17 ani, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2002, Numar persoane, 16697
17 ani, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2003, Numar persoane, 16944
17 ani, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2004, Numar persoane, 18030
17 ani, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2005, Numar persoane, 18032
17 ani, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2006, Numar persoane, 18047
17 ani, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2007, Numar persoane, 17620
17 ani, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Numar persoane, 15445
17 ani, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Numar persoane, 14140
17 ani, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Numar persoane, 13850
17 ani, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Numar persoane, 13156
17 ani, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Numar persoane, 12664
17 ani, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Numar persoane, 12003
17 ani, Feminin, Total, Regiunea SUD-VEST OLTENIA, Anul 2014, Numar persoane, 11959
18 ani, Masculin, Total, Regiunea NORD-EST, Anul 1992, Numar persoane, 33945
18 ani, Masculin, Total, Regiunea NORD-EST, Anul 1993, Numar persoane, 37005
18 ani, Masculin, Total, Regiunea NORD-EST, Anul 1994, Numar persoane, 36005
18 ani, Masculin, Total, Regiunea NORD-EST, Anul 1995, Numar persoane, 35507
18 ani, Masculin, Total, Regiunea NORD-EST, Anul 1996, Numar persoane, 35590
18 ani, Masculin, Total, Regiunea NORD-EST, Anul 1997, Numar persoane, 36148
18 ani, Masculin, Total, Regiunea NORD-EST, Anul 1998, Numar persoane, 35546
18 ani, Masculin, Total, Regiunea NORD-EST, Anul 1999, Numar persoane, 34809
18 ani, Masculin, Total, Regiunea NORD-EST, Anul 2000, Numar persoane, 33593
18 ani, Masculin, Total, Regiunea NORD-EST, Anul 2001, Numar persoane, 30487
18 ani, Masculin, Total, Regiunea NORD-EST, Anul 2002, Numar persoane, 28650
18 ani, Masculin, Total, Regiunea NORD-EST, Anul 2003, Numar persoane, 30749
18 ani, Masculin, Total, Regiunea NORD-EST, Anul 2004, Numar persoane, 31533
18 ani, Masculin, Total, Regiunea NORD-EST, Anul 2005, Numar persoane, 34069
18 ani, Masculin, Total, Regiunea NORD-EST, Anul 2006, Numar persoane, 34367
18 ani, Masculin, Total, Regiunea NORD-EST, Anul 2007, Numar persoane, 33789
18 ani, Masculin, Total, Regiunea NORD-EST, Anul 2008, Numar persoane, 32614
18 ani, Masculin, Total, Regiunea NORD-EST, Anul 2009, Numar persoane, 28970
18 ani, Masculin, Total, Regiunea NORD-EST, Anul 2010, Numar persoane, 26150
18 ani, Masculin, Total, Regiunea NORD-EST, Anul 2011, Numar persoane, 25111
18 ani, Masculin, Total, Regiunea NORD-EST, Anul 2012, Numar persoane, 24291
18 ani, Masculin, Total, Regiunea NORD-EST, Anul 2013, Numar persoane, 24600
18 ani, Masculin, Total, Regiunea NORD-EST, Anul 2014, Numar persoane, 23332
18 ani, Masculin, Total, Regiunea SUD-EST, Anul 1992, Numar persoane, 23652
18 ani, Masculin, Total, Regiunea SUD-EST, Anul 1993, Numar persoane, 27319
18 ani, Masculin, Total, Regiunea SUD-EST, Anul 1994, Numar persoane, 26748
18 ani, Masculin, Total, Regiunea SUD-EST, Anul 1995, Numar persoane, 26594
18 ani, Masculin, Total, Regiunea SUD-EST, Anul 1996, Numar persoane, 27142
18 ani, Masculin, Total, Regiunea SUD-EST, Anul 1997, Numar persoane, 26315
18 ani, Masculin, Total, Regiunea SUD-EST, Anul 1998, Numar persoane, 26421
18 ani, Masculin, Total, Regiunea SUD-EST, Anul 1999, Numar persoane, 25570
18 ani, Masculin, Total, Regiunea SUD-EST, Anul 2000, Numar persoane, 24530
18 ani, Masculin, Total, Regiunea SUD-EST, Anul 2001, Numar persoane, 21479
18 ani, Masculin, Total, Regiunea SUD-EST, Anul 2002, Numar persoane, 20538
18 ani, Masculin, Total, Regiunea SUD-EST, Anul 2003, Numar persoane, 22833
18 ani, Masculin, Total, Regiunea SUD-EST, Anul 2004, Numar persoane, 23380
18 ani, Masculin, Total, Regiunea SUD-EST, Anul 2005, Numar persoane, 24669
18 ani, Masculin, Total, Regiunea SUD-EST, Anul 2006, Numar persoane, 25446
18 ani, Masculin, Total, Regiunea SUD-EST, Anul 2007, Numar persoane, 24663
18 ani, Masculin, Total, Regiunea SUD-EST, Anul 2008, Numar persoane, 23971
18 ani, Masculin, Total, Regiunea SUD-EST, Anul 2009, Numar persoane, 20162
18 ani, Masculin, Total, Regiunea SUD-EST, Anul 2010, Numar persoane, 17293
18 ani, Masculin, Total, Regiunea SUD-EST, Anul 2011, Numar persoane, 16774
18 ani, Masculin, Total, Regiunea SUD-EST, Anul 2012, Numar persoane, 16026
18 ani, Masculin, Total, Regiunea SUD-EST, Anul 2013, Numar persoane, 15813
18 ani, Masculin, Total, Regiunea SUD-EST, Anul 2014, Numar persoane, 15290
18 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1992, Numar persoane, 27472
18 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1993, Numar persoane, 31065
18 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1994, Numar persoane, 30021
18 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1995, Numar persoane, 30283
18 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1996, Numar persoane, 29765
18 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1997, Numar persoane, 28758
18 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1998, Numar persoane, 28614
18 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 1999, Numar persoane, 27605
18 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2000, Numar persoane, 26100
18 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2001, Numar persoane, 23461
18 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2002, Numar persoane, 22042
18 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2003, Numar persoane, 24741
18 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2004, Numar persoane, 25783
18 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2005, Numar persoane, 27599
18 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2006, Numar persoane, 28171
18 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2007, Numar persoane, 27864
18 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2008, Numar persoane, 26885
18 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2009, Numar persoane, 22199
18 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2010, Numar persoane, 20261
18 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2011, Numar persoane, 19933
18 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2012, Numar persoane, 19534
18 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2013, Numar persoane, 18872
18 ani, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2014, Numar persoane, 18125
18 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1992, Numar persoane, 19031
18 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1993, Numar persoane, 20602
18 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1994, Numar persoane, 20400
18 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1995, Numar persoane, 20108
18 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1996, Numar persoane, 20199
18 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1997, Numar persoane, 19473
18 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1998, Numar persoane, 19477
18 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1999, Numar persoane, 18956
18 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2000, Numar persoane, 17930
18 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2001, Numar persoane, 16900
18 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2002, Numar persoane, 16081
18 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2003, Numar persoane, 17677
18 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2004, Numar persoane, 17740
18 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2005, Numar persoane, 18884
18 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2006, Numar persoane, 18999
18 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2007, Numar persoane, 18640
18 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Numar persoane, 18114
18 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Numar persoane, 16128
18 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Numar persoane, 15069
18 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Numar persoane, 14390
18 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Numar persoane, 13685
18 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Numar persoane, 13298
18 ani, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2014, Numar persoane, 12494
18 ani, Feminin, Total, Regiunea NORD-EST, Anul 1992, Numar persoane, 31825
18 ani, Feminin, Total, Regiunea NORD-EST, Anul 1993, Numar persoane, 34735
18 ani, Feminin, Total, Regiunea NORD-EST, Anul 1994, Numar persoane, 34212
18 ani, Feminin, Total, Regiunea NORD-EST, Anul 1995, Numar persoane, 33199
18 ani, Feminin, Total, Regiunea NORD-EST, Anul 1996, Numar persoane, 33840
18 ani, Feminin, Total, Regiunea NORD-EST, Anul 1997, Numar persoane, 34280
18 ani, Feminin, Total, Regiunea NORD-EST, Anul 1998, Numar persoane, 33613
18 ani, Feminin, Total, Regiunea NORD-EST, Anul 1999, Numar persoane, 33071
18 ani, Feminin, Total, Regiunea NORD-EST, Anul 2000, Numar persoane, 31959
18 ani, Feminin, Total, Regiunea NORD-EST, Anul 2001, Numar persoane, 29032
18 ani, Feminin, Total, Regiunea NORD-EST, Anul 2002, Numar persoane, 27395
18 ani, Feminin, Total, Regiunea NORD-EST, Anul 2003, Numar persoane, 29830
18 ani, Feminin, Total, Regiunea NORD-EST, Anul 2004, Numar persoane, 30117
18 ani, Feminin, Total, Regiunea NORD-EST, Anul 2005, Numar persoane, 32508
18 ani, Feminin, Total, Regiunea NORD-EST, Anul 2006, Numar persoane, 33127
18 ani, Feminin, Total, Regiunea NORD-EST, Anul 2007, Numar persoane, 32749
18 ani, Feminin, Total, Regiunea NORD-EST, Anul 2008, Numar persoane, 31597
18 ani, Feminin, Total, Regiunea NORD-EST, Anul 2009, Numar persoane, 27753
18 ani, Feminin, Total, Regiunea NORD-EST, Anul 2010, Numar persoane, 24933
18 ani, Feminin, Total, Regiunea NORD-EST, Anul 2011, Numar persoane, 24146
18 ani, Feminin, Total, Regiunea NORD-EST, Anul 2012, Numar persoane, 23188
18 ani, Feminin, Total, Regiunea NORD-EST, Anul 2013, Numar persoane, 23205
18 ani, Feminin, Total, Regiunea NORD-EST, Anul 2014, Numar persoane, 22195
18 ani, Feminin, Total, Regiunea SUD-EST, Anul 1992, Numar persoane, 22527
18 ani, Feminin, Total, Regiunea SUD-EST, Anul 1993, Numar persoane, 25786
18 ani, Feminin, Total, Regiunea SUD-EST, Anul 1994, Numar persoane, 25261
18 ani, Feminin, Total, Regiunea SUD-EST, Anul 1995, Numar persoane, 25469
18 ani, Feminin, Total, Regiunea SUD-EST, Anul 1996, Numar persoane, 25896
18 ani, Feminin, Total, Regiunea SUD-EST, Anul 1997, Numar persoane, 25093
18 ani, Feminin, Total, Regiunea SUD-EST, Anul 1998, Numar persoane, 24834
18 ani, Feminin, Total, Regiunea SUD-EST, Anul 1999, Numar persoane, 24378
18 ani, Feminin, Total, Regiunea SUD-EST, Anul 2000, Numar persoane, 23254
18 ani, Feminin, Total, Regiunea SUD-EST, Anul 2001, Numar persoane, 20684
18 ani, Feminin, Total, Regiunea SUD-EST, Anul 2002, Numar persoane, 19584
18 ani, Feminin, Total, Regiunea SUD-EST, Anul 2003, Numar persoane, 22174
18 ani, Feminin, Total, Regiunea SUD-EST, Anul 2004, Numar persoane, 22540
