
Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2008, Numar persoane, 1656596
Total, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2009, Numar persoane, 1651276
Total, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2010, Numar persoane, 1644588
Total, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2011, Numar persoane, 1636997
Total, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2012, Numar persoane, 1629002
Total, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2013, Numar persoane, 1621001
Total, Masculin, Total, Regiunea SUD-MUNTENIA, Anul 2014, Numar persoane, 1611491
Total, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1992, Numar persoane, 1205690
Total, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1993, Numar persoane, 1202448
Total, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1994, Numar persoane, 1200205
Total, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1995, Numar persoane, 1197804
Total, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1996, Numar persoane, 1193537
Total, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1997, Numar persoane, 1188532
Total, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1998, Numar persoane, 1183897
Total, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 1999, Numar persoane, 1179890
Total, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2000, Numar persoane, 1176798
Total, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2001, Numar persoane, 1174447
Total, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2002, Numar persoane, 1170053
Total, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2003, Numar persoane, 1164950
Total, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2004, Numar persoane, 1159418
Total, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2005, Numar persoane, 1154317
Total, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2006, Numar persoane, 1149373
Total, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2007, Numar persoane, 1143024
Total, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Numar persoane, 1136693
Total, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2009, Numar persoane, 1130598
Total, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2010, Numar persoane, 1124534
Total, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2011, Numar persoane, 1117744
Total, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2012, Numar persoane, 1111313
Total, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2013, Numar persoane, 1104852
Total, Masculin, Total, Regiunea SUD-VEST OLTENIA, Anul 2014, Numar persoane, 1097833
Total, Feminin, Total, Regiunea NORD-EST, Anul 1992, Numar persoane, 1936307
Total, Feminin, Total, Regiunea NORD-EST, Anul 1993, Numar persoane, 1935873
Total, Feminin, Total, Regiunea NORD-EST, Anul 1994, Numar persoane, 1937088
Total, Feminin, Total, Regiunea NORD-EST, Anul 1995, Numar persoane, 1939643
Total, Feminin, Total, Regiunea NORD-EST, Anul 1996, Numar persoane, 1941920
Total, Feminin, Total, Regiunea NORD-EST, Anul 1997, Numar persoane, 1940968
Total, Feminin, Total, Regiunea NORD-EST, Anul 1998, Numar persoane, 1943960
Total, Feminin, Total, Regiunea NORD-EST, Anul 1999, Numar persoane, 1948980
Total, Feminin, Total, Regiunea NORD-EST, Anul 2000, Numar persoane, 1953810
Total, Feminin, Total, Regiunea NORD-EST, Anul 2001, Numar persoane, 1959243
Total, Feminin, Total, Regiunea NORD-EST, Anul 2002, Numar persoane, 1963189
Total, Feminin, Total, Regiunea NORD-EST, Anul 2003, Numar persoane, 1964754
Total, Feminin, Total, Regiunea NORD-EST, Anul 2004, Numar persoane, 1963961
Total, Feminin, Total, Regiunea NORD-EST, Anul 2005, Numar persoane, 1963834
Total, Feminin, Total, Regiunea NORD-EST, Anul 2006, Numar persoane, 1964438
Total, Feminin, Total, Regiunea NORD-EST, Anul 2007, Numar persoane, 1963103
Total, Feminin, Total, Regiunea NORD-EST, Anul 2008, Numar persoane, 1962563
Total, Feminin, Total, Regiunea NORD-EST, Anul 2009, Numar persoane, 1962601
Total, Feminin, Total, Regiunea NORD-EST, Anul 2010, Numar persoane, 1961840
Total, Feminin, Total, Regiunea NORD-EST, Anul 2011, Numar persoane, 1958820
Total, Feminin, Total, Regiunea NORD-EST, Anul 2012, Numar persoane, 1957017
Total, Feminin, Total, Regiunea NORD-EST, Anul 2013, Numar persoane, 1959084
Total, Feminin, Total, Regiunea NORD-EST, Anul 2014, Numar persoane, 1964713
Total, Feminin, Total, Regiunea SUD-EST, Anul 1992, Numar persoane, 1507311
Total, Feminin, Total, Regiunea SUD-EST, Anul 1993, Numar persoane, 1509142
Total, Feminin, Total, Regiunea SUD-EST, Anul 1994, Numar persoane, 1510850
Total, Feminin, Total, Regiunea SUD-EST, Anul 1995, Numar persoane, 1511179
Total, Feminin, Total, Regiunea SUD-EST, Anul 1996, Numar persoane, 1511381
Total, Feminin, Total, Regiunea SUD-EST, Anul 1997, Numar persoane, 1509655
Total, Feminin, Total, Regiunea SUD-EST, Anul 1998, Numar persoane, 1509305
Total, Feminin, Total, Regiunea SUD-EST, Anul 1999, Numar persoane, 1509978
Total, Feminin, Total, Regiunea SUD-EST, Anul 2000, Numar persoane, 1510410
Total, Feminin, Total, Regiunea SUD-EST, Anul 2001, Numar persoane, 1510677
Total, Feminin, Total, Regiunea SUD-EST, Anul 2002, Numar persoane, 1510141
Total, Feminin, Total, Regiunea SUD-EST, Anul 2003, Numar persoane, 1508494
Total, Feminin, Total, Regiunea SUD-EST, Anul 2004, Numar persoane, 1506518
Total, Feminin, Total, Regiunea SUD-EST, Anul 2005, Numar persoane, 1505209
Total, Feminin, Total, Regiunea SUD-EST, Anul 2006, Numar persoane, 1503816
Total, Feminin, Total, Regiunea SUD-EST, Anul 2007, Numar persoane, 1501176
Total, Feminin, Total, Regiunea SUD-EST, Anul 2008, Numar persoane, 1499856
Total, Feminin, Total, Regiunea SUD-EST, Anul 2009, Numar persoane, 1498684
Total, Feminin, Total, Regiunea SUD-EST, Anul 2010, Numar persoane, 1496696
Total, Feminin, Total, Regiunea SUD-EST, Anul 2011, Numar persoane, 1493396
Total, Feminin, Total, Regiunea SUD-EST, Anul 2012, Numar persoane, 1488853
Total, Feminin, Total, Regiunea SUD-EST, Anul 2013, Numar persoane, 1485122
Total, Feminin, Total, Regiunea SUD-EST, Anul 2014, Numar persoane, 1479510
Total, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 1992, Numar persoane, 1813914
Total, Feminin, Total, Regiunea SUD-MUNTENIA, Anul 1993, Numar persoane, 1809336
