
Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Masculin, Total, Regiunea NORD-VEST, Anul 1992, Numar persoane, 1467531
Total, Masculin, Total, Regiunea NORD-VEST, Anul 1993, Numar persoane, 1461399
Total, Masculin, Total, Regiunea NORD-VEST, Anul 1994, Numar persoane, 1456153
Total, Masculin, Total, Regiunea NORD-VEST, Anul 1995, Numar persoane, 1451025
Total, Masculin, Total, Regiunea NORD-VEST, Anul 1996, Numar persoane, 1444700
Total, Masculin, Total, Regiunea NORD-VEST, Anul 1997, Numar persoane, 1438254
Total, Masculin, Total, Regiunea NORD-VEST, Anul 1998, Numar persoane, 1432304
Total, Masculin, Total, Regiunea NORD-VEST, Anul 1999, Numar persoane, 1428133
Total, Masculin, Total, Regiunea NORD-VEST, Anul 2000, Numar persoane, 1424655
Total, Masculin, Total, Regiunea NORD-VEST, Anul 2001, Numar persoane, 1421583
Total, Masculin, Total, Regiunea NORD-VEST, Anul 2002, Numar persoane, 1416952
Total, Masculin, Total, Regiunea NORD-VEST, Anul 2003, Numar persoane, 1411946
Total, Masculin, Total, Regiunea NORD-VEST, Anul 2004, Numar persoane, 1407447
Total, Masculin, Total, Regiunea NORD-VEST, Anul 2005, Numar persoane, 1403187
Total, Masculin, Total, Regiunea NORD-VEST, Anul 2006, Numar persoane, 1400574
Total, Masculin, Total, Regiunea NORD-VEST, Anul 2007, Numar persoane, 1398071
Total, Masculin, Total, Regiunea NORD-VEST, Anul 2008, Numar persoane, 1396941
Total, Masculin, Total, Regiunea NORD-VEST, Anul 2009, Numar persoane, 1396346
Total, Masculin, Total, Regiunea NORD-VEST, Anul 2010, Numar persoane, 1395462
Total, Masculin, Total, Regiunea NORD-VEST, Anul 2011, Numar persoane, 1395100
Total, Masculin, Total, Regiunea NORD-VEST, Anul 2012, Numar persoane, 1393122
Total, Masculin, Total, Regiunea NORD-VEST, Anul 2013, Numar persoane, 1391143
Total, Masculin, Total, Regiunea NORD-VEST, Anul 2014, Numar persoane, 1389464
Total, Masculin, Total, Regiunea CENTRU, Anul 1992, Numar persoane, 1344186
Total, Masculin, Total, Regiunea CENTRU, Anul 1993, Numar persoane, 1340918
Total, Masculin, Total, Regiunea CENTRU, Anul 1994, Numar persoane, 1337356
Total, Masculin, Total, Regiunea CENTRU, Anul 1995, Numar persoane, 1334768
Total, Masculin, Total, Regiunea CENTRU, Anul 1996, Numar persoane, 1329691
Total, Masculin, Total, Regiunea CENTRU, Anul 1997, Numar persoane, 1324894
Total, Masculin, Total, Regiunea CENTRU, Anul 1998, Numar persoane, 1320715
Total, Masculin, Total, Regiunea CENTRU, Anul 1999, Numar persoane, 1317634
Total, Masculin, Total, Regiunea CENTRU, Anul 2000, Numar persoane, 1315170
Total, Masculin, Total, Regiunea CENTRU, Anul 2001, Numar persoane, 1314009
Total, Masculin, Total, Regiunea CENTRU, Anul 2002, Numar persoane, 1312517
Total, Masculin, Total, Regiunea CENTRU, Anul 2003, Numar persoane, 1309640
