
Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Feminin, Total, Mures, Anul 2010, Numar persoane, 307387
Total, Feminin, Total, Mures, Anul 2011, Numar persoane, 306902
Total, Feminin, Total, Mures, Anul 2012, Numar persoane, 306297
0- 4 ani, Masculin, Total, Covasna, Anul 1999, Numar persoane, 6304
0- 4 ani, Masculin, Total, Covasna, Anul 2000, Numar persoane, 6413
0- 4 ani, Masculin, Total, Covasna, Anul 2001, Numar persoane, 6571
0- 4 ani, Masculin, Total, Covasna, Anul 2002, Numar persoane, 6674
0- 4 ani, Masculin, Total, Covasna, Anul 2003, Numar persoane, 6623
0- 4 ani, Masculin, Total, Covasna, Anul 2004, Numar persoane, 6672
0- 4 ani, Masculin, Total, Covasna, Anul 2005, Numar persoane, 6738
0- 4 ani, Masculin, Total, Covasna, Anul 2006, Numar persoane, 6736
0- 4 ani, Masculin, Total, Covasna, Anul 2007, Numar persoane, 6774
0- 4 ani, Masculin, Total, Covasna, Anul 2008, Numar persoane, 6736
0- 4 ani, Masculin, Total, Covasna, Anul 2009, Numar persoane, 6734
0- 4 ani, Masculin, Total, Covasna, Anul 2010, Numar persoane, 6692
0- 4 ani, Masculin, Total, Covasna, Anul 2011, Numar persoane, 6591
0- 4 ani, Masculin, Total, Covasna, Anul 2012, Numar persoane, 6369
0- 4 ani, Masculin, Total, Harghita, Anul 1999, Numar persoane, 9555
0- 4 ani, Masculin, Total, Harghita, Anul 2000, Numar persoane, 9575
0- 4 ani, Masculin, Total, Harghita, Anul 2001, Numar persoane, 9639
0- 4 ani, Masculin, Total, Harghita, Anul 2002, Numar persoane, 9644
0- 4 ani, Masculin, Total, Harghita, Anul 2003, Numar persoane, 9450
0- 4 ani, Masculin, Total, Harghita, Anul 2004, Numar persoane, 9382
0- 4 ani, Masculin, Total, Harghita, Anul 2005, Numar persoane, 9311
0- 4 ani, Masculin, Total, Harghita, Anul 2006, Numar persoane, 9243
0- 4 ani, Masculin, Total, Harghita, Anul 2007, Numar persoane, 9365
0- 4 ani, Masculin, Total, Harghita, Anul 2008, Numar persoane, 9422
0- 4 ani, Masculin, Total, Harghita, Anul 2009, Numar persoane, 9456
0- 4 ani, Masculin, Total, Harghita, Anul 2010, Numar persoane, 9512
0- 4 ani, Masculin, Total, Harghita, Anul 2011, Numar persoane, 9391
0- 4 ani, Masculin, Total, Harghita, Anul 2012, Numar persoane, 9123
0- 4 ani, Masculin, Total, Mures, Anul 1999, Numar persoane, 16638
0- 4 ani, Masculin, Total, Mures, Anul 2000, Numar persoane, 16487
0- 4 ani, Masculin, Total, Mures, Anul 2001, Numar persoane, 16836
0- 4 ani, Masculin, Total, Mures, Anul 2002, Numar persoane, 16921
0- 4 ani, Masculin, Total, Mures, Anul 2003, Numar persoane, 16864
0- 4 ani, Masculin, Total, Mures, Anul 2004, Numar persoane, 16892
0- 4 ani, Masculin, Total, Mures, Anul 2005, Numar persoane, 16901
0- 4 ani, Masculin, Total, Mures, Anul 2006, Numar persoane, 16822
0- 4 ani, Masculin, Total, Mures, Anul 2007, Numar persoane, 16877
0- 4 ani, Masculin, Total, Mures, Anul 2008, Numar persoane, 16900
0- 4 ani, Masculin, Total, Mures, Anul 2009, Numar persoane, 16996
0- 4 ani, Masculin, Total, Mures, Anul 2010, Numar persoane, 17006
0- 4 ani, Masculin, Total, Mures, Anul 2011, Numar persoane, 16668
0- 4 ani, Masculin, Total, Mures, Anul 2012, Numar persoane, 16390
0- 4 ani, Feminin, Total, Covasna, Anul 1999, Numar persoane, 6164
0- 4 ani, Feminin, Total, Covasna, Anul 2000, Numar persoane, 6314
0- 4 ani, Feminin, Total, Covasna, Anul 2001, Numar persoane, 6414
0- 4 ani, Feminin, Total, Covasna, Anul 2002, Numar persoane, 6401
0- 4 ani, Feminin, Total, Covasna, Anul 2003, Numar persoane, 6343
0- 4 ani, Feminin, Total, Covasna, Anul 2004, Numar persoane, 6297
0- 4 ani, Feminin, Total, Covasna, Anul 2005, Numar persoane, 6266
0- 4 ani, Feminin, Total, Covasna, Anul 2006, Numar persoane, 6372
0- 4 ani, Feminin, Total, Covasna, Anul 2007, Numar persoane, 6481
0- 4 ani, Feminin, Total, Covasna, Anul 2008, Numar persoane, 6466
0- 4 ani, Feminin, Total, Covasna, Anul 2009, Numar persoane, 6539
0- 4 ani, Feminin, Total, Covasna, Anul 2010, Numar persoane, 6489
0- 4 ani, Feminin, Total, Covasna, Anul 2011, Numar persoane, 6274
0- 4 ani, Feminin, Total, Covasna, Anul 2012, Numar persoane, 6078
0- 4 ani, Feminin, Total, Harghita, Anul 1999, Numar persoane, 9325
0- 4 ani, Feminin, Total, Harghita, Anul 2000, Numar persoane, 9252
0- 4 ani, Feminin, Total, Harghita, Anul 2001, Numar persoane, 9247
