Nem,Életkor,Város,Iskola,Háztartás,Vallás,Jövedelem,Munkaviszonya,Lakhely,Rászorulók segítése,,
nő,45-54,Igen,középiskola,egyedül él,4,1000 - 1999,Alkalmazott,Csíkszék,8,,
nő,35-44,Igen,felsőfokú,4,3,1000 - 1999,Alkalmazott,Csíkszék,4,,
férfi,25-34,Igen,felsőfokú,4,3,2000 - 2999,Egyéb,Csíkszék,3,,
férfi,25-34,Igen,felsőfokú,3,2,3000 RON +,Alkalmazott,Udvarhelyszék,6,,
férfi,25-34,Igen,felsőfokú,4,2,1000 - 1999,Alkalmazott,Udvarhelyszék,6,,
nő,55-64,Igen,elemi,2,3,1000 - 1999,Nyugdíjas,Udvarhelyszék,7,,
férfi,35-44,Igen,felsőfokú,3,-1,2000 - 2999,Alkalmazott,Csíkszék,4,,
nő,35-44,Igen,középiskola,2,2,1000 - 1999,Alkalmazott,Bardóc-Miklósvárszék,3,,
férfi,55-64,Igen,felsőfokú,3,0,1000 - 1999,Alkalmazott,Csíkszék,4,,
férfi,45-54,Igen,felsőfokú,3,4,2000 - 2999,Egyéb,Csíkszék,6,,
férfi,45-54,Igen,felsőfokú,5 +,0,1000 - 1999,Alkalmazott,Csíkszék,2,,
nő,25-34,Nem,középiskola,3,4,999 RON -,Vállalkozó,Gyergyószék,6,,
férfi,25-34,Igen,felsőfokú,egyedül él,-1,3000 RON +,Alkalmazott,Udvarhelyszék,6,,
nő,25-34,Nem,felsőfokú,2,4,2000 - 2999,Alkalmazott,Gyergyószék,4,,
férfi,35-44,Nem,középiskola,5 +,3,999 RON -,Gazdálkodó,Csíkszék,5,,
férfi,45-54,Igen,középiskola,3,3,1000 - 1999,Alkalmazott,Udvarhelyszék,6,,
férfi,35-44,Igen,felsőfokú,4,1,1000 - 1999,Alkalmazott,Csíkszék,4,,
férfi,25-34,Igen,középiskola,2,3,1000 - 1999,Alkalmazott,Csíkszék,4,,
