;0;Helyezés;Helyezés;Cégnév;Alkalmazottak száma 2018;Alkalmazottak száma 2017;Alkalmazottak száma 2016;region;nr;coords;kws;cms
25;26;28;MAXIMO IMPEX SRL;94;93;89;95;also-haromszek;26;['45.815801', ' 25.654853'];"['b\\xfatorok', 'fajatekok', '', '""']";527176, \xc1rapatak, F\xf5 u., 464\t
26;27;26;HEIDEMANN FASHION SRL;93;98;101;99;also-haromszek;27;['45.853035 ', ' 25.777868 '];"['nadraggyartas', '', '""']";520046, Sepsiszentgy\xf6rgy, J\xf3kai M\xf3r u., 38\t
27;28;25;ARCON INVEST SF SRL;85;101;151;159;also-haromszek;28;['45.868490 ', ' 25.789279 '];"['polisztiren-gyartas', '', '""']";520027, Sepsiszentgy\xf6rgy, K\xf5r\xf6si Csoma S\xe1ndor u., 32\t
28;29;33;CHOCO PACK SRL;83;73;73;61;also-haromszek;29;['45.858516 ', ' 25.808773 '];"['edesseg-nagykereskedes', '', '""']";520077, Sepsiszentgy\xf6rgy, Uzoni u., 4\t
29;30;34;BAUMEISTER SRL;81;73;85;103;also-haromszek;30;['45.858743 ', ' 25.793209 '];"['epitkezes', 'epitkezes-a-tol-z-ig', '', '""']";520089, Sepsiszentgy\xf6rgy, Iorga Nicolae u., 34C\t
30;31;48;INSTAL ALL SRL;79;57;61;67;also-haromszek;31;['45.859699 ', ' 25.783597 '];"['epitkezes', 'epitkezesi-szolgaltatasok', '', '""']";520055, Sepsiszentgy\xf6rgy, K\xf3s K\xe1roly u., 5/A\t
31;32;36;OREX IMPORT EXPORT SRL;79;72;64;63;also-haromszek;32;['46.125930 ', ' 25.558860 '];"['epitoanyag-lerakatok', 'festekek-es-lakkok', 'padlo--es-fali-csempe', 'szaniter-felszerelesek', 'csatornarendszerek', 'cserep-es-tegla', 'vas--es-vegyi-aru', 'beton-epitoelemek', '', '""']";527180, Vargyas, F\xf5 u., sz.n. - f.n.\t
32;33;30;FROM PRODUCT SRL;78;84;84;84;also-haromszek;33;['45.855129', ' 25.806651'];"['gyerekmatracok', 'jatekok-es-jatekszerek', 'cs\\xfaszdak', '', '""']";"520077, Sepsiszentgy\xf6rgy, P&#259;i&#351; David hadnagy u., 15/A\t"
33;34;35;LUCI SRL;77;72;71;62;also-haromszek;34;['45.6603020', ' 26.0167630'];"['kereskedelem', '', '""']";525300, Bodzafordul\xf3, Bar\xe1ts\xe1g u., 38\t
34;35;31;DRUMURI SI PODURI COVASNA SA;74;76;77;78;also-haromszek;35;['45.855076 ', ' 25.786644 '];"['hidak-es-utak', '', '""']";520033, Sepsiszentgy\xf6rgy, Cigaretta u., 44\t
35;36;41;ATAPLAST IMPEX SRL;71;63;53;47;also-haromszek;36;['45.863796', ' 25.794484'];"['muanyag-termekek', 'haztartasi-cikkek', '', '""']";520080, Sepsiszentgy\xf6rgy, 1918. December 1. u., 15\t
36;37;;HORVATH & VANCSA TRANS SRL;71;0;70;0;also-haromszek;37;['45.858434 ', ' 25.791018 '];"['belfoldi-arufuvarozas', 'folyekony-anyagok-szallitasa', 'specialis-vegyianyag-szallitas', 'veszelyes-anyagok-szallitasa', '', '""']";520032, Sepsiszentgy\xf6rgy, \xc1g u., 32/39A/1\t
37;38;40;EUROCOVASNA CONFECTII SRL;70;68;66;66;also-haromszek;38;['46.075344', ' 25.600977'];"['konfekcio', 'munkaruha-keszites', '', '""']";525100, Bar\xf3t, Kossuth Lajos u., 50A\t
38;39;38;TRIO IMPEX SRL;68;72;81;74;also-haromszek;39;['45.950000', ' 25.850000'];"['nemzetkozi-aruszallitas', '', '""']";527035, Sepsibodok, F\xf5 u., 291/A\t
39;40;46;TIPOGRAFIA DEICO SRL;67;59;59;55;also-haromszek;40;['45.86825530000001', ' 25.780200499999978'];"['nyomdak', '', '""']";520004, Sepsiszentgy\xf6rgy, Sajt\xf3 u., 8/B\t
40;41;42;IMPEX A.M.K. SRL;66;62;59;60;also-haromszek;41;['45.872128 ', ' 25.795534 '];"['abc-uzletek', 'elelmiszerek', 'vegyes-uzletek', '', '""']";520019, Sepsiszentgy\xf6rgy, Cs\xedki u., 26\t
41;42;32;TRICOMSERV SA;63;75;87;87;also-haromszek;42;['45.855076 ', ' 25.786644 '];"['hidroforok-gyartasa', 'viz--es-csatornahalozat', '', '""']";520033, Sepsiszentgy\xf6rgy, Cigaretta u., 46\t
42;43;44;DALIA PROD SRL;61;60;55;45;also-haromszek;43;['45.916122', ' 25.775598 '];"['viragkerteszet', 'kertepites-es-kerteszet', 'disznovenyek', 'diszfak-es-cserjek', 'viragtermesztes', 'zoldsovenyek', '', '""']";527165, Sepsik\xf5r\xf6spatak, DN12. Km 16+455, \t
43;44;50;HOPE SPED SRL;61;54;47;43;also-haromszek;44;['45.855076 ', ' 25.786644 '];"['szallitmanyozas', '', '""']";520033, Sepsiszentgy\xf6rgy, Cigaretta u., 57\t
44;45;;ARCON MEMBRANE SRL;60;-;-;-;also-haromszek;45;['45.85609', ' 25.80690'];"['szigetelo-anyagok', '', '""']";520077, Sepsiszentgy\xf6rgy, P\xe3i\xba David hadnagy u., 13-15\t
45;46;39;BON SWEET BON PRODUCTIE SRL;60;68;65;71;also-haromszek;46;['45.861235', ' 25.818515'];"['edesseg-nagykereskedes', '', '""']";520077, Sepsiszentgy\xf6rgy, \xc9p\xedt\xf5k u., 3\t
46;47;>50;TRAMAR SA;57;54;55;49;also-haromszek;47;['45.869573 ', ' 25.800705 '];"['aruszallitas', '', '""']";520036, Sepsiszentgy\xf6rgy, Oltmez\xf5 u., 13\t
47;48;37;S.P.C. ESCORT SRL;55;72;155;176;also-haromszek;48;['45.8794480', ' 25.7971520'];"['orzo-vedo-szolgaltatasok', '', '""']";520037, Sepsiszentgy\xf6rgy, \xc1rkosi u., 63\t
48;49;>50;KRISTO SRL;55;53;54;51;also-haromszek;49;['45.874891 ', ' 25.799117 '];"['cnc-megmunkalas', 'femmegmunkalas', '', '""']";520037, Sepsiszentgy\xf6rgy, \xdaj u., 11\t
49;50;47;CERAMICA VINCZI SRL;54;59;62;62;also-haromszek;50;['46.089444', ' 25.691389'];"['fakitermeles', '', '""']";527020, Nagybacon, Csinod u., 251\t
50;1;1;NEW FASHION SA;999;1 008;1 025;1 002;felso-haromszek;1;['45.9965860', ' 26.1403790'];"['nadraggyartas', 'textilipar', '', '""']";525400, K\xe9zdiv\xe1s\xe1rhely, Gy\xe1r u., 11\t
51;2;2;ZARAH MODEN SRL;764;785;778;839;felso-haromszek;2;['45.9969390', ' 26.1359670'];"['nadraggyartas', 'textilipar', '', 'INDUSTRIA TEXTILA', 'FABRICA DE PANTALONI""']";525400, K\xe9zdiv\xe1s\xe1rhely, B\xe9ke u., 27\t
52;3;3;SECUIANA SA;518;532;543;574;felso-haromszek;3;['45.997416 ', ' 26.136016 '];"['nadraggyartas', '', '""']";525400, K\xe9zdiv\xe1s\xe1rhely, B\xe9ke u., 42\t
