;0;Helyezés;Helyezés;Cégnév;Alkalmazottak száma 2018;Alkalmazottak száma 2017;Alkalmazottak száma 2016;region;nr;coords;kws;cms
224;25;31;DAW BENTA ROMANIA SRL;276;254;235;227;marosszek;25;['46.550000', ' 24.520000'];"['festekek-es-lakkok', '', '""']";547525, Marosszentkir\xe1ly, F\xf5 u., 201\t
225;26;20;SIRGOMBOS SECURITY SRL;276;313;316;255;marosszek;26;['46.5373470', ' 24.5537100'];"['orzo-vedo-szolgaltatasok', '', '""']";540023, Marosv\xe1s\xe1rhely, Liviu Rebreanu u., 34\t
226;27;38;BS PAZA SI PROTECTIE SRL;262;230;205;200;marosszek;27;['46.5394330', ' 24.5423760'];"['orzo-vedo-szolgaltatasok', '', '""']";540031, Marosv\xe1s\xe1rhely, Szabads\xe1g u., 10\t
227;28;29;CIE MATRICON SA;254;257;253;242;marosszek;28;['46.526409', ' 24.540352'];"['ontodek', '', '""']";540394, Marosv\xe1s\xe1rhely, D\xf3zsa Gy\xf6rgy u., 155\t
228;29;32;RUSANCOM PROD SRL;248;249;230;230;marosszek;29;['46.550000', '  24.520000'];"['munkaruha-es-salapetak', '', '""']";547526, N\xe1zn\xe1nfalva, F\xf5 u., 115/A\t
229;30;28;STA TRAVEL SERVICES SRL;248;267;169;-;marosszek;30;['46.5475840', ' 24.5608220'];"['utaztatas', '', '""']";540331, Marosv\xe1s\xe1rhely, Br\xe3ila u., 2-4\t
230;31;26;DARINA COM SRL;241;274;281;263;marosszek;31;['46.5239780', ' 24.5373020'];"['ettermek', 'hotelek', 'vendeglok', '', '""']";540210, Marosv\xe1s\xe1rhely, D\xf3zsa Gy\xf6rgy u., 177\t
231;32;34;FM ALLBRIGHT SRL;238;237;236;250;marosszek;32;['46.485833 ', ' 24.460833'];"['muanyagfroccsentes', '', '""']";547605, Ny\xe1r\xe1dt\xf5, , 1\t
232;33;36;ORTOPROFIL PROD ROMANIA SRL;235;236;219;218;marosszek;33;['46.555733', ' 24.549148'];"['orvosi-berendezesek', '', '""']";540253, Marosv\xe1s\xe1rhely, H\xeddv\xe9g u.,  44/A\t
233;34;39;ALLCOLORS SERV SRL;233;228;172;154;marosszek;34;['46.4717940', ' 24.4163430'];"['elektrosztatikus-porfestes', '', '""']";547612, Vidr\xe1tszeg, , 1/G/5\t
234;35;30;NARIDA SRL;231;255;233;227;marosszek;35;['46.485833', '  24.460833'];"['elelmiszeruzletek', '', '""']";547605, Ny\xe1r\xe1dt\xf5, F\xf5 u., 131\t
235;36;33;TOP ELECTRO SRL;228;248;235;233;marosszek;36;[' 46.585802', '  24.608151'];"['elektronikai-cikkek', '', '""']";547530, Marosszentgy\xf6rgy, F\xf6ldm\xfbves u., 1107\t
236;37;46;NOVA VITA HOSPITAL SA;219;198;193;193;marosszek;37;['46.536866', ' 24.553185'];"['egeszsegugy', '', '""']";540151, Marosv\xe1s\xe1rhely, Liviu Rebreanu u.,  29A/ CORP C5\t
237;38;40;SILETINA IMPEX SRL;216;225;232;222;marosszek;38;['46.535639', ' 46.558231'];"['szemelyszallitas', '', '""']";540447, Marosv\xe1s\xe1rhely, 1918 December 1 sug\xe1r\xfat, 92/4\t
238;39;44;DRUMURI SI PODURI MURES SRL;215;205;155;130;marosszek;39;['46.513686', ' 24.525768'];"['epitkezes', '', '', '""']";540229, Marosv\xe1s\xe1rhely, M\xe1rcius 8 u. ,  36/A/ P\t
239;40;42;BIO EEL SRL;210;217;205;175;marosszek;40;['46.523811', ' 24.542009'];"['farmakologiai-termekek', '', '""']";540390, Marosv\xe1s\xe1rhely, B\xe9ga u., 4\t
240;41;;COMOSERV SRL;206;193;226;44;marosszek;41;['46.54257', ' 24.57276'];"['gepeszet', '', '""']";540075, Marosv\xe1s\xe1rhely, Alexandru Papiu Ilarian u., 28\t
241;42;37;TIM KO BRUT SRL;199;235;215;240;marosszek;42;['46.5254300', ' 24.5501030'];"['kenyer', 'kenyer-es-pekaru', 'peksegek', 'peksutemenyek', 'pektermekek-es-sutemenyek', '', '""']";540390, Marosv\xe1s\xe1rhely, Bodoni u., 83/A\t
242;43;45;PEG PEREGO SRL;194;201;208;216;marosszek;43;['46.528186', ' 24.551101'];"['kezmuvesseg', '', '""']";540390, Marosv\xe1s\xe1rhely, Bodoni u., 68\t
243;44;41;REEA SRL;191;219;232;235;marosszek;44;['46.529074', ' 24.546735'];"['szoftverek', '', '""']";540110, Marosv\xe1s\xe1rhely, K\xf6zt\xe1rsas\xe1g u., 41\t
244;45;43;PROFESIONAL GUARD SRL;188;206;242;240;marosszek;45;['46.521179', ' 24.53606'];"['orzo-vedo-szolgaltatasok', '', '""']";540220, Marosv\xe1s\xe1rhely, Vajdahunyad u., 17/ B/30\t
245;46;>50;PIINEA DE CASA SRL;187;165;148;137;marosszek;46;['46.5556110', ' 24.5664580'];"['kenyer-es-pekaru', 'pektermekek-es-sutemenyek', '', '""']";540297, Marosv\xe1s\xe1rhely, K\xf3s K\xe1roly u., 21\t
246;47;35;SOCOT SA;185;237;262;335;marosszek;47;['46.548315', ' 24.572377'];"['epitkezes', '', '""']";540080, Marosv\xe1s\xe1rhely, Mihai Viteazul u., 36\t
247;48;47;MARKAS SERVICE SRL;182;187;153;101;marosszek;48;['46.540108', ' 24.553939'];"['epulettisztitas', '', '""']";540342, Marosv\xe1s\xe1rhely, Radnai u., 24/2\t
248;49;>50;PETRY RETAIL SRL;182;154;131;95;marosszek;49;['46.54836', ' 24.56494'];"['h\\xfas-es-hentesaru', '', '""']";540040, Marosv\xe1s\xe1rhely, R\xe1k\xf3czi l\xe9pcs\xf5, 1\t
249;50;48;E.ON ENERGIE ROMANIA SA;175;182;186;183;marosszek;50;['46.5337020', ' 24.5690430'];"['gazszolgaltatas', '', '""']";540554, Marosv\xe1s\xe1rhely, Pandurok sug\xe1r\xfat, 42 etaj/emelet II\t
250;1;1;ROMAQUA GROUP SA;1 983;1 911;1 902;1 895;gyergyoszek;1;['46.97242', ' 25.560612'];"['asvanyviz-kitermeles', 'asvanyviz-palackozas', '', '""']";535300, Borsz\xe9k, K\xe1rp\xe1tok u., 46\t
251;2;2;TOPLITA SA;264;293;307;346;gyergyoszek;2;['46.9265830', ' 25.3456390'];"['labbeli', 'labbeli-es-cipo', '', '""']";535700, Marosh\xe9v\xedz, \xaatefan cel Mare u., 84\t
252;3;3;ROMTOP INDUSTRIES SA;262;272;291;310;gyergyoszek;3;['46.926597', '  25.345660'];"['gyapj\\xfatermekek', '', '""']";"535700, Marosh\xe9v\xedz, &#350;tefan cel Mare u., 80\t"
253;4;4;ARTERIMPEX SRL;238;213;166;147;gyergyoszek;4;['46.721474 ', ' 25.586541 '];"['h\\xfasboltok', 'vagohid', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Kossuth Lajos u., 239\t
254;5;5;INDUSTRY TRANSILVAN SRL;190;197;200;191;gyergyoszek;5;['46.723683 ', ' 25.585721 '];"['brikettgyartas', 'b\\xfatorok', 'faipari-gepek', 'gepek-forgalmazasa', 'kerti-b\\xfatorok', 'kisb\\xfatorok', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Tat\xe1r u., 158\t
255;6;6;ROMAQUA SERV SA;138;145;133;129;gyergyoszek;6;['46.9706620', ' 25.5577690'];"['asvanyviz-forgalmazas', '', '""']";535300, Borsz\xe9k, K\xe1rp\xe1tok u., 46/C\t
256;7;8;DANICO SRL;101;92;87;49;gyergyoszek;7;['46.9229600', ' 25.3507380'];"['ruhanemuk', 'sportruhazat', '', '""']";"535700, Marosh\xe9v\xedz, B&#259;lcescu, Nicolae u., 37\t"
257;8;7;RENCO SRL;100;102;103;97;gyergyoszek;8;['46.721474', ' 25.586541'];"['cipo-es-labbeli', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Testv\xe9ris\xe9g sgt., 25\t
258;9;9;FAPICOM SRL;90;91;91;89;gyergyoszek;9;['46.714782', ' 25.576279 '];"['kenyer-es-pekaru', 'pektermekek', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Kossuth Lajos u., 222/F\t
259;10;16;AUTHENTIC MEAT SRL;88;68;44;35;gyergyoszek;10;['46.7156020', ' 25.5791690'];"['h\\xfas-es-hentesaru', 'h\\xfasuzletek', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Kossuth Lajos u., 239\t
260;11;14;INDUSTRY STEEL CORP SRL;83;76;73;62;gyergyoszek;11;['46.723683 ', ' 25.585721 '];"['csavarok-es-kotoelemek', 'vasalatok-gyartasa', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Tat\xe1r u., 157\t
261;12;13;DOMO WELLNESS ROMANIA SRL;82;77;43;45;gyergyoszek;12;['45.8647650', ' 25.7784270'];"['szaunak', 'wellness-kellekek', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Stadion u., 4\t
262;13;11;TOTAL MOTOR SERV SRL;77;80;50;17;gyergyoszek;13;['46.6662910', ' 25.5553110'];"['epitkezes', '', '""']";537305, Gyergy\xf3\xfajfalu, , 674/A\t
263;14;12;DETROIT CITY IMPORT EXPORT SRL;75;79;75;36;gyergyoszek;14;['46.8107480', ' 25.5014360'];"['falepcsok', 'famegmunkalas', '', '""']";537090, Gyergy\xf3ditr\xf3, Maros u., 104\t
264;15;18;GENEX COM SRL;75;67;67;58;gyergyoszek;15;['46.866531', ' 25.446213'];"['arufuvarozas-bel--es-kulfoldi', 'fafeldolgozas', 'fahazak', '', '""']";537262, Gyergy\xf3hodos, F\xf5 u., 1117\t
265;16;;IZSO UNIVERSAL COM SRL;72;72;71;70;gyergyoszek;16;['46.721726 ', ' 25.590778'];"['abc-uzletek', 'vegyes-uzletek', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, T\xfbzolt\xf3k u., 51/A\t
266;17;34;DEPISTO STAR SRL;71;48;48;37;gyergyoszek;17;['46.7234190', ' 25.5820830'];"['biztonsagi-rendszerek', 'biztonsagtechnika', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Tat\xe1r u., 151\t
267;18;21;ROBCONSTRUCT SRL;68;60;56;24;gyergyoszek;18;['46.8072550', ' 25.4574760'];"['epitkezes', '', '""']";537250, Gyergy\xf3remete, Millenium \xfat, 18\t
268;19;17;DORTOPFOREST SRL;64;68;69;65;gyergyoszek;19;['46.923802', ' 25.344751'];"['fakitermeles', '', '""']";535700, Marosh\xe9v\xedz, \xc1llom\xe1s u., 24-26\t
269;20;10;LACU ROSU SOCIETATE COOPERATIVA;60;80;103;113;gyergyoszek;20;['46.720343', ' 25.598960'];"['keszruhagyartas', 'konfekcioipar', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, F\xfcrd\xf5 u., 16\t
270;21;24;KOBEZOL SRL;58;55;54;53;gyergyoszek;21;['46.720932 ', ' 25.599863 '];"['ajto-ablakgyartas', 'parafa-burkolatok', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Szabads\xe1g t\xe9r, 27/A\t
271;22;19;GOSPODARIE ORASENEASCA SA;57;61;0;68;gyergyoszek;22;['46.7226520', ' 25.5919820'];"['hoenergia', 'varosgazdalkodas', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Vir\xe1g lak\xf3negyed, 7/parter\t
272;23;28;WERNETTO SRL;55;51;62;45;gyergyoszek;23;['46.7212110', ' 25.5855270'];"['epitkezes', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Dr. Jakab Antal t\xe9r, 6\t
273;24;32;HAMERLEMN 2004 SRL;54;40;41;39;gyergyoszek;24;['46.6989300', ' 25.5049070'];"['epitkezes', 'epuletfel\\xfajitas', '', '""']";537130, Gyergy\xf3alfalu, F\xf5 u., 123\t
274;25;23;ASTORIA SERVICE SRL;53;55;59;63;gyergyoszek;25;['46.9260300', ' 25.3534040'];"['epitoanyagok', '', '""']";535700, Marosh\xe9v\xedz, Sportol\xf3k u., 1\t
275;26;20;GAL FOREST SRL;50;60;60;61;gyergyoszek;26;['46.6960280', ' 25.5981230'];"['fafeldolgozas', 'b\\xfatorgyartas', '', '""']";537309, Teker\xf5patak, F\xf5 u., 361/A\t
276;27;29;GOLDEN SRL;50;49;46;49;gyergyoszek;27;['46.8107480', ' 25.5014360'];"['elelmiszeruzletek', 'vegyes-uzletek', '', '""']";"537090, Gyergy\xf3ditr\xf3, B&#259;lcescu, Nicolae u., 192\t"
277;28;30;END IBO SRL;48;48;46;45;gyergyoszek;28;['46.8069710', ' 25.4600040'];"['csokoladek', 'edesseggyartas', '', '""']";537250, Gyergy\xf3remete, Alszegi u., 81\t
278;29;22;P & P MIXT SRL;46;57;0;62;gyergyoszek;29;['46.7234190', ' 25.5820830'];"['vasalatok-gyartasa', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Tat\xe1r u., 157\t
279;30;37;FORTRANS DETROIT SRL;45;38;44;39;gyergyoszek;30;['46.8107480', ' 25.5014360'];"['epitoanyagok', 'szaniter-berendezesek', '', '""']";537090, Gyergy\xf3ditr\xf3, Orb\xe1n Bal\xe1zs u., 75\t
280;31;15;OCOLUL SILVIC DE REGIM GHEORGHENI SA;45;72;68;69;gyergyoszek;31;['46.7159110', ' 25.5807080'];"['erdeszeti-hivatalok', 'intezmenyek-es-hivatalok', 'fakitermeles', 'kozbirtokossagok', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Kossuth Lajos u., 36\t
281;32;26;TIG RAD SYSTEM SRL;45;52;59;53;gyergyoszek;32;['46.714782', ' 25.576279 '];"['fahazak', 'hetvegi-hazak', 'kerti-b\\xfatorok', 'kerti-hazak', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Kossuth Lajos u., 208/A\t
282;33;50;OBSTEA SARMASULUI COOPERTIVA AGRICOLA;43;33;17;9;gyergyoszek;33;['46.8852350', ' 25.4659480'];"['mezogazdasagi-szolgaltatasok', '', '""']";537261, Fundoja, , 798/A\t
283;34;43;PILCOOP SRL;41;35;26;27;gyergyoszek;34;['45.8609370', ' 25.7885800'];"['kenyer', 'peksegek', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Gyilkost\xf3 sgt., 21\t
284;35;27;TRANSMETAL SRL;41;52;53;52;gyergyoszek;35;['46.721474', ' 25.586541'];"['ontodek', '', '""']";525500, Gyergy\xf3szentmikl\xf3s, Testv\xe9ris\xe9g sgt., 23/A\t
285;36;;EXPLOSIV GROUP SRL;40;39;45;44;gyergyoszek;36;['46.7146720', ' 25.5761250'];"['ipari-szakuzletek', 'sifelszerelesek', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Kossuth Lajos u., 186\t
286;37;38;FARKAS CONSTRUCT SRL;40;37;36;48;gyergyoszek;37;['46.6799970', ' 25.5194540'];"['epitkezes', 'epuletfel\\xfajitas', '', '""']";537050, Gyergy\xf3csomafalva, K\xf6z\xe9pl\xe1b u., 1275\t
287;38;46;VIASTRADA SRL;40;34;27;23;gyergyoszek;38;['46.6960280', ' 25.5981230'];"['bel--es-kulfoldi-arufuvarozas', 'foldmunkalatok', '', '""']";537309, Teker\xf5patak, , 143/B\t
288;39;>50;COPET DINEX SRL;38;30;35;34;gyergyoszek;39;['46.8539390', ' 25.3657040'];"['fafeldolgozas', '', '""']";537301, C\xe3lnaci, F\xf5 u., 74\t
289;40;33;HUROM BUDA SRL;37;40;24;21;gyergyoszek;40;['46.685406', ' 25.517272'];"['epitkezes', 'epuletfel\\xfajitas', '', '""']";537050, Gyergy\xf3csomafalva, Maros u., 1366\t
290;41;40;ZENCO TRANS SRL;36;37;33;33;gyergyoszek;41;['46.9260300', ' 25.3534040'];"['aruszallitas', '', '""']";535700, Marosh\xe9v\xedz, , 2\t
291;42;44;AMECO RENEWABLE ENERGY SRL;35;34;30;59;gyergyoszek;42;['46.718254', ' 25.574541'];"['fafeldolgozas', '', '""']";537130, Gyergy\xf3alfalu, , 1\t
292;43;35;GAVRILS SRL;35;39;41;39;gyergyoszek;43;['46.723683 ', ' 25.585721 '];"['cipo-es-labbeli', 'labbeli-es-cipo', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, Tat\xe1r u., 151\t
293;44;31;DEATEX SRL;33;47;39;49;gyergyoszek;44;['46.9260300', ' 25.3534040'];"['textilaru', 'textilaru-es-rovidaru', '', '""']";535700, Marosh\xe9v\xedz, \xc1llom\xe1s u., 14\t
294;45;42;TRANSMARFLEMN TULGHES SRL;35;36;37;40;gyergyoszek;45;['46.950297', ' 25.756860'];"['szallitas', '', '""']";537330, Gyergy\xf3t\xf6lgyes, F\xf5 u., 739\t
295;46;>50;EURO POWERTEC SRL;35;32;28;26;gyergyoszek;46;['46.72109', ' 25.60328'];"['ettermek', 'hotelek', 'vendeglatas', '', '""']";535500, Gyergy\xf3szentmikl\xf3s, K\xe9t H\xedd u., 2\t
296;47;>50;MOL METAL SRL;32;28;26;26;gyergyoszek;47;['46.700000 ', ' 25.500000 '];"['bojlerek', 'furdoszobai-kazanok', '', '""']";537130, Gyergy\xf3alfalu, Bucsin u., 1\t
297;48;>50;PLUS HODOSA SRL;32;28;20;20;gyergyoszek;48;['46.86798', ' 25.44555'];"['nappali-barok', '', '""']";537262, Gyergy\xf3hodos, , 1395\t
298;49;45;AQUA CALIMANI SRL;31;34;35;37;gyergyoszek;49;['46.922981', ' 25.350802'];"['asvanyviz-forgalmazas', '', '""']";"535700, Marosh\xe9v\xedz, B&#259;lcescu, Nicolae u., 14\t"
299;50;>50;CRITOS DISTRIBUTION SRL;31;30;32;32;gyergyoszek;50;['46.9222460', ' 25.3520200'];"['szeszes-italok', '', '""']";535700, Marosh\xe9v\xedz, Miron Cristea u., 5\t
