X,Y,NAME,SIRUTA,OLD_POSTAL,RANG,TIP,SIRUTA_SUP,NAME_SUP,COUNTY,COUNTY_ID,COUNTY_MN,POP2002,REGION,REGION_ID,ENVIRO_TYP,SORT_CODE
25.29550618135891,46.306461559848465,Odorheiu Secuiesc,83142,4150,II,9,83133,Municipiul Odorheiu Secuiesc,Harghita,19,HR,39959,Centru,7,urban,2121726108202
25.34268657668737,46.343340233429842,Bradesti,83160,4151,IV,22,83151,Bradesti,Harghita,19,HR,911,Centru,7,rural,2150362301552
25.361210556085517,46.372419672779166,Tarnovita,83179,4166,V,23,83151,Bradesti,Harghita,19,HR,692,Centru,7,rural,2150362711933
25.383778527057089,46.340816536060196,Satu Mare,83188,4151,V,22,86501,Satu Mare,Harghita,19,HR,2017,Centru,7,rural,2152463310317
25.280398465083348,46.274465372547354,Feliceni,83204,4160,IV,22,83197,Feliceni,Harghita,19,HR,533,Centru,7,rural,2151011304687
25.315621781215945,46.234501726751674,Alexandrita,83213,4160,V,23,83197,Feliceni,Harghita,19,HR,49,Centru,7,rural,2151011700128
25.307415036530074,46.269671926766257,Arvateni,83222,4160,V,23,83197,Feliceni,Harghita,19,HR,88,Centru,7,rural,2151011700348
25.203518593469671,46.321922879099994,Cireseni,83231,4160,V,23,83197,Feliceni,Harghita,19,HR,164,Centru,7,rural,2151011702850
25.238577996087905,46.308168877756565,Forteni,83240,4160,V,23,83197,Feliceni,Harghita,19,HR,408,Centru,7,rural,2151011704840
25.25179308301497,46.284753940056667,Hoghia,83259,4160,V,23,83197,Feliceni,Harghita,19,HR,276,Centru,7,rural,2151011705865
25.254022077814838,46.25868070187326,Oteni,83268,4160,V,23,83197,Feliceni,Harghita,19,HR,215,Centru,7,rural,2151011708411
25.251763225232157,46.335009557971588,Polonita,83277,4160,V,23,83197,Feliceni,Harghita,19,HR,312,Centru,7,rural,2151011709330
25.261871377377087,46.269749060886916,Taureni,83286,4160,V,23,83197,Feliceni,Harghita,19,HR,431,Centru,7,rural,2151011711874
25.321767567013357,46.245498744412885,Teleac,83295,4160,V,23,83197,Feliceni,Harghita,19,HR,267,Centru,7,rural,2151011711978
25.330524933931599,46.26759195711567,Valeni,83302,4160,V,23,83197,Feliceni,Harghita,19,HR,264,Centru,7,rural,2151011713127
25.807298522931617,46.363308756541088,Miercurea Ciuc,83339,4100,II,9,83320,Municipiul Miercurea Ciuc,Harghita,19,HR,45769,Centru,7,urban,2111723107440
