X,Y,NAME,SIRUTA,OLD_POSTAL,RANG,TIP,SIRUTA_SUP,NAME_SUP,COUNTY,COUNTY_ID,COUNTY_MN,POP2002,REGION,REGION_ID,ENVIRO_TYP,SORT_CODE
24.896123466950172,46.225693025242585,Valea Daii,114685,3069,V,23,114603,Albesti,Mures,26,MS,7,Centru,7,rural,2850027712743
24.850214700075266,46.20631346762503,Valea Sapartocului,114694,3068,V,23,114603,Albesti,Mures,26,MS,6,Centru,7,rural,2850027712994
24.097168092112032,46.481860855958452,Ludus,114729,4350,III,17,114710,Oras Ludus,Mures,26,MS,16000,Centru,7,urban,2831974206762
24.099283566947761,46.536208428672623,Avramesti,114738,4360,V,18,114710,Oras Ludus,Mures,26,MS,208,Centru,7,urban,2831974600382
24.071617468390929,46.495307455078127,Cioarga,114747,4360,V,18,114710,Oras Ludus,Mures,26,MS,209,Centru,7,urban,2831974602759
24.10504362797284,46.501322638932855,Ciurgau,114756,4360,V,18,114710,Oras Ludus,Mures,26,MS,89,Centru,7,urban,2831974602939
24.043574202674531,46.543289633977594,Fundatura,114765,4360,V,18,114710,Oras Ludus,Mures,26,MS,5,Centru,7,urban,2831974604917
24.064906328399399,46.447274177473865,Gheja,114774,4361,V,18,114710,Oras Ludus,Mures,26,MS,1429,Centru,7,urban,2831974605163
24.094755784111339,46.514334363047141,Rosiori,114783,4360,V,18,114710,Oras Ludus,Mures,26,MS,849,Centru,7,urban,2831974610098
24.701938154870867,46.779964232070306,Reghin,114818,4225,II,9,114809,Municipiul Reghin,Mures,26,MS,35004,Centru,7,urban,2821740109944
24.694472173738376,46.752116130920939,Apalina,114827,4225,V,10,114809,Municipiul Reghin,Mures,26,MS,2863,Centru,7,urban,2821740500244
24.71919153179563,46.76386653005035,Iernuteni,114836,4225,V,10,114809,Municipiul Reghin,Mures,26,MS,1373,Centru,7,urban,2821740506087
25.070578717040764,46.597473537917082,Sovata,114863,3295,III,17,114854,Oras Sovata,Mures,26,MS,8935,Centru,7,urban,2832039211144
25.078759890949748,46.631470204059298,Capeti,114872,3295,V,18,114854,Oras Sovata,Mures,26,MS,178,Centru,7,urban,2832039602227
25.128017062315557,46.582550772378895,Iliesi,114881,3295,V,18,114854,Oras Sovata,Mures,26,MS,452,Centru,7,urban,2832039606129
25.062059607654898,46.624534296644534,Sacadat,114890,3295,V,18,114854,Oras Sovata,Mures,26,MS,937,Centru,7,urban,2832039610387
25.013305749947339,46.562466411340978,Sarateni,114907,3296,V,22,120496,Sarateni,Mures,26,MS,1610,Centru,7,rural,2852500310515
24.296618171931925,46.331913816382624,Tarnaveni,114934,3225,II,9,114925,Municipiul Tarnaveni,Mures,26,MS,28634,Centru,7,urban,2821759111928
24.301573442895386,46.282317509508886,Botorca,114943,3228,V,10,114925,Municipiul Tarnaveni,Mures,26,MS,406,Centru,7,urban,2821759501452
24.231659454002124,46.351914404161541,Bobohalma,114961,3237,V,11,114925,Municipiul Tarnaveni,Mures,26,MS,1480,Centru,7,urban,2821759501187
24.635072028976001,46.479971105460379,Acatari,114989,4329,IV,22,114970,Acatari,Mures,26,MS,1062,Centru,7,rural,2850005300015
24.592014573086235,46.428663320331651,Corbesti,114998,4331,V,23,114970,Acatari,Mures,26,MS,116,Centru,7,rural,2850005703205
24.670879958497896,46.425497291732995,Gaiesti,115003,4331,V,23,114970,Acatari,Mures,26,MS,446,Centru,7,rural,2850005705011
