Csíkszereda,2003, 12379
Csíkszereda,2010,13123
Csíkszereda,2018,15017
Székelyudvarhely,2008,16271
Székelyudvarhely,2010,16753
Székelyudvarhely,2018,18405
Gyergyószentmiklós,2000,4100
Gyergyószentmiklós,2010,6300
Gyergyószentmiklós,2018,8200
Sepsiszentgyörgy,2000,12009
Sepsiszentgyörgy,2010,17401
Sepsiszentgyörgy,2018,20126
