year,temp_avg,temp_mean,temp_mean80,temp_delta,temp_delta80,varos,value
2010,10.6,11.5,14.4,-0.9,0.3,BUDAPEST/PESTSZENTLORINC,1
2011,11.5,11.5,14.4,-0.0,5.5,BUDAPEST/PESTSZENTLORINC,1
2012,12.1,11.5,14.4,0.6,4.5,BUDAPEST/PESTSZENTLORINC,1
2013,11.8,11.5,14.4,0.4,0.8,BUDAPEST/PESTSZENTLORINC,1
2014,12.7,11.5,14.4,1.2,3.0,BUDAPEST/PESTSZENTLORINC,1
2015,11.9,11.5,14.4,0.4,3.2,BUDAPEST/PESTSZENTLORINC,1
2016,11.6,11.5,14.4,0.1,4.2,BUDAPEST/PESTSZENTLORINC,1
2017,11.7,11.5,14.4,0.2,1.5,BUDAPEST/PESTSZENTLORINC,1
2018,12.8,11.5,14.4,1.4,3.7,BUDAPEST/PESTSZENTLORINC,1
2019,14.6,13.1,14.4,1.5,3.1,BUDAPEST/PESTSZENTLORINC,1
1937,14.3,13.2,14.7,1.1,-2.8,TURNU-MAGURELE,1
1938,13.0,12.5,16.6,0.5,-0.9,TURNU-MAGURELE,1
1952,12.9,12.0,16.6,0.9,-0.8,TURNU-MAGURELE,1
1953,11.5,11.6,16.6,-0.1,-2.6,TURNU-MAGURELE,1
1954,6.2,9.5,17.3,-3.3,-0.5,TURNU-MAGURELE,1
1955,12.5,12.1,16.6,0.4,-1.4,TURNU-MAGURELE,1
1956,10.4,11.6,16.6,-1.4,-3.9,TURNU-MAGURELE,1
1957,12.5,12.5,18.3,0.1,-2.3,TURNU-MAGURELE,1
1958,13.9,12.5,18.3,1.4,-0.6,TURNU-MAGURELE,1
1959,13.2,13.7,17.3,-0.5,-1.6,TURNU-MAGURELE,1
1966,12.7,12.5,16.6,0.2,-0.2,TURNU-MAGURELE,1
1967,11.4,11.7,16.6,-0.3,-0.9,TURNU-MAGURELE,1
1973,10.5,11.8,16.6,-1.3,-3.5,TURNU-MAGURELE,1
1974,11.3,11.3,16.6,0.0,-1.9,TURNU-MAGURELE,1
1975,11.9,11.8,16.6,0.1,-2.3,TURNU-MAGURELE,1
1976,10.5,11.7,16.6,-1.2,-3.5,TURNU-MAGURELE,1
1977,11.3,11.5,16.6,-0.2,-4.2,TURNU-MAGURELE,1
1978,10.6,11.7,16.6,-1.1,-3.2,TURNU-MAGURELE,1
1979,11.4,11.8,16.6,-0.3,-4.4,TURNU-MAGURELE,1
1980,10.4,11.6,16.6,-1.1,-1.4,TURNU-MAGURELE,1
1981,11.6,11.7,16.6,-0.1,-0.7,TURNU-MAGURELE,1
1982,11.2,11.8,16.6,-0.6,-1.3,TURNU-MAGURELE,1
1983,11.5,11.8,16.6,-0.3,-3.4,TURNU-MAGURELE,1
1984,11.9,12.7,16.6,-0.8,0.1,TURNU-MAGURELE,1
1985,10.0,11.3,16.6,-1.4,-3.2,TURNU-MAGURELE,1
1986,11.0,11.8,16.6,-0.8,-2.7,TURNU-MAGURELE,1
1987,10.8,11.9,16.6,-1.2,-2.9,TURNU-MAGURELE,1
1988,11.5,11.9,16.6,-0.4,-4.1,TURNU-MAGURELE,1
1989,12.1,11.9,16.6,0.2,-2.7,TURNU-MAGURELE,1
1990,12.1,11.9,16.6,0.2,-2.5,TURNU-MAGURELE,1
1991,10.9,11.9,16.6,-0.9,-1.7,TURNU-MAGURELE,1
1992,12.0,11.9,16.6,0.1,-0.9,TURNU-MAGURELE,1
1993,11.1,11.9,16.6,-0.8,-0.4,TURNU-MAGURELE,1
1994,13.0,11.9,16.6,1.2,-1.4,TURNU-MAGURELE,1
1995,11.6,11.9,16.6,-0.3,-3.0,TURNU-MAGURELE,1
1997,10.8,11.9,16.6,-1.1,-5.1,TURNU-MAGURELE,1
1998,11.6,11.9,16.6,-0.3,-2.6,TURNU-MAGURELE,1
1999,11.6,11.4,16.6,0.3,-3.2,TURNU-MAGURELE,1
2000,12.0,11.3,16.6,0.6,-0.6,TURNU-MAGURELE,1
2001,12.2,11.9,16.6,0.3,-0.6,TURNU-MAGURELE,1
2002,14.4,14.0,19.8,0.5,-4.7,TURNU-MAGURELE,1
2014,14.6,13.9,16.6,0.7,-2.2,TURNU-MAGURELE,1
2015,13.2,12.0,16.6,1.3,-2.3,TURNU-MAGURELE,1
2016,12.5,11.9,16.6,0.6,-3.0,TURNU-MAGURELE,1
2017,12.3,11.9,16.6,0.5,-1.9,TURNU-MAGURELE,1
2018,12.8,11.9,16.6,0.9,-0.9,TURNU-MAGURELE,1
2019,15.0,13.9,22.2,1.1,-1.5,TURNU-MAGURELE,1
1973,10.4,11.2,14.3,-0.8,2.5,SIOFOK,1
1974,11.1,11.2,14.3,-0.2,2.1,SIOFOK,1
1975,11.1,11.2,14.3,-0.1,3.9,SIOFOK,1
1976,10.2,11.2,14.3,-1.0,0.8,SIOFOK,1
1977,10.6,11.1,14.3,-0.5,0.4,SIOFOK,1
1978,10.0,11.4,14.3,-1.4,1.1,SIOFOK,1
1979,10.8,11.3,14.3,-0.4,2.2,SIOFOK,1
1980,9.9,11.4,14.3,-1.6,1.7,SIOFOK,1
1981,11.3,11.4,14.3,-0.1,3.1,SIOFOK,1
1982,10.9,11.4,14.3,-0.4,5.0,SIOFOK,1
1983,11.0,11.2,14.3,-0.2,2.6,SIOFOK,1
1984,10.0,11.2,14.3,-1.1,2.2,SIOFOK,1
1985,9.6,11.4,14.3,-1.7,2.5,SIOFOK,1
1986,10.5,11.4,14.3,-0.9,2.0,SIOFOK,1
1987,9.8,11.2,14.3,-1.3,4.4,SIOFOK,1
1988,10.7,11.1,14.3,-0.3,2.0,SIOFOK,1
1989,11.0,11.2,14.3,-0.2,2.2,SIOFOK,1
1990,11.4,11.2,14.3,0.2,0.9,SIOFOK,1
1991,10.4,11.4,14.3,-1.0,3.5,SIOFOK,1
1992,11.7,11.1,14.3,0.6,2.9,SIOFOK,1
1993,10.3,10.9,14.3,-0.6,2.0,SIOFOK,1
1994,12.0,11.3,14.3,0.8,4.8,SIOFOK,1
1995,11.0,11.1,14.3,-0.1,1.2,SIOFOK,1
1996,10.5,11.9,14.3,-1.4,-0.7,SIOFOK,1
1997,8.8,9.3,14.3,-0.6,2.7,SIOFOK,1
1998,11.0,11.7,14.3,-0.6,1.5,SIOFOK,1
1999,11.3,11.7,14.3,-0.3,4.8,SIOFOK,1
2000,12.4,11.7,14.3,0.7,2.1,SIOFOK,1
2001,11.5,11.7,14.3,-0.2,1.2,SIOFOK,1
2002,12.1,11.7,14.3,0.4,1.8,SIOFOK,1
2003,11.0,11.7,14.3,-0.6,2.6,SIOFOK,1
2004,10.9,11.7,14.3,-0.7,2.3,SIOFOK,1
2005,10.7,11.7,14.3,-0.9,3.3,SIOFOK,1
2006,11.5,11.7,14.3,-0.2,3.9,SIOFOK,1
2007,12.7,11.7,14.3,1.0,0.9,SIOFOK,1
2008,12.3,11.7,14.3,0.6,1.8,SIOFOK,1
2009,12.0,11.7,14.3,0.3,4.8,SIOFOK,1
2010,10.9,11.7,14.3,-0.7,1.0,SIOFOK,1
2011,11.6,11.7,14.3,-0.1,5.5,SIOFOK,1
2012,12.4,11.7,14.3,0.7,4.6,SIOFOK,1
2013,11.9,11.7,14.3,0.3,1.8,SIOFOK,1
2014,12.7,11.7,14.3,1.1,3.2,SIOFOK,1
2015,12.1,11.7,14.3,0.4,3.8,SIOFOK,1
2016,12.0,11.7,14.3,0.3,4.7,SIOFOK,1
2017,12.2,11.7,14.3,0.5,2.2,SIOFOK,1
2018,13.2,11.7,14.3,1.5,4.7,SIOFOK,1
2019,15.0,13.2,14.3,1.8,4.1,SIOFOK,1
1973,9.7,10.1,23.6,-0.5,-4.9,NYIREGYHAZA,1
1974,10.0,10.0,23.4,0.0,-7.5,NYIREGYHAZA,1
1975,10.2,10.2,23.6,0.0,-4.6,NYIREGYHAZA,1
1976,9.3,10.2,23.6,-0.9,-5.2,NYIREGYHAZA,1
1977,9.7,10.2,23.6,-0.5,-4.6,NYIREGYHAZA,1
1978,8.7,10.2,23.6,-1.5,-6.0,NYIREGYHAZA,1
1979,9.7,10.0,23.6,-0.3,-2.1,NYIREGYHAZA,1
1980,9.1,10.7,23.6,-1.7,-6.2,NYIREGYHAZA,1
1981,9.7,10.2,23.6,-0.5,-3.6,NYIREGYHAZA,1
1982,9.6,10.3,23.6,-0.7,-4.7,NYIREGYHAZA,1
1983,10.1,10.5,23.6,-0.4,-5.2,NYIREGYHAZA,1
1984,8.9,9.9,23.6,-1.0,-6.8,NYIREGYHAZA,1
1985,8.1,10.2,23.6,-2.1,-6.9,NYIREGYHAZA,1
1986,9.6,10.4,23.6,-0.7,-4.3,NYIREGYHAZA,1
1987,8.3,10.0,23.6,-1.8,-4.7,NYIREGYHAZA,1
1988,9.7,10.4,23.6,-0.7,-4.8,NYIREGYHAZA,1
1989,10.3,10.3,23.6,-0.2,-6.6,NYIREGYHAZA,1
1990,10.2,10.2,23.6,-0.0,-5.4,NYIREGYHAZA,1
1991,8.9,10.3,24.3,-1.4,-5.4,NYIREGYHAZA,1
1992,10.1,10.3,23.6,-0.2,-4.0,NYIREGYHAZA,1
1993,9.3,9.7,23.6,-0.6,-4.7,NYIREGYHAZA,1
1994,10.7,10.2,23.6,0.5,-4.6,NYIREGYHAZA,1
1995,9.8,10.0,23.6,-0.1,-5.0,NYIREGYHAZA,1
1996,9.6,10.8,23.6,-1.2,-3.6,NYIREGYHAZA,1
1997,7.8,8.5,23.6,-0.7,-4.3,NYIREGYHAZA,1
1998,9.7,10.6,23.6,-0.8,-4.0,NYIREGYHAZA,1
1999,10.6,10.6,23.6,-0.0,-2.9,NYIREGYHAZA,1
2000,11.3,10.6,23.6,0.8,-3.3,NYIREGYHAZA,1
2001,10.3,10.6,23.6,-0.3,-6.2,NYIREGYHAZA,1
2002,11.0,10.6,23.6,0.4,-3.5,NYIREGYHAZA,1
2003,10.0,10.6,23.6,-0.6,-2.5,NYIREGYHAZA,1
2004,9.5,10.6,23.6,-1.0,-5.4,NYIREGYHAZA,1
2005,9.5,10.6,23.6,-1.1,-5.3,NYIREGYHAZA,1
2006,10.0,10.6,23.6,-0.6,-4.7,NYIREGYHAZA,1
2007,11.5,10.6,23.6,0.9,-2.2,NYIREGYHAZA,1
2008,11.1,10.6,23.6,0.5,-3.5,NYIREGYHAZA,1
2009,11.0,10.6,23.6,0.5,-4.8,NYIREGYHAZA,1
2010,10.1,10.6,23.6,-0.5,-4.5,NYIREGYHAZA,1
2011,10.6,10.6,23.6,-0.0,-3.3,NYIREGYHAZA,1
2012,10.9,10.6,23.6,0.3,-3.3,NYIREGYHAZA,1
2013,10.9,10.6,23.6,0.3,-3.5,NYIREGYHAZA,1
2014,11.9,10.6,23.6,1.3,-4.1,NYIREGYHAZA,1
2015,11.2,10.6,23.6,0.6,-3.3,NYIREGYHAZA,1
2016,10.9,10.6,23.6,0.3,-3.1,NYIREGYHAZA,1
2017,10.9,10.6,23.6,0.3,-2.5,NYIREGYHAZA,1
2018,12.2,10.6,23.6,1.7,-2.9,NYIREGYHAZA,1
2019,13.6,12.2,23.6,1.4,-0.6,NYIREGYHAZA,1
1973,13.1,14.1,14.4,-0.9,-1.4,CATALOI,1
1974,8.3,10.3,14.2,-1.7,-1.5,CATALOI,1
1975,11.6,10.5,14.8,1.1,-0.0,CATALOI,1
1976,11.9,13.9,14.6,-2.0,-2.1,CATALOI,1
1977,11.1,11.5,15.3,-0.4,-1.0,CATALOI,1
1978,10.6,11.7,15.3,-1.1,-1.8,CATALOI,1
1979,11.6,11.7,15.3,-0.1,-0.5,CATALOI,1
1980,10.3,11.7,15.3,-1.4,-1.1,CATALOI,1
1981,11.3,11.6,15.3,-0.3,-0.2,CATALOI,1
1982,11.4,12.0,15.3,-0.5,-0.1,CATALOI,1
1983,11.4,11.8,15.3,-0.4,-1.2,CATALOI,1
1984,11.2,12.7,14.9,-1.5,-1.5,CATALOI,1
1985,8.9,11.2,15.3,-2.0,-1.3,CATALOI,1
1986,10.9,11.6,14.8,-0.7,-0.7,CATALOI,1
1987,9.5,11.8,14.8,-2.3,-0.3,CATALOI,1
1988,10.8,11.8,14.8,-1.0,-0.7,CATALOI,1
1989,12.1,11.8,14.8,0.3,-0.2,CATALOI,1
1990,12.4,11.9,14.8,0.5,0.6,CATALOI,1
1991,10.8,11.8,14.8,-1.0,-0.2,CATALOI,1
1992,11.3,11.8,14.8,-0.6,0.2,CATALOI,1
1993,10.5,11.8,14.8,-1.3,-0.3,CATALOI,1
1994,12.6,11.8,14.8,0.8,0.8,CATALOI,1
1995,11.3,11.8,14.8,-0.5,-0.5,CATALOI,1
1996,10.6,11.8,14.8,-1.2,0.2,CATALOI,1
1997,10.4,11.8,14.8,-1.4,-0.7,CATALOI,1
1998,11.5,11.8,14.8,-0.3,-0.5,CATALOI,1
1999,11.9,11.7,14.8,0.3,0.5,CATALOI,1
2000,12.3,11.8,14.8,0.5,1.3,CATALOI,1
2001,11.8,11.8,14.8,-0.0,-0.4,CATALOI,1
2002,12.7,12.2,16.4,0.5,0.2,CATALOI,1
2003,10.3,11.6,12.9,-1.3,-0.6,CATALOI,1
2004,12.5,12.7,15.3,-0.1,-0.3,CATALOI,1
2005,12.1,12.5,15.3,-0.4,-0.7,CATALOI,1
2006,11.9,12.2,15.3,-0.3,0.0,CATALOI,1
2007,13.0,11.8,14.8,1.2,0.9,CATALOI,1
2008,12.4,11.8,14.8,0.6,0.5,CATALOI,1
2009,12.2,11.8,14.8,0.4,0.5,CATALOI,1
2010,12.2,11.8,14.8,0.4,1.1,CATALOI,1
2011,11.2,11.8,14.8,-0.7,0.3,CATALOI,1
2012,12.5,11.8,14.8,0.6,1.8,CATALOI,1
2013,12.6,11.8,14.8,0.8,0.5,CATALOI,1
2014,12.2,11.8,14.8,0.4,0.5,CATALOI,1
2015,12.6,11.8,14.8,0.8,1.4,CATALOI,1
2016,12.5,11.8,14.8,0.7,0.6,CATALOI,1
2017,12.2,11.8,14.8,0.4,1.3,CATALOI,1
2018,12.3,11.8,14.8,0.5,0.7,CATALOI,1
2019,14.7,13.5,20.9,1.2,1.1,CATALOI,1
1973,10.0,11.0,6.0,-1.0,-3.2,HENRI COANDA,1
1974,10.4,11.0,6.0,-0.6,-0.8,HENRI COANDA,1
1975,11.1,11.0,6.0,0.1,1.4,HENRI COANDA,1
1976,9.8,11.0,6.0,-1.2,-2.8,HENRI COANDA,1
1977,10.7,11.0,6.0,-0.3,0.4,HENRI COANDA,1
1978,9.8,11.0,6.0,-1.2,-0.2,HENRI COANDA,1
1979,10.5,11.0,6.0,-0.4,0.8,HENRI COANDA,1
1980,9.4,11.0,6.0,-1.6,-3.6,HENRI COANDA,1
1981,10.5,11.0,6.0,-0.5,0.7,HENRI COANDA,1
1982,10.4,11.0,6.0,-0.6,-1.9,HENRI COANDA,1
1983,10.7,11.0,6.0,-0.3,0.8,HENRI COANDA,1
1984,10.3,11.0,6.0,-0.7,-2.9,HENRI COANDA,1
1985,9.4,11.0,6.0,-1.6,-4.8,HENRI COANDA,1
1986,10.5,11.0,6.0,-0.5,-2.0,HENRI COANDA,1
1987,9.8,11.0,6.0,-1.1,-6.4,HENRI COANDA,1
1988,9.8,11.0,6.0,-1.2,-0.9,HENRI COANDA,1
1989,11.1,11.0,6.0,0.1,2.4,HENRI COANDA,1
1990,11.1,11.0,6.0,0.1,3.2,HENRI COANDA,1
1991,9.6,11.0,6.0,-1.4,-1.3,HENRI COANDA,1
1992,10.5,11.0,6.0,-0.4,0.1,HENRI COANDA,1
1993,9.7,11.0,6.0,-1.3,-3.5,HENRI COANDA,1
1994,11.8,11.0,6.0,0.8,1.7,HENRI COANDA,1
1995,10.6,11.0,6.0,-0.4,-0.0,HENRI COANDA,1
1996,10.3,11.0,6.0,-0.7,-6.3,HENRI COANDA,1
1997,10.1,11.0,6.0,-0.9,-1.1,HENRI COANDA,1
1998,10.8,11.0,6.0,-0.2,-1.3,HENRI COANDA,1
1999,11.7,11.0,6.0,0.7,0.8,HENRI COANDA,1
2000,12.0,11.0,6.0,1.0,0.3,HENRI COANDA,1
2001,11.7,11.0,6.0,0.7,2.0,HENRI COANDA,1
2002,11.7,11.0,6.0,0.7,3.0,HENRI COANDA,1
2003,11.0,11.0,6.0,-0.0,-3.4,HENRI COANDA,1
2004,11.1,11.0,6.0,0.1,0.7,HENRI COANDA,1
2005,10.8,11.0,6.0,-0.2,-2.2,HENRI COANDA,1
2006,11.3,11.0,6.0,0.3,-0.6,HENRI COANDA,1
2007,12.6,11.0,6.0,1.6,1.7,HENRI COANDA,1
2008,12.0,11.0,6.0,1.0,2.6,HENRI COANDA,1
2009,12.1,11.0,6.0,1.1,0.2,HENRI COANDA,1
2010,11.5,11.0,6.0,0.5,-0.4,HENRI COANDA,1
2011,11.0,11.0,6.0,0.0,-0.5,HENRI COANDA,1
2012,12.0,11.0,6.0,1.0,-0.4,HENRI COANDA,1
2013,12.0,11.0,6.0,1.0,-0.9,HENRI COANDA,1
2014,11.7,11.0,6.0,0.7,3.2,HENRI COANDA,1
2015,12.2,11.0,6.0,1.2,0.4,HENRI COANDA,1
2016,12.1,11.0,6.0,1.1,1.7,HENRI COANDA,1
2017,11.9,11.0,6.0,0.9,3.0,HENRI COANDA,1
2018,12.5,11.0,6.0,1.5,-2.3,HENRI COANDA,1
2019,14.5,12.8,6.0,1.6,3.4,HENRI COANDA,1
1973,10.8,10.9,20.0,-0.1,-0.2,BAJA,1
1974,10.7,10.6,19.5,0.1,-2.7,BAJA,1
1975,11.2,10.9,20.0,0.2,-1.2,BAJA,1
1976,10.3,10.9,20.0,-0.6,-1.2,BAJA,1
1977,11.2,10.9,20.0,0.3,-0.2,BAJA,1
1978,9.8,10.9,20.0,-1.1,-1.2,BAJA,1
1979,11.2,10.8,20.0,0.4,2.0,BAJA,1
1980,9.8,11.2,20.0,-1.3,-1.2,BAJA,1
1981,10.9,10.9,20.0,0.0,0.3,BAJA,1
1982,11.1,11.0,20.0,0.1,0.4,BAJA,1
1983,11.9,11.5,20.0,0.3,-1.1,BAJA,1
1984,9.6,10.8,20.0,-1.1,-2.1,BAJA,1
1985,9.3,11.0,20.0,-1.7,-2.6,BAJA,1
1986,10.2,11.0,20.0,-0.8,-1.1,BAJA,1
1987,8.6,10.4,20.0,-1.7,-2.4,BAJA,1
1988,10.8,11.2,20.0,-0.4,-0.5,BAJA,1
1989,11.0,10.8,20.0,0.2,-2.6,BAJA,1
1990,11.0,10.8,20.0,0.2,-1.0,BAJA,1
1991,9.9,11.2,20.0,-1.2,-0.7,BAJA,1
1992,11.9,11.2,20.0,0.7,0.0,BAJA,1
1993,10.6,10.6,21.5,-0.3,0.8,BAJA,1
1994,12.3,11.6,20.3,0.4,0.6,BAJA,1
1995,11.3,11.5,20.0,-0.4,-1.4,BAJA,1
1996,9.8,11.4,20.0,-1.6,0.1,BAJA,1
1997,8.7,9.3,20.0,-0.6,-0.6,BAJA,1
1998,10.3,11.1,20.0,-0.8,0.4,BAJA,1
1999,10.7,11.1,20.0,-0.5,-0.8,BAJA,1
2000,12.1,11.1,20.0,1.0,1.3,BAJA,1
2001,10.9,11.1,20.0,-0.2,-2.3,BAJA,1
2002,11.7,11.1,20.0,0.6,1.2,BAJA,1
2003,10.6,11.1,20.0,-0.5,3.3,BAJA,1
2004,10.6,11.1,20.0,-0.5,-1.1,BAJA,1
2005,10.2,11.1,20.0,-0.9,-1.1,BAJA,1
2006,10.9,11.1,20.0,-0.2,-0.4,BAJA,1
2007,11.8,11.1,20.0,0.7,1.7,BAJA,1
2008,11.9,11.1,20.0,0.8,1.1,BAJA,1
2009,11.6,11.1,20.0,0.5,-1.5,BAJA,1
2010,10.3,11.1,20.0,-0.8,-0.4,BAJA,1
2011,10.8,11.1,20.0,-0.4,0.1,BAJA,1
2012,11.4,11.1,20.0,0.3,1.0,BAJA,1
2013,11.3,11.1,20.0,0.1,-0.7,BAJA,1
2014,12.1,11.1,20.0,0.9,-0.6,BAJA,1
2015,11.4,11.1,20.0,0.2,-0.0,BAJA,1
2016,11.3,11.1,20.0,0.1,0.6,BAJA,1
2017,11.4,11.1,20.0,0.2,1.9,BAJA,1
2018,12.3,11.1,20.0,1.1,0.7,BAJA,1
2019,14.0,12.7,20.0,1.2,2.6,BAJA,1
1973,9.9,10.6,13.8,-0.7,2.2,GYOR,1
1974,10.6,10.6,13.8,-0.0,1.7,GYOR,1
1975,10.5,10.6,13.8,-0.1,4.2,GYOR,1
1976,9.9,10.6,13.8,-0.7,0.4,GYOR,1
1977,10.2,10.4,13.8,-0.3,0.1,GYOR,1
1978,9.4,10.7,13.8,-1.3,1.1,GYOR,1
1979,10.0,10.7,13.8,-0.7,2.1,GYOR,1
1980,9.2,11.0,13.8,-1.7,0.7,GYOR,1
1981,10.4,10.6,13.8,-0.2,2.6,GYOR,1
1982,10.6,10.9,13.8,-0.3,4.5,GYOR,1
1983,10.6,10.5,13.8,0.1,2.7,GYOR,1
1984,9.7,10.5,13.8,-0.8,1.7,GYOR,1
1985,8.9,10.4,13.8,-1.5,1.9,GYOR,1
1986,9.9,10.7,13.8,-0.8,1.1,GYOR,1
1987,9.6,10.7,13.8,-1.1,4.2,GYOR,1
1988,10.4,10.5,13.8,-0.1,1.8,GYOR,1
1989,10.6,10.5,13.8,0.2,2.1,GYOR,1
1990,10.7,10.4,13.8,0.3,0.5,GYOR,1
1991,10.0,10.8,13.8,-0.8,3.4,GYOR,1
1992,11.1,10.4,13.8,0.6,2.7,GYOR,1
1993,10.6,10.7,13.8,-0.0,2.3,GYOR,1
1994,11.4,10.7,13.8,0.8,4.0,GYOR,1
1995,11.1,11.3,13.8,-0.4,-0.0,GYOR,1
1996,10.0,11.2,13.8,-1.3,-1.3,GYOR,1
1997,8.4,9.3,13.8,-0.9,1.5,GYOR,1
1998,10.6,11.0,13.8,-0.3,1.3,GYOR,1
1999,10.7,11.0,13.8,-0.3,4.5,GYOR,1
2000,11.8,11.0,13.8,0.8,1.6,GYOR,1
2001,10.8,11.0,13.8,-0.2,0.4,GYOR,1
2002,11.6,11.0,13.8,0.7,1.1,GYOR,1
2003,10.9,11.0,13.8,-0.0,2.1,GYOR,1
2004,10.6,11.0,13.8,-0.4,2.0,GYOR,1
2005,10.2,11.0,13.8,-0.8,2.9,GYOR,1
2006,10.9,11.0,13.8,-0.1,3.9,GYOR,1
2007,11.8,11.0,13.8,0.8,0.2,GYOR,1
2008,11.4,11.0,13.8,0.5,1.3,GYOR,1
2009,11.1,11.0,13.8,0.1,3.6,GYOR,1
2010,10.1,11.0,13.8,-0.9,0.3,GYOR,1
2011,10.7,11.0,13.8,-0.2,4.3,GYOR,1
2012,11.4,11.0,13.8,0.4,3.7,GYOR,1
2013,11.0,11.0,13.8,0.0,1.2,GYOR,1
2014,11.8,11.0,13.8,0.8,2.3,GYOR,1
2015,11.3,11.0,13.8,0.3,3.2,GYOR,1
2016,11.2,11.0,13.8,0.2,4.0,GYOR,1
2017,11.2,11.0,13.8,0.2,1.6,GYOR,1
2018,12.1,11.0,13.8,1.1,3.2,GYOR,1
2019,13.8,12.5,13.8,1.3,2.6,GYOR,1
1973,9.7,10.5,18.8,-0.8,-0.7,PAPA,1
1974,10.0,10.4,18.1,-0.4,-2.5,PAPA,1
1975,10.0,10.6,18.8,-0.6,-1.8,PAPA,1
1976,9.3,10.6,18.8,-1.3,-0.9,PAPA,1
1977,10.0,10.6,18.8,-0.6,-0.2,PAPA,1
1978,9.1,10.6,18.8,-1.5,-1.4,PAPA,1
1979,10.1,10.5,18.8,-0.5,0.8,PAPA,1
1980,9.3,11.0,18.8,-1.7,-1.5,PAPA,1
1981,10.4,10.6,18.8,-0.2,0.2,PAPA,1
1982,10.4,10.6,18.8,-0.3,0.0,PAPA,1
1983,11.2,10.9,18.8,0.3,-0.3,PAPA,1
1984,9.3,10.3,18.8,-0.9,-1.8,PAPA,1
1985,9.4,10.6,18.8,-1.2,-2.3,PAPA,1
1986,10.0,10.8,18.8,-0.6,0.2,PAPA,1
1987,9.0,10.4,18.8,-1.4,-1.0,PAPA,1
1988,10.5,10.8,18.8,-0.3,-0.1,PAPA,1
1989,10.9,10.7,18.8,0.2,-2.2,PAPA,1
1990,10.7,10.3,20.3,0.4,-0.3,PAPA,1
1991,10.4,11.3,20.3,-0.9,-0.5,PAPA,1
1992,11.4,10.6,18.8,0.9,0.7,PAPA,1
1993,10.2,10.4,18.8,-0.2,0.2,PAPA,1
1994,10.8,10.3,18.8,0.7,0.2,PAPA,1
1995,9.4,9.7,18.8,-0.2,-1.1,PAPA,1
1996,9.3,10.9,18.8,-1.6,0.6,PAPA,1
1997,8.3,9.6,18.8,-1.2,-0.0,PAPA,1
1998,10.3,10.9,18.8,-0.5,0.7,PAPA,1
1999,10.4,10.9,18.8,-0.5,-0.5,PAPA,1
2000,11.8,10.9,18.8,0.9,1.7,PAPA,1
2001,10.7,11.0,18.8,-0.2,-2.1,PAPA,1
2002,11.8,11.1,18.8,0.6,2.9,PAPA,1
2003,11.0,10.9,18.8,0.1,3.6,PAPA,1
2004,10.1,10.9,18.8,-0.8,-0.9,PAPA,1
2005,9.9,10.9,18.8,-1.0,-0.2,PAPA,1
2006,11.0,10.9,18.8,0.1,0.8,PAPA,1
2007,12.1,10.9,18.8,1.2,2.9,PAPA,1
2008,11.7,10.9,18.8,0.8,1.7,PAPA,1
2009,11.3,10.9,18.8,0.4,-0.6,PAPA,1
2010,10.2,10.9,18.8,-0.7,0.2,PAPA,1
2011,10.8,10.9,18.8,-0.1,1.2,PAPA,1
2012,11.4,10.9,18.8,0.5,2.0,PAPA,1
2013,10.9,10.9,18.8,0.0,-0.1,PAPA,1
2014,11.9,10.9,18.8,1.0,0.3,PAPA,1
2015,11.2,10.9,18.8,0.3,0.8,PAPA,1
2016,11.2,10.9,18.8,0.3,1.0,PAPA,1
2017,11.1,10.9,18.8,0.2,2.4,PAPA,1
2018,12.0,10.9,18.8,1.1,1.3,PAPA,1
2019,13.7,12.3,18.8,1.4,3.6,PAPA,1
1973,13.7,14.6,20.7,-0.4,2.4,MIHAIL KOGALNICEANU,1
1974,7.4,9.0,19.4,-1.3,1.1,MIHAIL KOGALNICEANU,1
1975,14.8,14.8,21.3,-0.0,-0.2,MIHAIL KOGALNICEANU,1
1976,9.8,11.2,21.3,-1.4,-3.3,MIHAIL KOGALNICEANU,1
1977,10.7,11.2,21.3,-0.5,-0.5,MIHAIL KOGALNICEANU,1
1978,10.1,11.2,21.3,-1.1,-1.8,MIHAIL KOGALNICEANU,1
1979,11.1,11.2,21.3,-0.1,-0.6,MIHAIL KOGALNICEANU,1
1980,9.7,11.2,21.3,-1.5,-1.4,MIHAIL KOGALNICEANU,1
1981,10.8,11.2,21.3,-0.4,-0.4,MIHAIL KOGALNICEANU,1
1982,10.5,11.2,21.3,-0.7,-0.3,MIHAIL KOGALNICEANU,1
1983,10.7,11.2,21.3,-0.5,-1.7,MIHAIL KOGALNICEANU,1
1984,10.4,11.2,21.3,-0.8,-1.9,MIHAIL KOGALNICEANU,1
1985,9.4,11.2,21.3,-1.8,0.2,MIHAIL KOGALNICEANU,1
1986,10.5,11.2,21.3,-0.8,0.9,MIHAIL KOGALNICEANU,1
1987,9.4,11.2,21.3,-1.9,-1.8,MIHAIL KOGALNICEANU,1
1988,10.4,11.2,21.3,-0.8,0.4,MIHAIL KOGALNICEANU,1
1989,11.3,11.2,21.3,0.1,1.1,MIHAIL KOGALNICEANU,1
1990,11.6,11.2,21.3,0.4,0.3,MIHAIL KOGALNICEANU,1
1991,10.1,11.2,21.3,-1.1,-0.3,MIHAIL KOGALNICEANU,1
1992,10.8,11.2,21.3,-0.4,2.9,MIHAIL KOGALNICEANU,1
