datum,ora,program,helyszin,resztvevok
csut,15.00-19.00,BEMUTATKOZÁS,HOIA erdő (Törökvágás),egész csapat
csut,22.00-04.00,NŐI FOCI,Clujeana Arena,
pen,06.00-12.00,CITY TOUR,Központi park bejárata (Magyar Színházzal szemben),
pen,08.00-20.00,SPORT,Babes park,
pen,8.00-20.00,Foci(férfi),,5+1 fiú
pen,8.00-20.00,Kézilabda,,5 fiú és2 lány
pen,8.00-20.00,Kosárlabda,,3fiú és 2 lány
pen,10.00-20.00,BILIÁRD,"Champions (Május 1 tér, az 1-es troli végállomása)",
pen,11.00-,DARTS,"Champions (Május 1 tér, az 1-es troli végállomása)",
pen,11.00-,PAINTBALL,HOIA erdő,
pen,11.00-14.00,TÁJBICIKLI,Sportcsarnok előtti tér,
pen,15.00-17.00,CIKKÍRÁS,Unitárius Kollégium (Magyar -December 21- utca 9.),
pen,19.00-22.00,MIRAKOLIX játék,"Atmoszféra Caffé (Magyar utca, Soraval",
pen,22.00-24.00,ÉJJELILEPKE,KMDSZ iroda- egész csapat,
pen,24.00-06.00,RETRO buli,Roland Garros,
szo,08.00-20.00,TÁNCMARATON,Unitárius Kollégium (Magyar -December 21- utca 9.),1 fiú és 1lány
szo,08.00-13.00,PC JÁTÉKOK,Blade (Szentegyház -Iuliu Maniu- utca),1 fiú es 1 lány
szo,10.00-,Kézilabda,Babes park,5 fiú és 2 lány
szo,10.00-12.00,VIZIMAJÁLIS,Központi parki tó,1 fiú és 1 lány
szo,11.00-,CSOCSÓ,Heltai,
szo,12.00-22.00,KOCSMAJÁTÉKOK,Bulgakov Caffé,
szo,16.00-19.00,KULTÚRMARATON,Corvinus Pub,
szo,22.00-06.00,RETRO buli,Roland Garros,
vas,10.00-19.00,MAJÁLIS,Bükk,teljes csapat
vas,20.00-6.00,ZÁRÓ BULI,Irish&Music Pub,teljes csapat
