helyezes,pontszam,csapat
1,6853.35,diszkópatkányok
2,6756.88,romák
3,6673.9,fak-anál
4,6487.19,slicc
5,6015.28,mind1
6,5265.46,suvix
7,5216.91,how high
8,5212.31,bio-beton
9,5207.7,dzsiggesek
10,5081.43,beer-ka
11,5020.31,pa-lik
12,4734.26,oltári ban(c)zaj
13,4632.07,sárkányvíz
14,4592.97,noó-ki a?
15,4484.82,no name
16,4452.85,mittoomén?!.
17,4441.43,beerluck
18,4061.53,x-tázi napok
19,4040.8,69 (sixtynine)
20,3925.83,vastagtej
21,3338.91,töfi
22,3228.26,daltonok
23,3152.35,csecs
24,2973.6,maglaweiss
25,2574.5,fullánkok
