,Zsákmány,WhatsOn,WeSithek,Weedrák,WaTtaFák,Verbunk,Vansör,Vá$örhely,UNI-GUNS,Ű-Beer,Szűrt,Szeszkimók,Szeszesújvár,SzEscoBar,SZERVEZTEM,Sörös-terv,Shakesbeer,S'tudja,RoxtARRok,RÁMSZESZ,Quasalo,PopóLopók,MuraTúra,MozgéKonyak,Me of us one,Magyar Szisztem,Kóma-Szutra,K.O.SER,JAZZemeg,In-Team,IGNORE,genItália,FuckTúra,FehérlóPia,Drunkin' donuts,diaknapos csapat,DevaStation,Cum With Us,Cheeky-Share,Cheeklow,Búvármedvék,BorÁszok,Beez-Mute,Beerluck,BEER-ka,Basszhattyúk,Anyukád kedvenc csapata,Anti-biUnicum,amitakartok,A Kocka Másik Oldala,‘cuzGáz
Fotómaraton,81,79,104,103,92,72,54,114,111,52,103,98,0,0,77,96,104,125,21,69,0,106,68,115,110,91,121,120,111,68,0,102,122,28,104,50,81,109,71,94,116,0,82,73,83,23,71,27,71,101,73
Jenga,60,130,30,40,40,40,40,30,30,30,30,90,30,160,40,40,30,50,50,30,50,40,30,50,40,0,40,50,110,40,40,50,30,40,60,60,30,60,30,40,40,30,40,30,30,30,30,30,50,40,50
Karaoke,140,140,140,70,140,140,0,70,285,0,0,140,70,0,70,0,270,140,0,70,140,70,70,70,140,70,240,70,70,165,70,180,70,210,140,70,70,140,140,140,195,140,225,140,70,0,255,0,300,70,70
Kézilabda,170,50,90,50,130,90,50,225,90,50,50,50,50,0,50,170,170,250,90,50,50,130,50,130,50,50,90,50,90,130,130,130,200,50,50,90,130,90,90,300,90,90,90,170,50,90,90,50,90,50,130
Klán-Tour,116,73,116,73,128,116,72,127,155,128,73,90,2,137,133,2,141,155,72,128,133,2,127,111,127,116,155,128,113,73,73,111,127,127,90,111,116,113,72,141,113,128,127,90,128,73,116,137,133,141,137
Klán-Tour Night,172,150,172,148,167,149,165,170,188,167,150,164,83,161,169,83,166,188,165,149,169,83,158,184,158,172,188,167,176,148,148,184,170,158,164,184,149,176,165,166,176,149,170,164,149,150,149,161,169,166,161
Kosárlabda,90,130,90,170,130,90,130,90,90,50,90,170,50,0,50,50,130,250,200,50,50,170,90,50,50,50,50,90,50,300,50,130,225,50,90,0,90,90,50,170,130,90,130,90,50,50,130,50,50,90,0
Kultúrmaraton,193,159,192,163,162,184,133,195,171,121,194,146,84,0,196,186,164,218,53,147,190,162,158,193,160,172,147,152,130,165,151,181,166,120,185,187,184,181,102,169,158,148,212,172,156,179,164,170,150,188,92
LOL,50,0,50,75,10,110,75,25,75,10,10,50,150,75,50,150,50,75,75,50,50,150,125,50,125,50,75,10,95,75,75,50,25,125,50,50,110,95,75,50,95,50,25,50,50,0,110,75,50,50,75
Méta,30,90,130,170,90,50,30,90,170,90,50,130,90,90,90,30,90,300,30,50,90,50,90,200,130,130,250,50,50,50,50,225,170,30,130,90,130,50,50,170,50,50,90,90,50,90,130,130,90,90,30
Néptánc,132,136,133,197,121,182,69,192,179,124,169,163,212,0,185,0,78,95,112,88,147,49,174,67,75,131,165,199,59,187,66,120,209,0,37,75,201,116,0,168,183,108,217,118,130,162,169,175,90,82,53
Női foci,50,50,170,90,50,90,250,300,170,130,90,130,50,30,50,50,130,225,130,50,90,90,50,50,90,90,90,50,50,50,130,170,130,130,50,30,50,50,170,90,50,200,90,130,90,90,90,90,50,50,90
Póker,25,30,70,90,60,40,100,80,40,140,40,50,120,70,70,30,150,70,60,50,50,40,50,40,130,50,40,70,30,50,60,60,50,25,60,30,40,40,70,60,60,30,30,30,25,110,70,60,0,50,70
Röpi,50,70,50,70,70,120,70,70,200,70,70,70,70,90,90,70,150,200,70,90,90,70,70,170,70,50,200,70,90,70,70,170,70,70,70,170,120,90,70,150,90,90,70,70,90,70,120,90,90,150,90
Sakk,40,40,50,30,30,0,40,40,50,60,40,40,40,50,40,40,50,30,0,60,40,40,30,50,40,50,30,30,40,30,30,60,40,30,30,40,110,30,30,30,130,50,60,30,30,40,90,30,50,30,160
Slam,177,145,177,112,172,142,118,181,152,172,145,142,166,0,150,166,167,152,118,142,150,166,152,140,152,177,152,172,169,112,112,140,181,152,142,140,142,169,118,167,169,142,181,142,142,145,142,0,150,167,0
Staféta,122,58,80,92,110,106,82,128,112,64,104,108,0,0,78,0,102,124,98,100,86,90,74,126,60,84,120,0,76,150,68,130,160,94,0,0,116,0,62,140,114,88,96,118,72,0,70,0,0,0,66
Táblé,30,50,90,40,40,30,40,30,30,40,30,60,50,40,40,40,40,50,40,40,50,30,30,30,60,30,40,60,30,130,0,40,40,50,30,30,160,40,0,50,110,50,30,60,30,50,30,30,40,30,40
Táncmaraton,342,171,345,325,335,343,0,332,346,341,346,343,333,0,345,0,325,325,342,341,346,326,0,346,327,342,343,330,337,309,265,350,350,340,335,345,336,343,347,345,343,328,350,344,344,0,345,350,349,344,0
Úszás,102,72,0,140,70,80,66,126,76,0,84,116,64,0,92,78,120,160,106,104,0,108,68,124,90,110,130,0,62,122,60,150,112,0,0,0,74,118,0,0,114,88,100,98,96,86,0,128,94,82,0
Összesen,3644,3180,3573,3328,3662,3220,3076,4107,4858,3225,3263,4194,2845,1464,3537,2462,4552,5373,2770,3185,3297,3200,2598,3966,3625,3627,4620,3330,3223,3626,2527,4064,4547,2903,2847,2829,3982,3939,2721,4321,4165,3264,4224,3701,3055,2332,3634,2844,3911,3532,2263
