,Zsákmány,WhatsOn,WeSithek,Weedrák,WaTtaFák,Verbunk,Vansör,Vá$örhely,UNI-GUNS,Ű-Beer,Szűrt,Szeszkimók,Szeszesújvár,SzEscoBar,SZERVEZTEM,Sörös-terv,Shakesbeer,S'tudja,RoxtARRok,RÁMSZESZ,Quasalo,PopóLopók,MuraTúra,MozgéKonyak,Me of us one,Magyar Szisztem,Kóma-Szutra,K.O.SER,JAZZemeg,In-Team,IGNORE,genItália,FuckTúra,FehérlóPia,Drunkin' donuts,diaknapos csapat,DevaStation,Cum With Us,Cheeky-Share,Cheeklow,Búvármedvék,BorÁszok,Beez-Mute,Beerluck,BEER-ka,Basszhattyúk,Anyukád kedvenc csapata,Anti-biUnicum,amitakartok,A Kocka Másik Oldala,‘cuzGáz
Asztalitenisz,25,50,50,25,75,25,50,75,75,25,25,25,75,50,50,0,100,180,50,25,25,75,50,50,55,100,50,25,75,100,50,75,50,25,25,25,25,25,25,25,150,25,135,50,120,50,50,50,25,100,50
Beer-Pong,90,170,50,50,90,90,90,50,300,50,90,250,170,90,90,90,90,90,0,50,50,50,50,90,90,130,50,130,130,130,130,90,200,90,50,50,170,130,130,225,50,130,50,170,50,50,50,50,50,90,90
Bemutatkozó,128,120,75,225,208,42,213,25,342,140,68,141,145,25,160,41,203,328,105,252,35,102,48,322,115,68,266,180,132,25,52,178,200,91,277,80,145,335,137,106,230,90,290,350,127,25,188,112,242,54,49
Biliárd,20,30,30,100,20,20,50,30,20,20,30,120,30,0,30,50,20,40,20,30,20,30,20,30,20,40,30,30,40,20,150,30,30,20,40,50,40,50,20,20,30,40,40,20,20,0,20,80,30,40,30
Bogrács,106,85,90,93,98,101,0,116,145,108,100,80,93,0,109,104,100,127,0,121,100,93,92,97,111,123,111,95,76,123,83,118,120,75,101,96,105,82,95,103,97,94,104,92,102,0,69,81,122,109,102
Bolc,155,46,75,44,40,160,80,125,120,30,110,50,32,26,48,70,90,145,20,30,135,24,42,140,28,105,38,34,44,24,46,42,150,36,28,100,95,85,22,48,115,32,130,36,50,65,26,38,22,34,40
Chandelier,60,70,180,50,30,80,60,80,50,150,70,165,60,70,40,60,80,210,50,70,195,0,0,40,40,120,60,50,135,80,0,0,80,50,0,70,40,80,40,80,50,80,50,50,105,60,60,70,60,70,70
Chest-Pong,50,90,130,50,50,50,90,50,90,90,130,300,50,170,90,90,90,250,90,90,130,90,50,130,130,130,225,90,50,170,50,50,90,50,50,0,90,130,50,90,170,170,50,50,130,50,50,200,90,50,50
City Tour,247,147,153,116,246,88,232,177,284,233,185,193,95,0,217,225,275,229,174,217,58,169,185,242,184,183,268,194,82,137,113,203,246,168,143,157,231,252,101,106,193,145,244,178,153,237,260,190,256,294,205
Cooltúra,74,52,74,0,91,70,104,89,97,91,52,86,91,0,118,91,86,97,104,86,118,91,65,87,65,74,97,91,77,0,0,87,89,65,86,87,70,77,104,86,77,86,89,86,86,52,70,0,118,86,0
CS:GO,50,75,50,25,50,50,75,110,95,50,75,50,150,50,50,150,128,95,75,50,50,150,75,50,75,50,95,50,75,25,25,50,110,75,50,50,50,75,75,128,75,50,110,50,50,75,50,50,50,128,50
Csocsó,50,80,80,50,140,50,0,110,110,50,50,80,50,50,80,80,50,110,0,80,80,110,80,80,190,250,110,170,50,80,50,110,80,50,50,80,110,80,80,140,80,50,50,140,50,0,110,50,210,80,140
Dance Battle,80,180,80,80,130,130,80,180,80,130,180,130,0,0,300,0,240,80,80,30,300,0,80,80,80,80,80,130,130,80,80,80,180,80,130,80,130,130,80,240,130,30,180,130,0,180,130,0,300,240,0
Erotik,137,112,127,122,157,0,143,145,160,129,100,124,0,0,0,0,123,160,0,106,0,114,47,142,168,109,174,143,99,118,0,168,145,109,0,122,72,178,0,114,102,143,157,0,97,0,0,0,180,136,0
Férfi foci,200,50,50,50,90,90,225,130,170,90,130,50,90,30,90,130,250,50,170,90,30,130,50,90,90,50,300,50,90,90,50,50,130,90,0,30,170,130,50,170,90,50,130,90,50,50,130,90,90,50,0
