
CAEN Rev.1 (activitati ale economiei nationale - sectiuni), Categorii de salariati, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Lei  lei RON (incepand cu 2005), Valoare
C Industria extractiva, Total, Ialomita, Anul 2003, Lei, 8404901
C Industria extractiva, Total, Ialomita, Anul 2004, Lei, 11092654
C Industria extractiva, Total, Ialomita, Anul 2005, Lei, 928
C Industria extractiva, Total, Ialomita, Anul 2006, Lei, 1701
C Industria extractiva, Total, Ialomita, Anul 2007, Lei, 1724
C Industria extractiva, Total, Ialomita, Anul 2008, Lei, 2505
C Industria extractiva, Total, Prahova, Anul 1991, Lei, 9828
C Industria extractiva, Total, Prahova, Anul 1992, Lei, 31076
C Industria extractiva, Total, Prahova, Anul 1993, Lei, 96270
C Industria extractiva, Total, Prahova, Anul 1994, Lei, 254125
C Industria extractiva, Total, Prahova, Anul 1995, Lei, 315566
C Industria extractiva, Total, Prahova, Anul 1996, Lei, 425975
C Industria extractiva, Total, Prahova, Anul 1997, Lei, 940265
C Industria extractiva, Total, Prahova, Anul 1998, Lei, 1624529
C Industria extractiva, Total, Prahova, Anul 1999, Lei, 2246615
C Industria extractiva, Total, Prahova, Anul 2000, Lei, 3385047
C Industria extractiva, Total, Prahova, Anul 2001, Lei, 4717621
C Industria extractiva, Total, Prahova, Anul 2002, Lei, 6151515
C Industria extractiva, Total, Prahova, Anul 2003, Lei, 7604121
C Industria extractiva, Total, Prahova, Anul 2004, Lei, 8740089
C Industria extractiva, Total, Prahova, Anul 2005, Lei, 1206
C Industria extractiva, Total, Prahova, Anul 2006, Lei, 1417
C Industria extractiva, Total, Prahova, Anul 2007, Lei, 2034
C Industria extractiva, Total, Prahova, Anul 2008, Lei, 3406
C Industria extractiva, Total, Teleorman, Anul 1991, Lei, 11296
C Industria extractiva, Total, Teleorman, Anul 1992, Lei, 30602
C Industria extractiva, Total, Teleorman, Anul 1993, Lei, 109522
C Industria extractiva, Total, Teleorman, Anul 1994, Lei, 238929
C Industria extractiva, Total, Teleorman, Anul 1995, Lei, 302900
C Industria extractiva, Total, Teleorman, Anul 1996, Lei, 434704
C Industria extractiva, Total, Teleorman, Anul 1997, Lei, 1004235
C Industria extractiva, Total, Teleorman, Anul 1998, Lei, 1639787
C Industria extractiva, Total, Teleorman, Anul 1999, Lei, 2285989
C Industria extractiva, Total, Teleorman, Anul 2000, Lei, 3595368
C Industria extractiva, Total, Teleorman, Anul 2001, Lei, 4830818
C Industria extractiva, Total, Teleorman, Anul 2002, Lei, 6167831
C Industria extractiva, Total, Teleorman, Anul 2003, Lei, 7413335
C Industria extractiva, Total, Teleorman, Anul 2004, Lei, 10113598
C Industria extractiva, Total, Teleorman, Anul 2005, Lei, 1336
C Industria extractiva, Total, Teleorman, Anul 2006, Lei, 1245
C Industria extractiva, Total, Teleorman, Anul 2007, Lei, 1396
C Industria extractiva, Total, Teleorman, Anul 2008, Lei, 2173
C Industria extractiva, Total, Regiunea BUCURESTI - ILFOV, Anul 1991, Lei, 9735
C Industria extractiva, Total, Regiunea BUCURESTI - ILFOV, Anul 1992, Lei, 32284
C Industria extractiva, Total, Regiunea BUCURESTI - ILFOV, Anul 1993, Lei, 109745
C Industria extractiva, Total, Regiunea BUCURESTI - ILFOV, Anul 1994, Lei, 242439
C Industria extractiva, Total, Regiunea BUCURESTI - ILFOV, Anul 1995, Lei, 347885
C Industria extractiva, Total, Regiunea BUCURESTI - ILFOV, Anul 1996, Lei, 515968
C Industria extractiva, Total, Regiunea BUCURESTI - ILFOV, Anul 1997, Lei, 1327038
C Industria extractiva, Total, Regiunea BUCURESTI - ILFOV, Anul 1998, Lei, 2279243
C Industria extractiva, Total, Regiunea BUCURESTI - ILFOV, Anul 1999, Lei, 3215672
C Industria extractiva, Total, Regiunea BUCURESTI - ILFOV, Anul 2000, Lei, 5462743
C Industria extractiva, Total, Regiunea BUCURESTI - ILFOV, Anul 2001, Lei, 8330138
C Industria extractiva, Total, Regiunea BUCURESTI - ILFOV, Anul 2002, Lei, 9986266
C Industria extractiva, Total, Regiunea BUCURESTI - ILFOV, Anul 2003, Lei, 11151479
C Industria extractiva, Total, Regiunea BUCURESTI - ILFOV, Anul 2004, Lei, 13277222
C Industria extractiva, Total, Regiunea BUCURESTI - ILFOV, Anul 2005, Lei, 2368
C Industria extractiva, Total, Regiunea BUCURESTI - ILFOV, Anul 2006, Lei, 2626
C Industria extractiva, Total, Regiunea BUCURESTI - ILFOV, Anul 2007, Lei, 2201
C Industria extractiva, Total, Regiunea BUCURESTI - ILFOV, Anul 2008, Lei, 3940
C Industria extractiva, Total, Ilfov, Anul 1996, Lei, 474779
C Industria extractiva, Total, Ilfov, Anul 1997, Lei, 889270
C Industria extractiva, Total, Ilfov, Anul 1998, Lei, 1607306
C Industria extractiva, Total, Ilfov, Anul 1999, Lei, 2092763
C Industria extractiva, Total, Ilfov, Anul 2000, Lei, 3359854
C Industria extractiva, Total, Ilfov, Anul 2001, Lei, 4649176
C Industria extractiva, Total, Ilfov, Anul 2002, Lei, 6480440
C Industria extractiva, Total, Ilfov, Anul 2003, Lei, 7071034
C Industria extractiva, Total, Ilfov, Anul 2004, Lei, 7333655
C Industria extractiva, Total, Ilfov, Anul 2005, Lei, 1123
C Industria extractiva, Total, Ilfov, Anul 2006, Lei, 1015
C Industria extractiva, Total, Ilfov, Anul 2007, Lei, 1806
C Industria extractiva, Total, Ilfov, Anul 2008, Lei, 2078
C Industria extractiva, Total, Municipiul Bucuresti, Anul 1996, Lei, 530365
C Industria extractiva, Total, Municipiul Bucuresti, Anul 1997, Lei, 1424735
C Industria extractiva, Total, Municipiul Bucuresti, Anul 1998, Lei, 2435161
C Industria extractiva, Total, Municipiul Bucuresti, Anul 1999, Lei, 3412509
C Industria extractiva, Total, Municipiul Bucuresti, Anul 2000, Lei, 5842363
C Industria extractiva, Total, Municipiul Bucuresti, Anul 2001, Lei, 8835343
C Industria extractiva, Total, Municipiul Bucuresti, Anul 2002, Lei, 10412214
C Industria extractiva, Total, Municipiul Bucuresti, Anul 2003, Lei, 11639518
C Industria extractiva, Total, Municipiul Bucuresti, Anul 2004, Lei, 13789112
C Industria extractiva, Total, Municipiul Bucuresti, Anul 2005, Lei, 2444
C Industria extractiva, Total, Municipiul Bucuresti, Anul 2006, Lei, 2674
C Industria extractiva, Total, Municipiul Bucuresti, Anul 2007, Lei, 2230
C Industria extractiva, Total, Municipiul Bucuresti, Anul 2008, Lei, 4118
C Industria extractiva, Total, Mun. Bucuresti -incl. SAI, Anul 1991, Lei, 9735
C Industria extractiva, Total, Mun. Bucuresti -incl. SAI, Anul 1992, Lei, 32284
C Industria extractiva, Total, Mun. Bucuresti -incl. SAI, Anul 1993, Lei, 109745
C Industria extractiva, Total, Mun. Bucuresti -incl. SAI, Anul 1994, Lei, 242439
C Industria extractiva, Total, Mun. Bucuresti -incl. SAI, Anul 1995, Lei, 347885
C Industria extractiva, Total, MACROREGIUNEA PATRU, Anul 2008, Lei, 2218
C Industria extractiva, Total, Regiunea SUD-VEST OLTENIA, Anul 1991, Lei, 10951
C Industria extractiva, Total, Regiunea SUD-VEST OLTENIA, Anul 1992, Lei, 32120
C Industria extractiva, Total, Regiunea SUD-VEST OLTENIA, Anul 1993, Lei, 106873
C Industria extractiva, Total, Regiunea SUD-VEST OLTENIA, Anul 1994, Lei, 243455
C Industria extractiva, Total, Regiunea SUD-VEST OLTENIA, Anul 1995, Lei, 334749
C Industria extractiva, Total, Regiunea SUD-VEST OLTENIA, Anul 1996, Lei, 478989
C Industria extractiva, Total, Regiunea SUD-VEST OLTENIA, Anul 1997, Lei, 968543
C Industria extractiva, Total, Regiunea SUD-VEST OLTENIA, Anul 1998, Lei, 1743707
C Industria extractiva, Total, Regiunea SUD-VEST OLTENIA, Anul 1999, Lei, 2543609
C Industria extractiva, Total, Regiunea SUD-VEST OLTENIA, Anul 2000, Lei, 3975285
C Industria extractiva, Total, Regiunea SUD-VEST OLTENIA, Anul 2001, Lei, 5556150
C Industria extractiva, Total, Regiunea SUD-VEST OLTENIA, Anul 2002, Lei, 7031580
C Industria extractiva, Total, Regiunea SUD-VEST OLTENIA, Anul 2003, Lei, 8900376
C Industria extractiva, Total, Regiunea SUD-VEST OLTENIA, Anul 2004, Lei, 9897627
C Industria extractiva, Total, Regiunea SUD-VEST OLTENIA, Anul 2005, Lei, 1334
C Industria extractiva, Total, Regiunea SUD-VEST OLTENIA, Anul 2006, Lei, 1546
C Industria extractiva, Total, Regiunea SUD-VEST OLTENIA, Anul 2007, Lei, 1804
C Industria extractiva, Total, Regiunea SUD-VEST OLTENIA, Anul 2008, Lei, 2360
C Industria extractiva, Total, Dolj, Anul 1991, Lei, 9878
C Industria extractiva, Total, Dolj, Anul 1992, Lei, 30310
C Industria extractiva, Total, Dolj, Anul 1993, Lei, 100149
C Industria extractiva, Total, Dolj, Anul 1994, Lei, 218171
C Industria extractiva, Total, Dolj, Anul 1995, Lei, 293649
C Industria extractiva, Total, Dolj, Anul 1996, Lei, 415163
C Industria extractiva, Total, Dolj, Anul 1997, Lei, 939193
C Industria extractiva, Total, Dolj, Anul 1998, Lei, 1531131
C Industria extractiva, Total, Dolj, Anul 1999, Lei, 2052943
C Industria extractiva, Total, Dolj, Anul 2000, Lei, 3387007
C Industria extractiva, Total, Dolj, Anul 2001, Lei, 5023051
C Industria extractiva, Total, Dolj, Anul 2002, Lei, 6537804
C Industria extractiva, Total, Dolj, Anul 2003, Lei, 7465029
C Industria extractiva, Total, Dolj, Anul 2004, Lei, 9282830
C Industria extractiva, Total, Dolj, Anul 2005, Lei, 1307
C Industria extractiva, Total, Dolj, Anul 2006, Lei, 1714
C Industria extractiva, Total, Dolj, Anul 2007, Lei, 1563
C Industria extractiva, Total, Dolj, Anul 2008, Lei, 2060
C Industria extractiva, Total, Gorj, Anul 1991, Lei, 11213
C Industria extractiva, Total, Gorj, Anul 1992, Lei, 33107
C Industria extractiva, Total, Gorj, Anul 1993, Lei, 110071
C Industria extractiva, Total, Gorj, Anul 1994, Lei, 250303
C Industria extractiva, Total, Gorj, Anul 1995, Lei, 340453
C Industria extractiva, Total, Gorj, Anul 1996, Lei, 481829
C Industria extractiva, Total, Gorj, Anul 1997, Lei, 970605
C Industria extractiva, Total, Gorj, Anul 1998, Lei, 1782781
C Industria extractiva, Total, Gorj, Anul 1999, Lei, 2649092
C Industria extractiva, Total, Gorj, Anul 2000, Lei, 4104078
C Industria extractiva, Total, Gorj, Anul 2001, Lei, 5675006
C Industria extractiva, Total, Gorj, Anul 2002, Lei, 7220170
C Industria extractiva, Total, Gorj, Anul 2003, Lei, 9235122
C Industria extractiva, Total, Gorj, Anul 2004, Lei, 10011337
C Industria extractiva, Total, Gorj, Anul 2005, Lei, 1392
C Industria extractiva, Total, Gorj, Anul 2006, Lei, 1577
C Industria extractiva, Total, Gorj, Anul 2007, Lei, 1874
C Industria extractiva, Total, Gorj, Anul 2008, Lei, 2484
C Industria extractiva, Total, Mehedinti, Anul 1991, Lei, 10997
C Industria extractiva, Total, Mehedinti, Anul 1992, Lei, 31292
C Industria extractiva, Total, Mehedinti, Anul 1993, Lei, 107121
C Industria extractiva, Total, Mehedinti, Anul 1994, Lei, 249098
C Industria extractiva, Total, Mehedinti, Anul 1995, Lei, 350960
C Industria extractiva, Total, Mehedinti, Anul 1996, Lei, 533134
C Industria extractiva, Total, Mehedinti, Anul 1997, Lei, 1083065
C Industria extractiva, Total, Mehedinti, Anul 1998, Lei, 1903481
C Industria extractiva, Total, Mehedinti, Anul 1999, Lei, 2691060
C Industria extractiva, Total, Mehedinti, Anul 2000, Lei, 4009000
C Industria extractiva, Total, Mehedinti, Anul 2001, Lei, 5726271
C Industria extractiva, Total, Mehedinti, Anul 2002, Lei, 6806522
C Industria extractiva, Total, Mehedinti, Anul 2003, Lei, 9207424
C Industria extractiva, Total, Mehedinti, Anul 2004, Lei, 10853221
C Industria extractiva, Total, Mehedinti, Anul 2005, Lei, 1187
C Industria extractiva, Total, Mehedinti, Anul 2006, Lei, 1398
C Industria extractiva, Total, Mehedinti, Anul 2007, Lei, 1661
C Industria extractiva, Total, Mehedinti, Anul 2008, Lei, 1966
C Industria extractiva, Total, Olt, Anul 1991, Lei, 8278
C Industria extractiva, Total, Olt, Anul 1992, Lei, 27268
C Industria extractiva, Total, Olt, Anul 1993, Lei, 94215
C Industria extractiva, Total, Olt, Anul 1994, Lei, 229168
C Industria extractiva, Total, Olt, Anul 1995, Lei, 303281
C Industria extractiva, Total, Olt, Anul 1996, Lei, 450491
C Industria extractiva, Total, Olt, Anul 1997, Lei, 972004
C Industria extractiva, Total, Olt, Anul 1998, Lei, 1659425
C Industria extractiva, Total, Olt, Anul 1999, Lei, 2315858
C Industria extractiva, Total, Olt, Anul 2000, Lei, 3537570
C Industria extractiva, Total, Olt, Anul 2001, Lei, 5193616
C Industria extractiva, Total, Olt, Anul 2002, Lei, 6568773
C Industria extractiva, Total, Olt, Anul 2003, Lei, 7674744
C Industria extractiva, Total, Olt, Anul 2004, Lei, 9015583
C Industria extractiva, Total, Olt, Anul 2005, Lei, 1355
C Industria extractiva, Total, Olt, Anul 2006, Lei, 1413
C Industria extractiva, Total, Olt, Anul 2007, Lei, 1554
C Industria extractiva, Total, Olt, Anul 2008, Lei, 2561
C Industria extractiva, Total, Valcea, Anul 1991, Lei, 10733
C Industria extractiva, Total, Valcea, Anul 1992, Lei, 29848
C Industria extractiva, Total, Valcea, Anul 1993, Lei, 97638
C Industria extractiva, Total, Valcea, Anul 1994, Lei, 221536
C Industria extractiva, Total, Valcea, Anul 1995, Lei, 322947
C Industria extractiva, Total, Valcea, Anul 1996, Lei, 469042
C Industria extractiva, Total, Valcea, Anul 1997, Lei, 915971
C Industria extractiva, Total, Valcea, Anul 1998, Lei, 1633632
C Industria extractiva, Total, Valcea, Anul 1999, Lei, 2285980
C Industria extractiva, Total, Valcea, Anul 2000, Lei, 3740258
C Industria extractiva, Total, Valcea, Anul 2001, Lei, 5199919
C Industria extractiva, Total, Valcea, Anul 2002, Lei, 6532782
C Industria extractiva, Total, Valcea, Anul 2003, Lei, 8406571
C Industria extractiva, Total, Valcea, Anul 2004, Lei, 9802690
C Industria extractiva, Total, Valcea, Anul 2005, Lei, 1096
C Industria extractiva, Total, Valcea, Anul 2006, Lei, 1372
C Industria extractiva, Total, Valcea, Anul 2007, Lei, 1688
C Industria extractiva, Total, Valcea, Anul 2008, Lei, 1897
C Industria extractiva, Total, Regiunea VEST, Anul 1991, Lei, 13152
C Industria extractiva, Total, Regiunea VEST, Anul 1992, Lei, 35964
C Industria extractiva, Total, Regiunea VEST, Anul 1993, Lei, 107256
C Industria extractiva, Total, Regiunea VEST, Anul 1994, Lei, 266800
C Industria extractiva, Total, Regiunea VEST, Anul 1995, Lei, 410548
C Industria extractiva, Total, Regiunea VEST, Anul 1996, Lei, 610634
C Industria extractiva, Total, Regiunea VEST, Anul 1997, Lei, 1084795
C Industria extractiva, Total, Regiunea VEST, Anul 1998, Lei, 1748667
C Industria extractiva, Total, Regiunea VEST, Anul 1999, Lei, 2378970
C Industria extractiva, Total, Regiunea VEST, Anul 2000, Lei, 3977203
C Industria extractiva, Total, Regiunea VEST, Anul 2001, Lei, 6231816
C Industria extractiva, Total, Regiunea VEST, Anul 2002, Lei, 7867172
C Industria extractiva, Total, Regiunea VEST, Anul 2003, Lei, 9672471
C Industria extractiva, Total, Regiunea VEST, Anul 2004, Lei, 11276463
C Industria extractiva, Total, Regiunea VEST, Anul 2005, Lei, 1307
C Industria extractiva, Total, Regiunea VEST, Anul 2006, Lei, 1483
C Industria extractiva, Total, Regiunea VEST, Anul 2007, Lei, 1721
C Industria extractiva, Total, Regiunea VEST, Anul 2008, Lei, 2013
C Industria extractiva, Total, Arad, Anul 1991, Lei, 9985
C Industria extractiva, Total, Arad, Anul 1992, Lei, 26554
C Industria extractiva, Total, Arad, Anul 1993, Lei, 88152
C Industria extractiva, Total, Arad, Anul 1994, Lei, 192587
C Industria extractiva, Total, Arad, Anul 1995, Lei, 270917
C Industria extractiva, Total, Arad, Anul 1996, Lei, 407781
C Industria extractiva, Total, Arad, Anul 1997, Lei, 803318
C Industria extractiva, Total, Arad, Anul 1998, Lei, 1378467
C Industria extractiva, Total, Arad, Anul 1999, Lei, 2146430
C Industria extractiva, Total, Arad, Anul 2000, Lei, 2975213
C Industria extractiva, Total, Arad, Anul 2001, Lei, 4228682
C Industria extractiva, Total, Arad, Anul 2002, Lei, 5378973
C Industria extractiva, Total, Arad, Anul 2003, Lei, 6786832
C Industria extractiva, Total, Arad, Anul 2004, Lei, 8366891
C Industria extractiva, Total, Arad, Anul 2005, Lei, 1022
C Industria extractiva, Total, Arad, Anul 2006, Lei, 1126
C Industria extractiva, Total, Arad, Anul 2007, Lei, 1634
C Industria extractiva, Total, Arad, Anul 2008, Lei, 1896
C Industria extractiva, Total, Caras-Severin, Anul 1991, Lei, 10457
C Industria extractiva, Total, Caras-Severin, Anul 1992, Lei, 30322
C Industria extractiva, Total, Caras-Severin, Anul 1993, Lei, 72360
C Industria extractiva, Total, Caras-Severin, Anul 1994, Lei, 218891
C Industria extractiva, Total, Caras-Severin, Anul 1995, Lei, 323071
C Industria extractiva, Total, Caras-Severin, Anul 1996, Lei, 514694
C Industria extractiva, Total, Caras-Severin, Anul 1997, Lei, 1009887
C Industria extractiva, Total, Caras-Severin, Anul 1998, Lei, 1719462
C Industria extractiva, Total, Caras-Severin, Anul 1999, Lei, 2280243
C Industria extractiva, Total, Caras-Severin, Anul 2000, Lei, 3090141
C Industria extractiva, Total, Caras-Severin, Anul 2001, Lei, 4741051
C Industria extractiva, Total, Caras-Severin, Anul 2002, Lei, 5717547
C Industria extractiva, Total, Caras-Severin, Anul 2003, Lei, 6689068
C Industria extractiva, Total, Caras-Severin, Anul 2004, Lei, 8040624
C Industria extractiva, Total, Caras-Severin, Anul 2005, Lei, 973
C Industria extractiva, Total, Caras-Severin, Anul 2006, Lei, 1166
C Industria extractiva, Total, Caras-Severin, Anul 2007, Lei, 1237
C Industria extractiva, Total, Caras-Severin, Anul 2008, Lei, 1733
C Industria extractiva, Total, Hunedoara, Anul 1991, Lei, 13908
C Industria extractiva, Total, Hunedoara, Anul 1992, Lei, 38004
C Industria extractiva, Total, Hunedoara, Anul 1993, Lei, 109797
C Industria extractiva, Total, Hunedoara, Anul 1994, Lei, 281963
C Industria extractiva, Total, Hunedoara, Anul 1995, Lei, 438522
C Industria extractiva, Total, Hunedoara, Anul 1996, Lei, 646748
C Industria extractiva, Total, Hunedoara, Anul 1997, Lei, 1128219
C Industria extractiva, Total, Hunedoara, Anul 1998, Lei, 1806073
C Industria extractiva, Total, Hunedoara, Anul 1999, Lei, 2439083
C Industria extractiva, Total, Hunedoara, Anul 2000, Lei, 4239179
C Industria extractiva, Total, Hunedoara, Anul 2001, Lei, 6750457
C Industria extractiva, Total, Hunedoara, Anul 2002, Lei, 8519812
C Industria extractiva, Total, Hunedoara, Anul 2003, Lei, 10545956
C Industria extractiva, Total, Hunedoara, Anul 2004, Lei, 12147376
C Industria extractiva, Total, Hunedoara, Anul 2005, Lei, 1411
C Industria extractiva, Total, Hunedoara, Anul 2006, Lei, 1586
C Industria extractiva, Total, Hunedoara, Anul 2007, Lei, 1758
C Industria extractiva, Total, Hunedoara, Anul 2008, Lei, 2030
C Industria extractiva, Total, Timis, Anul 1991, Lei, 10199
C Industria extractiva, Total, Timis, Anul 1992, Lei, 25337
C Industria extractiva, Total, Timis, Anul 1993, Lei, 87920
C Industria extractiva, Total, Timis, Anul 1994, Lei, 217681
C Industria extractiva, Total, Timis, Anul 1995, Lei, 303966
C Industria extractiva, Total, Timis, Anul 1996, Lei, 425839
C Industria extractiva, Total, Timis, Anul 1997, Lei, 930253
C Industria extractiva, Total, Timis, Anul 1998, Lei, 1571662
C Industria extractiva, Total, Timis, Anul 1999, Lei, 2226441
C Industria extractiva, Total, Timis, Anul 2000, Lei, 3485604
C Industria extractiva, Total, Timis, Anul 2001, Lei, 4832940
C Industria extractiva, Total, Timis, Anul 2002, Lei, 6496191
C Industria extractiva, Total, Timis, Anul 2003, Lei, 7617023
C Industria extractiva, Total, Timis, Anul 2004, Lei, 8955441
C Industria extractiva, Total, Timis, Anul 2005, Lei, 1112
C Industria extractiva, Total, Timis, Anul 2006, Lei, 1224
C Industria extractiva, Total, Timis, Anul 2007, Lei, 1591
C Industria extractiva, Total, Timis, Anul 2008, Lei, 2068
D Industria prelucratoare, Total, TOTAL, Anul 1990, Lei, 3224
D Industria prelucratoare, Total, TOTAL, Anul 1991, Lei, 7088
D Industria prelucratoare, Total, TOTAL, Anul 1992, Lei, 18824
D Industria prelucratoare, Total, TOTAL, Anul 1993, Lei, 56484
D Industria prelucratoare, Total, TOTAL, Anul 1994, Lei, 131950
D Industria prelucratoare, Total, TOTAL, Anul 1995, Lei, 207942
D Industria prelucratoare, Total, TOTAL, Anul 1996, Lei, 323337
D Industria prelucratoare, Total, TOTAL, Anul 1997, Lei, 628815
D Industria prelucratoare, Total, TOTAL, Anul 1998, Lei, 967713
D Industria prelucratoare, Total, TOTAL, Anul 1999, Lei, 1388580
D Industria prelucratoare, Total, TOTAL, Anul 2000, Lei, 1968253
D Industria prelucratoare, Total, TOTAL, Anul 2001, Lei, 2744475
D Industria prelucratoare, Total, TOTAL, Anul 2002, Lei, 3386155
D Industria prelucratoare, Total, TOTAL, Anul 2003, Lei, 4364014
D Industria prelucratoare, Total, TOTAL, Anul 2004, Lei, 5437094
D Industria prelucratoare, Total, TOTAL, Anul 2005, Lei, 653
D Industria prelucratoare, Total, TOTAL, Anul 2006, Lei, 731
D Industria prelucratoare, Total, TOTAL, Anul 2007, Lei, 870
D Industria prelucratoare, Total, TOTAL, Anul 2008, Lei, 1051
D Industria prelucratoare, Total, MACROREGIUNEA UNU, Anul 2008, Lei, 955
D Industria prelucratoare, Total, Regiunea NORD-VEST, Anul 1991, Lei, 7107
D Industria prelucratoare, Total, Regiunea NORD-VEST, Anul 1992, Lei, 18131
D Industria prelucratoare, Total, Regiunea NORD-VEST, Anul 1993, Lei, 54965
D Industria prelucratoare, Total, Regiunea NORD-VEST, Anul 1994, Lei, 123808
D Industria prelucratoare, Total, Regiunea NORD-VEST, Anul 1995, Lei, 195641
D Industria prelucratoare, Total, Regiunea NORD-VEST, Anul 1996, Lei, 302362
D Industria prelucratoare, Total, Regiunea NORD-VEST, Anul 1997, Lei, 591728
D Industria prelucratoare, Total, Regiunea NORD-VEST, Anul 1998, Lei, 859497
D Industria prelucratoare, Total, Regiunea NORD-VEST, Anul 1999, Lei, 1236526
D Industria prelucratoare, Total, Regiunea NORD-VEST, Anul 2000, Lei, 1741767
D Industria prelucratoare, Total, Regiunea NORD-VEST, Anul 2001, Lei, 2393446
D Industria prelucratoare, Total, Regiunea NORD-VEST, Anul 2002, Lei, 2980424
D Industria prelucratoare, Total, Regiunea NORD-VEST, Anul 2003, Lei, 3965176
D Industria prelucratoare, Total, Regiunea NORD-VEST, Anul 2004, Lei, 5038249
D Industria prelucratoare, Total, Regiunea NORD-VEST, Anul 2005, Lei, 588
D Industria prelucratoare, Total, Regiunea NORD-VEST, Anul 2006, Lei, 663
D Industria prelucratoare, Total, Regiunea NORD-VEST, Anul 2007, Lei, 773
D Industria prelucratoare, Total, Regiunea NORD-VEST, Anul 2008, Lei, 916
D Industria prelucratoare, Total, Bihor, Anul 1991, Lei, 6965
D Industria prelucratoare, Total, Bihor, Anul 1992, Lei, 17599
D Industria prelucratoare, Total, Bihor, Anul 1993, Lei, 56309
D Industria prelucratoare, Total, Bihor, Anul 1994, Lei, 124357
D Industria prelucratoare, Total, Bihor, Anul 1995, Lei, 202805
D Industria prelucratoare, Total, Bihor, Anul 1996, Lei, 324861
D Industria prelucratoare, Total, Bihor, Anul 1997, Lei, 615642
D Industria prelucratoare, Total, Bihor, Anul 1998, Lei, 890165
D Industria prelucratoare, Total, Bihor, Anul 1999, Lei, 1189438
D Industria prelucratoare, Total, Bihor, Anul 2000, Lei, 1610309
D Industria prelucratoare, Total, Bihor, Anul 2001, Lei, 2134714
D Industria prelucratoare, Total, Bihor, Anul 2002, Lei, 2692565
D Industria prelucratoare, Total, Bihor, Anul 2003, Lei, 3511251
D Industria prelucratoare, Total, Bihor, Anul 2004, Lei, 4445099
D Industria prelucratoare, Total, Bihor, Anul 2005, Lei, 515
D Industria prelucratoare, Total, Bihor, Anul 2006, Lei, 564
D Industria prelucratoare, Total, Bihor, Anul 2007, Lei, 658
D Industria prelucratoare, Total, Bihor, Anul 2008, Lei, 779
D Industria prelucratoare, Total, Bistrita-Nasaud, Anul 1991, Lei, 7105
D Industria prelucratoare, Total, Bistrita-Nasaud, Anul 1992, Lei, 17312
D Industria prelucratoare, Total, Bistrita-Nasaud, Anul 1993, Lei, 55640
D Industria prelucratoare, Total, Bistrita-Nasaud, Anul 1994, Lei, 122897
D Industria prelucratoare, Total, Bistrita-Nasaud, Anul 1995, Lei, 195461
D Industria prelucratoare, Total, Bistrita-Nasaud, Anul 1996, Lei, 301954
D Industria prelucratoare, Total, Bistrita-Nasaud, Anul 1997, Lei, 582935
D Industria prelucratoare, Total, Bistrita-Nasaud, Anul 1998, Lei, 890987
D Industria prelucratoare, Total, Bistrita-Nasaud, Anul 1999, Lei, 1169969
D Industria prelucratoare, Total, Bistrita-Nasaud, Anul 2000, Lei, 1786034
D Industria prelucratoare, Total, Bistrita-Nasaud, Anul 2001, Lei, 2452497
D Industria prelucratoare, Total, Bistrita-Nasaud, Anul 2002, Lei, 3181007
D Industria prelucratoare, Total, Bistrita-Nasaud, Anul 2003, Lei, 4124396
D Industria prelucratoare, Total, Bistrita-Nasaud, Anul 2004, Lei, 5021661
D Industria prelucratoare, Total, Bistrita-Nasaud, Anul 2005, Lei, 638
D Industria prelucratoare, Total, Bistrita-Nasaud, Anul 2006, Lei, 674
D Industria prelucratoare, Total, Bistrita-Nasaud, Anul 2007, Lei, 841
D Industria prelucratoare, Total, Bistrita-Nasaud, Anul 2008, Lei, 984
D Industria prelucratoare, Total, Cluj, Anul 1991, Lei, 7291
D Industria prelucratoare, Total, Cluj, Anul 1992, Lei, 19126
D Industria prelucratoare, Total, Cluj, Anul 1993, Lei, 56040
D Industria prelucratoare, Total, Cluj, Anul 1994, Lei, 129900
D Industria prelucratoare, Total, Cluj, Anul 1995, Lei, 202907
D Industria prelucratoare, Total, Cluj, Anul 1996, Lei, 308915
D Industria prelucratoare, Total, Cluj, Anul 1997, Lei, 625351
D Industria prelucratoare, Total, Cluj, Anul 1998, Lei, 938648
D Industria prelucratoare, Total, Cluj, Anul 1999, Lei, 1397288
D Industria prelucratoare, Total, Cluj, Anul 2000, Lei, 1981382
D Industria prelucratoare, Total, Cluj, Anul 2001, Lei, 2786849
D Industria prelucratoare, Total, Cluj, Anul 2002, Lei, 3427807
D Industria prelucratoare, Total, Cluj, Anul 2003, Lei, 4420288
D Industria prelucratoare, Total, Cluj, Anul 2004, Lei, 5599777
D Industria prelucratoare, Total, Cluj, Anul 2005, Lei, 687
D Industria prelucratoare, Total, Cluj, Anul 2006, Lei, 781
D Industria prelucratoare, Total, Cluj, Anul 2007, Lei, 928
D Industria prelucratoare, Total, Cluj, Anul 2008, Lei, 1088
D Industria prelucratoare, Total, Maramures, Anul 1991, Lei, 6838
D Industria prelucratoare, Total, Maramures, Anul 1992, Lei, 18016
D Industria prelucratoare, Total, Maramures, Anul 1993, Lei, 51222
D Industria prelucratoare, Total, Maramures, Anul 1994, Lei, 114697
D Industria prelucratoare, Total, Maramures, Anul 1995, Lei, 184030
D Industria prelucratoare, Total, Maramures, Anul 1996, Lei, 283679
