
CAEN Rev.1 (activitati ale economiei nationale - sectiuni), Categorii de salariati, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Lei  lei RON (incepand cu 2005), Valoare
Total, Total, Bistrita-Nasaud, Anul 1992, Lei, 18341
Total, Total, Bistrita-Nasaud, Anul 1993, Lei, 54982
Total, Total, Bistrita-Nasaud, Anul 1994, Lei, 125328
Total, Total, Bistrita-Nasaud, Anul 1995, Lei, 190721
Total, Total, Bistrita-Nasaud, Anul 1996, Lei, 283163
Total, Total, Bistrita-Nasaud, Anul 1997, Lei, 553672
Total, Total, Bistrita-Nasaud, Anul 1998, Lei, 930466
Total, Total, Bistrita-Nasaud, Anul 1999, Lei, 1301974
Total, Total, Bistrita-Nasaud, Anul 2000, Lei, 1899871
Total, Total, Bistrita-Nasaud, Anul 2001, Lei, 2665037
Total, Total, Bistrita-Nasaud, Anul 2002, Lei, 3462485
Total, Total, Bistrita-Nasaud, Anul 2003, Lei, 4311925
Total, Total, Bistrita-Nasaud, Anul 2004, Lei, 5238962
Total, Total, Bistrita-Nasaud, Anul 2005, Lei, 653
Total, Total, Bistrita-Nasaud, Anul 2006, Lei, 727
Total, Total, Bistrita-Nasaud, Anul 2007, Lei, 905
Total, Total, Bistrita-Nasaud, Anul 2008, Lei, 1085
Total, Total, Cluj, Anul 1991, Lei, 7607
Total, Total, Cluj, Anul 1992, Lei, 19878
Total, Total, Cluj, Anul 1993, Lei, 58550
Total, Total, Cluj, Anul 1994, Lei, 137119
Total, Total, Cluj, Anul 1995, Lei, 206462
Total, Total, Cluj, Anul 1996, Lei, 307708
Total, Total, Cluj, Anul 1997, Lei, 638260
Total, Total, Cluj, Anul 1998, Lei, 1022471
Total, Total, Cluj, Anul 1999, Lei, 1472824
Total, Total, Cluj, Anul 2000, Lei, 2097136
Total, Total, Cluj, Anul 2001, Lei, 2945774
Total, Total, Cluj, Anul 2002, Lei, 3655654
Total, Total, Cluj, Anul 2003, Lei, 4828776
