
CAEN Rev.2  (activitati ale economiei nationale), Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Lei  lei RON (incepand cu 2005), Valoare
TOTAL, Total, MACROREGIUNEA DOI, Anul 2011, Lei, 1237
TOTAL, Total, MACROREGIUNEA DOI, Anul 2012, Lei, 1268
TOTAL, Total, MACROREGIUNEA DOI, Anul 2013, Lei, 1351
TOTAL, Total, Regiunea NORD-EST, Anul 2008, Lei, 1155
TOTAL, Total, Regiunea NORD-EST, Anul 2009, Lei, 1207
TOTAL, Total, Regiunea NORD-EST, Anul 2010, Lei, 1192
TOTAL, Total, Regiunea NORD-EST, Anul 2011, Lei, 1199
TOTAL, Total, Regiunea NORD-EST, Anul 2012, Lei, 1229
TOTAL, Total, Regiunea NORD-EST, Anul 2013, Lei, 1321
TOTAL, Total, Bacau, Anul 2008, Lei, 1254
TOTAL, Total, Bacau, Anul 2009, Lei, 1319
TOTAL, Total, Bacau, Anul 2010, Lei, 1272
TOTAL, Total, Bacau, Anul 2011, Lei, 1256
TOTAL, Total, Bacau, Anul 2012, Lei, 1288
TOTAL, Total, Bacau, Anul 2013, Lei, 1355
TOTAL, Total, Botosani, Anul 2008, Lei, 1036
TOTAL, Total, Botosani, Anul 2009, Lei, 1122
TOTAL, Total, Botosani, Anul 2010, Lei, 1085
TOTAL, Total, Botosani, Anul 2011, Lei, 1074
TOTAL, Total, Botosani, Anul 2012, Lei, 1126
TOTAL, Total, Botosani, Anul 2013, Lei, 1216
TOTAL, Total, Iasi, Anul 2008, Lei, 1257
TOTAL, Total, Iasi, Anul 2009, Lei, 1310
TOTAL, Total, Iasi, Anul 2010, Lei, 1322
TOTAL, Total, Iasi, Anul 2011, Lei, 1342
TOTAL, Total, Iasi, Anul 2012, Lei, 1371
TOTAL, Total, Iasi, Anul 2013, Lei, 1499
TOTAL, Total, Neamt, Anul 2008, Lei, 1040
TOTAL, Total, Neamt, Anul 2009, Lei, 1080
TOTAL, Total, Neamt, Anul 2010, Lei, 1095
TOTAL, Total, Neamt, Anul 2011, Lei, 1114
TOTAL, Total, Neamt, Anul 2012, Lei, 1123
TOTAL, Total, Neamt, Anul 2013, Lei, 1198
TOTAL, Total, Suceava, Anul 2008, Lei, 1091
TOTAL, Total, Suceava, Anul 2009, Lei, 1117
TOTAL, Total, Suceava, Anul 2010, Lei, 1109
TOTAL, Total, Suceava, Anul 2011, Lei, 1136
TOTAL, Total, Suceava, Anul 2012, Lei, 1148
TOTAL, Total, Suceava, Anul 2013, Lei, 1256
TOTAL, Total, Vaslui, Anul 2008, Lei, 1060
TOTAL, Total, Vaslui, Anul 2009, Lei, 1126
TOTAL, Total, Vaslui, Anul 2010, Lei, 1071
TOTAL, Total, Vaslui, Anul 2011, Lei, 1046
TOTAL, Total, Vaslui, Anul 2012, Lei, 1125
TOTAL, Total, Vaslui, Anul 2013, Lei, 1172
TOTAL, Total, Regiunea SUD-EST, Anul 2008, Lei, 1190
TOTAL, Total, Regiunea SUD-EST, Anul 2009, Lei, 1255
TOTAL, Total, Regiunea SUD-EST, Anul 2010, Lei, 1234
TOTAL, Total, Regiunea SUD-EST, Anul 2011, Lei, 1276
TOTAL, Total, Regiunea SUD-EST, Anul 2012, Lei, 1307
TOTAL, Total, Regiunea SUD-EST, Anul 2013, Lei, 1381
TOTAL, Total, Braila, Anul 2008, Lei, 1125
TOTAL, Total, Braila, Anul 2009, Lei, 1180
TOTAL, Total, Braila, Anul 2010, Lei, 1131
TOTAL, Total, Braila, Anul 2011, Lei, 1160
TOTAL, Total, Braila, Anul 2012, Lei, 1178
TOTAL, Total, Braila, Anul 2013, Lei, 1263
TOTAL, Total, Buzau, Anul 2008, Lei, 1106
TOTAL, Total, Buzau, Anul 2009, Lei, 1166
TOTAL, Total, Buzau, Anul 2010, Lei, 1148
