
Categorii de salariati, Sexe, CAEN Rev.2  (activitati ale economiei nationale), Ani, UM: Lei RON, Valoare
Total, Total, B  INDUSTRIA EXTRACTIVA, Anul 2006, Lei RON, 1516
Total, Total, B  INDUSTRIA EXTRACTIVA, Anul 2007, Lei RON, 1804
Total, Total, B  INDUSTRIA EXTRACTIVA, Anul 2008, Lei RON, 2287
Total, Total, B  INDUSTRIA EXTRACTIVA, Anul 2009, Lei RON, 2360
Total, Total, B  INDUSTRIA EXTRACTIVA, Anul 2010, Lei RON, 2435
Total, Total, B  INDUSTRIA EXTRACTIVA, Anul 2011, Lei RON, 2577
Total, Total, B  INDUSTRIA EXTRACTIVA, Anul 2012, Lei RON, 2786
Total, Total, B  INDUSTRIA EXTRACTIVA, Anul 2013, Lei RON, 2943
Total, Total, 05 Extractia carbunelui superior si inferior, Anul 2000, Lei RON, 411
Total, Total, 05 Extractia carbunelui superior si inferior, Anul 2001, Lei RON, 617
Total, Total, 05 Extractia carbunelui superior si inferior, Anul 2002, Lei RON, 777
Total, Total, 05 Extractia carbunelui superior si inferior, Anul 2003, Lei RON, 989
Total, Total, 05 Extractia carbunelui superior si inferior, Anul 2004, Lei RON, 1121
Total, Total, 05 Extractia carbunelui superior si inferior, Anul 2005, Lei RON, 1357
Total, Total, 05 Extractia carbunelui superior si inferior, Anul 2006, Lei RON, 1566
Total, Total, 05 Extractia carbunelui superior si inferior, Anul 2007, Lei RON, 1855
Total, Total, 05 Extractia carbunelui superior si inferior, Anul 2008, Lei RON, 2306
Total, Total, 05 Extractia carbunelui superior si inferior, Anul 2009, Lei RON, 2347
Total, Total, 05 Extractia carbunelui superior si inferior, Anul 2010, Lei RON, 2383
Total, Total, 05 Extractia carbunelui superior si inferior, Anul 2011, Lei RON, 2392
Total, Total, 05 Extractia carbunelui superior si inferior, Anul 2012, Lei RON, 2557
Total, Total, 05 Extractia carbunelui superior si inferior, Anul 2013, Lei RON, 2578
Total, Total, 06 Extractia petrolului brut si a gazelor naturale, Anul 2000, Lei RON, 398
Total, Total, 06 Extractia petrolului brut si a gazelor naturale, Anul 2001, Lei RON, 545
Total, Total, 06 Extractia petrolului brut si a gazelor naturale, Anul 2002, Lei RON, 706
Total, Total, 06 Extractia petrolului brut si a gazelor naturale, Anul 2003, Lei RON, 834
Total, Total, 06 Extractia petrolului brut si a gazelor naturale, Anul 2004, Lei RON, 1040
Total, Total, 06 Extractia petrolului brut si a gazelor naturale, Anul 2005, Lei RON, 1395
Total, Total, 06 Extractia petrolului brut si a gazelor naturale, Anul 2006, Lei RON, 1769
Total, Total, 06 Extractia petrolului brut si a gazelor naturale, Anul 2007, Lei RON, 2101
Total, Total, 06 Extractia petrolului brut si a gazelor naturale, Anul 2008, Lei RON, 2846
Total, Total, 06 Extractia petrolului brut si a gazelor naturale, Anul 2009, Lei RON, 2934
Total, Total, 06 Extractia petrolului brut si a gazelor naturale, Anul 2010, Lei RON, 2862
Total, Total, 06 Extractia petrolului brut si a gazelor naturale, Anul 2011, Lei RON, 3192
Total, Total, 06 Extractia petrolului brut si a gazelor naturale, Anul 2012, Lei RON, 3646
Total, Total, 06 Extractia petrolului brut si a gazelor naturale, Anul 2013, Lei RON, 3945
Total, Total, 07 Extractia minereurilor metalifere, Anul 2000, Lei RON, 302
Total, Total, 07 Extractia minereurilor metalifere, Anul 2001, Lei RON, 441
Total, Total, 07 Extractia minereurilor metalifere, Anul 2002, Lei RON, 548
Total, Total, 07 Extractia minereurilor metalifere, Anul 2003, Lei RON, 686
Total, Total, 07 Extractia minereurilor metalifere, Anul 2004, Lei RON, 787
Total, Total, 07 Extractia minereurilor metalifere, Anul 2005, Lei RON, 952
Total, Total, 07 Extractia minereurilor metalifere, Anul 2006, Lei RON, 1088
Total, Total, 07 Extractia minereurilor metalifere, Anul 2007, Lei RON, 1424
Total, Total, 07 Extractia minereurilor metalifere, Anul 2008, Lei RON, 1632
Total, Total, 07 Extractia minereurilor metalifere, Anul 2009, Lei RON, 1698
Total, Total, 07 Extractia minereurilor metalifere, Anul 2010, Lei RON, 1985
Total, Total, 07 Extractia minereurilor metalifere, Anul 2011, Lei RON, 2118
Total, Total, 07 Extractia minereurilor metalifere, Anul 2012, Lei RON, 2163
Total, Total, 07 Extractia minereurilor metalifere, Anul 2013, Lei RON, 2126
Total, Total, 08 Alte activitati extractive, Anul 2000, Lei RON, 263
Total, Total, 08 Alte activitati extractive, Anul 2001, Lei RON, 346
Total, Total, 08 Alte activitati extractive, Anul 2002, Lei RON, 431
Total, Total, 08 Alte activitati extractive, Anul 2003, Lei RON, 558
Total, Total, 08 Alte activitati extractive, Anul 2004, Lei RON, 678
Total, Total, 08 Alte activitati extractive, Anul 2005, Lei RON, 756
Total, Total, 08 Alte activitati extractive, Anul 2006, Lei RON, 854
Total, Total, 08 Alte activitati extractive, Anul 2007, Lei RON, 996
Total, Total, 08 Alte activitati extractive, Anul 2008, Lei RON, 1197
Total, Total, 08 Alte activitati extractive, Anul 2009, Lei RON, 1234
Total, Total, 08 Alte activitati extractive, Anul 2010, Lei RON, 1335
Total, Total, 08 Alte activitati extractive, Anul 2011, Lei RON, 1438
Total, Total, 08 Alte activitati extractive, Anul 2012, Lei RON, 1366
Total, Total, 08 Alte activitati extractive, Anul 2013, Lei RON, 1395
Total, Total, 09 Activitati de servicii anexe extractiei, Anul 2000, Lei RON, 325
Total, Total, 09 Activitati de servicii anexe extractiei, Anul 2001, Lei RON, 445
Total, Total, 09 Activitati de servicii anexe extractiei, Anul 2002, Lei RON, 578
Total, Total, 09 Activitati de servicii anexe extractiei, Anul 2003, Lei RON, 684
Total, Total, 09 Activitati de servicii anexe extractiei, Anul 2004, Lei RON, 852
Total, Total, 09 Activitati de servicii anexe extractiei, Anul 2005, Lei RON, 1142
Total, Total, 09 Activitati de servicii anexe extractiei, Anul 2006, Lei RON, 1444
Total, Total, 09 Activitati de servicii anexe extractiei, Anul 2007, Lei RON, 1711
Total, Total, 09 Activitati de servicii anexe extractiei, Anul 2008, Lei RON, 2093
Total, Total, 09 Activitati de servicii anexe extractiei, Anul 2009, Lei RON, 2318
Total, Total, 09 Activitati de servicii anexe extractiei, Anul 2010, Lei RON, 2629
Total, Total, 09 Activitati de servicii anexe extractiei, Anul 2011, Lei RON, 2711
Total, Total, 09 Activitati de servicii anexe extractiei, Anul 2012, Lei RON, 2906
Total, Total, 09 Activitati de servicii anexe extractiei, Anul 2013, Lei RON, 3249
Total, Total, C  INDUSTRIA PRELUCRATOARE, Anul 2000, Lei RON, 197
Total, Total, C  INDUSTRIA PRELUCRATOARE, Anul 2001, Lei RON, 274
Total, Total, C  INDUSTRIA PRELUCRATOARE, Anul 2002, Lei RON, 339
Total, Total, C  INDUSTRIA PRELUCRATOARE, Anul 2003, Lei RON, 437
Total, Total, C  INDUSTRIA PRELUCRATOARE, Anul 2004, Lei RON, 544
Total, Total, C  INDUSTRIA PRELUCRATOARE, Anul 2005, Lei RON, 653
Total, Total, C  INDUSTRIA PRELUCRATOARE, Anul 2006, Lei RON, 731
Total, Total, C  INDUSTRIA PRELUCRATOARE, Anul 2007, Lei RON, 871
Total, Total, C  INDUSTRIA PRELUCRATOARE, Anul 2008, Lei RON, 1050
Total, Total, C  INDUSTRIA PRELUCRATOARE, Anul 2009, Lei RON, 1146
Total, Total, C  INDUSTRIA PRELUCRATOARE, Anul 2010, Lei RON, 1237
Total, Total, C  INDUSTRIA PRELUCRATOARE, Anul 2011, Lei RON, 1324
Total, Total, C  INDUSTRIA PRELUCRATOARE, Anul 2012, Lei RON, 1393
Total, Total, C  INDUSTRIA PRELUCRATOARE, Anul 2013, Lei RON, 1466
Total, Total, 10 Industria alimentara, Anul 2000, Lei RON, 154
Total, Total, 10 Industria alimentara, Anul 2001, Lei RON, 221
Total, Total, 10 Industria alimentara, Anul 2002, Lei RON, 265
Total, Total, 10 Industria alimentara, Anul 2003, Lei RON, 352
Total, Total, 10 Industria alimentara, Anul 2004, Lei RON, 430
Total, Total, 10 Industria alimentara, Anul 2005, Lei RON, 527
Total, Total, 10 Industria alimentara, Anul 2006, Lei RON, 598
Total, Total, 10 Industria alimentara, Anul 2007, Lei RON, 724
Total, Total, 10 Industria alimentara, Anul 2008, Lei RON, 890
Total, Total, 10 Industria alimentara, Anul 2009, Lei RON, 948
Total, Total, 10 Industria alimentara, Anul 2010, Lei RON, 948
Total, Total, 10 Industria alimentara, Anul 2011, Lei RON, 979
Total, Total, 10 Industria alimentara, Anul 2012, Lei RON, 991
Total, Total, 10 Industria alimentara, Anul 2013, Lei RON, 1022
Total, Total, 11 Fabricarea bauturilor, Anul 2000, Lei RON, 272
Total, Total, 11 Fabricarea bauturilor, Anul 2001, Lei RON, 392
Total, Total, 11 Fabricarea bauturilor, Anul 2002, Lei RON, 470
Total, Total, 11 Fabricarea bauturilor, Anul 2003, Lei RON, 625
Total, Total, 11 Fabricarea bauturilor, Anul 2004, Lei RON, 764
Total, Total, 11 Fabricarea bauturilor, Anul 2005, Lei RON, 940
Total, Total, 11 Fabricarea bauturilor, Anul 2006, Lei RON, 1069
Total, Total, 11 Fabricarea bauturilor, Anul 2007, Lei RON, 1301
Total, Total, 11 Fabricarea bauturilor, Anul 2008, Lei RON, 1328
Total, Total, 11 Fabricarea bauturilor, Anul 2009, Lei RON, 1505
Total, Total, 11 Fabricarea bauturilor, Anul 2010, Lei RON, 1707
Total, Total, 11 Fabricarea bauturilor, Anul 2011, Lei RON, 1784
Total, Total, 11 Fabricarea bauturilor, Anul 2012, Lei RON, 1899
Total, Total, 11 Fabricarea bauturilor, Anul 2013, Lei RON, 1979
Total, Total, 12 Fabricarea produselor din tutun, Anul 2000, Lei RON, 450
Total, Total, 12 Fabricarea produselor din tutun, Anul 2001, Lei RON, 638
Total, Total, 12 Fabricarea produselor din tutun, Anul 2002, Lei RON, 757
Total, Total, 12 Fabricarea produselor din tutun, Anul 2003, Lei RON, 948
Total, Total, 12 Fabricarea produselor din tutun, Anul 2004, Lei RON, 1258
Total, Total, 12 Fabricarea produselor din tutun, Anul 2005, Lei RON, 1717
Total, Total, 12 Fabricarea produselor din tutun, Anul 2006, Lei RON, 2168
Total, Total, 12 Fabricarea produselor din tutun, Anul 2007, Lei RON, 2163
Total, Total, 12 Fabricarea produselor din tutun, Anul 2008, Lei RON, 2623
Total, Total, 12 Fabricarea produselor din tutun, Anul 2009, Lei RON, 2852
Total, Total, 12 Fabricarea produselor din tutun, Anul 2010, Lei RON, 3224
Total, Total, 12 Fabricarea produselor din tutun, Anul 2011, Lei RON, 3581
Total, Total, 12 Fabricarea produselor din tutun, Anul 2012, Lei RON, 3721
Total, Total, 12 Fabricarea produselor din tutun, Anul 2013, Lei RON, 3817
Total, Total, 13 Fabricarea produselor textile, Anul 2000, Lei RON, 153
Total, Total, 13 Fabricarea produselor textile, Anul 2001, Lei RON, 210
Total, Total, 13 Fabricarea produselor textile, Anul 2002, Lei RON, 262
