
Categorii de salariati, Sexe, CAEN Rev.2  (activitati ale economiei nationale), Ani, UM: Lei RON, Valoare
Total, Total, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2000, Lei RON, 150
Total, Total, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2001, Lei RON, 222
Total, Total, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2002, Lei RON, 270
Total, Total, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2003, Lei RON, 363
Total, Total, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2004, Lei RON, 438
Total, Total, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2005, Lei RON, 575
Total, Total, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2006, Lei RON, 650
Total, Total, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2007, Lei RON, 822
Total, Total, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2008, Lei RON, 1042
Total, Total, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2009, Lei RON, 1047
Total, Total, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2010, Lei RON, 1166
Total, Total, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2011, Lei RON, 1227
Total, Total, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2012, Lei RON, 1305
Total, Total, G  COMERT CU RIDICATA SI CU AMANUNTUL; REPARAREA AUTOVEHICULELOR SI MOTOCICLETELOR, Anul 2013, Lei RON, 1293
Total, Total, H  TRANSPORT SI DEPOZITARE, Anul 2000, Lei RON, 254
Total, Total, H  TRANSPORT SI DEPOZITARE, Anul 2001, Lei RON, 360
Total, Total, H  TRANSPORT SI DEPOZITARE, Anul 2002, Lei RON, 458
Total, Total, H  TRANSPORT SI DEPOZITARE, Anul 2003, Lei RON, 589
Total, Total, H  TRANSPORT SI DEPOZITARE, Anul 2004, Lei RON, 715
Total, Total, H  TRANSPORT SI DEPOZITARE, Anul 2005, Lei RON, 840
Total, Total, H  TRANSPORT SI DEPOZITARE, Anul 2006, Lei RON, 949
Total, Total, H  TRANSPORT SI DEPOZITARE, Anul 2007, Lei RON, 1141
Total, Total, H  TRANSPORT SI DEPOZITARE, Anul 2008, Lei RON, 1454
Total, Total, H  TRANSPORT SI DEPOZITARE, Anul 2009, Lei RON, 1518
Total, Total, H  TRANSPORT SI DEPOZITARE, Anul 2010, Lei RON, 1557
Total, Total, H  TRANSPORT SI DEPOZITARE, Anul 2011, Lei RON, 1580
Total, Total, H  TRANSPORT SI DEPOZITARE, Anul 2012, Lei RON, 1624
Total, Total, H  TRANSPORT SI DEPOZITARE, Anul 2013, Lei RON, 1629
Total, Total, I  HOTELURI SI RESTAURANTE, Anul 2000, Lei RON, 138
Total, Total, I  HOTELURI SI RESTAURANTE, Anul 2001, Lei RON, 211
Total, Total, I  HOTELURI SI RESTAURANTE, Anul 2002, Lei RON, 243
Total, Total, I  HOTELURI SI RESTAURANTE, Anul 2003, Lei RON, 326
Total, Total, I  HOTELURI SI RESTAURANTE, Anul 2004, Lei RON, 411
Total, Total, I  HOTELURI SI RESTAURANTE, Anul 2005, Lei RON, 455
Total, Total, I  HOTELURI SI RESTAURANTE, Anul 2006, Lei RON, 534
Total, Total, I  HOTELURI SI RESTAURANTE, Anul 2007, Lei RON, 651
Total, Total, I  HOTELURI SI RESTAURANTE, Anul 2008, Lei RON, 773
Total, Total, I  HOTELURI SI RESTAURANTE, Anul 2009, Lei RON, 799
Total, Total, I  HOTELURI SI RESTAURANTE, Anul 2010, Lei RON, 786
Total, Total, I  HOTELURI SI RESTAURANTE, Anul 2011, Lei RON, 841
Total, Total, I  HOTELURI SI RESTAURANTE, Anul 2012, Lei RON, 850
Total, Total, I  HOTELURI SI RESTAURANTE, Anul 2013, Lei RON, 898
Total, Total, J  INFORMATII SI COMUNICATII, Anul 2000, Lei RON, 414
Total, Total, J  INFORMATII SI COMUNICATII, Anul 2001, Lei RON, 619
Total, Total, J  INFORMATII SI COMUNICATII, Anul 2002, Lei RON, 846
Total, Total, J  INFORMATII SI COMUNICATII, Anul 2003, Lei RON, 1007
Total, Total, J  INFORMATII SI COMUNICATII, Anul 2004, Lei RON, 1113
Total, Total, J  INFORMATII SI COMUNICATII, Anul 2005, Lei RON, 1463
Total, Total, J  INFORMATII SI COMUNICATII, Anul 2006, Lei RON, 1603
Total, Total, J  INFORMATII SI COMUNICATII, Anul 2007, Lei RON, 1837
Total, Total, J  INFORMATII SI COMUNICATII, Anul 2008, Lei RON, 2119
Total, Total, J  INFORMATII SI COMUNICATII, Anul 2009, Lei RON, 2468
Total, Total, J  INFORMATII SI COMUNICATII, Anul 2010, Lei RON, 2687
Total, Total, J  INFORMATII SI COMUNICATII, Anul 2011, Lei RON, 2965
Total, Total, J  INFORMATII SI COMUNICATII, Anul 2012, Lei RON, 2992
Total, Total, J  INFORMATII SI COMUNICATII, Anul 2013, Lei RON, 3067
Total, Total, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2000, Lei RON, 525
Total, Total, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2001, Lei RON, 741
Total, Total, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2002, Lei RON, 994
Total, Total, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2003, Lei RON, 1245
Total, Total, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2004, Lei RON, 1561
Total, Total, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2005, Lei RON, 2063
Total, Total, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2006, Lei RON, 2257
Total, Total, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2007, Lei RON, 2614
Total, Total, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2008, Lei RON, 3205
Total, Total, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2009, Lei RON, 3109
Total, Total, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2010, Lei RON, 3200
Total, Total, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2011, Lei RON, 3435
Total, Total, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2012, Lei RON, 3587
Total, Total, K  INTERMEDIERI FINANCIARE SI ASIGURARI, Anul 2013, Lei RON, 3645
Total, Total, L  TRANZACTII IMOBILIARE, Anul 2000, Lei RON, 195
Total, Total, L  TRANZACTII IMOBILIARE, Anul 2001, Lei RON, 275
Total, Total, L  TRANZACTII IMOBILIARE, Anul 2002, Lei RON, 313
Total, Total, L  TRANZACTII IMOBILIARE, Anul 2003, Lei RON, 428
Total, Total, L  TRANZACTII IMOBILIARE, Anul 2004, Lei RON, 487
Total, Total, L  TRANZACTII IMOBILIARE, Anul 2005, Lei RON, 629
Total, Total, L  TRANZACTII IMOBILIARE, Anul 2006, Lei RON, 725
Total, Total, L  TRANZACTII IMOBILIARE, Anul 2007, Lei RON, 1185
Total, Total, L  TRANZACTII IMOBILIARE, Anul 2008, Lei RON, 1270
Total, Total, L  TRANZACTII IMOBILIARE, Anul 2009, Lei RON, 1193
Total, Total, L  TRANZACTII IMOBILIARE, Anul 2010, Lei RON, 1182
Total, Total, L  TRANZACTII IMOBILIARE, Anul 2011, Lei RON, 1268
Total, Total, L  TRANZACTII IMOBILIARE, Anul 2012, Lei RON, 1248
Total, Total, L  TRANZACTII IMOBILIARE, Anul 2013, Lei RON, 1349
Total, Total, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2000, Lei RON, 273
Total, Total, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2001, Lei RON, 387
Total, Total, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2002, Lei RON, 485
Total, Total, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2003, Lei RON, 608
Total, Total, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2004, Lei RON, 781
Total, Total, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2005, Lei RON, 939
Total, Total, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2006, Lei RON, 1076
Total, Total, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2007, Lei RON, 1412
Total, Total, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2008, Lei RON, 1749
Total, Total, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2009, Lei RON, 1870
Total, Total, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2010, Lei RON, 1915
Total, Total, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2011, Lei RON, 2061
Total, Total, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2012, Lei RON, 2216
Total, Total, M  ACTIVITATI PROFESIONALE  STIINTIFICE SI TEHNICE, Anul 2013, Lei RON, 2351
Total, Total, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2000, Lei RON, 148
Total, Total, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2001, Lei RON, 200
Total, Total, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2002, Lei RON, 245
Total, Total, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2003, Lei RON, 309
Total, Total, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2004, Lei RON, 382
Total, Total, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2005, Lei RON, 467
Total, Total, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2006, Lei RON, 525
Total, Total, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2007, Lei RON, 656
Total, Total, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2008, Lei RON, 835
Total, Total, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2009, Lei RON, 873
Total, Total, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2010, Lei RON, 940
Total, Total, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2011, Lei RON, 966
Total, Total, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2012, Lei RON, 1030
Total, Total, N  ACTIVITATI DE SERVICII ADMINISTRATIVE SI ACTIVITATI DE SERVICII SUPORT, Anul 2013, Lei RON, 1132
Total, Total, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2000, Lei RON, 305
Total, Total, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2001, Lei RON, 420
Total, Total, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2002, Lei RON, 512
Total, Total, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2003, Lei RON, 693
Total, Total, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2004, Lei RON, 846
Total, Total, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2005, Lei RON, 1164
Total, Total, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2006, Lei RON, 1576
Total, Total, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2007, Lei RON, 1999
Total, Total, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2008, Lei RON, 2411
Total, Total, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2009, Lei RON, 2159
Total, Total, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2010, Lei RON, 1968
Total, Total, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2011, Lei RON, 1909
Total, Total, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2012, Lei RON, 2102
Total, Total, O  ADMINISTRATIE PUBLICA SI APARARE; ASIGURARI SOCIALE DIN SISTEMUL PUBLIC, Anul 2013, Lei RON, 2420
Total, Total, P  INVATAMANT, Anul 2000, Lei RON, 205
Total, Total, P  INVATAMANT, Anul 2001, Lei RON, 288
Total, Total, P  INVATAMANT, Anul 2002, Lei RON, 380
Total, Total, P  INVATAMANT, Anul 2003, Lei RON, 477
Total, Total, P  INVATAMANT, Anul 2004, Lei RON, 648
Total, Total, P  INVATAMANT, Anul 2005, Lei RON, 829
Total, Total, P  INVATAMANT, Anul 2006, Lei RON, 1067
Total, Total, P  INVATAMANT, Anul 2007, Lei RON, 1175
Total, Total, P  INVATAMANT, Anul 2008, Lei RON, 1538
Total, Total, P  INVATAMANT, Anul 2009, Lei RON, 1596
Total, Total, P  INVATAMANT, Anul 2010, Lei RON, 1380
Total, Total, P  INVATAMANT, Anul 2011, Lei RON, 1316
Total, Total, P  INVATAMANT, Anul 2012, Lei RON, 1371
Total, Total, P  INVATAMANT, Anul 2013, Lei RON, 1533
Total, Total, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2000, Lei RON, 175
Total, Total, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2001, Lei RON, 260
Total, Total, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2002, Lei RON, 316
Total, Total, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2003, Lei RON, 408
Total, Total, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2004, Lei RON, 515
Total, Total, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2005, Lei RON, 669
Total, Total, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2006, Lei RON, 814
Total, Total, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2007, Lei RON, 938
Total, Total, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2008, Lei RON, 1266
Total, Total, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2009, Lei RON, 1342
Total, Total, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2010, Lei RON, 1226
Total, Total, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2011, Lei RON, 1210
Total, Total, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2012, Lei RON, 1315
Total, Total, Q  SANATATE SI ASISTENTA SOCIALA, Anul 2013, Lei RON, 1456
