;0;Cégnév;Alkalmazottak száma 2017;Alkalmazottak száma 2016;Alkalmazottak száma 2015;Alkalmazottak száma 2014;region;nr;coords;kws;cms
16;17;ALEX & CO SA;143;144;174;173;also-haromszek;17;['45.773468 ', ' 25.804319 '];"['koporsok', 'koporsokeszites', '', '""']";527075, K\xf6k\xf6s, F\xf5 u., 34\t
17;18;CAPITALY TAXI SRL;129;104;97;94;also-haromszek;18;['45.8668550', ' 25.7994730'];"['taxi', 'szemelyszallitas', 'aruszallitas', 'kul--es-belfoldi-aruszallitas', 'kulfoldi-aruszallitas', '', '""']";520028, Sepsiszentgy\xf6rgy, Mikes Kelemen u., 39\t
18;19;EX FOR SRL;127;131;124;118;also-haromszek;19;['46.077875 ', ' 25.573940 '];"['fafeldolgozas', '', '""']";525100, Bar\xf3t, Ipar u., 12\t
19;20;VALDEK IMPEX SRL;121;130;155;178;also-haromszek;20;['45.8659360', ' 25.7893400'];"['epitkezes', 'utak-es-hidak', '', '""']";520080, Sepsiszentgy\xf6rgy, 1918. December 1. u., 16/E/9\t
20;21;BERTIKRIS SRL;112;98;90;87;also-haromszek;21;['45.858516 ', ' 25.808773 '];"['h\\xfasfeldolgozas', 'h\\xfas-es-hentesaru', '', '""']";520077, Sepsiszentgy\xf6rgy, Uzoni u., 6\t
21;22;COVERIS RIGID ROMANIA SRL;107;101;92;0;also-haromszek;22;['45.51390516', ' 25.4936609'];"['csomagolastechnika', 'csomagoloanyagok', 'csomagoloanyagok-gyartasa-es-forgalmazasa', '', '""']";520077, Sepsiszentgy\xf6rgy, \xc9p\xedt\xf5k u., 13\t
22;23;COMPACT SRL;102;96;85;74;also-haromszek;23;['45.867735', ' 25.797497 '];"['epitoanyag-lerakatok', '', '""']";520036, Sepsiszentgy\xf6rgy, Oltmez\xf5 u., 26-28\t
23;24;D TOYS SRL;102;107;93;49;also-haromszek;24;['45.868255', ' 25.780200'];"['jatekok-es-jatekszerek-gyartasa', 'fajatekok', '', '""']";520004, Sepsiszentgy\xf6rgy, Sas u., 9\t
24;25;ARCON SRL;101;151;159;161;also-haromszek;25;['45.868490 ', ' 25.789279 '];"['polisztiren-gyartas', '', '""']";520027, Sepsiszentgy\xf6rgy, K\xf5r\xf6si Csoma S\xe1ndor u., 32\t
25;26;HEIDEMANN FASHION SRL;98;101;99;106;also-haromszek;26;['45.853035 ', ' 25.777868 '];"['nadraggyartas', '', '""']";520046, Sepsiszentgy\xf6rgy, J\xf3kai M\xf3r u., 38\t
26;27;MECENA SRL;94;20;3;2;also-haromszek;27;['45.8669710', ' 25.7953220'];"['szemelyszallitas', '', '""']";"520013, Sepsiszentgy\xf6rgy, B&#259;lan Grigore t\xe1bornok sgt., 6/42/C/1\t"
27;28;MAXIMO IMPEX SRL;93;89;95;100;also-haromszek;28;['45.815801', ' 25.654853'];"['b\\xfatorok', 'fajatekok', '', '""']";527176, \xc1rapatak, F\xf5 u., 464\t
28;29;NOWOGAMES INTERNATIONAL GAMING SRL;92;88;60;44;also-haromszek;29;['45.8634590', ' 25.7962040'];"['szerencsejatekok', '', '""']";520032, Sepsiszentgy\xf6rgy, Grigore B\xe3lan t\xe1bornok \xfat, 52\t
29;30;FROM PRODUCT SRL;84;84;84;89;also-haromszek;30;['45.855129', ' 25.806651'];"['gyerekmatracok', 'jatekok-es-jatekszerek', 'cs\\xfaszdak', '', '""']";"520077, Sepsiszentgy\xf6rgy, P&#259;i&#351; David hadnagy u., 15/A\t"
30;31;DRUMURI SI PODURI COVASNA SA;76;77;78;74;also-haromszek;31;['45.855076 ', ' 25.786644 '];"['hidak-es-utak', '', '""']";520033, Sepsiszentgy\xf6rgy, Cigaretta u., 44\t
31;32;TRICOMSERV SA;75;87;87;87;also-haromszek;32;['45.855076 ', ' 25.786644 '];"['hidroforok-gyartasa', 'viz--es-csatornahalozat', '', '""']";520033, Sepsiszentgy\xf6rgy, Cigaretta u., 46\t
32;33;CHOCO PACK SRL;73;73;61;55;also-haromszek;33;['45.858516 ', ' 25.808773 '];"['edesseg-nagykereskedes', '', '""']";520077, Sepsiszentgy\xf6rgy, Uzoni u., 4\t
33;34;BAUMEISTER SRL;73;85;103;103;also-haromszek;34;['45.858743 ', ' 25.793209 '];"['epitkezes', 'epitkezes-a-tol-z-ig', '', '""']";520089, Sepsiszentgy\xf6rgy, Iorga Nicolae u., 34C\t
34;35;LUCI SRL;72;71;62;39;also-haromszek;35;['45.6603020', ' 26.0167630'];"['kereskedelem', '', '""']";525300, Bodzafordul\xf3, Bar\xe1ts\xe1g u., 38\t
35;36;OREX IMPORT EXPORT SRL;72;64;63;61;also-haromszek;36;['46.125930 ', ' 25.558860 '];"['epitoanyag-lerakatok', 'festekek-es-lakkok', 'padlo--es-fali-csempe', 'szaniter-felszerelesek', 'csatornarendszerek', 'cserep-es-tegla', 'vas--es-vegyi-aru', 'beton-epitoelemek', '', '""']";527180, Vargyas, F\xf5 u., sz.n. - f.n.\t
36;37;S.P.C. ESCORT SRL;72;155;176;157;also-haromszek;37;['45.8794480', ' 25.7971520'];"['orzo-vedo-szolgaltatasok', '', '""']";520037, Sepsiszentgy\xf6rgy, \xc1rkosi u., 63\t
37;38;TRIO IMPEX SRL;72;81;74;66;also-haromszek;38;['45.950000', ' 25.850000'];"['nemzetkozi-aruszallitas', '', '""']";527035, Sepsibodok, F\xf5 u., 291/A\t
38;39;BON SWEET BON PRODUCTIE SRL;68;65;71;38;also-haromszek;39;['45.861235', ' 25.818515'];"['edesseg-nagykereskedes', '', '""']";520077, Sepsiszentgy\xf6rgy, \xc9p\xedt\xf5k u., 3\t
