",Félsziget feladat,""Célja: Félsziget hangulatot lopni a város életébe, Félsziget itt és most."",Csütö	rtök	"
"14:00-16:00,Felvonulás,A rövid megnyitó után felvonulás a F?térr?l a Törökvágáshoz.,Csütörtök		"
"16:00-22:00,Bemutatkozó,Helyszín: Törökvágás; Résztvev?k száma: teljes csapat,Csütörtök		"
"22:00-06:00,N?i foci,Helyszín: Cora parkoló; Résztvev?k száma: 5+1 lány,Csütörtök		"
"07:00-10:00,City Tour Day,Helyszín: Kolozsvár; Résztvev?k száma: 4 fiú és 4 lány,Péntek		"
"08:00-22:00,Kosárlabda,""Helyszín: Babe? Park, Geleriu terem; Résztvev?k száma: 5 f?"",Péntek		"
"08:00-22:00,Kézilabda,""Helyszín: Babe? Park, Gheorghe Roman terem; Résztvev?k száma: 7 f?"",Péntek		"
"08:00-22:00,Strandröplabda,""Helyszín: Babe? Park, Strandröplabda pálya; Résztvev?k száma: 1 fiú és 1	""lány""""""	,Péntek"
"10:00-17:00,Paintball,Helyszín: Paintball pálya - Kerekdomb; Résztvev?k száma: 5 f?,Péntek		"
"11:00-14:00,Go-kart,Helyszín: Pólus parkoló; Résztvev?k száma: 1 f?,Péntek		"
"11:00-15:30,Vízimajális,Helyszín: Sétatéri tó; Résztvev?k száma: 2 fiú és 2 lány,Péntek		"
"11:00-16:00,Krucsa,Helyszín: High Life Café(HLC); Résztvev?k száma: 2 f?,Péntek		"
"11:00-16:00,Póker,Helyszín: Atmosphera; Résztvev?k száma: 1 f?,Péntek		"
"12:00-20:00,Sakk,Helyszín: Spritz Café; Résztvev?k száma: 1 f?,Péntek		"
"12:00-20:00,Asztalitenisz,Helyszín: Babe? Park; Résztvev?k száma: 1 fiú és 1 lány,Péntek		"
"15:00-17:00,Rubik torna,Helyszín: Downtown; Résztvev?k száma: 1 f?,Péntek		"
"16:00-20:00,Kopogós,Helyszín: Downtown; Résztvev?k száma:1 f?,Péntek		"
"18:00-20:00,Cikkírás,Helyszín: János Zsigmond Unitárius Kollégium; Résztvev?k száma: 1 f?,Péntek		"
"18:00-20:00,Bolc,Helyszín: Corvinus Pub; Résztvev?k száma: 1 f?,Péntek		"
"23:00-05:00,Tematikus bulik,Karszalaggal ingyenes! Karszalag nélkül 10 lej a napijegy.,Péntek		"
"08:00-20:00,Tenisz,""Helyszín: Babe? Park, tenisz pályák; Résztvev?k száma: 1 fiú és 1 lány"",Szombat		"
"08:00-20:00,Táncmaraton,Helyszín: Heltai Folk-kocsma; Résztvev?k száma: 1 fiú és 1 lány,Szombat		"
"08:00-20:00,Lábtenisz,""Helyszín: Cotton Club (Bd. 1 Decembrie 1918, 35-37 szám); Résztvev?k száma: 2	""fiú"""""
"08:00-20:00,Foci,Helyszín: Cotton Club (Bd. 1 Decembrie 1918, 35-37 szám); Résztvev?k száma: 6 fiú""""""	"",Szombat"
"10:00-12:00,Úszás,""Helyszín: Babe? Park, uszoda; Résztvev?k száma: 1 fiú és 1 lány"",Szombat		"
"10:00-14:00,PC-játékok,""Helyszín: Asault Pc-Net Café (Király/I.C. Br?tianu u., 47. sz.); Résztvev?k	száma:	""1 fiú és 1 lány"""",Szombat"
"10:00-16:00,Dártsz,Helyszín: Leul Komplexum; Résztvev?k száma: 1 f?,Szombat		"
"10:00-16:00,Tablé,Helyszín: High Life Café(HLC); Résztvev?k száma: 1f?,Szombat		"
"10:00-17:00,Kultúrmaraton,Helyszín:Sapientia EMTE(Déva utca 19 sz.);Kolozsvári Magyar Opera; Résztve	v?k sz	""áma: 3 f?,Szombat"
"10:00-17:00,Csocsó,Helyszín: Heltai Folk-kocsma; Résztvev?k száma: 1 fiú és 1 lány,Szombat		"
"11:00-16:00,Biciklitúra,Helyszín: Kolozsvár; Résztvev?k száma: 1 fiú és 1 lány,Szombat		"
"12:00-15:00,Bowling,Helyszín:Leul Komplexum; Résztvev?k száma:1 f?,Szombat		"
"12:00-16:00,Biliárd,Helyszín: Leul Komplexum; Résztvev?k száma: 1 f?,Szombat		"
"12:00-16:00,Íjászat,Helyszín: Apáczai Csere János Elméleti Líceum; Résztvev?k száma: 1 f?,Szombat		"
"12:00-18:00,Kézilabda,""Helyszín: Babe? Park, Gheorghe Roman terem; Résztvev?k száma: 7 f?"",Szombat		"
"12:00-18:00,Kosárlabda,""Helyszín: Babe? Park, Geleriu terem; Résztvev?k száma: 5 f?"",Szombat		"
"16:00-19:00,Karaoké,Helyszín: Irish & Music Pub ; Résztvev?k száma: 1 f?,Szombat		"
"17:00-19:00,Piramis,Helyszín: Downtown; Résztvev?k száma: 1 f?,Szombat		"
"22:00-05:00,Tematikus Bulik.,Karszalaggal ingyenes! Karszalag nélkül 10 lej a napijegy.,Szombat		"
"23:00-01:00,City Tour Night,Helyszín: Kolozsvár; Résztvev?k száma: a teljes csapat részt vehet,Szomb	at	"
"10:00-21:00,Majális,Helyszín: Bükk; Résztvev?k száma: teljes csapat,Vasárnap		"
"22:00-...,Buli,Karszalaggal ingyenes! Karszalag nélkül 10 lej a napijegy.,Vasárnap		"
",,,		"
",,,		"
",,,		"
