
Judete, Sectiuni si capitole conform Nomenclatorului Combinat (NC), Luni, UM: Mii euro, Valoare
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2015, Mii EURO, 52004
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2015, Mii EURO, 49277
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna noiembrie 2015, Mii EURO, 47058
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2015, Mii EURO, 42058
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2016, Mii EURO, 37693
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2016, Mii EURO, 53552
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna martie 2016, Mii EURO, 57159
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2016, Mii EURO, 56696
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna mai 2016, Mii EURO, 55229
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2016, Mii EURO, 57066
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2016, Mii EURO, 53086
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna august 2016, Mii EURO, 57223
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2016, Mii EURO, 57789
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2016, Mii EURO, 53747
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna noiembrie 2016, Mii EURO, 53438
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2016, Mii EURO, 47120
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna ianuarie 2011, Mii EURO, 21841
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna februarie 2011, Mii EURO, 25688
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna martie 2011, Mii EURO, 29003
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna aprilie 2011, Mii EURO, 29214
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna mai 2011, Mii EURO, 32878
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna iunie 2011, Mii EURO, 32970
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna iulie 2011, Mii EURO, 32708
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna august 2011, Mii EURO, 35368
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna septembrie 2011, Mii EURO, 39291
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna octombrie 2011, Mii EURO, 34881
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna noiembrie 2011, Mii EURO, 32983
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna decembrie 2011, Mii EURO, 25664
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna ianuarie 2012, Mii EURO, 21614
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna februarie 2012, Mii EURO, 25776
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna martie 2012, Mii EURO, 29118
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna aprilie 2012, Mii EURO, 32230
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna mai 2012, Mii EURO, 36404
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna iunie 2012, Mii EURO, 32947
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna iulie 2012, Mii EURO, 35301
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna august 2012, Mii EURO, 30620
