
Judete, Sectiuni si capitole conform Nomenclatorului Combinat (NC), Luni, UM: Mii euro, Valoare
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna noiembrie 2015, Mii EURO, 257
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna decembrie 2015, Mii EURO, 265
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna ianuarie 2016, Mii EURO, 235
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna februarie 2016, Mii EURO, 453
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna martie 2016, Mii EURO, 426
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna aprilie 2016, Mii EURO, 328
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna mai 2016, Mii EURO, 287
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna iunie 2016, Mii EURO, 269
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna iulie 2016, Mii EURO, 246
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna august 2016, Mii EURO, 282
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna septembrie 2016, Mii EURO, 269
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna octombrie 2016, Mii EURO, 257
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna noiembrie 2016, Mii EURO, 353
TOTAL, 46. Produse din impletituri din fire vegetale sau nuiele, Luna decembrie 2016, Mii EURO, 309
TOTAL, X. Hirtie si articole din acestea, Luna ianuarie 2011, Mii EURO, 79784
TOTAL, X. Hirtie si articole din acestea, Luna februarie 2011, Mii EURO, 72258
TOTAL, X. Hirtie si articole din acestea, Luna martie 2011, Mii EURO, 85768
TOTAL, X. Hirtie si articole din acestea, Luna aprilie 2011, Mii EURO, 81549
TOTAL, X. Hirtie si articole din acestea, Luna mai 2011, Mii EURO, 89361
TOTAL, X. Hirtie si articole din acestea, Luna iunie 2011, Mii EURO, 85024
TOTAL, X. Hirtie si articole din acestea, Luna iulie 2011, Mii EURO, 86233
TOTAL, X. Hirtie si articole din acestea, Luna august 2011, Mii EURO, 87056
TOTAL, X. Hirtie si articole din acestea, Luna septembrie 2011, Mii EURO, 93376
TOTAL, X. Hirtie si articole din acestea, Luna octombrie 2011, Mii EURO, 91204
TOTAL, X. Hirtie si articole din acestea, Luna noiembrie 2011, Mii EURO, 87648
TOTAL, X. Hirtie si articole din acestea, Luna decembrie 2011, Mii EURO, 75241
TOTAL, X. Hirtie si articole din acestea, Luna ianuarie 2012, Mii EURO, 65548
TOTAL, X. Hirtie si articole din acestea, Luna februarie 2012, Mii EURO, 71098
TOTAL, X. Hirtie si articole din acestea, Luna martie 2012, Mii EURO, 76469
TOTAL, X. Hirtie si articole din acestea, Luna aprilie 2012, Mii EURO, 74769
TOTAL, X. Hirtie si articole din acestea, Luna mai 2012, Mii EURO, 85095
TOTAL, X. Hirtie si articole din acestea, Luna iunie 2012, Mii EURO, 78900
TOTAL, X. Hirtie si articole din acestea, Luna iulie 2012, Mii EURO, 82097
TOTAL, X. Hirtie si articole din acestea, Luna august 2012, Mii EURO, 73326
TOTAL, X. Hirtie si articole din acestea, Luna septembrie 2012, Mii EURO, 74031
TOTAL, X. Hirtie si articole din acestea, Luna octombrie 2012, Mii EURO, 89502
TOTAL, X. Hirtie si articole din acestea, Luna noiembrie 2012, Mii EURO, 82365
TOTAL, X. Hirtie si articole din acestea, Luna decembrie 2012, Mii EURO, 63357
TOTAL, X. Hirtie si articole din acestea, Luna ianuarie 2013, Mii EURO, 73131
TOTAL, X. Hirtie si articole din acestea, Luna februarie 2013, Mii EURO, 69120
TOTAL, X. Hirtie si articole din acestea, Luna martie 2013, Mii EURO, 79518
TOTAL, X. Hirtie si articole din acestea, Luna aprilie 2013, Mii EURO, 80115
TOTAL, X. Hirtie si articole din acestea, Luna mai 2013, Mii EURO, 81204
TOTAL, X. Hirtie si articole din acestea, Luna iunie 2013, Mii EURO, 78306
TOTAL, X. Hirtie si articole din acestea, Luna iulie 2013, Mii EURO, 86247
TOTAL, X. Hirtie si articole din acestea, Luna august 2013, Mii EURO, 76383
TOTAL, X. Hirtie si articole din acestea, Luna septembrie 2013, Mii EURO, 84296
TOTAL, X. Hirtie si articole din acestea, Luna octombrie 2013, Mii EURO, 93973
TOTAL, X. Hirtie si articole din acestea, Luna noiembrie 2013, Mii EURO, 86389
TOTAL, X. Hirtie si articole din acestea, Luna decembrie 2013, Mii EURO, 70760
TOTAL, X. Hirtie si articole din acestea, Luna ianuarie 2014, Mii EURO, 74221
TOTAL, X. Hirtie si articole din acestea, Luna februarie 2014, Mii EURO, 75698
TOTAL, X. Hirtie si articole din acestea, Luna martie 2014, Mii EURO, 83775
TOTAL, X. Hirtie si articole din acestea, Luna aprilie 2014, Mii EURO, 79606
TOTAL, X. Hirtie si articole din acestea, Luna mai 2014, Mii EURO, 87540
TOTAL, X. Hirtie si articole din acestea, Luna iunie 2014, Mii EURO, 84110
TOTAL, X. Hirtie si articole din acestea, Luna iulie 2014, Mii EURO, 86965
TOTAL, X. Hirtie si articole din acestea, Luna august 2014, Mii EURO, 77527
TOTAL, X. Hirtie si articole din acestea, Luna septembrie 2014, Mii EURO, 91643
TOTAL, X. Hirtie si articole din acestea, Luna octombrie 2014, Mii EURO, 94998
TOTAL, X. Hirtie si articole din acestea, Luna noiembrie 2014, Mii EURO, 86908
TOTAL, X. Hirtie si articole din acestea, Luna decembrie 2014, Mii EURO, 80695
TOTAL, X. Hirtie si articole din acestea, Luna ianuarie 2015, Mii EURO, 72967
TOTAL, X. Hirtie si articole din acestea, Luna februarie 2015, Mii EURO, 80484
TOTAL, X. Hirtie si articole din acestea, Luna martie 2015, Mii EURO, 91184
TOTAL, X. Hirtie si articole din acestea, Luna aprilie 2015, Mii EURO, 81548
TOTAL, X. Hirtie si articole din acestea, Luna mai 2015, Mii EURO, 82652
TOTAL, X. Hirtie si articole din acestea, Luna iunie 2015, Mii EURO, 94242
TOTAL, X. Hirtie si articole din acestea, Luna iulie 2015, Mii EURO, 95714
TOTAL, X. Hirtie si articole din acestea, Luna august 2015, Mii EURO, 83094
TOTAL, X. Hirtie si articole din acestea, Luna septembrie 2015, Mii EURO, 96921
TOTAL, X. Hirtie si articole din acestea, Luna octombrie 2015, Mii EURO, 98910
TOTAL, X. Hirtie si articole din acestea, Luna noiembrie 2015, Mii EURO, 95927
TOTAL, X. Hirtie si articole din acestea, Luna decembrie 2015, Mii EURO, 89524
TOTAL, X. Hirtie si articole din acestea, Luna ianuarie 2016, Mii EURO, 84113
TOTAL, X. Hirtie si articole din acestea, Luna februarie 2016, Mii EURO, 96807
TOTAL, X. Hirtie si articole din acestea, Luna martie 2016, Mii EURO, 101624
TOTAL, X. Hirtie si articole din acestea, Luna aprilie 2016, Mii EURO, 97480
TOTAL, X. Hirtie si articole din acestea, Luna mai 2016, Mii EURO, 93328
TOTAL, X. Hirtie si articole din acestea, Luna iunie 2016, Mii EURO, 97041
TOTAL, X. Hirtie si articole din acestea, Luna iulie 2016, Mii EURO, 93079
TOTAL, X. Hirtie si articole din acestea, Luna august 2016, Mii EURO, 93125
TOTAL, X. Hirtie si articole din acestea, Luna septembrie 2016, Mii EURO, 102012
TOTAL, X. Hirtie si articole din acestea, Luna octombrie 2016, Mii EURO, 100509
TOTAL, X. Hirtie si articole din acestea, Luna noiembrie 2016, Mii EURO, 101390
TOTAL, X. Hirtie si articole din acestea, Luna decembrie 2016, Mii EURO, 87682
TOTAL, 47. Pasta din lemn, Luna ianuarie 2011, Mii EURO, 4779
TOTAL, 47. Pasta din lemn, Luna februarie 2011, Mii EURO, 2882
TOTAL, 47. Pasta din lemn, Luna martie 2011, Mii EURO, 3061
TOTAL, 47. Pasta din lemn, Luna aprilie 2011, Mii EURO, 3580
TOTAL, 47. Pasta din lemn, Luna mai 2011, Mii EURO, 3397
TOTAL, 47. Pasta din lemn, Luna iunie 2011, Mii EURO, 4138
TOTAL, 47. Pasta din lemn, Luna iulie 2011, Mii EURO, 3759
TOTAL, 47. Pasta din lemn, Luna august 2011, Mii EURO, 4086
TOTAL, 47. Pasta din lemn, Luna septembrie 2011, Mii EURO, 3186
TOTAL, 47. Pasta din lemn, Luna octombrie 2011, Mii EURO, 3146
TOTAL, 47. Pasta din lemn, Luna noiembrie 2011, Mii EURO, 3227
TOTAL, 47. Pasta din lemn, Luna decembrie 2011, Mii EURO, 3373
TOTAL, 47. Pasta din lemn, Luna ianuarie 2012, Mii EURO, 2574
TOTAL, 47. Pasta din lemn, Luna februarie 2012, Mii EURO, 3108
TOTAL, 47. Pasta din lemn, Luna martie 2012, Mii EURO, 3398
TOTAL, 47. Pasta din lemn, Luna aprilie 2012, Mii EURO, 3520
TOTAL, 47. Pasta din lemn, Luna mai 2012, Mii EURO, 4230
TOTAL, 47. Pasta din lemn, Luna iunie 2012, Mii EURO, 3223
TOTAL, 47. Pasta din lemn, Luna iulie 2012, Mii EURO, 3907
TOTAL, 47. Pasta din lemn, Luna august 2012, Mii EURO, 4271
TOTAL, 47. Pasta din lemn, Luna septembrie 2012, Mii EURO, 3037
TOTAL, 47. Pasta din lemn, Luna octombrie 2012, Mii EURO, 4700
TOTAL, 47. Pasta din lemn, Luna noiembrie 2012, Mii EURO, 4291
TOTAL, 47. Pasta din lemn, Luna decembrie 2012, Mii EURO, 3629
TOTAL, 47. Pasta din lemn, Luna ianuarie 2013, Mii EURO, 3286
TOTAL, 47. Pasta din lemn, Luna februarie 2013, Mii EURO, 3539
TOTAL, 47. Pasta din lemn, Luna martie 2013, Mii EURO, 3835
TOTAL, 47. Pasta din lemn, Luna aprilie 2013, Mii EURO, 4194
TOTAL, 47. Pasta din lemn, Luna mai 2013, Mii EURO, 3976
TOTAL, 47. Pasta din lemn, Luna iunie 2013, Mii EURO, 4165
TOTAL, 47. Pasta din lemn, Luna iulie 2013, Mii EURO, 4306
TOTAL, 47. Pasta din lemn, Luna august 2013, Mii EURO, 3728
TOTAL, 47. Pasta din lemn, Luna septembrie 2013, Mii EURO, 5603
TOTAL, 47. Pasta din lemn, Luna octombrie 2013, Mii EURO, 5575
TOTAL, 47. Pasta din lemn, Luna noiembrie 2013, Mii EURO, 6163
TOTAL, 47. Pasta din lemn, Luna decembrie 2013, Mii EURO, 5869
TOTAL, 47. Pasta din lemn, Luna ianuarie 2014, Mii EURO, 4293
TOTAL, 47. Pasta din lemn, Luna februarie 2014, Mii EURO, 4203
TOTAL, 47. Pasta din lemn, Luna martie 2014, Mii EURO, 4804
TOTAL, 47. Pasta din lemn, Luna aprilie 2014, Mii EURO, 4059
TOTAL, 47. Pasta din lemn, Luna mai 2014, Mii EURO, 4707
TOTAL, 47. Pasta din lemn, Luna iunie 2014, Mii EURO, 4876
TOTAL, 47. Pasta din lemn, Luna iulie 2014, Mii EURO, 4286
TOTAL, 47. Pasta din lemn, Luna august 2014, Mii EURO, 5096
TOTAL, 47. Pasta din lemn, Luna septembrie 2014, Mii EURO, 6928
TOTAL, 47. Pasta din lemn, Luna octombrie 2014, Mii EURO, 6080
TOTAL, 47. Pasta din lemn, Luna noiembrie 2014, Mii EURO, 4268
TOTAL, 47. Pasta din lemn, Luna decembrie 2014, Mii EURO, 7791
TOTAL, 47. Pasta din lemn, Luna ianuarie 2015, Mii EURO, 3868
TOTAL, 47. Pasta din lemn, Luna februarie 2015, Mii EURO, 5477
TOTAL, 47. Pasta din lemn, Luna martie 2015, Mii EURO, 7256
TOTAL, 47. Pasta din lemn, Luna aprilie 2015, Mii EURO, 5251
TOTAL, 47. Pasta din lemn, Luna mai 2015, Mii EURO, 6522
TOTAL, 47. Pasta din lemn, Luna iunie 2015, Mii EURO, 6544
TOTAL, 47. Pasta din lemn, Luna iulie 2015, Mii EURO, 7455
TOTAL, 47. Pasta din lemn, Luna august 2015, Mii EURO, 4497
TOTAL, 47. Pasta din lemn, Luna septembrie 2015, Mii EURO, 7722
TOTAL, 47. Pasta din lemn, Luna octombrie 2015, Mii EURO, 5050
TOTAL, 47. Pasta din lemn, Luna noiembrie 2015, Mii EURO, 6230
TOTAL, 47. Pasta din lemn, Luna decembrie 2015, Mii EURO, 7057
TOTAL, 47. Pasta din lemn, Luna ianuarie 2016, Mii EURO, 6899
TOTAL, 47. Pasta din lemn, Luna februarie 2016, Mii EURO, 6120
TOTAL, 47. Pasta din lemn, Luna martie 2016, Mii EURO, 8203
TOTAL, 47. Pasta din lemn, Luna aprilie 2016, Mii EURO, 5727
TOTAL, 47. Pasta din lemn, Luna mai 2016, Mii EURO, 6927
TOTAL, 47. Pasta din lemn, Luna iunie 2016, Mii EURO, 6810
TOTAL, 47. Pasta din lemn, Luna iulie 2016, Mii EURO, 7220
TOTAL, 47. Pasta din lemn, Luna august 2016, Mii EURO, 8398
TOTAL, 47. Pasta din lemn, Luna septembrie 2016, Mii EURO, 5282
TOTAL, 47. Pasta din lemn, Luna octombrie 2016, Mii EURO, 6925
TOTAL, 47. Pasta din lemn, Luna noiembrie 2016, Mii EURO, 7799
TOTAL, 47. Pasta din lemn, Luna decembrie 2016, Mii EURO, 9203
TOTAL, 48. Hirtie si articole din acestea, Luna ianuarie 2011, Mii EURO, 67266
TOTAL, 48. Hirtie si articole din acestea, Luna februarie 2011, Mii EURO, 61683
TOTAL, 48. Hirtie si articole din acestea, Luna martie 2011, Mii EURO, 75307
TOTAL, 48. Hirtie si articole din acestea, Luna aprilie 2011, Mii EURO, 70438
TOTAL, 48. Hirtie si articole din acestea, Luna mai 2011, Mii EURO, 78017
TOTAL, 48. Hirtie si articole din acestea, Luna iunie 2011, Mii EURO, 74109
TOTAL, 48. Hirtie si articole din acestea, Luna iulie 2011, Mii EURO, 74938
TOTAL, 48. Hirtie si articole din acestea, Luna august 2011, Mii EURO, 75575
TOTAL, 48. Hirtie si articole din acestea, Luna septembrie 2011, Mii EURO, 82085
TOTAL, 48. Hirtie si articole din acestea, Luna octombrie 2011, Mii EURO, 78314
TOTAL, 48. Hirtie si articole din acestea, Luna noiembrie 2011, Mii EURO, 77180
TOTAL, 48. Hirtie si articole din acestea, Luna decembrie 2011, Mii EURO, 63322
TOTAL, 48. Hirtie si articole din acestea, Luna ianuarie 2012, Mii EURO, 56902
TOTAL, 48. Hirtie si articole din acestea, Luna februarie 2012, Mii EURO, 62539
TOTAL, 48. Hirtie si articole din acestea, Luna martie 2012, Mii EURO, 66392
TOTAL, 48. Hirtie si articole din acestea, Luna aprilie 2012, Mii EURO, 64847
TOTAL, 48. Hirtie si articole din acestea, Luna mai 2012, Mii EURO, 73654
TOTAL, 48. Hirtie si articole din acestea, Luna iunie 2012, Mii EURO, 67411
TOTAL, 48. Hirtie si articole din acestea, Luna iulie 2012, Mii EURO, 71027
TOTAL, 48. Hirtie si articole din acestea, Luna august 2012, Mii EURO, 63373
TOTAL, 48. Hirtie si articole din acestea, Luna septembrie 2012, Mii EURO, 64337
TOTAL, 48. Hirtie si articole din acestea, Luna octombrie 2012, Mii EURO, 76231
TOTAL, 48. Hirtie si articole din acestea, Luna noiembrie 2012, Mii EURO, 71566
TOTAL, 48. Hirtie si articole din acestea, Luna decembrie 2012, Mii EURO, 53691
TOTAL, 48. Hirtie si articole din acestea, Luna ianuarie 2013, Mii EURO, 63287
TOTAL, 48. Hirtie si articole din acestea, Luna februarie 2013, Mii EURO, 59534
TOTAL, 48. Hirtie si articole din acestea, Luna martie 2013, Mii EURO, 69391
TOTAL, 48. Hirtie si articole din acestea, Luna aprilie 2013, Mii EURO, 69953
TOTAL, 48. Hirtie si articole din acestea, Luna mai 2013, Mii EURO, 70936
TOTAL, 48. Hirtie si articole din acestea, Luna iunie 2013, Mii EURO, 68321
TOTAL, 48. Hirtie si articole din acestea, Luna iulie 2013, Mii EURO, 75631
TOTAL, 48. Hirtie si articole din acestea, Luna august 2013, Mii EURO, 66008
TOTAL, 48. Hirtie si articole din acestea, Luna septembrie 2013, Mii EURO, 71835
TOTAL, 48. Hirtie si articole din acestea, Luna octombrie 2013, Mii EURO, 79864
TOTAL, 48. Hirtie si articole din acestea, Luna noiembrie 2013, Mii EURO, 73126
TOTAL, 48. Hirtie si articole din acestea, Luna decembrie 2013, Mii EURO, 58822
TOTAL, 48. Hirtie si articole din acestea, Luna ianuarie 2014, Mii EURO, 63772
TOTAL, 48. Hirtie si articole din acestea, Luna februarie 2014, Mii EURO, 65233
TOTAL, 48. Hirtie si articole din acestea, Luna martie 2014, Mii EURO, 71518
TOTAL, 48. Hirtie si articole din acestea, Luna aprilie 2014, Mii EURO, 69849
TOTAL, 48. Hirtie si articole din acestea, Luna mai 2014, Mii EURO, 76022
TOTAL, 48. Hirtie si articole din acestea, Luna iunie 2014, Mii EURO, 73513
TOTAL, 48. Hirtie si articole din acestea, Luna iulie 2014, Mii EURO, 76781
TOTAL, 48. Hirtie si articole din acestea, Luna august 2014, Mii EURO, 66541
TOTAL, 48. Hirtie si articole din acestea, Luna septembrie 2014, Mii EURO, 78026
TOTAL, 48. Hirtie si articole din acestea, Luna octombrie 2014, Mii EURO, 79896
TOTAL, 48. Hirtie si articole din acestea, Luna noiembrie 2014, Mii EURO, 75622
TOTAL, 48. Hirtie si articole din acestea, Luna decembrie 2014, Mii EURO, 65576
TOTAL, 48. Hirtie si articole din acestea, Luna ianuarie 2015, Mii EURO, 62155
TOTAL, 48. Hirtie si articole din acestea, Luna februarie 2015, Mii EURO, 69247
TOTAL, 48. Hirtie si articole din acestea, Luna martie 2015, Mii EURO, 77461
TOTAL, 48. Hirtie si articole din acestea, Luna aprilie 2015, Mii EURO, 69685
TOTAL, 48. Hirtie si articole din acestea, Luna mai 2015, Mii EURO, 70910
TOTAL, 48. Hirtie si articole din acestea, Luna iunie 2015, Mii EURO, 81367
TOTAL, 48. Hirtie si articole din acestea, Luna iulie 2015, Mii EURO, 81954
TOTAL, 48. Hirtie si articole din acestea, Luna august 2015, Mii EURO, 72493
TOTAL, 48. Hirtie si articole din acestea, Luna septembrie 2015, Mii EURO, 81915
TOTAL, 48. Hirtie si articole din acestea, Luna octombrie 2015, Mii EURO, 86097
TOTAL, 48. Hirtie si articole din acestea, Luna noiembrie 2015, Mii EURO, 81344
TOTAL, 48. Hirtie si articole din acestea, Luna decembrie 2015, Mii EURO, 75091
TOTAL, 48. Hirtie si articole din acestea, Luna ianuarie 2016, Mii EURO, 71044
TOTAL, 48. Hirtie si articole din acestea, Luna februarie 2016, Mii EURO, 81579
TOTAL, 48. Hirtie si articole din acestea, Luna martie 2016, Mii EURO, 86343
TOTAL, 48. Hirtie si articole din acestea, Luna aprilie 2016, Mii EURO, 84187
TOTAL, 48. Hirtie si articole din acestea, Luna mai 2016, Mii EURO, 79362
TOTAL, 48. Hirtie si articole din acestea, Luna iunie 2016, Mii EURO, 82538
TOTAL, 48. Hirtie si articole din acestea, Luna iulie 2016, Mii EURO, 78998
TOTAL, 48. Hirtie si articole din acestea, Luna august 2016, Mii EURO, 76206
TOTAL, 48. Hirtie si articole din acestea, Luna septembrie 2016, Mii EURO, 87353
TOTAL, 48. Hirtie si articole din acestea, Luna octombrie 2016, Mii EURO, 84280
TOTAL, 48. Hirtie si articole din acestea, Luna noiembrie 2016, Mii EURO, 84615
TOTAL, 48. Hirtie si articole din acestea, Luna decembrie 2016, Mii EURO, 70445
TOTAL, 49. Carti  ziare, Luna ianuarie 2011, Mii EURO, 7739
TOTAL, 49. Carti  ziare, Luna februarie 2011, Mii EURO, 7693
TOTAL, 49. Carti  ziare, Luna martie 2011, Mii EURO, 7399
TOTAL, 49. Carti  ziare, Luna aprilie 2011, Mii EURO, 7530
TOTAL, 49. Carti  ziare, Luna mai 2011, Mii EURO, 7948
TOTAL, 49. Carti  ziare, Luna iunie 2011, Mii EURO, 6776
TOTAL, 49. Carti  ziare, Luna iulie 2011, Mii EURO, 7535
TOTAL, 49. Carti  ziare, Luna august 2011, Mii EURO, 7394
TOTAL, 49. Carti  ziare, Luna septembrie 2011, Mii EURO, 8105
TOTAL, 49. Carti  ziare, Luna octombrie 2011, Mii EURO, 9744
TOTAL, 49. Carti  ziare, Luna noiembrie 2011, Mii EURO, 7241
TOTAL, 49. Carti  ziare, Luna decembrie 2011, Mii EURO, 8546
TOTAL, 49. Carti  ziare, Luna ianuarie 2012, Mii EURO, 6072
TOTAL, 49. Carti  ziare, Luna februarie 2012, Mii EURO, 5451
TOTAL, 49. Carti  ziare, Luna martie 2012, Mii EURO, 6679
TOTAL, 49. Carti  ziare, Luna aprilie 2012, Mii EURO, 6402
TOTAL, 49. Carti  ziare, Luna mai 2012, Mii EURO, 7210
TOTAL, 49. Carti  ziare, Luna iunie 2012, Mii EURO, 8267
TOTAL, 49. Carti  ziare, Luna iulie 2012, Mii EURO, 7163
TOTAL, 49. Carti  ziare, Luna august 2012, Mii EURO, 5682
TOTAL, 49. Carti  ziare, Luna septembrie 2012, Mii EURO, 6656
TOTAL, 49. Carti  ziare, Luna octombrie 2012, Mii EURO, 8572
TOTAL, 49. Carti  ziare, Luna noiembrie 2012, Mii EURO, 6507
TOTAL, 49. Carti  ziare, Luna decembrie 2012, Mii EURO, 6037
TOTAL, 49. Carti  ziare, Luna ianuarie 2013, Mii EURO, 6558
TOTAL, 49. Carti  ziare, Luna februarie 2013, Mii EURO, 6047
TOTAL, 49. Carti  ziare, Luna martie 2013, Mii EURO, 6293
TOTAL, 49. Carti  ziare, Luna aprilie 2013, Mii EURO, 5968
TOTAL, 49. Carti  ziare, Luna mai 2013, Mii EURO, 6291
TOTAL, 49. Carti  ziare, Luna iunie 2013, Mii EURO, 5820
TOTAL, 49. Carti  ziare, Luna iulie 2013, Mii EURO, 6310
TOTAL, 49. Carti  ziare, Luna august 2013, Mii EURO, 6647
TOTAL, 49. Carti  ziare, Luna septembrie 2013, Mii EURO, 6858
TOTAL, 49. Carti  ziare, Luna octombrie 2013, Mii EURO, 8533
TOTAL, 49. Carti  ziare, Luna noiembrie 2013, Mii EURO, 7100
TOTAL, 49. Carti  ziare, Luna decembrie 2013, Mii EURO, 6069
TOTAL, 49. Carti  ziare, Luna ianuarie 2014, Mii EURO, 6156
TOTAL, 49. Carti  ziare, Luna februarie 2014, Mii EURO, 6262
TOTAL, 49. Carti  ziare, Luna martie 2014, Mii EURO, 7452
TOTAL, 49. Carti  ziare, Luna aprilie 2014, Mii EURO, 5698
TOTAL, 49. Carti  ziare, Luna mai 2014, Mii EURO, 6811
TOTAL, 49. Carti  ziare, Luna iunie 2014, Mii EURO, 5721
TOTAL, 49. Carti  ziare, Luna iulie 2014, Mii EURO, 5898
TOTAL, 49. Carti  ziare, Luna august 2014, Mii EURO, 5890
TOTAL, 49. Carti  ziare, Luna septembrie 2014, Mii EURO, 6688
TOTAL, 49. Carti  ziare, Luna octombrie 2014, Mii EURO, 9022
TOTAL, 49. Carti  ziare, Luna noiembrie 2014, Mii EURO, 7019
TOTAL, 49. Carti  ziare, Luna decembrie 2014, Mii EURO, 7329
TOTAL, 49. Carti  ziare, Luna ianuarie 2015, Mii EURO, 6944
TOTAL, 49. Carti  ziare, Luna februarie 2015, Mii EURO, 5760
TOTAL, 49. Carti  ziare, Luna martie 2015, Mii EURO, 6467
TOTAL, 49. Carti  ziare, Luna aprilie 2015, Mii EURO, 6613
TOTAL, 49. Carti  ziare, Luna mai 2015, Mii EURO, 5220
TOTAL, 49. Carti  ziare, Luna iunie 2015, Mii EURO, 6331
TOTAL, 49. Carti  ziare, Luna iulie 2015, Mii EURO, 6305
TOTAL, 49. Carti  ziare, Luna august 2015, Mii EURO, 6104
TOTAL, 49. Carti  ziare, Luna septembrie 2015, Mii EURO, 7284
TOTAL, 49. Carti  ziare, Luna octombrie 2015, Mii EURO, 7763
TOTAL, 49. Carti  ziare, Luna noiembrie 2015, Mii EURO, 8353
TOTAL, 49. Carti  ziare, Luna decembrie 2015, Mii EURO, 7376
TOTAL, 49. Carti  ziare, Luna ianuarie 2016, Mii EURO, 6169
TOTAL, 49. Carti  ziare, Luna februarie 2016, Mii EURO, 9108
TOTAL, 49. Carti  ziare, Luna martie 2016, Mii EURO, 7079
TOTAL, 49. Carti  ziare, Luna aprilie 2016, Mii EURO, 7566
TOTAL, 49. Carti  ziare, Luna mai 2016, Mii EURO, 7039
TOTAL, 49. Carti  ziare, Luna iunie 2016, Mii EURO, 7693
TOTAL, 49. Carti  ziare, Luna iulie 2016, Mii EURO, 6861
TOTAL, 49. Carti  ziare, Luna august 2016, Mii EURO, 8522
TOTAL, 49. Carti  ziare, Luna septembrie 2016, Mii EURO, 9377
TOTAL, 49. Carti  ziare, Luna octombrie 2016, Mii EURO, 9305
TOTAL, 49. Carti  ziare, Luna noiembrie 2016, Mii EURO, 8976
TOTAL, 49. Carti  ziare, Luna decembrie 2016, Mii EURO, 8034
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2011, Mii EURO, 103
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2011, Mii EURO, 153
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna martie 2011, Mii EURO, 144
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2011, Mii EURO, 123
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna mai 2011, Mii EURO, 207
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2011, Mii EURO, 130
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2011, Mii EURO, 94
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna august 2011, Mii EURO, 126
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2011, Mii EURO, 178
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2011, Mii EURO, 116
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna noiembrie 2011, Mii EURO, 223
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2011, Mii EURO, 109
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2012, Mii EURO, 109
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2012, Mii EURO, 64
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna martie 2012, Mii EURO, 138
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2012, Mii EURO, 119
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna mai 2012, Mii EURO, 136
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2012, Mii EURO, 156
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2012, Mii EURO, 219
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna august 2012, Mii EURO, 145
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2012, Mii EURO, 211
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2012, Mii EURO, 312
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna noiembrie 2012, Mii EURO, 279
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2012, Mii EURO, 143
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2013, Mii EURO, 159
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2013, Mii EURO, 178
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna martie 2013, Mii EURO, 240
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2013, Mii EURO, 169
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna mai 2013, Mii EURO, 140
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2013, Mii EURO, 187
Covasna, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2013, Mii EURO, 175
