
Categorii de paduri, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii mc, Valoare
Total, Arad, Anul 2007, Mii metri cubi, 562.4
Total, Arad, Anul 2008, Mii metri cubi, 588.3
Total, Arad, Anul 2009, Mii metri cubi, 518.1
Total, Arad, Anul 2010, Mii metri cubi, 587.2
Total, Arad, Anul 2011, Mii metri cubi, 635.4
Total, Arad, Anul 2012, Mii metri cubi, 587.5
Total, Arad, Anul 2013, Mii metri cubi, 605.8
Total, Arad, Anul 2014, Mii metri cubi, 546.9
Total, Arad, Anul 2015, Mii metri cubi, 603.4
Total, Caras-Severin, Anul 1990, Mii metri cubi, 784.5
Total, Caras-Severin, Anul 1991, Mii metri cubi, 685.8
Total, Caras-Severin, Anul 1992, Mii metri cubi, 585.1
Total, Caras-Severin, Anul 1993, Mii metri cubi, 518.8
Total, Caras-Severin, Anul 1994, Mii metri cubi, 464.9
Total, Caras-Severin, Anul 1995, Mii metri cubi, 522.8
Total, Caras-Severin, Anul 1996, Mii metri cubi, 614.4
Total, Caras-Severin, Anul 1997, Mii metri cubi, 643.7
Total, Caras-Severin, Anul 1998, Mii metri cubi, 522.9
Total, Caras-Severin, Anul 1999, Mii metri cubi, 473
Total, Caras-Severin, Anul 2000, Mii metri cubi, 511.5
Total, Caras-Severin, Anul 2001, Mii metri cubi, 501.5
Total, Caras-Severin, Anul 2002, Mii metri cubi, 687.5
Total, Caras-Severin, Anul 2003, Mii metri cubi, 742.8
Total, Caras-Severin, Anul 2004, Mii metri cubi, 811.9
Total, Caras-Severin, Anul 2005, Mii metri cubi, 676.6
Total, Caras-Severin, Anul 2006, Mii metri cubi, 718.9
Total, Caras-Severin, Anul 2007, Mii metri cubi, 676.6
Total, Caras-Severin, Anul 2008, Mii metri cubi, 721.4
Total, Caras-Severin, Anul 2009, Mii metri cubi, 698
Total, Caras-Severin, Anul 2010, Mii metri cubi, 767.1
Total, Caras-Severin, Anul 2011, Mii metri cubi, 772.5
Total, Caras-Severin, Anul 2012, Mii metri cubi, 779.7
Total, Caras-Severin, Anul 2013, Mii metri cubi, 827.2
Total, Caras-Severin, Anul 2014, Mii metri cubi, 808.4
Total, Caras-Severin, Anul 2015, Mii metri cubi, 783.9
Total, Hunedoara, Anul 1990, Mii metri cubi, 647.1
Total, Hunedoara, Anul 1991, Mii metri cubi, 587.3
Total, Hunedoara, Anul 1992, Mii metri cubi, 579.7
Total, Hunedoara, Anul 1993, Mii metri cubi, 499.3
Total, Hunedoara, Anul 1994, Mii metri cubi, 435.3
Total, Hunedoara, Anul 1995, Mii metri cubi, 357.5
Total, Hunedoara, Anul 1996, Mii metri cubi, 401.4
Total, Hunedoara, Anul 1997, Mii metri cubi, 379.4
Total, Hunedoara, Anul 1998, Mii metri cubi, 323.1
Total, Hunedoara, Anul 1999, Mii metri cubi, 402.6
Total, Hunedoara, Anul 2000, Mii metri cubi, 459.7
Total, Hunedoara, Anul 2001, Mii metri cubi, 431
Total, Hunedoara, Anul 2002, Mii metri cubi, 471.8
Total, Hunedoara, Anul 2003, Mii metri cubi, 464.5
Total, Hunedoara, Anul 2004, Mii metri cubi, 516.5
Total, Hunedoara, Anul 2005, Mii metri cubi, 411.8
Total, Hunedoara, Anul 2006, Mii metri cubi, 413.7
Total, Hunedoara, Anul 2007, Mii metri cubi, 449.7
Total, Hunedoara, Anul 2008, Mii metri cubi, 346.8
Total, Hunedoara, Anul 2009, Mii metri cubi, 435.6
Total, Hunedoara, Anul 2010, Mii metri cubi, 438
Total, Hunedoara, Anul 2011, Mii metri cubi, 593.4
Total, Hunedoara, Anul 2012, Mii metri cubi, 596.3
Total, Hunedoara, Anul 2013, Mii metri cubi, 595.9
Total, Hunedoara, Anul 2014, Mii metri cubi, 594.7
Total, Hunedoara, Anul 2015, Mii metri cubi, 598
Total, Timis, Anul 1990, Mii metri cubi, 266.7
Total, Timis, Anul 1991, Mii metri cubi, 253.1
Total, Timis, Anul 1992, Mii metri cubi, 223.5
Total, Timis, Anul 1993, Mii metri cubi, 218.2
Total, Timis, Anul 1994, Mii metri cubi, 213.8
Total, Timis, Anul 1995, Mii metri cubi, 224.9
Total, Timis, Anul 1996, Mii metri cubi, 249
Total, Timis, Anul 1997, Mii metri cubi, 232.7
Total, Timis, Anul 1998, Mii metri cubi, 218.1
Total, Timis, Anul 1999, Mii metri cubi, 249.6
Total, Timis, Anul 2000, Mii metri cubi, 251.5
Total, Timis, Anul 2001, Mii metri cubi, 283.3
Total, Timis, Anul 2002, Mii metri cubi, 317.5
Total, Timis, Anul 2003, Mii metri cubi, 248.5
Total, Timis, Anul 2004, Mii metri cubi, 295.8
Total, Timis, Anul 2005, Mii metri cubi, 312.7
Total, Timis, Anul 2006, Mii metri cubi, 303.1
Total, Timis, Anul 2007, Mii metri cubi, 312.1
Total, Timis, Anul 2008, Mii metri cubi, 269
Total, Timis, Anul 2009, Mii metri cubi, 306
Total, Timis, Anul 2010, Mii metri cubi, 295.8
Total, Timis, Anul 2011, Mii metri cubi, 293.8
Total, Timis, Anul 2012, Mii metri cubi, 289.2
Total, Timis, Anul 2013, Mii metri cubi, 296.7
Total, Timis, Anul 2014, Mii metri cubi, 268
Total, Timis, Anul 2015, Mii metri cubi, 292.6
Rasinoase, Bihor, Anul 1990, Mii metri cubi, 44.3
Rasinoase, Bihor, Anul 1991, Mii metri cubi, 54.7
Rasinoase, Bihor, Anul 1992, Mii metri cubi, 44.9
Rasinoase, Bihor, Anul 1993, Mii metri cubi, 47.4
Rasinoase, Bihor, Anul 1994, Mii metri cubi, 40.8
Rasinoase, Bihor, Anul 1995, Mii metri cubi, 49.2
Rasinoase, Bihor, Anul 1996, Mii metri cubi, 48.3
Rasinoase, Bihor, Anul 1997, Mii metri cubi, 49.1
Rasinoase, Bihor, Anul 1998, Mii metri cubi, 46.3
Rasinoase, Bihor, Anul 1999, Mii metri cubi, 29.1
Rasinoase, Bihor, Anul 2000, Mii metri cubi, 34.5
Rasinoase, Bihor, Anul 2001, Mii metri cubi, 43.8
Rasinoase, Bihor, Anul 2002, Mii metri cubi, 43.3
Rasinoase, Bihor, Anul 2003, Mii metri cubi, 29.6
Rasinoase, Bihor, Anul 2004, Mii metri cubi, 43.1
Rasinoase, Bihor, Anul 2005, Mii metri cubi, 44.8
Rasinoase, Bihor, Anul 2006, Mii metri cubi, 51.1
Rasinoase, Bihor, Anul 2007, Mii metri cubi, 105.4
Rasinoase, Bihor, Anul 2008, Mii metri cubi, 56.1
Rasinoase, Bihor, Anul 2009, Mii metri cubi, 91.4
Rasinoase, Bihor, Anul 2010, Mii metri cubi, 85
Rasinoase, Bihor, Anul 2011, Mii metri cubi, 99
Rasinoase, Bihor, Anul 2012, Mii metri cubi, 71.9
Rasinoase, Bihor, Anul 2013, Mii metri cubi, 64
Rasinoase, Bihor, Anul 2014, Mii metri cubi, 71
Rasinoase, Bihor, Anul 2015, Mii metri cubi, 52.7
Rasinoase, Bistrita-Nasaud, Anul 1990, Mii metri cubi, 304.7
Rasinoase, Bistrita-Nasaud, Anul 1991, Mii metri cubi, 240.4
Rasinoase, Bistrita-Nasaud, Anul 1992, Mii metri cubi, 209.8
Rasinoase, Bistrita-Nasaud, Anul 1993, Mii metri cubi, 198.3
Rasinoase, Bistrita-Nasaud, Anul 1994, Mii metri cubi, 213.2
Rasinoase, Bistrita-Nasaud, Anul 1995, Mii metri cubi, 230.7
Rasinoase, Bistrita-Nasaud, Anul 1996, Mii metri cubi, 362.5
Rasinoase, Bistrita-Nasaud, Anul 1997, Mii metri cubi, 325.7
Rasinoase, Bistrita-Nasaud, Anul 1998, Mii metri cubi, 245.8
Rasinoase, Bistrita-Nasaud, Anul 1999, Mii metri cubi, 289.3
Rasinoase, Bistrita-Nasaud, Anul 2000, Mii metri cubi, 284.6
Rasinoase, Bistrita-Nasaud, Anul 2001, Mii metri cubi, 257.9
Rasinoase, Bistrita-Nasaud, Anul 2002, Mii metri cubi, 403.1
Rasinoase, Bistrita-Nasaud, Anul 2003, Mii metri cubi, 409.3
Rasinoase, Bistrita-Nasaud, Anul 2004, Mii metri cubi, 378.1
Rasinoase, Bistrita-Nasaud, Anul 2005, Mii metri cubi, 369.9
Rasinoase, Bistrita-Nasaud, Anul 2006, Mii metri cubi, 298.3
Rasinoase, Bistrita-Nasaud, Anul 2007, Mii metri cubi, 508.7
Rasinoase, Bistrita-Nasaud, Anul 2008, Mii metri cubi, 455.8
Rasinoase, Bistrita-Nasaud, Anul 2009, Mii metri cubi, 341.5
Rasinoase, Bistrita-Nasaud, Anul 2010, Mii metri cubi, 294.2
Rasinoase, Bistrita-Nasaud, Anul 2011, Mii metri cubi, 327.2
Rasinoase, Bistrita-Nasaud, Anul 2012, Mii metri cubi, 338.4
Rasinoase, Bistrita-Nasaud, Anul 2013, Mii metri cubi, 287
Rasinoase, Bistrita-Nasaud, Anul 2014, Mii metri cubi, 317
Rasinoase, Bistrita-Nasaud, Anul 2015, Mii metri cubi, 286.8
Rasinoase, Cluj, Anul 1990, Mii metri cubi, 119.8
Rasinoase, Cluj, Anul 1991, Mii metri cubi, 101.8
Rasinoase, Cluj, Anul 1992, Mii metri cubi, 98.5
Rasinoase, Cluj, Anul 1993, Mii metri cubi, 92
Rasinoase, Cluj, Anul 1994, Mii metri cubi, 93.4
Rasinoase, Cluj, Anul 1995, Mii metri cubi, 86.9
Rasinoase, Cluj, Anul 1996, Mii metri cubi, 99.3
Rasinoase, Cluj, Anul 1997, Mii metri cubi, 126.1
Rasinoase, Cluj, Anul 1998, Mii metri cubi, 113.2
Rasinoase, Cluj, Anul 1999, Mii metri cubi, 123.9
Rasinoase, Cluj, Anul 2000, Mii metri cubi, 159.4
Rasinoase, Cluj, Anul 2001, Mii metri cubi, 148
Rasinoase, Cluj, Anul 2002, Mii metri cubi, 144.9
Rasinoase, Cluj, Anul 2003, Mii metri cubi, 130.3
Rasinoase, Cluj, Anul 2004, Mii metri cubi, 120
Rasinoase, Cluj, Anul 2005, Mii metri cubi, 144.4
Rasinoase, Cluj, Anul 2006, Mii metri cubi, 142.7
Rasinoase, Cluj, Anul 2007, Mii metri cubi, 219.7
Rasinoase, Cluj, Anul 2008, Mii metri cubi, 133.6
Rasinoase, Cluj, Anul 2009, Mii metri cubi, 138.8
Rasinoase, Cluj, Anul 2010, Mii metri cubi, 146
Rasinoase, Cluj, Anul 2011, Mii metri cubi, 176.1
Rasinoase, Cluj, Anul 2012, Mii metri cubi, 190.1
Rasinoase, Cluj, Anul 2013, Mii metri cubi, 151.4
Rasinoase, Cluj, Anul 2014, Mii metri cubi, 111.7
Rasinoase, Cluj, Anul 2015, Mii metri cubi, 138.8
Rasinoase, Maramures, Anul 1990, Mii metri cubi, 295.1
Rasinoase, Maramures, Anul 1991, Mii metri cubi, 226.7
Rasinoase, Maramures, Anul 1992, Mii metri cubi, 189.7
Rasinoase, Maramures, Anul 1993, Mii metri cubi, 198
Rasinoase, Maramures, Anul 1994, Mii metri cubi, 135.6
Rasinoase, Maramures, Anul 1995, Mii metri cubi, 150.1
Rasinoase, Maramures, Anul 1996, Mii metri cubi, 187.5
Rasinoase, Maramures, Anul 1997, Mii metri cubi, 190.6
Rasinoase, Maramures, Anul 1998, Mii metri cubi, 132.9
Rasinoase, Maramures, Anul 1999, Mii metri cubi, 130.6
Rasinoase, Maramures, Anul 2000, Mii metri cubi, 168.6
Rasinoase, Maramures, Anul 2001, Mii metri cubi, 148.1
Rasinoase, Maramures, Anul 2002, Mii metri cubi, 140.3
Rasinoase, Maramures, Anul 2003, Mii metri cubi, 139.5
Rasinoase, Maramures, Anul 2004, Mii metri cubi, 264.1
Rasinoase, Maramures, Anul 2005, Mii metri cubi, 257.4
Rasinoase, Maramures, Anul 2006, Mii metri cubi, 253.8
Rasinoase, Maramures, Anul 2007, Mii metri cubi, 268.6
Rasinoase, Maramures, Anul 2008, Mii metri cubi, 167.2
Rasinoase, Maramures, Anul 2009, Mii metri cubi, 323.1
Rasinoase, Maramures, Anul 2010, Mii metri cubi, 302.3
Rasinoase, Maramures, Anul 2011, Mii metri cubi, 290.7
Rasinoase, Maramures, Anul 2012, Mii metri cubi, 325.2
Rasinoase, Maramures, Anul 2013, Mii metri cubi, 268.8
Rasinoase, Maramures, Anul 2014, Mii metri cubi, 201
Rasinoase, Maramures, Anul 2015, Mii metri cubi, 225.8
Rasinoase, Satu Mare, Anul 1990, Mii metri cubi, 1.4
Rasinoase, Satu Mare, Anul 1991, Mii metri cubi, 2.3
Rasinoase, Satu Mare, Anul 1992, Mii metri cubi, 2.4
Rasinoase, Satu Mare, Anul 1993, Mii metri cubi, 2.8
Rasinoase, Satu Mare, Anul 1994, Mii metri cubi, 1.8
Rasinoase, Satu Mare, Anul 1995, Mii metri cubi, 3.9
Rasinoase, Satu Mare, Anul 1996, Mii metri cubi, 3.9
Rasinoase, Satu Mare, Anul 1997, Mii metri cubi, 4.7
Rasinoase, Satu Mare, Anul 1998, Mii metri cubi, 2.6
Rasinoase, Satu Mare, Anul 1999, Mii metri cubi, 17.2
Rasinoase, Satu Mare, Anul 2000, Mii metri cubi, 7.1
Rasinoase, Satu Mare, Anul 2001, Mii metri cubi, 5.9
Rasinoase, Satu Mare, Anul 2002, Mii metri cubi, 5.2
Rasinoase, Satu Mare, Anul 2003, Mii metri cubi, 5.1
Rasinoase, Satu Mare, Anul 2004, Mii metri cubi, 4.6
Rasinoase, Satu Mare, Anul 2005, Mii metri cubi, 3.5
Rasinoase, Satu Mare, Anul 2006, Mii metri cubi, 3
Rasinoase, Satu Mare, Anul 2007, Mii metri cubi, 3.7
Rasinoase, Satu Mare, Anul 2008, Mii metri cubi, 2.2
Rasinoase, Satu Mare, Anul 2009, Mii metri cubi, 1
Rasinoase, Satu Mare, Anul 2010, Mii metri cubi, 3.4
Rasinoase, Satu Mare, Anul 2011, Mii metri cubi, 2.9
Rasinoase, Satu Mare, Anul 2012, Mii metri cubi, 3.2
Rasinoase, Satu Mare, Anul 2013, Mii metri cubi, 4.8
Rasinoase, Satu Mare, Anul 2014, Mii metri cubi, 5.8
Rasinoase, Satu Mare, Anul 2015, Mii metri cubi, 4.6
Rasinoase, Salaj, Anul 1990, Mii metri cubi, 1
Rasinoase, Salaj, Anul 1991, Mii metri cubi, 1.3
Rasinoase, Salaj, Anul 1992, Mii metri cubi, 1.9
Rasinoase, Salaj, Anul 1993, Mii metri cubi, 2.6
Rasinoase, Salaj, Anul 1994, Mii metri cubi, 1.8
Rasinoase, Salaj, Anul 1995, Mii metri cubi, 7.7
Rasinoase, Salaj, Anul 1996, Mii metri cubi, 5.8
Rasinoase, Salaj, Anul 1997, Mii metri cubi, 7.9
Rasinoase, Salaj, Anul 1998, Mii metri cubi, 5.1
Rasinoase, Salaj, Anul 1999, Mii metri cubi, 1.7
Rasinoase, Salaj, Anul 2000, Mii metri cubi, 8.9
Rasinoase, Salaj, Anul 2001, Mii metri cubi, 3.8
Rasinoase, Salaj, Anul 2002, Mii metri cubi, 4.4
Rasinoase, Salaj, Anul 2003, Mii metri cubi, 2.9
Rasinoase, Salaj, Anul 2004, Mii metri cubi, 3.2
Rasinoase, Salaj, Anul 2005, Mii metri cubi, 2.7
Rasinoase, Salaj, Anul 2006, Mii metri cubi, 3.6
Rasinoase, Salaj, Anul 2007, Mii metri cubi, 2.2
Rasinoase, Salaj, Anul 2008, Mii metri cubi, 3.4
Rasinoase, Salaj, Anul 2009, Mii metri cubi, 3.1
Rasinoase, Salaj, Anul 2010, Mii metri cubi, 3.3
Rasinoase, Salaj, Anul 2011, Mii metri cubi, 3.7
Rasinoase, Salaj, Anul 2012, Mii metri cubi, 3
Rasinoase, Salaj, Anul 2013, Mii metri cubi, 6.2
Rasinoase, Salaj, Anul 2014, Mii metri cubi, 7.2
Rasinoase, Salaj, Anul 2015, Mii metri cubi, 6.2
Rasinoase, Alba, Anul 1990, Mii metri cubi, 291
Rasinoase, Alba, Anul 1991, Mii metri cubi, 230
Rasinoase, Alba, Anul 1992, Mii metri cubi, 185.4
Rasinoase, Alba, Anul 1993, Mii metri cubi, 170.6
Rasinoase, Alba, Anul 1994, Mii metri cubi, 172.2
Rasinoase, Alba, Anul 1995, Mii metri cubi, 165.8
Rasinoase, Alba, Anul 1996, Mii metri cubi, 145.8
Rasinoase, Alba, Anul 1997, Mii metri cubi, 159.2
Rasinoase, Alba, Anul 1998, Mii metri cubi, 211.3
Rasinoase, Alba, Anul 1999, Mii metri cubi, 155.3
Rasinoase, Alba, Anul 2000, Mii metri cubi, 161.5
Rasinoase, Alba, Anul 2001, Mii metri cubi, 241
Rasinoase, Alba, Anul 2002, Mii metri cubi, 235.5
Rasinoase, Alba, Anul 2003, Mii metri cubi, 184.9
Rasinoase, Alba, Anul 2004, Mii metri cubi, 176.7
Rasinoase, Alba, Anul 2005, Mii metri cubi, 222.3
Rasinoase, Alba, Anul 2006, Mii metri cubi, 256.3
Rasinoase, Alba, Anul 2007, Mii metri cubi, 237
Rasinoase, Alba, Anul 2008, Mii metri cubi, 245.2
Rasinoase, Alba, Anul 2009, Mii metri cubi, 215.3
Rasinoase, Alba, Anul 2010, Mii metri cubi, 293.2
Rasinoase, Alba, Anul 2011, Mii metri cubi, 348.9
Rasinoase, Alba, Anul 2012, Mii metri cubi, 340.7
Rasinoase, Alba, Anul 2013, Mii metri cubi, 297.6
Rasinoase, Alba, Anul 2014, Mii metri cubi, 296.4
Rasinoase, Alba, Anul 2015, Mii metri cubi, 220.2
Rasinoase, Brasov, Anul 1990, Mii metri cubi, 156.1
Rasinoase, Brasov, Anul 1991, Mii metri cubi, 190.5
Rasinoase, Brasov, Anul 1992, Mii metri cubi, 159.7
Rasinoase, Brasov, Anul 1993, Mii metri cubi, 136.2
Rasinoase, Brasov, Anul 1994, Mii metri cubi, 126.6
Rasinoase, Brasov, Anul 1995, Mii metri cubi, 160.4
Rasinoase, Brasov, Anul 1996, Mii metri cubi, 137.5
Rasinoase, Brasov, Anul 1997, Mii metri cubi, 125.6
Rasinoase, Brasov, Anul 1998, Mii metri cubi, 155.6
Rasinoase, Brasov, Anul 1999, Mii metri cubi, 178.2
Rasinoase, Brasov, Anul 2000, Mii metri cubi, 146.5
Rasinoase, Brasov, Anul 2001, Mii metri cubi, 153.8
Rasinoase, Brasov, Anul 2002, Mii metri cubi, 149.6
Rasinoase, Brasov, Anul 2003, Mii metri cubi, 148.3
Rasinoase, Brasov, Anul 2004, Mii metri cubi, 141.2
Rasinoase, Brasov, Anul 2005, Mii metri cubi, 180.9
Rasinoase, Brasov, Anul 2006, Mii metri cubi, 153.2
Rasinoase, Brasov, Anul 2007, Mii metri cubi, 213
Rasinoase, Brasov, Anul 2008, Mii metri cubi, 226.7
Rasinoase, Brasov, Anul 2009, Mii metri cubi, 250.4
Rasinoase, Brasov, Anul 2010, Mii metri cubi, 308.3
Rasinoase, Brasov, Anul 2011, Mii metri cubi, 295.8
Rasinoase, Brasov, Anul 2012, Mii metri cubi, 285
Rasinoase, Brasov, Anul 2013, Mii metri cubi, 383.3
Rasinoase, Brasov, Anul 2014, Mii metri cubi, 347.6
Rasinoase, Brasov, Anul 2015, Mii metri cubi, 236.6
Rasinoase, Covasna, Anul 1990, Mii metri cubi, 212.1
Rasinoase, Covasna, Anul 1991, Mii metri cubi, 175.8
Rasinoase, Covasna, Anul 1992, Mii metri cubi, 184.2
Rasinoase, Covasna, Anul 1993, Mii metri cubi, 167.6
Rasinoase, Covasna, Anul 1994, Mii metri cubi, 173.1
Rasinoase, Covasna, Anul 1995, Mii metri cubi, 311.5
Rasinoase, Covasna, Anul 1996, Mii metri cubi, 1205.5
Rasinoase, Covasna, Anul 1997, Mii metri cubi, 892.9
Rasinoase, Covasna, Anul 1998, Mii metri cubi, 446.3
Rasinoase, Covasna, Anul 1999, Mii metri cubi, 277.7
Rasinoase, Covasna, Anul 2000, Mii metri cubi, 211.9
Rasinoase, Covasna, Anul 2001, Mii metri cubi, 183.5
Rasinoase, Covasna, Anul 2002, Mii metri cubi, 161.2
Rasinoase, Covasna, Anul 2003, Mii metri cubi, 173.5
Rasinoase, Covasna, Anul 2004, Mii metri cubi, 227.6
Rasinoase, Covasna, Anul 2005, Mii metri cubi, 278.6
Rasinoase, Covasna, Anul 2006, Mii metri cubi, 222.1
Rasinoase, Covasna, Anul 2007, Mii metri cubi, 231.7
Rasinoase, Covasna, Anul 2008, Mii metri cubi, 178.4
Rasinoase, Covasna, Anul 2009, Mii metri cubi, 190.6
Rasinoase, Covasna, Anul 2010, Mii metri cubi, 227.8
Rasinoase, Covasna, Anul 2011, Mii metri cubi, 240.2
Rasinoase, Covasna, Anul 2012, Mii metri cubi, 287.2
Rasinoase, Covasna, Anul 2013, Mii metri cubi, 288.3
Rasinoase, Covasna, Anul 2014, Mii metri cubi, 278.7
Rasinoase, Covasna, Anul 2015, Mii metri cubi, 237.6
Rasinoase, Harghita, Anul 1990, Mii metri cubi, 846.4
Rasinoase, Harghita, Anul 1991, Mii metri cubi, 682.5
Rasinoase, Harghita, Anul 1992, Mii metri cubi, 571.1
Rasinoase, Harghita, Anul 1993, Mii metri cubi, 517.2
Rasinoase, Harghita, Anul 1994, Mii metri cubi, 495.1
Rasinoase, Harghita, Anul 1995, Mii metri cubi, 1188.4
Rasinoase, Harghita, Anul 1996, Mii metri cubi, 786
Rasinoase, Harghita, Anul 1997, Mii metri cubi, 1203.7
Rasinoase, Harghita, Anul 1998, Mii metri cubi, 1109.7
Rasinoase, Harghita, Anul 1999, Mii metri cubi, 1135.8
Rasinoase, Harghita, Anul 2000, Mii metri cubi, 1029.2
Rasinoase, Harghita, Anul 2001, Mii metri cubi, 651.5
Rasinoase, Harghita, Anul 2002, Mii metri cubi, 895.9
Rasinoase, Harghita, Anul 2003, Mii metri cubi, 881.9
Rasinoase, Harghita, Anul 2004, Mii metri cubi, 813
Rasinoase, Harghita, Anul 2005, Mii metri cubi, 895.7
Rasinoase, Harghita, Anul 2006, Mii metri cubi, 784.6
Rasinoase, Harghita, Anul 2007, Mii metri cubi, 984.3
Rasinoase, Harghita, Anul 2008, Mii metri cubi, 1016.4
Rasinoase, Harghita, Anul 2009, Mii metri cubi, 764.5
Rasinoase, Harghita, Anul 2010, Mii metri cubi, 778.5
Rasinoase, Harghita, Anul 2011, Mii metri cubi, 773.4
Rasinoase, Harghita, Anul 2012, Mii metri cubi, 721.1
Rasinoase, Harghita, Anul 2013, Mii metri cubi, 835.3
Rasinoase, Harghita, Anul 2014, Mii metri cubi, 808.2
Rasinoase, Harghita, Anul 2015, Mii metri cubi, 787.3
Rasinoase, Mures, Anul 1990, Mii metri cubi, 282.8
Rasinoase, Mures, Anul 1991, Mii metri cubi, 317.1
Rasinoase, Mures, Anul 1992, Mii metri cubi, 230.1
Rasinoase, Mures, Anul 1993, Mii metri cubi, 187.3
Rasinoase, Mures, Anul 1994, Mii metri cubi, 186.3
Rasinoase, Mures, Anul 1995, Mii metri cubi, 239.4
Rasinoase, Mures, Anul 1996, Mii metri cubi, 383.7
Rasinoase, Mures, Anul 1997, Mii metri cubi, 440.3
Rasinoase, Mures, Anul 1998, Mii metri cubi, 340.1
Rasinoase, Mures, Anul 1999, Mii metri cubi, 350.2
Rasinoase, Mures, Anul 2000, Mii metri cubi, 335.9
Rasinoase, Mures, Anul 2001, Mii metri cubi, 400
Rasinoase, Mures, Anul 2002, Mii metri cubi, 276.9
Rasinoase, Mures, Anul 2003, Mii metri cubi, 308.7
Rasinoase, Mures, Anul 2004, Mii metri cubi, 365.5
Rasinoase, Mures, Anul 2005, Mii metri cubi, 359.8
Rasinoase, Mures, Anul 2006, Mii metri cubi, 313.7
Rasinoase, Mures, Anul 2007, Mii metri cubi, 472.1
Rasinoase, Mures, Anul 2008, Mii metri cubi, 299.5
Rasinoase, Mures, Anul 2009, Mii metri cubi, 311.8
Rasinoase, Mures, Anul 2010, Mii metri cubi, 277.6
Rasinoase, Mures, Anul 2011, Mii metri cubi, 353.4
Rasinoase, Mures, Anul 2012, Mii metri cubi, 315.6
Rasinoase, Mures, Anul 2013, Mii metri cubi, 332
Rasinoase, Mures, Anul 2014, Mii metri cubi, 351.5
Rasinoase, Mures, Anul 2015, Mii metri cubi, 257.7
Rasinoase, Sibiu, Anul 1990, Mii metri cubi, 89.4
Rasinoase, Sibiu, Anul 1991, Mii metri cubi, 77.6
Rasinoase, Sibiu, Anul 1992, Mii metri cubi, 73
Rasinoase, Sibiu, Anul 1993, Mii metri cubi, 66
Rasinoase, Sibiu, Anul 1994, Mii metri cubi, 58.2
Rasinoase, Sibiu, Anul 1995, Mii metri cubi, 65.7
Rasinoase, Sibiu, Anul 1996, Mii metri cubi, 74.4
Rasinoase, Sibiu, Anul 1997, Mii metri cubi, 64.1
Rasinoase, Sibiu, Anul 1998, Mii metri cubi, 72.3
Rasinoase, Sibiu, Anul 1999, Mii metri cubi, 103.1
Rasinoase, Sibiu, Anul 2000, Mii metri cubi, 137.6
Rasinoase, Sibiu, Anul 2001, Mii metri cubi, 166.2
Rasinoase, Sibiu, Anul 2002, Mii metri cubi, 136.9
Rasinoase, Sibiu, Anul 2003, Mii metri cubi, 165
Rasinoase, Sibiu, Anul 2004, Mii metri cubi, 191.6
Rasinoase, Sibiu, Anul 2005, Mii metri cubi, 183.4
Rasinoase, Sibiu, Anul 2006, Mii metri cubi, 204
Rasinoase, Sibiu, Anul 2007, Mii metri cubi, 200.5
Rasinoase, Sibiu, Anul 2008, Mii metri cubi, 196.6
Rasinoase, Sibiu, Anul 2009, Mii metri cubi, 243.8
Rasinoase, Sibiu, Anul 2010, Mii metri cubi, 222.2
Rasinoase, Sibiu, Anul 2011, Mii metri cubi, 225.8
Rasinoase, Sibiu, Anul 2012, Mii metri cubi, 223.3
Rasinoase, Sibiu, Anul 2013, Mii metri cubi, 222.3
Rasinoase, Sibiu, Anul 2014, Mii metri cubi, 221.7
Rasinoase, Sibiu, Anul 2015, Mii metri cubi, 195.2
Rasinoase, Bacau, Anul 1990, Mii metri cubi, 374.4
Rasinoase, Bacau, Anul 1991, Mii metri cubi, 268.3
Rasinoase, Bacau, Anul 1992, Mii metri cubi, 219.9
Rasinoase, Bacau, Anul 1993, Mii metri cubi, 248.9
Rasinoase, Bacau, Anul 1994, Mii metri cubi, 217.7
Rasinoase, Bacau, Anul 1995, Mii metri cubi, 217.9
Rasinoase, Bacau, Anul 1996, Mii metri cubi, 257.5
Rasinoase, Bacau, Anul 1997, Mii metri cubi, 275.4
Rasinoase, Bacau, Anul 1998, Mii metri cubi, 231.1
Rasinoase, Bacau, Anul 1999, Mii metri cubi, 222.4
Rasinoase, Bacau, Anul 2000, Mii metri cubi, 195.2
Rasinoase, Bacau, Anul 2001, Mii metri cubi, 237.5
Rasinoase, Bacau, Anul 2002, Mii metri cubi, 241.9
Rasinoase, Bacau, Anul 2003, Mii metri cubi, 232.9
Rasinoase, Bacau, Anul 2004, Mii metri cubi, 233.3
Rasinoase, Bacau, Anul 2005, Mii metri cubi, 217.7
Rasinoase, Bacau, Anul 2006, Mii metri cubi, 208.9
Rasinoase, Bacau, Anul 2007, Mii metri cubi, 289.3
Rasinoase, Bacau, Anul 2008, Mii metri cubi, 299.1
Rasinoase, Bacau, Anul 2009, Mii metri cubi, 303.4
Rasinoase, Bacau, Anul 2010, Mii metri cubi, 290
Rasinoase, Bacau, Anul 2011, Mii metri cubi, 302.2
Rasinoase, Bacau, Anul 2012, Mii metri cubi, 280.2
Rasinoase, Bacau, Anul 2013, Mii metri cubi, 370.5
Rasinoase, Bacau, Anul 2014, Mii metri cubi, 367.7
Rasinoase, Bacau, Anul 2015, Mii metri cubi, 336.5
Rasinoase, Botosani, Anul 1991, Mii metri cubi, .3
