
Categorii de paduri, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii mc, Valoare
Total, Bistrita-Nasaud, Anul 2007, Mii metri cubi, 698.8
Total, Bistrita-Nasaud, Anul 2008, Mii metri cubi, 637.9
Total, Bistrita-Nasaud, Anul 2009, Mii metri cubi, 531.4
Total, Bistrita-Nasaud, Anul 2010, Mii metri cubi, 476.6
Total, Bistrita-Nasaud, Anul 2011, Mii metri cubi, 565.8
Total, Bistrita-Nasaud, Anul 2012, Mii metri cubi, 592.8
Total, Bistrita-Nasaud, Anul 2013, Mii metri cubi, 550.6
Total, Bistrita-Nasaud, Anul 2014, Mii metri cubi, 586.2
Total, Bistrita-Nasaud, Anul 2015, Mii metri cubi, 564.9
Total, Cluj, Anul 1990, Mii metri cubi, 265.7
Total, Cluj, Anul 1991, Mii metri cubi, 230
Total, Cluj, Anul 1992, Mii metri cubi, 217.3
Total, Cluj, Anul 1993, Mii metri cubi, 198.9
Total, Cluj, Anul 1994, Mii metri cubi, 186.2
Total, Cluj, Anul 1995, Mii metri cubi, 183.2
Total, Cluj, Anul 1996, Mii metri cubi, 205.6
Total, Cluj, Anul 1997, Mii metri cubi, 219.6
Total, Cluj, Anul 1998, Mii metri cubi, 182.6
Total, Cluj, Anul 1999, Mii metri cubi, 222.1
Total, Cluj, Anul 2000, Mii metri cubi, 253.4
Total, Cluj, Anul 2001, Mii metri cubi, 225.3
Total, Cluj, Anul 2002, Mii metri cubi, 240.8
Total, Cluj, Anul 2003, Mii metri cubi, 230.4
Total, Cluj, Anul 2004, Mii metri cubi, 215.6
Total, Cluj, Anul 2005, Mii metri cubi, 236
Total, Cluj, Anul 2006, Mii metri cubi, 232.5
Total, Cluj, Anul 2007, Mii metri cubi, 300.9
Total, Cluj, Anul 2008, Mii metri cubi, 278.4
Total, Cluj, Anul 2009, Mii metri cubi, 220
Total, Cluj, Anul 2010, Mii metri cubi, 233.8
Total, Cluj, Anul 2011, Mii metri cubi, 260.5
Total, Cluj, Anul 2012, Mii metri cubi, 291.4
Total, Cluj, Anul 2013, Mii metri cubi, 252.1
Total, Cluj, Anul 2014, Mii metri cubi, 211.2
Total, Cluj, Anul 2015, Mii metri cubi, 262.8
Total, Maramures, Anul 1990, Mii metri cubi, 809.5
Total, Maramures, Anul 1991, Mii metri cubi, 692.3
Total, Maramures, Anul 1992, Mii metri cubi, 580.1
Total, Maramures, Anul 1993, Mii metri cubi, 568.7
Total, Maramures, Anul 1994, Mii metri cubi, 488.3
Total, Maramures, Anul 1995, Mii metri cubi, 518.9
Total, Maramures, Anul 1996, Mii metri cubi, 582.5
Total, Maramures, Anul 1997, Mii metri cubi, 562
Total, Maramures, Anul 1998, Mii metri cubi, 406.8
Total, Maramures, Anul 1999, Mii metri cubi, 457.4
Total, Maramures, Anul 2000, Mii metri cubi, 475
Total, Maramures, Anul 2001, Mii metri cubi, 406.7
Total, Maramures, Anul 2002, Mii metri cubi, 454.4
Total, Maramures, Anul 2003, Mii metri cubi, 482.9
Total, Maramures, Anul 2004, Mii metri cubi, 681.8
Total, Maramures, Anul 2005, Mii metri cubi, 631.6
Total, Maramures, Anul 2006, Mii metri cubi, 597.9
Total, Maramures, Anul 2007, Mii metri cubi, 622
Total, Maramures, Anul 2008, Mii metri cubi, 435.6
Total, Maramures, Anul 2009, Mii metri cubi, 636.5
Total, Maramures, Anul 2010, Mii metri cubi, 639.8
Total, Maramures, Anul 2011, Mii metri cubi, 683.1
Total, Maramures, Anul 2012, Mii metri cubi, 707.2
Total, Maramures, Anul 2013, Mii metri cubi, 685.4
Total, Maramures, Anul 2014, Mii metri cubi, 528.6
Total, Maramures, Anul 2015, Mii metri cubi, 655.2
Total, Satu Mare, Anul 1990, Mii metri cubi, 134.5
Total, Satu Mare, Anul 1991, Mii metri cubi, 120.7
Total, Satu Mare, Anul 1992, Mii metri cubi, 116.6
Total, Satu Mare, Anul 1993, Mii metri cubi, 111.1
Total, Satu Mare, Anul 1994, Mii metri cubi, 116.4
Total, Satu Mare, Anul 1995, Mii metri cubi, 122.2
Total, Satu Mare, Anul 1996, Mii metri cubi, 130.5
Total, Satu Mare, Anul 1997, Mii metri cubi, 116.7
Total, Satu Mare, Anul 1998, Mii metri cubi, 102.3
Total, Satu Mare, Anul 1999, Mii metri cubi, 141.7
Total, Satu Mare, Anul 2000, Mii metri cubi, 143
Total, Satu Mare, Anul 2001, Mii metri cubi, 113.1
Total, Satu Mare, Anul 2002, Mii metri cubi, 147.9
Total, Satu Mare, Anul 2003, Mii metri cubi, 143.6
Total, Satu Mare, Anul 2004, Mii metri cubi, 160.4
Total, Satu Mare, Anul 2005, Mii metri cubi, 153.6
Total, Satu Mare, Anul 2006, Mii metri cubi, 153.4
Total, Satu Mare, Anul 2007, Mii metri cubi, 135.7
Total, Satu Mare, Anul 2008, Mii metri cubi, 120
Total, Satu Mare, Anul 2009, Mii metri cubi, 127.2
Total, Satu Mare, Anul 2010, Mii metri cubi, 132.6
Total, Satu Mare, Anul 2011, Mii metri cubi, 155
Total, Satu Mare, Anul 2012, Mii metri cubi, 147.6
Total, Satu Mare, Anul 2013, Mii metri cubi, 150.7
Total, Satu Mare, Anul 2014, Mii metri cubi, 133.5
Total, Satu Mare, Anul 2015, Mii metri cubi, 154.3
Total, Salaj, Anul 1990, Mii metri cubi, 84.1
Total, Salaj, Anul 1991, Mii metri cubi, 92.6
Total, Salaj, Anul 1992, Mii metri cubi, 88.5
Total, Salaj, Anul 1993, Mii metri cubi, 88.7
Total, Salaj, Anul 1994, Mii metri cubi, 82
Total, Salaj, Anul 1995, Mii metri cubi, 95
Total, Salaj, Anul 1996, Mii metri cubi, 117.3
Total, Salaj, Anul 1997, Mii metri cubi, 124.3
Total, Salaj, Anul 1998, Mii metri cubi, 105.3
Total, Salaj, Anul 1999, Mii metri cubi, 73.7
Total, Salaj, Anul 2000, Mii metri cubi, 89.3
Total, Salaj, Anul 2001, Mii metri cubi, 97.1
Total, Salaj, Anul 2002, Mii metri cubi, 109.1
Total, Salaj, Anul 2003, Mii metri cubi, 124
Total, Salaj, Anul 2004, Mii metri cubi, 141.1
Total, Salaj, Anul 2005, Mii metri cubi, 108.6
Total, Salaj, Anul 2006, Mii metri cubi, 138.3
Total, Salaj, Anul 2007, Mii metri cubi, 145.9
Total, Salaj, Anul 2008, Mii metri cubi, 177.9
Total, Salaj, Anul 2009, Mii metri cubi, 150.8
Total, Salaj, Anul 2010, Mii metri cubi, 144.6
Total, Salaj, Anul 2011, Mii metri cubi, 167.2
Total, Salaj, Anul 2012, Mii metri cubi, 177.2
Total, Salaj, Anul 2013, Mii metri cubi, 193.1
Total, Salaj, Anul 2014, Mii metri cubi, 190.1
Total, Salaj, Anul 2015, Mii metri cubi, 231.7
Total, Alba, Anul 1990, Mii metri cubi, 556
Total, Alba, Anul 1991, Mii metri cubi, 496.1
Total, Alba, Anul 1992, Mii metri cubi, 427.4
Total, Alba, Anul 1993, Mii metri cubi, 373.6
Total, Alba, Anul 1994, Mii metri cubi, 371.9
Total, Alba, Anul 1995, Mii metri cubi, 348.2
Total, Alba, Anul 1996, Mii metri cubi, 331.7
