
Categorii de paduri, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii mc, Valoare
Rasinoase, Mures, Anul 1992, Mii metri cubi, 230.1
Rasinoase, Mures, Anul 1993, Mii metri cubi, 187.3
Rasinoase, Mures, Anul 1994, Mii metri cubi, 186.3
Rasinoase, Mures, Anul 1995, Mii metri cubi, 239.4
Rasinoase, Mures, Anul 1996, Mii metri cubi, 383.7
Rasinoase, Mures, Anul 1997, Mii metri cubi, 440.3
Rasinoase, Mures, Anul 1998, Mii metri cubi, 340.1
Rasinoase, Mures, Anul 1999, Mii metri cubi, 350.2
Rasinoase, Mures, Anul 2000, Mii metri cubi, 335.9
Rasinoase, Mures, Anul 2001, Mii metri cubi, 400
Rasinoase, Mures, Anul 2002, Mii metri cubi, 276.9
Rasinoase, Mures, Anul 2003, Mii metri cubi, 308.7
Rasinoase, Mures, Anul 2004, Mii metri cubi, 365.5
Rasinoase, Mures, Anul 2005, Mii metri cubi, 359.8
Rasinoase, Mures, Anul 2006, Mii metri cubi, 313.7
Rasinoase, Mures, Anul 2007, Mii metri cubi, 472.1
Rasinoase, Mures, Anul 2008, Mii metri cubi, 299.5
Rasinoase, Mures, Anul 2009, Mii metri cubi, 311.8
Rasinoase, Mures, Anul 2010, Mii metri cubi, 277.6
Rasinoase, Mures, Anul 2011, Mii metri cubi, 353.4
Rasinoase, Mures, Anul 2012, Mii metri cubi, 315.6
Rasinoase, Mures, Anul 2013, Mii metri cubi, 332
Rasinoase, Mures, Anul 2014, Mii metri cubi, 351.5
Rasinoase, Mures, Anul 2015, Mii metri cubi, 257.7
Fag, TOTAL, Anul 1990, Mii metri cubi, 4957.8
Fag, TOTAL, Anul 1991, Mii metri cubi, 4644.1
Fag, TOTAL, Anul 1992, Mii metri cubi, 4628.7
Fag, TOTAL, Anul 1993, Mii metri cubi, 4072.7
Fag, TOTAL, Anul 1994, Mii metri cubi, 4036.6
Fag, TOTAL, Anul 1995, Mii metri cubi, 4214.7
Fag, TOTAL, Anul 1996, Mii metri cubi, 4266.3
Fag, TOTAL, Anul 1997, Mii metri cubi, 4263.1
Fag, TOTAL, Anul 1998, Mii metri cubi, 3634.5
Fag, TOTAL, Anul 1999, Mii metri cubi, 4115
Fag, TOTAL, Anul 2000, Mii metri cubi, 4508.4
Fag, TOTAL, Anul 2001, Mii metri cubi, 4260.1
Fag, TOTAL, Anul 2002, Mii metri cubi, 4439.2
Fag, TOTAL, Anul 2003, Mii metri cubi, 4747.7
Fag, TOTAL, Anul 2004, Mii metri cubi, 5412
Fag, TOTAL, Anul 2005, Mii metri cubi, 4794.2
Fag, TOTAL, Anul 2006, Mii metri cubi, 4997.2
Fag, TOTAL, Anul 2007, Mii metri cubi, 5182.3
Fag, TOTAL, Anul 2008, Mii metri cubi, 5208
Fag, TOTAL, Anul 2009, Mii metri cubi, 5488.9
Fag, TOTAL, Anul 2010, Mii metri cubi, 5654.2
Fag, TOTAL, Anul 2011, Mii metri cubi, 6174.9
Fag, TOTAL, Anul 2012, Mii metri cubi, 6332.1
Fag, TOTAL, Anul 2013, Mii metri cubi, 6226.5
Fag, TOTAL, Anul 2014, Mii metri cubi, 5836.6
Fag, TOTAL, Anul 2015, Mii metri cubi, 6215.5
Fag, Covasna, Anul 1990, Mii metri cubi, 150.1
Fag, Covasna, Anul 1991, Mii metri cubi, 139.4
Fag, Covasna, Anul 1992, Mii metri cubi, 180.8
Fag, Covasna, Anul 1993, Mii metri cubi, 164.4
Fag, Covasna, Anul 1994, Mii metri cubi, 203.3
Fag, Covasna, Anul 1995, Mii metri cubi, 185.1
Fag, Covasna, Anul 1996, Mii metri cubi, 220.7
Fag, Covasna, Anul 1997, Mii metri cubi, 203.6
Fag, Covasna, Anul 1998, Mii metri cubi, 154.8
Fag, Covasna, Anul 1999, Mii metri cubi, 161.8
Fag, Covasna, Anul 2000, Mii metri cubi, 194.3
Fag, Covasna, Anul 2001, Mii metri cubi, 129.9
Fag, Covasna, Anul 2002, Mii metri cubi, 150
Fag, Covasna, Anul 2003, Mii metri cubi, 183.9
Fag, Covasna, Anul 2004, Mii metri cubi, 241
Fag, Covasna, Anul 2005, Mii metri cubi, 189.7
Fag, Covasna, Anul 2006, Mii metri cubi, 182.4
Fag, Covasna, Anul 2007, Mii metri cubi, 189.7
Fag, Covasna, Anul 2008, Mii metri cubi, 194.4
Fag, Covasna, Anul 2009, Mii metri cubi, 231.9
Fag, Covasna, Anul 2010, Mii metri cubi, 209.9
Fag, Covasna, Anul 2011, Mii metri cubi, 217.4
Fag, Covasna, Anul 2012, Mii metri cubi, 200.9
Fag, Covasna, Anul 2013, Mii metri cubi, 236.5
Fag, Covasna, Anul 2014, Mii metri cubi, 250.2
Fag, Covasna, Anul 2015, Mii metri cubi, 213.8
Fag, Harghita, Anul 1990, Mii metri cubi, 144.9
Fag, Harghita, Anul 1991, Mii metri cubi, 133.6
Fag, Harghita, Anul 1992, Mii metri cubi, 118.8
Fag, Harghita, Anul 1993, Mii metri cubi, 85.3
Fag, Harghita, Anul 1994, Mii metri cubi, 71.9
Fag, Harghita, Anul 1995, Mii metri cubi, 85.5
Fag, Harghita, Anul 1996, Mii metri cubi, 60.6
Fag, Harghita, Anul 1997, Mii metri cubi, 61.7
Fag, Harghita, Anul 1998, Mii metri cubi, 63.6
Fag, Harghita, Anul 1999, Mii metri cubi, 75.2
Fag, Harghita, Anul 2000, Mii metri cubi, 73.7
Fag, Harghita, Anul 2001, Mii metri cubi, 57.7
Fag, Harghita, Anul 2002, Mii metri cubi, 74.4
Fag, Harghita, Anul 2003, Mii metri cubi, 104
Fag, Harghita, Anul 2004, Mii metri cubi, 129.5
Fag, Harghita, Anul 2005, Mii metri cubi, 139.2
Fag, Harghita, Anul 2006, Mii metri cubi, 143.5
Fag, Harghita, Anul 2007, Mii metri cubi, 160
Fag, Harghita, Anul 2008, Mii metri cubi, 215.2
Fag, Harghita, Anul 2009, Mii metri cubi, 172.2
Fag, Harghita, Anul 2010, Mii metri cubi, 192
Fag, Harghita, Anul 2011, Mii metri cubi, 214.7
Fag, Harghita, Anul 2012, Mii metri cubi, 207
Fag, Harghita, Anul 2013, Mii metri cubi, 206.9
Fag, Harghita, Anul 2014, Mii metri cubi, 187.8
Fag, Harghita, Anul 2015, Mii metri cubi, 190.2
Fag, Mures, Anul 1990, Mii metri cubi, 324.9
Fag, Mures, Anul 1991, Mii metri cubi, 203.3
Fag, Mures, Anul 1992, Mii metri cubi, 229.7
Fag, Mures, Anul 1993, Mii metri cubi, 186.2
Fag, Mures, Anul 1994, Mii metri cubi, 156.1
Fag, Mures, Anul 1995, Mii metri cubi, 193.1
Fag, Mures, Anul 1996, Mii metri cubi, 106.1
Fag, Mures, Anul 1997, Mii metri cubi, 93.3
Fag, Mures, Anul 1998, Mii metri cubi, 109.3
Fag, Mures, Anul 1999, Mii metri cubi, 140.4
Fag, Mures, Anul 2000, Mii metri cubi, 134
Fag, Mures, Anul 2001, Mii metri cubi, 115.2
Fag, Mures, Anul 2002, Mii metri cubi, 116.5
Fag, Mures, Anul 2003, Mii metri cubi, 199
Fag, Mures, Anul 2004, Mii metri cubi, 245.5
Fag, Mures, Anul 2005, Mii metri cubi, 249.4
Fag, Mures, Anul 2006, Mii metri cubi, 293.1
Fag, Mures, Anul 2007, Mii metri cubi, 314.4
Fag, Mures, Anul 2008, Mii metri cubi, 234
Fag, Mures, Anul 2009, Mii metri cubi, 239.8
Fag, Mures, Anul 2010, Mii metri cubi, 187.7
Fag, Mures, Anul 2011, Mii metri cubi, 328.4
Fag, Mures, Anul 2012, Mii metri cubi, 310.6
Fag, Mures, Anul 2013, Mii metri cubi, 298.5
Fag, Mures, Anul 2014, Mii metri cubi, 321.6
Fag, Mures, Anul 2015, Mii metri cubi, 221.1
Stejar, TOTAL, Anul 1990, Mii metri cubi, 2045.4
Stejar, TOTAL, Anul 1991, Mii metri cubi, 1919.2
Stejar, TOTAL, Anul 1992, Mii metri cubi, 1738.9
Stejar, TOTAL, Anul 1993, Mii metri cubi, 1629.2
Stejar, TOTAL, Anul 1994, Mii metri cubi, 1651.4
Stejar, TOTAL, Anul 1995, Mii metri cubi, 1550.5
Stejar, TOTAL, Anul 1996, Mii metri cubi, 1658.4
Stejar, TOTAL, Anul 1997, Mii metri cubi, 1488.8
Stejar, TOTAL, Anul 1998, Mii metri cubi, 1276.5
Stejar, TOTAL, Anul 1999, Mii metri cubi, 1358.2
Stejar, TOTAL, Anul 2000, Mii metri cubi, 1333
Stejar, TOTAL, Anul 2001, Mii metri cubi, 1287.8
Stejar, TOTAL, Anul 2002, Mii metri cubi, 1494.8
Stejar, TOTAL, Anul 2003, Mii metri cubi, 1531.6
Stejar, TOTAL, Anul 2004, Mii metri cubi, 1694.4
Stejar, TOTAL, Anul 2005, Mii metri cubi, 1586.1
Stejar, TOTAL, Anul 2006, Mii metri cubi, 1632.2
Stejar, TOTAL, Anul 2007, Mii metri cubi, 1484.6
Stejar, TOTAL, Anul 2008, Mii metri cubi, 1652.9
Stejar, TOTAL, Anul 2009, Mii metri cubi, 1402.8
Stejar, TOTAL, Anul 2010, Mii metri cubi, 1565.9
Stejar, TOTAL, Anul 2011, Mii metri cubi, 1747.2
Stejar, TOTAL, Anul 2012, Mii metri cubi, 1687.1
Stejar, TOTAL, Anul 2013, Mii metri cubi, 1741.6
Stejar, TOTAL, Anul 2014, Mii metri cubi, 1664.1
Stejar, TOTAL, Anul 2015, Mii metri cubi, 1768.6
Stejar, Covasna, Anul 1990, Mii metri cubi, 31.9
Stejar, Covasna, Anul 1991, Mii metri cubi, 31.7
Stejar, Covasna, Anul 1992, Mii metri cubi, 23.6
Stejar, Covasna, Anul 1993, Mii metri cubi, 20.8
Stejar, Covasna, Anul 1994, Mii metri cubi, 18.5
Stejar, Covasna, Anul 1995, Mii metri cubi, 14.5
Stejar, Covasna, Anul 1996, Mii metri cubi, 12.9
Stejar, Covasna, Anul 1997, Mii metri cubi, 16.4
Stejar, Covasna, Anul 1998, Mii metri cubi, 13.2
Stejar, Covasna, Anul 1999, Mii metri cubi, 15.9
Stejar, Covasna, Anul 2000, Mii metri cubi, 21.5
Stejar, Covasna, Anul 2001, Mii metri cubi, 10.2
Stejar, Covasna, Anul 2002, Mii metri cubi, 12.1
Stejar, Covasna, Anul 2003, Mii metri cubi, 27.4
Stejar, Covasna, Anul 2004, Mii metri cubi, 32.2
Stejar, Covasna, Anul 2005, Mii metri cubi, 32.3
Stejar, Covasna, Anul 2006, Mii metri cubi, 21.3
Stejar, Covasna, Anul 2007, Mii metri cubi, 21.5
Stejar, Covasna, Anul 2008, Mii metri cubi, 23.8
Stejar, Covasna, Anul 2009, Mii metri cubi, 20.6
Stejar, Covasna, Anul 2010, Mii metri cubi, 23.8
Stejar, Covasna, Anul 2011, Mii metri cubi, 29.6
Stejar, Covasna, Anul 2012, Mii metri cubi, 23.9
Stejar, Covasna, Anul 2013, Mii metri cubi, 27.5
Stejar, Covasna, Anul 2014, Mii metri cubi, 33
Stejar, Covasna, Anul 2015, Mii metri cubi, 28.9
Stejar, Harghita, Anul 1990, Mii metri cubi, 7
Stejar, Harghita, Anul 1991, Mii metri cubi, 10.9
Stejar, Harghita, Anul 1992, Mii metri cubi, 7.8
Stejar, Harghita, Anul 1993, Mii metri cubi, 6
Stejar, Harghita, Anul 1994, Mii metri cubi, 2.3
Stejar, Harghita, Anul 1995, Mii metri cubi, 4.3
Stejar, Harghita, Anul 1996, Mii metri cubi, 1.1
Stejar, Harghita, Anul 1997, Mii metri cubi, 3.9
Stejar, Harghita, Anul 1998, Mii metri cubi, 3.6
Stejar, Harghita, Anul 1999, Mii metri cubi, 2.9
Stejar, Harghita, Anul 2000, Mii metri cubi, 5.8
Stejar, Harghita, Anul 2001, Mii metri cubi, 4.7
Stejar, Harghita, Anul 2002, Mii metri cubi, 3.3
Stejar, Harghita, Anul 2003, Mii metri cubi, 4.4
Stejar, Harghita, Anul 2004, Mii metri cubi, 6
Stejar, Harghita, Anul 2005, Mii metri cubi, 7.5
Stejar, Harghita, Anul 2006, Mii metri cubi, 7.8
Stejar, Harghita, Anul 2007, Mii metri cubi, 6.6
Stejar, Harghita, Anul 2008, Mii metri cubi, 10.4
Stejar, Harghita, Anul 2009, Mii metri cubi, 6.9
Stejar, Harghita, Anul 2010, Mii metri cubi, 6.1
Stejar, Harghita, Anul 2011, Mii metri cubi, 9.2
Stejar, Harghita, Anul 2012, Mii metri cubi, 14.7
Stejar, Harghita, Anul 2013, Mii metri cubi, 9
Stejar, Harghita, Anul 2014, Mii metri cubi, 8.4
Stejar, Harghita, Anul 2015, Mii metri cubi, 10.6
Stejar, Mures, Anul 1990, Mii metri cubi, 26.8
Stejar, Mures, Anul 1991, Mii metri cubi, 32.2
Stejar, Mures, Anul 1992, Mii metri cubi, 28.1
Stejar, Mures, Anul 1993, Mii metri cubi, 28.5
Stejar, Mures, Anul 1994, Mii metri cubi, 28.9
Stejar, Mures, Anul 1995, Mii metri cubi, 26.4
Stejar, Mures, Anul 1996, Mii metri cubi, 22.5
Stejar, Mures, Anul 1997, Mii metri cubi, 25.2
Stejar, Mures, Anul 1998, Mii metri cubi, 23.2
Stejar, Mures, Anul 1999, Mii metri cubi, 17
Stejar, Mures, Anul 2000, Mii metri cubi, 20.8
Stejar, Mures, Anul 2001, Mii metri cubi, 24.4
Stejar, Mures, Anul 2002, Mii metri cubi, 24.6
Stejar, Mures, Anul 2003, Mii metri cubi, 35.6
Stejar, Mures, Anul 2004, Mii metri cubi, 50.5
Stejar, Mures, Anul 2005, Mii metri cubi, 52.7
Stejar, Mures, Anul 2006, Mii metri cubi, 42.5
Stejar, Mures, Anul 2007, Mii metri cubi, 39.9
Stejar, Mures, Anul 2008, Mii metri cubi, 42.7
Stejar, Mures, Anul 2009, Mii metri cubi, 38.9
Stejar, Mures, Anul 2010, Mii metri cubi, 20.6
Stejar, Mures, Anul 2011, Mii metri cubi, 62.9
Stejar, Mures, Anul 2012, Mii metri cubi, 51.2
Stejar, Mures, Anul 2013, Mii metri cubi, 50.6
Stejar, Mures, Anul 2014, Mii metri cubi, 46.5
Stejar, Mures, Anul 2015, Mii metri cubi, 24.8
Diverse specii tari, TOTAL, Anul 1990, Mii metri cubi, 2070.7
Diverse specii tari, TOTAL, Anul 1991, Mii metri cubi, 2089.5
Diverse specii tari, TOTAL, Anul 1992, Mii metri cubi, 2109.1
Diverse specii tari, TOTAL, Anul 1993, Mii metri cubi, 1872.3
Diverse specii tari, TOTAL, Anul 1994, Mii metri cubi, 1741.3
Diverse specii tari, TOTAL, Anul 1995, Mii metri cubi, 1774.4
Diverse specii tari, TOTAL, Anul 1996, Mii metri cubi, 1875.8
Diverse specii tari, TOTAL, Anul 1997, Mii metri cubi, 1756.6
Diverse specii tari, TOTAL, Anul 1998, Mii metri cubi, 1491.4
Diverse specii tari, TOTAL, Anul 1999, Mii metri cubi, 1587.5
Diverse specii tari, TOTAL, Anul 2000, Mii metri cubi, 1731
Diverse specii tari, TOTAL, Anul 2001, Mii metri cubi, 1673.3
Diverse specii tari, TOTAL, Anul 2002, Mii metri cubi, 1805.2
Diverse specii tari, TOTAL, Anul 2003, Mii metri cubi, 1823
Diverse specii tari, TOTAL, Anul 2004, Mii metri cubi, 2030.5
Diverse specii tari, TOTAL, Anul 2005, Mii metri cubi, 1852.1
Diverse specii tari, TOTAL, Anul 2006, Mii metri cubi, 1914.6
Diverse specii tari, TOTAL, Anul 2007, Mii metri cubi, 1667.9
Diverse specii tari, TOTAL, Anul 2008, Mii metri cubi, 1759.7
Diverse specii tari, TOTAL, Anul 2009, Mii metri cubi, 1845.4
Diverse specii tari, TOTAL, Anul 2010, Mii metri cubi, 1784.3
Diverse specii tari, TOTAL, Anul 2011, Mii metri cubi, 1946.3
Diverse specii tari, TOTAL, Anul 2012, Mii metri cubi, 2014.4
Diverse specii tari, TOTAL, Anul 2013, Mii metri cubi, 1968.9
Diverse specii tari, TOTAL, Anul 2014, Mii metri cubi, 1876
Diverse specii tari, TOTAL, Anul 2015, Mii metri cubi, 1950.6
Diverse specii tari, Covasna, Anul 1990, Mii metri cubi, 44.3
Diverse specii tari, Covasna, Anul 1991, Mii metri cubi, 34
