
Judete, Sectiuni si capitole conform Nomenclatorului Combinat (NC), Luni, UM: Mii euro, Valoare
Alba, Total, Luna ianuarie 2011, Mii EURO, 65366
Alba, Total, Luna februarie 2011, Mii EURO, 67274
Alba, Total, Luna martie 2011, Mii EURO, 75702
Alba, Total, Luna aprilie 2011, Mii EURO, 69449
Alba, Total, Luna mai 2011, Mii EURO, 75829
Alba, Total, Luna iunie 2011, Mii EURO, 80578
Alba, Total, Luna iulie 2011, Mii EURO, 81877
Alba, Total, Luna august 2011, Mii EURO, 67174
Alba, Total, Luna septembrie 2011, Mii EURO, 82898
Alba, Total, Luna octombrie 2011, Mii EURO, 76169
Alba, Total, Luna noiembrie 2011, Mii EURO, 76768
Alba, Total, Luna decembrie 2011, Mii EURO, 69484
Alba, Total, Luna ianuarie 2012, Mii EURO, 75242
Alba, Total, Luna februarie 2012, Mii EURO, 68526
Alba, Total, Luna martie 2012, Mii EURO, 84356
Alba, Total, Luna aprilie 2012, Mii EURO, 73492
Alba, Total, Luna mai 2012, Mii EURO, 82306
Alba, Total, Luna iunie 2012, Mii EURO, 79902
Alba, Total, Luna iulie 2012, Mii EURO, 79911
Alba, Total, Luna august 2012, Mii EURO, 67883
Alba, Total, Luna septembrie 2012, Mii EURO, 73210
Alba, Total, Luna octombrie 2012, Mii EURO, 77255
Alba, Total, Luna noiembrie 2012, Mii EURO, 80450
Alba, Total, Luna decembrie 2012, Mii EURO, 64397
Alba, Total, Luna ianuarie 2013, Mii EURO, 85022
Alba, Total, Luna februarie 2013, Mii EURO, 80384
Alba, Total, Luna martie 2013, Mii EURO, 88960
Alba, Total, Luna aprilie 2013, Mii EURO, 92954
Alba, Total, Luna mai 2013, Mii EURO, 89949
Alba, Total, Luna iunie 2013, Mii EURO, 81801
Alba, Total, Luna iulie 2013, Mii EURO, 97829
Alba, Total, Luna august 2013, Mii EURO, 84880
Alba, Total, Luna septembrie 2013, Mii EURO, 92519
Alba, Total, Luna octombrie 2013, Mii EURO, 103131
Alba, Total, Luna noiembrie 2013, Mii EURO, 98227
Alba, Total, Luna decembrie 2013, Mii EURO, 79506
Alba, Total, Luna ianuarie 2014, Mii EURO, 98937
Alba, Total, Luna februarie 2014, Mii EURO, 94187
Alba, Total, Luna martie 2014, Mii EURO, 112656
Alba, Total, Luna aprilie 2014, Mii EURO, 123151
Alba, Total, Luna mai 2014, Mii EURO, 125717
Alba, Total, Luna iunie 2014, Mii EURO, 120803
Alba, Total, Luna iulie 2014, Mii EURO, 108759
Alba, Total, Luna august 2014, Mii EURO, 112528
Alba, Total, Luna septembrie 2014, Mii EURO, 108948
Alba, Total, Luna octombrie 2014, Mii EURO, 89420
Alba, Total, Luna noiembrie 2014, Mii EURO, 87054
Alba, Total, Luna decembrie 2014, Mii EURO, 83949
Alba, Total, Luna ianuarie 2015, Mii EURO, 86870
Alba, Total, Luna februarie 2015, Mii EURO, 80118
Alba, Total, Luna martie 2015, Mii EURO, 102449
Alba, Total, Luna aprilie 2015, Mii EURO, 88662
Alba, Total, Luna mai 2015, Mii EURO, 88947
Alba, Total, Luna iunie 2015, Mii EURO, 92026
Alba, Total, Luna iulie 2015, Mii EURO, 93319
Alba, Total, Luna august 2015, Mii EURO, 74273
Alba, Total, Luna septembrie 2015, Mii EURO, 78157
Alba, Total, Luna octombrie 2015, Mii EURO, 86671
Alba, Total, Luna noiembrie 2015, Mii EURO, 88366
Alba, Total, Luna decembrie 2015, Mii EURO, 67947
Alba, Total, Luna ianuarie 2016, Mii EURO, 82110
Alba, Total, Luna februarie 2016, Mii EURO, 76063
Alba, Total, Luna martie 2016, Mii EURO, 96808
Alba, Total, Luna aprilie 2016, Mii EURO, 87551
Alba, Total, Luna mai 2016, Mii EURO, 91599
Alba, Total, Luna iunie 2016, Mii EURO, 111128
Alba, Total, Luna iulie 2016, Mii EURO, 109819
Alba, Total, Luna august 2016, Mii EURO, 108745
Alba, Total, Luna septembrie 2016, Mii EURO, 145791
Alba, Total, Luna octombrie 2016, Mii EURO, 134473
Alba, Total, Luna noiembrie 2016, Mii EURO, 151114
Alba, Total, Luna decembrie 2016, Mii EURO, 126852
Alba, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2011, Mii EURO, 32119
Alba, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2011, Mii EURO, 29814
Alba, IX. Produse din lemn  exclusiv mobilier, Luna martie 2011, Mii EURO, 34422
Alba, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2011, Mii EURO, 33605
Alba, IX. Produse din lemn  exclusiv mobilier, Luna mai 2011, Mii EURO, 36608
Alba, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2011, Mii EURO, 39508
Alba, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2011, Mii EURO, 37476
Alba, IX. Produse din lemn  exclusiv mobilier, Luna august 2011, Mii EURO, 33441
Alba, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2011, Mii EURO, 40894
Alba, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2011, Mii EURO, 37618
Alba, IX. Produse din lemn  exclusiv mobilier, Luna noiembrie 2011, Mii EURO, 36396
Alba, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2011, Mii EURO, 33541
Alba, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2012, Mii EURO, 36978
Alba, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2012, Mii EURO, 26902
Alba, IX. Produse din lemn  exclusiv mobilier, Luna martie 2012, Mii EURO, 45290
Alba, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2012, Mii EURO, 37717
Alba, IX. Produse din lemn  exclusiv mobilier, Luna mai 2012, Mii EURO, 42658
Alba, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2012, Mii EURO, 39753
Alba, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2012, Mii EURO, 37594
Alba, IX. Produse din lemn  exclusiv mobilier, Luna august 2012, Mii EURO, 36730
Alba, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2012, Mii EURO, 33764
Alba, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2012, Mii EURO, 40129
Alba, IX. Produse din lemn  exclusiv mobilier, Luna noiembrie 2012, Mii EURO, 39116
Alba, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2012, Mii EURO, 31464
Alba, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2013, Mii EURO, 41663
Alba, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2013, Mii EURO, 37652
Alba, IX. Produse din lemn  exclusiv mobilier, Luna martie 2013, Mii EURO, 44280
Alba, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2013, Mii EURO, 48058
Alba, IX. Produse din lemn  exclusiv mobilier, Luna mai 2013, Mii EURO, 46667
Alba, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2013, Mii EURO, 42622
Alba, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2013, Mii EURO, 47960
Alba, IX. Produse din lemn  exclusiv mobilier, Luna august 2013, Mii EURO, 43693
Alba, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2013, Mii EURO, 40206
Alba, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2013, Mii EURO, 47838
Alba, IX. Produse din lemn  exclusiv mobilier, Luna noiembrie 2013, Mii EURO, 44274
Alba, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2013, Mii EURO, 36632
Alba, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2014, Mii EURO, 40778
Alba, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2014, Mii EURO, 37935
Alba, IX. Produse din lemn  exclusiv mobilier, Luna martie 2014, Mii EURO, 42705
Alba, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2014, Mii EURO, 44594
Alba, IX. Produse din lemn  exclusiv mobilier, Luna mai 2014, Mii EURO, 43384
Alba, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2014, Mii EURO, 43884
Alba, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2014, Mii EURO, 42403
Alba, IX. Produse din lemn  exclusiv mobilier, Luna august 2014, Mii EURO, 41387
Alba, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2014, Mii EURO, 41290
Alba, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2014, Mii EURO, 41107
