
Judete, Sectiuni si capitole conform Nomenclatorului Combinat (NC), Luni, UM: Mii euro, Valoare
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2011, Mii EURO, 106790
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2011, Mii EURO, 107800
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna martie 2011, Mii EURO, 129363
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2011, Mii EURO, 120601
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna mai 2011, Mii EURO, 127771
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2011, Mii EURO, 130540
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2011, Mii EURO, 122422
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna august 2011, Mii EURO, 116025
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2011, Mii EURO, 127049
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2011, Mii EURO, 129423
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna noiembrie 2011, Mii EURO, 128733
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2011, Mii EURO, 106182
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2012, Mii EURO, 117531
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2012, Mii EURO, 108018
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna martie 2012, Mii EURO, 147932
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2012, Mii EURO, 129225
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna mai 2012, Mii EURO, 149720
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2012, Mii EURO, 144619
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2012, Mii EURO, 141381
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna august 2012, Mii EURO, 129328
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2012, Mii EURO, 134606
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2012, Mii EURO, 150600
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna noiembrie 2012, Mii EURO, 148190
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2012, Mii EURO, 112645
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2013, Mii EURO, 132714
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2013, Mii EURO, 137919
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna martie 2013, Mii EURO, 165570
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2013, Mii EURO, 168405
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna mai 2013, Mii EURO, 166448
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2013, Mii EURO, 161244
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2013, Mii EURO, 175034
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna august 2013, Mii EURO, 151362
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2013, Mii EURO, 160431
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2013, Mii EURO, 173623
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna noiembrie 2013, Mii EURO, 156732
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2013, Mii EURO, 130785
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2014, Mii EURO, 141152
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2014, Mii EURO, 154306
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna martie 2014, Mii EURO, 171605
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2014, Mii EURO, 167660
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna mai 2014, Mii EURO, 164569
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2014, Mii EURO, 161606
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2014, Mii EURO, 163457
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna august 2014, Mii EURO, 131093
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2014, Mii EURO, 160053
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2014, Mii EURO, 158594
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna noiembrie 2014, Mii EURO, 144655
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2014, Mii EURO, 136464
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2015, Mii EURO, 138768
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2015, Mii EURO, 148653
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna martie 2015, Mii EURO, 171192
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2015, Mii EURO, 165998
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna mai 2015, Mii EURO, 168679
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2015, Mii EURO, 157286
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2015, Mii EURO, 158974
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna august 2015, Mii EURO, 134597
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2015, Mii EURO, 143157
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2015, Mii EURO, 151045
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna noiembrie 2015, Mii EURO, 141551
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2015, Mii EURO, 128907
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2016, Mii EURO, 125275
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2016, Mii EURO, 137872
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna martie 2016, Mii EURO, 151594
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2016, Mii EURO, 145143
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna mai 2016, Mii EURO, 145623
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2016, Mii EURO, 142284
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2016, Mii EURO, 130792
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna august 2016, Mii EURO, 131187
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2016, Mii EURO, 139266
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2016, Mii EURO, 136673
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna noiembrie 2016, Mii EURO, 142981
TOTAL, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2016, Mii EURO, 114453
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna ianuarie 2011, Mii EURO, 106753
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna februarie 2011, Mii EURO, 107780
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna martie 2011, Mii EURO, 129320
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna aprilie 2011, Mii EURO, 120572
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna mai 2011, Mii EURO, 127762
TOTAL, 44. Lemn brut  cherestea  produse  stratificate si alte produse din lemn, Luna iunie 2011, Mii EURO, 130504
