
Judete, Sectiuni si capitole conform Nomenclatorului Combinat (NC), Luni, UM: Mii euro, Valoare
Alba, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2015, Mii EURO, 6709
Alba, IX. Produse din lemn  exclusiv mobilier, Luna ianuarie 2016, Mii EURO, 7737
Alba, IX. Produse din lemn  exclusiv mobilier, Luna februarie 2016, Mii EURO, 9167
Alba, IX. Produse din lemn  exclusiv mobilier, Luna martie 2016, Mii EURO, 10672
Alba, IX. Produse din lemn  exclusiv mobilier, Luna aprilie 2016, Mii EURO, 9686
Alba, IX. Produse din lemn  exclusiv mobilier, Luna mai 2016, Mii EURO, 9161
Alba, IX. Produse din lemn  exclusiv mobilier, Luna iunie 2016, Mii EURO, 7831
Alba, IX. Produse din lemn  exclusiv mobilier, Luna iulie 2016, Mii EURO, 6824
Alba, IX. Produse din lemn  exclusiv mobilier, Luna august 2016, Mii EURO, 6164
Alba, IX. Produse din lemn  exclusiv mobilier, Luna septembrie 2016, Mii EURO, 6392
Alba, IX. Produse din lemn  exclusiv mobilier, Luna octombrie 2016, Mii EURO, 6598
Alba, IX. Produse din lemn  exclusiv mobilier, Luna noiembrie 2016, Mii EURO, 7500
Alba, IX. Produse din lemn  exclusiv mobilier, Luna decembrie 2016, Mii EURO, 8981
Alba, X. Hirtie si articole din acestea, Luna ianuarie 2011, Mii EURO, 2958
Alba, X. Hirtie si articole din acestea, Luna februarie 2011, Mii EURO, 3226
Alba, X. Hirtie si articole din acestea, Luna martie 2011, Mii EURO, 3156
Alba, X. Hirtie si articole din acestea, Luna aprilie 2011, Mii EURO, 2891
Alba, X. Hirtie si articole din acestea, Luna mai 2011, Mii EURO, 3280
Alba, X. Hirtie si articole din acestea, Luna iunie 2011, Mii EURO, 2920
Alba, X. Hirtie si articole din acestea, Luna iulie 2011, Mii EURO, 3868
Alba, X. Hirtie si articole din acestea, Luna august 2011, Mii EURO, 2668
Alba, X. Hirtie si articole din acestea, Luna septembrie 2011, Mii EURO, 3125
Alba, X. Hirtie si articole din acestea, Luna octombrie 2011, Mii EURO, 3126
Alba, X. Hirtie si articole din acestea, Luna noiembrie 2011, Mii EURO, 2687
Alba, X. Hirtie si articole din acestea, Luna decembrie 2011, Mii EURO, 2885
Alba, X. Hirtie si articole din acestea, Luna ianuarie 2012, Mii EURO, 2329
Alba, X. Hirtie si articole din acestea, Luna februarie 2012, Mii EURO, 2325
Alba, X. Hirtie si articole din acestea, Luna martie 2012, Mii EURO, 2144
Alba, X. Hirtie si articole din acestea, Luna aprilie 2012, Mii EURO, 2539
Alba, X. Hirtie si articole din acestea, Luna mai 2012, Mii EURO, 2492
Alba, X. Hirtie si articole din acestea, Luna iunie 2012, Mii EURO, 2428
Alba, X. Hirtie si articole din acestea, Luna iulie 2012, Mii EURO, 2670
Alba, X. Hirtie si articole din acestea, Luna august 2012, Mii EURO, 2574
Alba, X. Hirtie si articole din acestea, Luna septembrie 2012, Mii EURO, 2268
Alba, X. Hirtie si articole din acestea, Luna octombrie 2012, Mii EURO, 3141
Alba, X. Hirtie si articole din acestea, Luna noiembrie 2012, Mii EURO, 2796
Alba, X. Hirtie si articole din acestea, Luna decembrie 2012, Mii EURO, 2774
Alba, X. Hirtie si articole din acestea, Luna ianuarie 2013, Mii EURO, 2589
Alba, X. Hirtie si articole din acestea, Luna februarie 2013, Mii EURO, 2622
Alba, X. Hirtie si articole din acestea, Luna martie 2013, Mii EURO, 2635
Alba, X. Hirtie si articole din acestea, Luna aprilie 2013, Mii EURO, 3564
Alba, X. Hirtie si articole din acestea, Luna mai 2013, Mii EURO, 2599
Alba, X. Hirtie si articole din acestea, Luna iunie 2013, Mii EURO, 2541
Alba, X. Hirtie si articole din acestea, Luna iulie 2013, Mii EURO, 3226
Alba, X. Hirtie si articole din acestea, Luna august 2013, Mii EURO, 2770
Alba, X. Hirtie si articole din acestea, Luna septembrie 2013, Mii EURO, 3396
Alba, X. Hirtie si articole din acestea, Luna octombrie 2013, Mii EURO, 3891
